GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSRSHE,G16USSDCRU,G16USSOWRI,G16SSCRBOL,G16SSCOWRI,G16SSCRWIS,G16SSCOWR2,G16SSCRPAR,G16SSCOWR3,G16PSCRCAV,G16PSCOWRI
01001000001,01,001,000001,237.91,148.75,0.11,1.01,4.05,234.21,150.4,0.01,242.53,0.41,240.35,0.44,242.36,0.43,241.38,0.43
01001000002,01,001,000002,1863,348,55,13,31,1895,384,6,1889,23,1904,20,1881,19,1850,41
01001000003,01,001,000003,396,36,1,1,0,391,37,0,368,1,365,3,366,3,371,1
01001000004,01,001,000004,2504.14,890.74,109.75,21.79,38.23,2576.47,934.98,7.18,2675.9,57.42,2684.33,56.04,2658.38,60.16,2637.08,81.22
01001000005,01,001,000005,377,145,10,2,2,383,144,0,396,8,392,7,392,7,394,8
01001000006,01,001,000006,679,79,12,9,7,665,103,8,639,12,643,8,643,6,648,5
01001000007,01,001,000007,1594.43,219.04,29.65,4.24,11.5,1557.52,272.29,4.84,1541.18,19.36,1549.65,18.15,1538.15,22.39,1551.46,30.86
01001000008,01,001,000008,222,211,1,1,1,225,204,0,222,9,224,6,221,7,225,7
01001000009,01,001,000009,563.61,164.51,13.63,0.97,5.84,551.93,186.9,0.97,567.51,12.65,569.45,11.68,563.61,10.71,539.28,16.55
01001000010,01,001,000010,1910.52,299.95,64.12,8.02,16.04,1896.6,354,10.01,1877.72,23.06,1899.73,20.06,1865.7,30.06,1866.68,45.08
01001000011,01,001,000011,128.06,214.25,2.02,0,1.01,134.05,209.22,0,145.12,5.05,147.12,5.05,145.1,6.05,149.11,4.04
01001000012,01,001,000012,424,308,18,2,3,415,318,1,433,16,433,14,434,13,441,12
01001000013,01,001,000013,540.24,130.82,12.59,1.09,9.31,544.07,135.2,1.64,544.07,9.31,550.64,8.76,540.24,8.76,539.15,14.78
01001000014,01,001,000014,328.38,421.63,5.95,0,3.97,323.42,409.73,0.99,354.17,16.87,353.18,15.87,346.23,15.87,349.21,13.89
01001000015,01,001,000015,717.77,247.48,37.82,6.58,11.51,730.1,275.43,2.47,754.76,14.8,764.63,13.98,755.59,13.98,758.05,19.73
01001000016,01,001,000016,3542.98,1484.47,107.73,26.43,47.87,3557.06,1575,11.65,3650.62,92.93,3662.04,82.71,3632.55,87.65,3593.53,120.13
01001000017,01,001,000017,1073,437,45,4,12,1093,453,4,1112,32,1131,29,1110,28,1102,37
01001000018,01,001,000018,1081.49,157.52,20.51,2.82,8.65,1059.04,191.48,3.28,1048.83,13.57,1055.16,12.73,1046.34,15.37,1054.48,21.62
01003000001,01,003,000001,122,36,0,1,0,117,38,0,108,7,111,1,111,0,111,0
01003000002,01,003,000002,46.42,113.6,0.21,0.06,2.04,45.61,113.31,0.02,51.33,5.59,51.39,5.57,51.35,6.57,55.4,5.59
01003000003,01,003,000003,150.76,184.36,6.36,1.82,0.91,153.48,180.73,0,167.11,5.45,168.02,5.45,167.11,5.45,167.11,6.36
01003000004,01,003,000004,416.47,127.34,5.74,7.66,3.83,413.6,135.95,2.87,429.88,8.62,427,8.62,424.13,8.62,419.34,9.57
01003000005,01,003,000005,24,417,3,0,1,37,404,0,111,24,114,21,115,19,113,20
01003000006,01,003,000006,574.86,172.81,16.96,0.56,11.26,580.86,178.25,2.14,596.15,13.67,596.66,12.19,592.62,10.06,583.12,10.26
01003000007,01,003,000007,2861.77,804.65,151.17,22.19,42.31,2946.19,820.81,13.26,3054.17,63.8,3057.22,59.95,3046.13,54.09,3025.56,62.91
