GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHUT,G18GOVDHEN,G18GOVLWES,G18LTGRGRI,G18LTGDBLA,G18LTGLGIL,G18ATGRRUT,G18ATGDLEE,G18ATGLHIC,G18SOSRTHU,G18SOSDINM,G18SOSLOLS,G18TRERMIL,G18TRELEWA,G18AUDRLEA,G18AUDLDIN,G18LNDRLAN,G18LNDDWIL,G18LNDLCAM
05001000011,05,001,000011,22.45,10.22,1.09,25.5,8.22,0.07,24.39,9.3,0.09,23.39,10.26,0.11,29.5,3.26,29.5,3.26,24.39,9.24,0.13
05001000012,05,001,000012,32,9,0,33,8,0,31,10,0,29,11,1,39,2,38,3,29,12,0
05001000013,05,001,000013,157.5,54.21,5.02,158.49,55.22,4.02,153.47,60.23,3.01,144.44,69.27,3.01,168.52,43.18,171.54,37.18,143.41,66.27,5.99
05001000014,05,001,000014,65.31,9.75,3.9,67.26,9.75,2.92,62.39,13.65,3.9,62.39,11.7,4.87,67.26,11.7,67.26,11.7,62.39,10.72,5.85
05001000015,05,001,000015,68,15,0,75,7,0,71,9,2,71,10,1,79,3,76,5,72,8,2
05001000021,05,001,000021,106.46,20.62,2.82,112.08,17.82,0.94,110.18,19.71,0.95,107.36,21.58,0.95,118.64,12.2,113.98,16.86,101.75,26.27,1.88
05001000022,05,001,000022,295.51,36.95,3.01,298.51,30.96,6,281.54,43.94,8.99,264.58,59.9,9,306.49,24.98,295.52,32.96,266.57,51.91,13.99
05001000023,05,001,000023,60.58,2.41,1.05,60.7,3.34,0.02,58.68,4.37,1.01,57.64,4.41,1.01,61.83,2.23,63.71,0.35,57.52,5.5,1.03
05001000031,05,001,000031,61.03,6.27,0.93,61.99,5.32,0.02,59.27,8.05,0.02,57.33,10.83,0.02,62.84,4.35,61.99,5.14,54.63,11.7,1.01
05001000032,05,001,000032,21.8,13.37,1.01,21.86,13.3,0.01,19.88,15.29,0.01,20.7,15.4,0.01,25.73,10.3,24.79,9.24,20.66,15.48,0.01
05001000033,05,001,000033,3,4,0,3,4,0,3,4,0,3,4,0,4,3,3,4,2,4,1
05001000034,05,001,000034,48,20,0,51,17,0,49,19,0,48,20,0,55,13,51,17,46,22,0
05001000035,05,001,000035,75,17,1,82,11,0,77,15,1,73,20,0,88,5,87,6,69,24,0
05001000036,05,001,000036,30,19,0,31,19,2,29,22,1,28,21,3,36,14,30,19,22,25,2
05001000037,05,001,000037,68,9,2,70,9,0,72,7,0,69,9,0,74,4,70,6,70,8,0
05001000038,05,001,000038,49.84,7.82,0.98,50.82,5.86,0.98,50.82,4.89,1.95,49.84,7.82,0.98,54.73,3.91,50.82,6.84,47.89,8.8,0.98
05001000041,05,001,000041,68.33,5.31,1.93,70.23,5.31,0.02,67.27,8.27,0.03,65.31,8.31,0.98,66.49,7.13,67.45,5.22,62.45,11.17,0.99
05001000042,05,001,000042,84.45,18.35,1.97,87.29,15.5,1.97,83.35,21.37,0.05,82.31,22.41,0.04,89.36,13.4,90.35,11.44,82.31,19.5,2.96
05001000043,05,001,000043,50,4,0,47,5,2,47,6,1,47,6,1,49,5,48,6,45,6,3
05001000044,05,001,000044,62.22,13.08,1.03,58.24,17.09,1.01,57.19,15.13,2.01,58.15,17.15,1.02,63.19,12.12,62.2,10.1,58.12,16.18,1.02
05001000045,05,001,000045,7.83,2.92,0,8.8,1.96,0,6.86,2.93,0.97,5.88,3.9,0.97,7.82,1.96,7.82,1.96,6.85,3.9,0
