GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSRMCC,G16USSDKIR,G16USSGSWI,G16USSOWRI
04001000005,04,001,000005,201.08,55.66,11.83,1.89,3.8,182.77,60.15,20.38,4.48
04001000010,04,001,000010,142.6,1384.47,71.86,31.95,50.9,187.63,1496.16,44.95,3.99
04001000015,04,001,000015,93.16,680.06,38.09,17.04,36.07,127.29,723.21,24.03,1
04001000020,04,001,000020,1134.65,227.95,43.98,11.01,26.98,835.77,290.92,194.95,41.97
04001000025,04,001,000025,33.03,349.19,16.02,3.01,12.01,37.03,375.22,5.01,1
04001000030,04,001,000030,582,57,13,5,16,527,77,49,5
04001000035,04,001,000035,46.79,586.43,25.89,10.95,20.91,83.63,629.24,9.96,1
04001000040,04,001,000040,40.24,431.77,16.11,9.08,10.09,60.31,459.94,3.06,0
04001000045,04,001,000045,754.94,139.69,21.8,6.94,12.88,697.48,137.71,74.31,5.94
04001000050,04,001,000050,558.96,82.99,12,2,10,482.97,105.99,58,6
04001000055,04,001,000055,251,1306,90,39,49,282,1403,73,9
04001000060,04,001,000060,33,316,18,4,14,46,338,7,3
04001000065,04,001,000065,54.95,484.57,24.98,14.99,31.97,68.94,522.54,12.99,10.99
04001000070,04,001,000070,81.45,31.83,0.94,0,0,71.15,35.57,5.62,0
04001000075,04,001,000075,102.29,409.63,47.15,9.04,23.07,106.31,465.88,26.06,0.02
04001000080,04,001,000080,42.15,521.07,27.09,8.03,11.06,61.18,560.22,11.03,0.01
04001000085,04,001,000085,53.82,357.79,34.88,11.96,15.95,63.79,417.59,11.96,0
04001000090,04,001,000090,46.81,707.14,43.82,13.94,23.9,77.69,756.94,24.9,1
04001000095,04,001,000095,50,261,12,8,4,61,269,13,2
04001000100,04,001,000100,16.59,69.84,3.99,2.97,1.95,17.31,74.06,4.83,0
04001000105,04,001,000105,50.96,731.43,44.97,6.99,16.99,75.94,766.41,18.99,1
04001000110,04,001,000110,5,87,9,1,4,22,84,1,0
04001000115,04,001,000115,45.53,435.17,28.27,6.12,14.19,48.7,470.59,17.17,2.01
04001000120,04,001,000120,211.44,58.57,3.97,2.98,6.95,192.58,61.54,19.85,1.99
04001000125,04,001,000125,24.32,220.23,17.16,10.1,4.05,23.48,251.29,11.12,1.01
04001000130,04,001,000130,222.94,477.88,31.99,19.99,34.99,183.95,555.86,50.99,3
04001000135,04,001,000135,10,98,9,4,4,23,96,6,0
04001000140,04,001,000140,79.95,255.65,44.42,5.92,2.96,118.45,255.65,21.72,0
04001000145,04,001,000145,38.88,559.19,28.5,8.09,17,70.23,583.36,7.11,1
