GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDKEL,G20USSRMCS
04001000005,04,001,000005,86.3,261.3,4.7,90,262.1
04001000010,04,001,000010,1978.4,272.3,29.9,1991.4,289.2
04001000015,04,001,000015,991.6,148.3,20,996.7,157.3
04001000020,04,001,000020,333,1485.6,22,381,1421.6
04001000025,04,001,000025,393.2,76.1,4,413.2,71
04001000030,04,001,000030,111,746,4,122,726
04001000035,04,001,000035,744.7,86.6,5,759.7,84.6
04001000040,04,001,000040,562.6,90.4,7,576.6,87.4
04001000045,04,001,000045,157.5,854,23.8,168.4,843.1
04001000050,04,001,000050,105,684,11,134,663
04001000055,04,001,000055,1940,416,30,1964,424
04001000060,04,001,000060,416,65,6,421,70
04001000065,04,001,000065,646.4,118.9,4,672.4,98.9
04001000070,04,001,000070,39.3,85.2,0,39.3,83.3
04001000075,04,001,000075,551.3,168.6,13,585.4,154.6
04001000080,04,001,000080,592.4,61.3,4,600.4,61.2
04001000085,04,001,000085,434.5,108.6,6,465.4,89.7
04001000090,04,001,000090,885.4,102.6,11,910.3,96.6
04001000095,04,001,000095,321,74,7,329,73
04001000100,04,001,000100,90.1,34.7,2,94,31.6
04001000105,04,001,000105,1029.2,122.9,12,1048.2,109.9
04001000110,04,001,000110,135,29,1,135,26
04001000115,04,001,000115,561.4,111,9.1,606.4,75.1
04001000120,04,001,000120,78.4,223.3,2,81.4,218.4
04001000125,04,001,000125,285.3,42.6,5.1,291.4,37.6
04001000130,04,001,000130,723.8,326.9,13,759.8,311.9
04001000135,04,001,000135,173,26,2,173,27
04001000140,04,001,000140,312.9,164.8,7.9,349.4,126.3
04001000145,04,001,000145,804.9,111.9,21,833.1,114.9
04001000150,04,001,000150,526,57,3,524,59
04001000155,04,001,000155,571.7,61.7,6.1,579.9,65.7
04001000160,04,001,000160,92.2,558.1,11,108.2,538.1
04001000165,04,001,000165,236,873,13,258,841
04001000170,04,001,000170,2316.7,417.4,50.9,2370.6,433.4
04001000175,04,001,000175,479.3,84.9,10,487.3,85.9
04001000180,04,001,000180,158.6,664.2,10,188.5,628.3
04001000185,04,001,000185,736,93,5,774,75
04001000190,04,001,000190,308,75,5.9,322.8,72
04001000195,04,001,000195,294.6,35.1,1,304.7,27.1
04001000200,04,001,000200,439.1,102.9,5.1,454.6,86.5
04001000205,04,001,000205,238.2,1141.8,14.1,257.3,1118.7
04001000210,04,001,000210,985.7,78.9,11,993.7,79.9
04001000215,04,001,000215,422.1,69.6,3,429.1,74.5
04003000001,04,003,000001,402.2,885,15.8,426.1,864.8
04003000002,04,003,000002,399.2,1110.7,38.5,443.1,1086.5
04003000003,04,003,000003,580,1158.9,29.2,609.5,1129.4
04003000004,04,003,000004,906.3,222.6,14,921.2,220.6
04003000005,04,003,000005,698,440,11,718,426
04003000006,04,003,000006,784.7,366.4,28,798.7,376.4
04003000007,04,003,000007,61,145.9,3.9,68.9,140
04003000008,04,003,000008,406.4,1013.1,14.2,433.7,984.9
04003000009,04,003,000009,751,257,9,775,237
04003000010,04,003,000010,926,413,13,965,379
04003000011,04,003,000011,894.1,252.8,13,929.3,221.7
04003000012,04,003,000012,622.6,198.8,11.2,639.5,186.6
04003000013,04,003,000013,642.7,384.2,9.1,687.8,346.2
04003000014,04,003,000014,389.7,1052.1,41,424.6,1043.1
04003000015,04,003,000015,567,1180,36,583,1187
04003000016,04,003,000016,301.9,487.6,22.6,314.1,484.3
04003000017,04,003,000017,230.6,510.1,4,238.6,501.1
04003000018,04,003,000018,311.9,152,9.9,333.8,140.1
04003000019,04,003,000019,343.1,782,16.1,355.2,780.9
04003000020,04,003,000020,614.2,342.4,7.7,636.2,322.7
04003000021,04,003,000021,273,698.7,9.1,290.2,686.5
04003000022,04,003,000022,115.8,130.9,1.8,118.5,133.6
04003000023,04,003,000023,31,147,3,31,149
04003000024,04,003,000024,347.1,1272.1,26.6,376,1260.9
04003000025,04,003,000025,118,278.2,8.6,124.7,277.2
04003000026,04,003,000026,700.9,1117.3,32,729,1108.6
04003000027,04,003,000027,853.3,1438.1,65.6,896.4,1454.8
04003000028,04,003,000028,564,721.7,31.3,594.4,712.9
04003000029,04,003,000029,372,524,18,394,516
04003000030,04,003,000030,327,412,22,341,414
04003000031,04,003,000031,637,879.8,40,658.1,882.5
04003000032,04,003,000032,680.4,1252.6,26.8,680.4,1271.4
04003000033,04,003,000033,605.1,970.7,38,642,966.4
04003000034,04,003,000034,543.2,803.5,39,574.2,802
04003000035,04,003,000035,441.1,1172.6,36.9,459.1,1182.5
04003000036,04,003,000036,446,699,31,479,682
04003000037,04,003,000037,421.9,879.9,23,443.9,874.9
04003000038,04,003,000038,406,559,23,418,558
04003000039,04,003,000039,945.9,1148,68.9,973.5,1161.1
04003000040,04,003,000040,484.8,991.7,29.1,508.6,990.8
04003000041,04,003,000041,704.8,1221.5,53,729.8,1236
04003000042,04,003,000042,583,841,38,600,853
04003000043,04,003,000043,602,1330,24,603,1363
04003000044,04,003,000044,346,993.1,26,385.8,964.4
04003000045,04,003,000045,136.5,349.1,14.2,149.7,348.1
04003000046,04,003,000046,474.7,1285.2,38.8,523.7,1271.1
04003000047,04,003,000047,286.1,806.6,16.1,316.3,786.5
04003000048,04,003,000048,207,763.2,9.1,233.2,741.1
04003000049,04,003,000049,228,496,12,250,487
04005000001,04,005,000001,1185.9,358.5,20.1,1203,349.4
04005000002,04,005,000002,1052.1,200.5,15.9,1068,193.6
04005000003,04,005,000003,798,125,20,806,136
04005000004,04,005,000004,1149.2,347.2,20,1128.2,377.2
04005000005,04,005,000005,1345.3,625,31,1350.4,654
04005000006,04,005,000006,961.8,581.2,37.8,969,596.2
04005000007,04,005,000007,860,418,45,868,439
04005000008,04,005,000008,611,196,10,608,209
04005000009,04,005,000009,1193,405,56,1219,427
04005000010,04,005,000010,162,35,5,156,42
04005000011,04,005,000011,592.4,238.9,15.9,601.4,238.9
04005000012,04,005,000012,872,174,31,900,166
04005000013,04,005,000013,248,63,13,246,69
04005000014,04,005,000014,903,282,38,915,287
04005000015,04,005,000015,1628.5,651.5,52.2,1682.5,636.6
04005000016,04,005,000016,1181,533,32,1203,540
04005000017,04,005,000017,329,186,9.5,328.1,193.8
04005000018,04,005,000018,391.4,286.8,15.2,402.3,285
04005000019,04,005,000019,1002.6,613,34.1,1013.6,638
04005000020,04,005,000020,427,118,18,432,126
04005000021,04,005,000021,1305.8,701.4,45.1,1302.9,731.4
04005000022,04,005,000022,1627.4,955.8,60.8,1622.1,1015
04005000023,04,005,000023,994,455,52,1014,478
04005000024,04,005,000024,1495.5,1027.6,42.8,1493.6,1059.4
04005000025,04,005,000025,1119,645,40,1145,650
04005000026,04,005,000026,595.7,437.4,32.3,617.5,431.5
04005000040,04,005,000040,281.4,337.2,14,288.4,339.2
04005000041,04,005,000041,142.5,465.5,3,147.5,458.5
04005000042,04,005,000042,546.9,180.3,16.8,586.5,158.2
04005000043,04,005,000043,653,140,20,663,145
04005000047,04,005,000047,318.9,88,16,348.9,70
04005000048,04,005,000048,190.3,23.6,3.1,181.3,32.8
04005000050,04,005,000050,752,1019,41,783,1020
04005000051,04,005,000051,106.6,128.9,3.9,108.3,129.5
04005000052,04,005,000052,620.4,853.1,26.1,645.7,849.5
04005000053,04,005,000053,40,111,2,42,107
04005000055,04,005,000055,192.1,114.1,2.9,194.1,114.1
04005000056,04,005,000056,364.5,307.9,9,366.6,319.9
04005000058,04,005,000058,122.6,481.9,7.1,149.6,460
