GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREUMCM,G16PREOOTH,G16USSDBEN,G16USSRGLE,G16USSLTAN,G16USSGMEN,G16USSOOTH,G16RGTDMAD,G16RGTRGAN
08001001001,08,001,001001,736.45,250.67,55.91,23.62,6.22,17.4,681.76,247.26,47.58,19.81,10.33,708.05,268.47
08001001002,08,001,001002,738.66,278.5,49.49,16.21,5.74,10.54,695.04,267.85,40.98,20.91,8.59,702.62,299.37
08001001003,08,001,001003,531.43,203.1,45.82,17.14,4.11,6.6,513.82,208.54,28.01,12.41,2.56,456.95,255.65
08001001004,08,001,001004,376.11,225.04,26.01,7,4,10,385.11,189.04,24.01,7,9,372.1,219.05
08001001005,08,001,001005,795.51,312.38,37.84,12.61,6.79,15.52,781.92,285.22,24.25,9.7,13.58,774.16,314.32
08001001006,08,001,001006,465.05,180.02,42,15,4,21,462.05,167.02,29,13,15,481.04,186.02
08001001007,08,001,001007,576.31,382.3,38.83,16.05,7.21,15.3,555.32,354.99,38.56,13.72,9.08,560.17,392.94
08001001008,08,001,001008,453.38,258.26,40.02,21.01,5,15.01,451.36,265.24,39.03,13.01,2.01,435.37,272.26
08001001009,08,001,001009,438,256,29,7,5,9,424,244,26,12,5,406,257
08001001010,08,001,001010,627,339,65,17,11,14,585,329,44,22,15,592,351
08001001011,08,001,001011,671.53,347.54,61.1,29.52,8.56,17.09,658.06,329.7,38.17,20.01,13.25,682.64,346.48
08001001012,08,001,001012,600.64,306.58,51.61,25.75,6.51,19.01,601.85,286.51,40.26,13.18,13.79,608.37,310.47
08001001013,08,001,001013,713,402,71,29,17,19,708,383,59,23,15,707,406
08001001014,08,001,001014,474,315,60,15,7,9,482,291,49,9,13,495,301
08001001015,08,001,001015,508.57,262.96,50.34,15.62,6.94,13.89,488.61,251.68,54.68,18.23,6.94,525.93,272.51
08001001016,08,001,001016,488.22,312.81,44.83,10.72,9.74,16.57,515.5,286.5,30.21,5.85,8.77,492.11,311.84
08001001017,08,001,001017,487.76,346.01,60.98,23.51,10.34,10.53,515.77,318.76,50.39,11.93,8.31,522.7,345.67
08001001018,08,001,001018,558.13,343.37,60.52,14.6,11.12,9.24,554.42,325.45,56.85,10.3,7.74,547.18,358.19
08001001019,08,001,001019,341,211,27,17,4,11,327,207,18,16,9,325,227
08001001020,08,001,001020,543,218,41,22,2,11,537,185,32,17,9,562,210
08001001021,08,001,001021,654.49,304.62,54.16,23.39,11.21,21.48,665.08,278.78,53.75,14.3,15.42,663.84,338.68
08001001022,08,001,001022,677.58,360.9,43.74,15.46,9.2,16.56,670.1,339.53,32.48,12.72,21.61,679.06,360.69
08001001023,08,001,001023,457.42,240.1,32.26,8.54,3.8,10.44,466.9,196.47,27.52,13.28,11.39,447.94,236.31
