GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREUMCM,G16PREOOTH,G16USSDBEN,G16USSRGLE,G16USSLTAN,G16USSGMEN,G16USSOOTH,G16RGTDMAD,G16RGTRGAN
08001001001,08,001,001001,736.5,250.7,55.9,23.6,6.2,17.4,681.8,247.3,47.6,19.8,10.3,708,268.5
08001001002,08,001,001002,738.7,278.5,49.5,16.2,5.7,10.5,695,267.9,41,20.9,8.6,702.6,299.4
08001001003,08,001,001003,531.4,203.1,45.8,17.1,4.1,6.6,513.8,208.5,28,12.4,2.6,457,255.7
08001001004,08,001,001004,376.1,225,26,7,4,10,385.1,189,24,7,9,372.1,219.1
08001001005,08,001,001005,795.5,312.4,37.8,12.6,6.8,15.5,781.9,285.2,24.2,9.7,13.6,774.2,314.3
08001001006,08,001,001006,465,180,42,15,4,21,462,167,29,13,15,481,186
08001001007,08,001,001007,576.3,382.3,38.8,16,7.2,15.3,555.3,355,38.6,13.7,9.1,560.2,392.9
08001001008,08,001,001008,453.4,258.3,40,21,5,15,451.4,265.2,39,13,2,435.4,272.3
08001001009,08,001,001009,438,256,29,7,5,9,424,244,26,12,5,406,257
08001001010,08,001,001010,627,339,65,17,11,14,585,329,44,22,15,592,351
08001001011,08,001,001011,671.5,347.5,61.1,29.5,8.6,17.1,658.1,329.7,38.2,20,13.2,682.6,346.5
08001001012,08,001,001012,600.6,306.6,51.6,25.8,6.5,19,601.9,286.5,40.3,13.2,13.8,608.4,310.5
08001001013,08,001,001013,713,402,71,29,17,19,708,383,59,23,15,707,406
08001001014,08,001,001014,474,315,60,15,7,9,482,291,49,9,13,495,301
08001001015,08,001,001015,508.6,263,50.3,15.6,6.9,13.9,488.6,251.7,54.7,18.2,6.9,525.9,272.5
08001001016,08,001,001016,488.2,312.8,44.8,10.7,9.7,16.6,515.5,286.5,30.2,5.8,8.8,492.1,311.8
08001001017,08,001,001017,487.8,346,61,23.5,10.3,10.5,515.8,318.8,50.4,11.9,8.3,522.7,345.7
08001001018,08,001,001018,558.1,343.4,60.5,14.6,11.1,9.2,554.4,325.4,56.9,10.3,7.7,547.2,358.2
08001001019,08,001,001019,341,211,27,17,4,11,327,207,18,16,9,325,227
08001001020,08,001,001020,543,218,41,22,2,11,537,185,32,17,9,562,210
08001001021,08,001,001021,654.5,304.6,54.2,23.4,11.2,21.5,665.1,278.8,53.8,14.3,15.4,663.8,338.7
08001001022,08,001,001022,677.6,360.9,43.7,15.5,9.2,16.6,670.1,339.5,32.5,12.7,21.6,679.1,360.7
08001001023,08,001,001023,457.4,240.1,32.3,8.5,3.8,10.4,466.9,196.5,27.5,13.3,11.4,447.9,236.3
08001001024,08,001,001024,708.7,312.6,51.4,19.4,5.3,23.7,721.5,269.5,45.7,13.5,7,717.8,313.5
08001001025,08,001,001025,597,307,33,23,2,19,577,297,37,9,14,605,307
08001001026,08,001,001026,682.9,338.6,58.6,15.1,12.2,19.6,663.7,319.1,60.9,14.5,5.5,646.3,377.3
08001001027,08,001,001027,388.5,157.3,32.7,9.6,2.5,6.8,369.1,147.7,28,9.7,6.6,369.7,171.1
08001001028,08,001,001028,311.2,164.3,22.5,8.7,2.2,10.9,311.2,157.1,17.4,8,5.1,314.1,165.1
08001001029,08,001,001029,632.4,297.4,43.3,19.7,6.5,15.5,627.2,259.5,35.7,13.3,12.3,606.7,303.9
08001001030,08,001,001030,401,280.9,29.1,9.6,2.3,14.6,410.3,245.8,28.6,10.8,8.1,417.3,269.2
08001001031,08,001,001031,528,433,40,18,10,28,554,373,51,11,12,529,428
08001001032,08,001,001032,490,316,26,13,10,16,496,279,32,12,15,471,326
08001001033,08,001,001033,684.6,447.6,55.1,18,18,18,711.6,409.5,50,14,14,642.6,501.6
08001001034,08,001,001034,480,367,55,13,12,13,510,336,45,9,11,488,387
08001001035,08,001,001035,425,278,30,18,2,5,436,240,31,12,12,435,254
08001001036,08,001,001036,276.4,277.9,26,6.8,2.6,14.7,286.8,260.7,18.1,1.7,6,281.6,285
08001001037,08,001,001037,401,288.1,40.3,11.4,4.6,17.4,404.6,246.8,36.7,14.2,11.2,423.2,273.3
08001001038,08,001,001038,519,354.2,52.1,14.6,2.7,12.9,519.2,311.7,35,11.2,13.7,524,333.2
08001001039,08,001,001039,271.6,194.7,25.5,9,5.3,10,278.2,181,16.2,7.7,7.6,268.4,195.9
08001001040,08,001,001040,657.2,511.4,72.6,26.1,9.7,25,679.7,467.9,52.1,21.3,19.3,663.8,522.2
08001001041,08,001,001041,426.9,243.8,35.2,11.4,2.6,10.6,417.3,225.4,37.9,11.4,7,418.1,245.6
08001001042,08,001,001042,451,277,50,22,6,6,432,253,49,14,6,434,284
08001001043,08,001,001043,474,350,37,4,14,4,467,366,21,7,3,409,405
08001001044,08,001,001044,470,283,51,14,7,8,476,268,38,11,7,433,317
08001001045,08,001,001045,327.9,303.2,44.6,10.4,8.1,5.1,342.1,290,22.3,6.6,3.2,305.2,325.8
08001001046,08,001,001046,291.3,321.2,17.8,8.4,3.8,2.8,281.9,330.6,9.4,10.3,3.8,231.3,365.3
08001001047,08,001,001047,503.2,424,53.5,5.1,12.1,8.1,506.4,425.9,18.3,5.1,4,433.9,488.3
08001001048,08,001,001048,397.3,361.9,27.3,7.9,12.7,3.6,413.6,357.3,18,5.6,1.2,317.1,423.5
08001001049,08,001,001049,592.4,486.5,71.2,9.4,9.5,12.4,566.8,494.6,56.8,6.6,7.3,501.6,541.9
08001001050,08,001,001050,383.7,323.7,29.5,10.2,9.2,6.5,380,314.6,20.3,11,0.9,333,355.2
08001001051,08,001,001051,605.1,617.8,70,27.1,10.7,20.2,622,594.2,52.4,15,13.4,588.5,645.1
08001001052,08,001,001052,732,521.9,66.4,28.2,13.5,22.3,745.7,485.4,56.3,16,13.9,748.4,525.9
08001001053,08,001,001053,480.9,478.3,54.1,11,6.4,13.3,500.6,443.4,37.6,8.4,8.2,444.3,496.4
08001001054,08,001,001054,298.8,235.8,25.3,9.5,6.3,7.1,294.1,250.7,19,2.4,0.8,252.2,283.9
08001001055,08,001,001055,362.3,353.8,26.8,6.2,9.7,3.8,366.6,331.9,22.4,3.8,1.2,298.9,393.5
08001001056,08,001,001056,457.4,373.3,47.9,19.9,12.7,12.7,462.8,368.8,41.6,12.7,3.6,404,423
08001001057,08,001,001057,434.9,319.6,32.2,4,9.1,9,414.9,328.7,30.1,5,2,388.4,357
08001001058,08,001,001058,588.2,277.1,41.9,7,12,5,563.3,309.1,25.9,8,1,485.5,357.9
08001001059,08,001,001059,725.9,599.1,67.3,24.6,16.7,9.6,759.5,577.2,37.8,9.5,7.3,626,671.2
08001001060,08,001,001060,170.5,191.6,15.2,10.5,1.5,0.6,177.8,176.4,14.6,3.6,1.8,154.3,202.7
08001001061,08,001,001061,605.2,435.2,55,21,13.6,10.3,610.9,410.1,39.8,11.9,8.9,573.7,470.5
08001001062,08,001,001062,440.2,475,44.5,5.2,10.7,8,443.7,466,34.8,2.8,2.4,401.4,507.5
08001001063,08,001,001063,468.5,442.3,63.5,13.9,11.1,3.9,466.6,453.5,33.7,8.5,9.1,411.3,508.1
08001001064,08,001,001064,484.8,311.6,66.4,22.1,5.5,8.7,472.1,304.4,53,15.8,9.5,468.1,344.8
08001001065,08,001,001065,454.8,340.6,62.6,6,18.9,8.9,461.8,340.6,39.7,6,5,412.1,391.3
08001001066,08,001,001066,110.2,106.4,11.4,6,4.1,3.1,114.2,90.4,19.3,5,1,120.9,103.7
08001001067,08,001,001067,239,227,27,7,3,4,238,229,18,6,4,209,251
08001001068,08,001,001068,555,400,68,12,15,11,555,416,43,10,7,492,466
