GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPOL,G18GOVRSTA,G18GOVLHEL,G18GOVOHAM,G18ATGDWEI,G18ATGRBRA,G18ATGLROB,G18SOSDGRI,G18SOSRWIL,G18SOSCCAM,G18SOSOHUB,G18TREDYOU,G18TRERWAT,G18TRECKIL,G18RGTDSMI,G18RGTRMON,G18RGTLTRE,G18RGTOOTW
08001001001,08,001,001001,693.5,175.2,37.1,15.4,674.6,194.4,31.6,696.8,180.9,29.3,6.4,670,197.5,38.5,646.2,174.3,39.5,15.7
08001001002,08,001,001002,740.2,241,28.6,10.6,716.5,245.8,41.9,722.4,233.4,34.2,11.4,727.9,221.3,38.9,705,217.2,38.1,19
08001001003,08,001,001003,311.5,153.5,20.6,6.6,312.7,159.2,16.8,327.2,146.1,11.8,4.2,318.5,154.7,14.3,306.9,144.2,19.9,6.8
08001001004,08,001,001004,352.1,162,20,13,353.1,172,19,369.1,159,13,7,362.1,153,24,357.1,138,23,11
08001001005,08,001,001005,675.2,230.9,30.1,19.4,684.9,233.8,23.3,694.6,225.1,15.5,4.8,688.8,225.1,21.3,673.3,216.3,24.2,9.7
08001001006,08,001,001006,433,143,23,11,441,138,23,448,128,22,2,447,127,25,441,115,18,15
08001001007,08,001,001007,528,309.5,28.1,19.3,519.2,313.9,32.8,536.1,308,24.6,6.2,519.6,320.5,19.8,505,291.1,30.1,14.3
08001001008,08,001,001008,440.4,208.2,23,13,424.4,221.2,31,448.4,202.2,23,5,437.4,217.2,14,413.3,191.2,37,4
08001001009,08,001,001009,428,207,28,4,419,211,27,446,197,9,6,429,209,16,415,195,21,8
08001001010,08,001,001010,542,263,38,12,523,268,52,535,267,32,10,549,256,33,515,234,48,19
08001001011,08,001,001011,623.7,304.3,24.9,21.8,603.9,308.2,39.9,639.1,281.6,29.4,3.8,622.9,293,32.3,595.4,278.7,37.1,15.2
08001001012,08,001,001012,544,261,39.5,24.3,556.8,269.3,40.4,565.9,263.7,25.8,6.2,554.9,260.4,37.9,525.3,234.5,41.2,27.9
08001001013,08,001,001013,677,360,45,10,661,377,37,668,362,34,6,671,355,39,631,332,50,15
08001001014,08,001,001014,492,236,34,13,479,240,35,482,237,28,6,488,227,32,462,211,37,11
08001001015,08,001,001015,399.2,191.8,25.2,20.8,400.1,206.6,22.6,422.6,189.2,18.2,2.6,409.6,196.1,21.7,395.8,181.4,20.8,18.2
08001001016,08,001,001016,477.5,282.6,33.1,19.5,468.7,295.3,38,480.4,289.4,24.4,7.8,491.1,276.8,31.2,469.7,261.2,40.9,8.8
08001001017,08,001,001017,471.6,300.5,31.9,14.7,472.8,306.5,31.9,497.8,290.8,30.3,4.6,499.9,292.5,29.2,454.5,284.7,26.8,24.8
08001001018,08,001,001018,501.5,271.5,41.5,11.5,470,294.8,52.1,503.1,285.6,24,6.3,496.1,286.6,32.2,466.3,271.2,46.9,13.8
08001001019,08,001,001019,308,164,20,13,309,179,16,314,168,13,7,314,168,18,306,158,21,14
08001001020,08,001,001020,509,161,25,18,497,176,30,509,155,34,6,523,146,33,487,160,22,18
08001001021,08,001,001021,623.8,222.1,37.9,15.6,594.1,247.2,42.7,621.4,236.9,30.5,7.2,610.2,223.9,52.7,586.7,223.7,32.8,33.3
08001001022,08,001,001022,1087.2,364.9,34.7,16.7,1032.8,371.9,60.2,1054.3,377.3,27,7.4,1028.2,390.1,35.4,991.5,344.7,58.9,21.6
08001001023,08,001,001023,399.8,166.1,31.3,12.3,391.2,185.1,22.8,401.7,174.7,18,7.6,398.8,170.9,26.6,386.4,162.3,16.1,11.4
08001001024,08,001,001024,617.3,251.2,24.9,14.7,601.6,260.4,33.9,623.8,243.9,27.4,5.7,620.5,239.7,33,606,245.2,22.2,6.8
08001001025,08,001,001025,560,232,19,14,532,264,20,543,243,23,5,554,229,25,536,218,25,10
08001001026,08,001,001026,616.6,279.1,52.5,15.5,597.9,306.2,53,618.2,287.1,42.9,8.8,606.3,292.6,50.4,591.1,276.8,39.5,16.2
08001001027,08,001,001027,306.1,101.4,14.2,4.8,294.3,111.2,19.7,301.7,107.2,10.3,4.7,300.3,105.2,15.4,289.1,100.2,16.6,7.2
08001001028,08,001,001028,274.1,117.8,15.3,4.4,262.5,130.9,18.2,266.9,125.8,12.4,4.4,269.8,120.7,17.4,257.4,112.7,18.2,9.4
08001001029,08,001,001029,515.6,202.8,31.4,10.2,494.6,221,34,510.5,214.4,17,8.8,501.6,214,28.7,480.8,203,33.5,15.2
08001001030,08,001,001030,339.2,208.5,31.9,15.1,336,212.5,39.2,346.9,195.9,37,7.8,347.1,199.5,34.3,343.8,188.9,28.4,13.7
08001001031,08,001,001031,562,360,36,8,543,364,42,577,352,19,8,569,343,33,533,315,49,16
08001001032,08,001,001032,466,271,31,9,448,281,35,446,284,30,7,468,260,28,443,259,33,9
08001001033,08,001,001033,654.7,395.5,30,17,609.6,419.5,47,630.6,415.5,25,9,637.6,393.5,34,605.6,365.5,49,15
08001001034,08,001,001034,503,314,24,22,490,325,37,509,317,28,3,496,316,36,477,305,29,20
08001001035,08,001,001035,320,183,23,6,301,194,23,317,175,20,6,314,173,32,306,164,23,11
08001001036,08,001,001036,293.7,240.9,32,17,276.5,272.1,30.1,313.7,237,20.7,5.2,301.3,250,19.7,290.8,238.4,20,9.8
08001001037,08,001,001037,360.9,207.9,32.3,16.9,359.3,223.2,27.7,370.9,200.7,38.7,7.2,370.1,201.9,38.3,359.1,202.3,24.1,16.1
08001001038,08,001,001038,494.6,265.5,28.3,11.2,462.4,285.1,34.2,494.6,276.4,17.4,5.1,480.2,278.9,25,451.3,264.5,37.4,12.1
08001001039,08,001,001039,246,155.2,16,9.4,237.2,161.9,16.6,245.5,153.6,17,1.8,242.1,153.6,18.2,233.2,148.6,13.7,8.9
08001001040,08,001,001040,561.6,399.3,43.1,25.6,538.5,426.8,49.5,558.2,406.1,40.9,8.2,559.7,410.1,38.7,538.6,383.8,39.4,19.1
08001001041,08,001,001041,390,192.8,26.4,5.3,374.1,213,22,395.2,195.4,14.1,5.3,395.2,193.7,22.9,372.4,193.7,25.5,4.4
08001001042,08,001,001042,390,199,19,8,378,206,28,395,189,27,2,383,194,29,363,188,35,9
08001001043,08,001,001043,464,355,20,7,440,384,17,464,359,4,5,452,361,17,416,355,25,7
08001001044,08,001,001044,473,243,20,6,431,269,27,451,264,14,2,454,254,21,428,237,19,8
08001001045,08,001,001045,343,274.4,14.5,7.1,326.5,289.4,18.4,340.1,282.4,7,1,336.8,278.3,7.3,316.4,270.6,18.4,5.3
08001001046,08,001,001046,281,303.4,10.3,2.8,255.7,322.2,9.4,267.9,320.3,1.9,0.9,277.2,302.5,6.6,251,305.3,10.3,5.6
08001001047,08,001,001047,525.4,406.6,18.2,9.1,480.2,439.9,20.2,492.3,437.8,13.1,3,500.3,417.7,16.1,467,393.6,36.2,12.1
08001001048,08,001,001048,434.5,366,13.1,2.4,385.8,405.8,12.3,396.7,397.9,7.2,0.1,403.6,387.4,7.4,370.8,360.2,22.4,6.3
08001001049,08,001,001049,621.8,442.2,25.7,10.7,567.3,482.4,28.8,593.4,466.2,15.4,3.4,580.6,465.9,24.4,551.9,414,33,13.9
08001001050,08,001,001050,380.1,295.1,15.7,5.5,354.2,311.7,18.4,370.8,302.6,10.2,0,363.4,303.5,10.1,342.2,297,15.7,5.5
08001001051,08,001,001051,643,526.6,42.7,12.3,604.5,562.5,45.5,649.7,514.8,44.3,6.8,638.2,520.9,51.5,594.6,499,53,24.1
08001001052,08,001,001052,663.7,393.1,45.1,20.6,645.9,421.6,47.1,671.9,397.2,34.4,10,668.4,398.5,38.5,651.9,365,42.5,24
08001001053,08,001,001053,475.9,421,19.2,10.4,454.4,439.4,26.6,476.3,417.6,23.3,2.4,483.8,407.2,23.3,443.5,392.3,26.4,9.8
08001001054,08,001,001054,301.9,217.6,12.6,4.8,278.2,235.7,11.9,280.7,238,9.5,1.6,283.8,236.4,5.6,261.7,223.8,17.4,1.6
08001001055,08,001,001055,360.9,328.3,18.8,2.5,329.6,350.5,11.4,350.1,328.8,10.6,3.9,351.8,323.3,9.9,324.1,307.9,17.2,1.5
08001001056,08,001,001056,539.6,387.8,46.1,8.1,511.6,397.7,54.2,524.3,410.4,27.1,0,521.6,402.2,31.6,489,376.9,52.4,7.2
08001001057,08,001,001057,466,301.5,8.1,3,431.8,320.6,17.2,438.9,311.6,7.1,5,429.9,315.6,14.1,422.7,295.4,17.2,5
08001001058,08,001,001058,617.1,255.2,23.9,4,575.2,266.2,35.9,570.3,285.1,17,2,574.2,264.2,24.9,538.4,239.3,46.9,7
08001001059,08,001,001059,776.7,561.2,35,9.6,720.4,591.4,43.6,736.3,592.4,20.9,7.4,722.7,585.4,33.9,674.3,539,64,16
08001001060,08,001,001060,181.7,175.9,13.2,0.5,170,177.8,16.6,172.3,180.7,9.2,2.7,166.1,183.5,12.2,156.1,174,16.2,3.1
08001001061,08,001,001061,563,376.2,30,8.3,541.8,393.3,34.6,554,385.9,20.1,9.7,564,374.8,26.7,518.9,361,33.5,10.5
08001001062,08,001,001062,454.4,450.5,19.5,3.7,423.3,452.5,28.7,439.4,449.7,10.2,9.2,430.3,455.7,18.7,416.1,415.1,32.4,11.2
08001001063,08,001,001063,574.9,463.6,27.8,7.5,545.7,472.9,34.7,545.4,469.4,17.9,9.9,537.3,476.9,25.7,525.5,442.3,36.1,8.4
08001001064,08,001,001064,461,248.3,35.6,7.1,450,249.9,35.6,461.8,243.6,22.1,8.7,447.6,254.6,26.1,434.9,228.5,37.2,11.1
08001001065,08,001,001065,500.5,298.9,28.8,7.9,473.7,317.8,31.8,479.7,326.7,11.9,7,473.7,321.8,26.8,458.8,295,42.7,11.9
08001001066,08,001,001066,113.5,90.1,4.2,1.1,105.3,89.2,10.2,105.3,88.3,7.1,2,105.3,87.2,8.2,107.2,82,9.3,5.1
08001001067,08,001,001067,231,202,14,6,219,205,13,229,190,15,5,222,201,15,217,174,25,9
08001001068,08,001,001068,551,375,19,9,510,389,35,525,385,17,8,517,378,28,497,348,31,16
08001001069,08,001,001069,428.7,493.5,22.9,6,386.8,515.4,18.9,400.8,508.4,13,4,386.8,514.4,14.9,369.9,479.5,39.9,6
08001001070,08,001,001070,347.9,402.1,17,6,326.8,410.1,21,336.9,392.1,19,2,339.8,391.1,22,291.8,381,32.1,9
08001001071,08,001,001071,282.9,321.5,12.9,6.9,255.2,320.5,24.7,283.9,306.7,11.9,2,269.1,311.6,12.9,250.3,274,37.6,11.9
08001001072,08,001,001072,172.8,208.9,9.9,3.4,158.3,212.7,14.2,175,206.2,4.7,1.1,175.4,201.4,7.7,163.5,192.7,13.5,4.6
08001001073,08,001,001073,606.2,629.6,25.4,9.8,568.1,652.7,31.3,611.4,612.8,19.5,3.9,599.5,615.4,18.8,576,575.4,36.4,14.6
08001001074,08,001,001074,366.1,439.7,20.6,9.8,344.5,437.7,28.5,368.1,431.9,16.7,1,339.6,429.9,27.5,324.9,409.3,30.4,11.8
08001001075,08,001,001075,193,224,14,2,184,224,15,199,217,10,2,181,223,19,196,201,9,5
08001001076,08,001,001076,492,389,22,14,459,411,31,470,400,14,10,465,396,21,446,362,37,12
08001001077,08,001,001077,341,292,19,4,311,310,25,339,294,16,2,314,309,18,312,276,20,13
08001001078,08,001,001078,202,193,21,4,197,198,18,192,205,11,4,192,206,13,188,190,21,2
08001001079,08,001,001079,315,333,16,3,279,357,16,303,327,14,5,291,335,20,280,317,28,4
08001001080,08,001,001080,364.7,374,32.4,3.7,336,402.7,23.1,367.5,374.9,10.2,3.7,349,381.4,21.3,337.9,352.7,28.7,6.5
08001001081,08,001,001081,491.2,391.6,20.2,7.5,471,402.2,19,491.6,384.3,13.1,1.7,477.2,386.7,19,462.2,355.7,23.1,9.6
08001001082,08,001,001082,406,336,15,14,383,362,17,397,346,12,4,398,339,18,381,319,22,11
08001001083,08,001,001083,398.1,338.5,17.4,12.8,377,353.2,23.9,399.9,334.8,14.7,4.6,401.8,333.9,13.8,366.9,325.6,20.2,11.9
08001001084,08,001,001084,256,280,12,4,233,290,14,244,291,6,1,245,284,10,229,259,22,6
08001001085,08,001,001085,516.5,466.3,30.8,9.4,484.2,474,34.8,509.6,463.6,24.3,1.7,492.5,461,30.6,460,430.9,35.8,17.6
08001001086,08,001,001086,391.9,397.7,27.2,6.8,360.8,426.9,24.3,383.1,410.4,17.5,3.9,377.3,409.4,23.3,355.9,382.2,36,14.6
08001001087,08,001,001087,450.9,255.1,33.8,14,435.8,258.1,46.5,458.8,245.1,25.4,6.2,441.6,255.4,35.4,424.4,233.7,44.6,13.2
08001001088,08,001,001088,516.3,433.5,23,9.2,472.1,464.8,32.2,494.2,457.4,16.6,4.6,518.2,432.6,14.7,475.8,406.8,35,13.8
08001001089,08,001,001089,490.6,350.6,37.7,16.2,455.1,395.2,38.1,491.1,364.7,22.6,8.2,498.3,350.3,30,450.9,347.3,44.7,12.5
08001001090,08,001,001090,699.6,317.4,56.3,25.5,679.4,341.5,62.2,710.1,326.6,35.5,14.7,703.1,328.8,52.7,679.7,293,50.9,32.8
08001001091,08,001,001091,92,47.6,7.2,3.6,92.7,47.6,6.6,95.4,46.2,5.4,1.6,93.2,47.8,7.2,90.2,43.8,5.2,5.4
08001001092,08,001,001092,536.5,436.3,40.5,16.3,513.7,453.3,48.3,543.7,427.8,38.9,3.5,529.9,432.3,45.6,502.8,403,45.9,21.9
08001001093,08,001,001093,484.3,380.3,29.7,17.8,467.4,390.2,39.6,487.3,377.3,28.7,5.9,474.4,373.4,44.6,450.6,371.4,39.6,11.9
08001001094,08,001,001094,446.5,400,36.4,12.8,437.6,411.8,31.6,460.2,398,26.6,6.9,450.4,393.1,37.5,431.6,367.5,45.3,11.8
08001001095,08,001,001095,450.6,383.4,33,21,441.6,390.4,41,463.6,360.4,39,8,459.6,360.4,48,452.6,352.4,30,18
08001001096,08,001,001096,370,321,36,22,358,337,44,401,310,25,12,399,306,38,376,293,38,15
08001001097,08,001,001097,408.3,353,35.1,15.1,390.2,370,36.1,427.3,341,28.1,8,412.2,335,48.1,402.2,318,39.1,14
08001001098,08,001,001098,340.3,251.9,25.8,13.3,330.1,262.9,32.9,350.5,239.4,26.6,5.5,334,248.8,33.6,330.9,235.5,30.5,6.3
08001001099,08,001,001099,281.4,213.8,17.6,10.2,283.2,211,22.2,294.3,201.8,12,9.2,290.6,208.2,13.9,274.9,193.4,23.1,8.3
08001001100,08,001,001100,522.5,321.7,33.5,12.6,488.1,339.3,42.6,524.4,320,20.2,8.4,515.8,320.8,38.4,466.9,320,34.4,18.6
