GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDBLU,G16USSRCAR,G16USSLLIO,G16USSGRUS,G16USSOWRI
0900101-001,09,001,01-001,714.51,488.67,30.18,25.31,2.92,733.98,466.28,12.65,14.6,0
0900101-002,09,001,01-002,1041.02,1075.02,65,22,5,1131.02,1009.02,21,11,0
0900101-003,09,001,01-003,1517,1687,125,52,12,1568,1710,21,30,0
0900101-004,09,001,01-004,1323.49,1095.33,83.82,41.69,4.08,1332.02,1099.72,25.35,31.4,0
0900101-005,09,001,01-005,177.71,224.84,13.75,10.8,0,203.24,224.84,0.98,1.96,0
0900101-006,09,001,01-006,3.27,4.14,0.25,0.2,0,3.74,4.14,0.02,0.04,0
0900101-007,09,001,01-007,316,60,8,0,0,306,43,4,2,0
0900101-008,09,001,01-008,1991,315,23,19,0,1889,209,19,15,0
0900101-009,09,001,01-009,2039.3,120.07,15.15,14.21,0,1933.89,72.03,9.06,11.68,0
0900101-010,09,001,01-010,1491.37,171.64,11.56,22.23,0,1406.88,120.95,10.67,16.9,0
0900101-011,09,001,01-011,616.21,146.59,7.84,16.82,0,618.64,102.32,4.03,12.77,0
0900101-012,09,001,01-012,1457.27,225.11,17.12,20.36,0,1432.02,143.66,3.19,23.18,0
0900101-013,09,001,01-013,1323,342,28,25,0,1355,248,13,12,0
0900101-014,09,001,01-014,582,117,5,9,0,586,74,6,6,0
0900101-015,09,001,01-015,1200.52,347.3,15.03,30.82,0,1234.34,224.02,12.78,21.05,0
0900101-016,09,001,01-016,1877.29,155.09,13.07,23.05,0.01,1821.51,112.9,9.02,16.02,0
0900101-017,09,001,01-017,2958,1020,53,58,0,3067,730,28,38,0
0900101-018,09,001,01-018,156,36,2,3,0,150,27,5,1,0
0900101-019,09,001,01-019,2105,937,39,38,0,2266,623,26,32,0
0900101-020,09,001,01-020,2177.84,229.48,18.55,13.91,0,2051.68,177.14,16.4,21.84,0
0900101-021,09,001,01-021,1792.16,197.52,14.45,24.09,0,1682.32,135.86,10.6,22.16,0
0900101-022,09,001,01-022,1665,798,59,61,8,1781,630,33,53,0
0900101-023,09,001,01-023,1779,537,32,33,3,1809,400,20,18,0
0900101-024,09,001,01-024,381.35,66.7,0.51,5.6,0,364.04,40.22,2.04,4.07,0
0900101-025,09,001,01-025,367.65,64.3,0.49,5.4,0,350.96,38.78,1.96,3.93,0
0900101-026,09,001,01-026,1067.5,155.55,9.82,13.42,0.06,1017.16,129.15,5.33,9.42,0
0900101-028,09,001,01-028,1066,104,6,7,0,973,85,5,13,0
0900101-029,09,001,01-029,324.69,35.63,2.51,3.01,0,295.59,29.11,2.01,4.01,0
0900101-030,09,001,01-030,350.76,39.21,2.73,3.33,0,320.44,32.1,2.13,4.22,0
0900101-031,09,001,01-031,539.75,80.07,6.82,7.64,0,487.32,67.59,2.11,6.67,0
0900101-032,09,001,01-032,1439.25,231.93,30.18,23.36,0,1356.68,189.41,20.89,19.33,0
0900101-033,09,001,01-033,995.34,79.3,8.29,10.56,0,918.22,55.03,8.27,9.42,0
0900101-034,09,001,01-034,1576,1985,100,44,0,1816,1703,37,48,0
0900101-035,09,001,01-035,2621.96,2967.58,177.78,58.6,8.94,2910.97,2706.38,59.59,43.7,0
0900101-036,09,001,01-036,221,75,11,4,0,215,52,3,2,0
0900101-037,09,001,01-037,149,87,4,5,1,172,58,4,3,0
0900101-038,09,001,01-038,1910,1824,122,50,1,2235,1610,34,24,0
0900101-039,09,001,01-039,520,433,27,9,0,575,343,15,11,0
0900101-040,09,001,01-040,942,690,40,17,0,1049,537,18,11,0
0900101-041,09,001,01-041,654,752,33,21,0,779,621,14,10,0
0900101-042,09,001,01-042,215,271,21,9,0,267,200,7,1,0
0900101-043,09,001,01-043,2300,2116,113,59,0,2569,1792,48,57,0
0900101-044,09,001,01-044,935,567,35,29,0,991,480,14,18,0
0900101-045,09,001,01-045,1375.15,730.86,54.15,28.51,0.52,1858.77,565.67,22.74,32.16,0
0900101-046,09,001,01-046,639.37,489.42,37,12.03,0.05,569.2,450.77,35.62,14.91,0
0900101-047,09,001,01-047,258,96,6,7,0,235,89,4,6,0
0900101-048,09,001,01-048,1090.85,485.14,34.85,24.49,8.48,1052.23,108.33,28.26,18.84,0
0900101-049,09,001,01-049,1019.76,811.75,41.1,31.4,0,1082.3,738.37,15.4,20.52,0
0900101-050,09,001,01-050,1145.97,399.82,34.98,23.22,0,1103.94,341.8,23.06,25.41,0
0900101-051,09,001,01-051,554.73,409.18,36.55,8.97,0.01,567.69,382.87,10.92,6.06,0
0900101-052,09,001,01-052,216,124,6,4,0,214,103,3,4,0
0900101-053,09,001,01-053,190.22,85.39,5.92,3.38,0,176.7,66.79,2.54,5.07,0
0900101-054,09,001,01-054,1734.17,1169.02,85.69,32.84,0,850.69,988.11,35.83,31.82,0
0900101-055,09,001,01-055,942.93,859.63,128.5,9.98,9.67,681.41,1275.95,13.62,7.86,0
0900101-056,09,001,01-056,923.32,725.61,108.11,16.56,0,726.58,990.52,14.61,5.84,0
0900101-057,09,001,01-057,966.33,720.57,86.51,10.81,2.95,826.74,937.82,15.73,6.88,0
0900101-058,09,001,01-058,1017.17,744.49,83.01,12.31,10,861.51,982.42,11.27,11.11,0
0900101-059,09,001,01-059,1164.34,803.59,101.14,19.96,0.14,1020.11,949.75,24.01,20.92,0
0900101-060,09,001,01-060,903.73,752.78,76.37,10.07,9.18,789.48,931.3,16.37,8.22,0
0900101-061,09,001,01-061,2199.37,2127.49,126.79,55.91,8.99,2307.19,2087.55,39.93,38.94,0
0900101-062,09,001,01-062,1938.2,1447.91,165.06,35.02,10,1761.28,1776.86,27.02,22.01,0
0900101-063,09,001,01-063,1601.77,1210.31,84.64,26.91,3.99,1700.28,1151.64,25.89,15.96,0
0900101-064,09,001,01-064,1967.66,1532.3,100.51,35.16,3.02,2167.26,1379.94,28.16,18.1,0
0900101-065,09,001,01-065,2133.22,1078.79,112.06,41.03,8,2217.33,1079.69,29.02,22.01,0
0900101-066,09,001,01-066,1645.78,1066.21,79.94,33.97,5,1792.67,930.31,28.98,17.99,0
0900101-067,09,001,01-067,1475.04,924.61,67.94,49.23,3.94,1617.82,729.64,29.54,42.34,0
0900101-068,09,001,01-068,1437,940,63,28,9,1404,925,25,12,0
0900101-069,09,001,01-069,1850.73,1356.13,104.15,33.26,3.25,1861.2,1391.96,29.11,37.03,0
0900101-070,09,001,01-070,2019.21,1243.16,96,36.29,8,2022.37,1304.33,14.35,25.41,0
0900101-071,09,001,01-071,1953.05,1301.71,110.85,28.45,12.75,1882.43,1455.72,23.54,22.56,0
0900101-072,09,001,01-072,1340.18,710.35,59.59,17.12,6.01,1285.23,758.41,28.93,28.93,0
0900101-073,09,001,01-073,250,168,3,2,0,252,172,0,2,0
0900101-074,09,001,01-074,1033.86,794.67,94.89,22.73,4.94,1000.26,923.16,13.84,13.84,0
