GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
1100102-001,11,001,02-001,6901,349,49,47,11,7,44,5835,212,147,124,140,92,89,54,37,1921,318,114,156,971,673,696,636,208,188,126,87,77,98,63,78,48,79,36,41,88,38,33,27,31,3355,411,345,34,3205,315,324,60
1100102-002,11,001,02-002,358.04,32.46,2.95,2.95,1.97,0,5.9,289.19,18.69,6.89,13.77,11.8,10.82,7.87,4.92,4.92,158.36,33.44,13.77,20.66,86.56,17.71,70.82,54.1,33.44,19.67,14.75,13.77,2.95,19.67,6.89,7.87,2.95,1.97,1.97,2.95,2.95,7.87,0.98,3.93,3.93,267.55,45.25,48.2,2.95,285.25,26.56,36.39,8.85
1100102-003,11,001,02-003,1447.46,232.98,10.91,6.94,4.96,1.98,19.83,1226.37,101.12,28.75,34.7,63.45,49.57,18.84,18.84,14.87,625.58,215.14,56.51,85.26,426.31,120.95,254.79,340.05,65.43,74.36,25.78,24.79,42.63,35.69,13.88,23.79,17.85,15.86,5.95,17.85,8.92,14.87,10.91,5.95,14.87,1033.05,254.79,158.63,19.83,994.38,125.91,168.54,36.68
1100102-004,11,001,02-004,2003.37,259.78,24.24,9.74,2.96,0.02,31.11,1671.73,146.69,35.05,49.67,64.32,73.84,36.92,22.4,10.8,882.95,281.83,77.8,77.17,601.57,105.36,369.54,475.98,87.84,128.18,48.65,37.06,52.44,43.99,21.43,31.17,33.93,25.22,6.83,19.47,21.33,18.57,24.21,13.61,13.68,1515.61,343.08,173.65,18.52,1481.86,118.08,259.35,31.28
1100102-005,11,001,02-005,2282.32,356.66,27.9,12.36,4.11,2,43.15,1933.03,197.43,60.29,40.84,64.4,79.74,60.36,20.83,28.4,858.8,353.46,92.89,109.87,692.32,203.91,304.74,836.57,69.26,118.75,52.8,20.38,67.95,47.63,12.8,30.16,30.26,27.94,1.26,28.72,11.79,14.69,20.9,14.5,20.51,1659.21,444.72,157.47,28.69,1534.96,145.4,295.61,53.16
1100102-006,11,001,02-006,2185,350,32,7,1,7,32,1815,161,45,51,72,89,47,22,24,809,346,73,82,584,207,373,708,88,108,57,38,55,53,23,37,37,25,9,25,13,21,20,16,24,1553,458,169,24,1487,162,304,50
1100102-007,11,001,02-007,1334,218,18,6,4,1,17,1100,103,23,29,57,56,31,25,12,481,213,56,55,391,120,254,446,46,82,35,21,46,39,19,37,22,14,8,17,7,22,10,1,11,987,285,107,18,881,110,203,34
1100102-008,11,001,02-008,2757,372,33,4,2,4,60,2356,207,52,43,116,113,41,32,47,895,431,87,89,858,301,604,1132,117,147,60,28,162,31,7,37,46,34,5,21,15,19,11,9,27,1998,546,203,45,1753,188,403,66
1100102-009,11,001,02-009,1509.83,318.89,13.54,2.65,0.73,2.16,37.43,1289.67,127.06,20.71,13.11,74.72,65.15,27,13.14,26.05,478.64,337.19,33.46,46.37,452.15,168.65,240.06,769.09,45.52,51.63,39.4,21.17,48.39,21.17,8.3,24.06,18.54,11,3.73,14.36,10.35,5.43,8.11,12.6,12.54,1036.96,401.04,96.97,17.9,883.53,98.89,272.62,47.28
1100102-010,11,001,02-010,1819.66,230.25,13.05,5.59,4.66,1.86,29.83,1556.78,96.02,31.69,33.56,67.12,62.46,28.9,18.64,11.19,645.08,255.42,38.22,66.19,556.53,165,327.2,704.75,44.75,102.54,49.41,24.24,68.05,46.61,16.78,29.83,27.03,13.98,4.66,6.53,12.12,10.25,7.46,13.98,7.46,1385.25,304.83,117.46,13.98,1180.17,127.71,239.58,31.69
1100102-011,11,001,02-011,3407,326,38,23,10,10,46,2855,181,83,110,120,89,62,39,33,1369,370,87,158,980,211,934,850,207,219,120,89,89,92,40,63,36,33,10,32,18,29,9,10,18,2575,459,433,26,2455,301,387,60
1100102-012,11,001,02-012,646.81,104.13,6.01,1,0,3,11.02,539.69,47.07,5.02,7.01,42.02,32.03,9.02,4.01,8.01,211.3,121.13,27.03,21.04,185.25,45.07,117.11,296.3,19.02,47.04,16.02,10.01,20.02,11.02,4,12.01,4.01,11.01,4,7.01,1,4.01,5.01,2.01,9.01,479.59,156.16,33.06,5.01,427.54,34.05,108.1,12.02
