GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10001001-28,10,001,001-28,424.7,134.1,10.3,5.6,430.3,135,420,148.1,405,151.9,15.9,418.1,144.4
10001001-29,10,001,001-29,2216.7,2073.2,40.5,44.2,2320.2,1922.2,2208.7,2101.2,1937.7,2312.5,79.2,2127.3,2164.8
10001001-30,10,001,001-30,813.9,1148.4,18.2,19.1,906.3,1004,885.8,1078.2,728.8,1225.4,28.5,825.5,1141.5
10001001-31,10,001,001-31,47.7,59.2,1,0.8,51,53.9,50,57.3,38.2,68.1,2,46.2,60.5
10001001-32,10,001,001-32,997.2,408.2,13.7,23.4,1026.6,370.8,1000.1,421.9,925.3,457.7,28.2,982.6,425
10001001-33,10,001,001-33,171,152,2,3,174,145,177,144,149,171,4,164,159
10001001-34,10,001,001-34,203.8,155.7,4,4.2,216.1,133.9,201.7,156,171.9,182.6,5,193.8,163.3
10001002-28,10,001,002-28,735.2,492.9,14.5,14,758,458.4,736.1,502.6,626.2,582.3,27.5,720.3,510
10001002-29,10,001,002-29,2101.6,1264.7,34.9,38.8,2185.9,1156.3,2101.3,1295.6,1908.5,1447.9,48.1,2070.1,1315.1
10001002-30,10,001,002-30,112.1,122.5,2.2,1,120.6,111.1,116.3,119.9,102.2,131.9,2.1,109.3,124.5
10001002-31,10,001,002-31,804.8,432.2,9.8,15.2,845.6,383.4,782.1,457.2,718.9,513.1,13,769.5,473.5
10001002-32,10,001,002-32,626.8,389.9,15.6,16.7,666.2,348.8,638.6,389.2,548.2,457.1,29.4,619,409.8
10001002-33,10,001,002-33,926.3,835,11.8,18.9,979.9,755.9,935,841.9,791.2,957.3,24.7,887.5,875.6
10001002-34,10,001,002-34,76.5,171.8,0.7,4.7,91.3,153.2,83.2,168.2,57.2,194.3,1.9,71.9,180.4
10001003-28,10,001,003-28,224.4,157.5,4.2,6.2,228.8,150.1,226.3,160.5,191.7,186.7,10,215.8,170.3
10001003-29,10,001,003-29,301.1,354.8,5.4,5.1,318.4,325.5,308.9,346,247.9,400.5,12.8,291.6,362.7
10001003-30,10,001,003-30,374.6,893.3,10.8,12.8,431.5,803.8,424.8,845.1,282.2,965.9,31.6,356.1,917.8
10001003-31,10,001,003-31,1136,643,12,20,1162,592,1105,679,954,810,24,1090,682
10001003-32,10,001,003-32,500.8,335.1,10.7,16.2,535.4,295.3,508.3,340.5,432,398.2,15,495.5,353.1
10001003-33,10,001,003-33,517.2,647.3,4.9,9.8,574.9,552.4,560.3,603.3,428.3,728.4,14.7,506.5,653.1
10001003-34,10,001,003-34,1005.6,1093.4,25.2,22.1,1074.4,1001.6,1045.1,1075.2,863,1228.9,29.4,982.9,1134
