GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20USSDCOO,G20USSRWIT,G20USSLFRO,G20USSITUR,G20HALDROC,G20HALRMUR,G20HALLROG,G20HALIPUR,G20GOVDCAR,G20GOVRMUR,G20GOVLMAC,G20GOVIDEM,G20LTGDHAL,G20LTGRHAL,G20INSDNAV,G20INSRPIL
10001001-28,10,001,001-28,606.6,275.64,2.81,11.25,587.85,250.33,12.19,21.56,582.23,252.2,13.13,18.75,593.48,255.02,8.44,23.44,584.1,271.89,592.54,256.89
10001001-29,10,001,001-29,3030.15,3438.87,72.36,28.5,3035.7,3203.87,72.12,111.42,2987.47,3262.81,49.04,78.85,3068.37,3263.64,44.1,72.66,3095.55,3256.12,3051.64,3267.35
10001001-30,10,001,001-30,1218.42,1812.92,42.1,10.58,1225.12,1710.56,31.81,54.22,1195.55,1735.09,33.87,43.26,1241.91,1734.25,17.01,45.62,1208.17,1782.39,1169.54,1811.13
10001001-31,10,001,001-31,64.61,88.15,2.81,0.38,63.39,84.77,1.59,3.19,63.86,85.52,1.03,2.44,65.17,85.62,1.03,1.88,63.3,88.24,58.89,92.27
10001001-32,10,001,001-32,1584.75,663.36,23.1,17.76,1471.87,634.28,28.7,49.59,1477.5,629.91,25.95,48.93,1511.79,626.56,26.79,42.39,1406.48,746.53,1426.38,718.71
10001001-33,10,001,001-33,228,235,4,2,230,223,5,4,221,226,4,11,229,228,3,5,228,231,219,238
10001001-34,10,001,001-34,252.39,184.25,7.39,5.51,254.98,177.41,4.29,8.9,246.65,182.81,4.73,5.25,247.86,188.62,4.68,5.78,237.49,205.29,237.46,202.24
10001002-28,10,001,002-28,1036.31,784.04,31.55,7.2,1006.32,747.85,22.46,36.73,1000.11,743.09,21.21,30.94,1019.76,749.44,20.87,26.07,1029.38,752.25,1020.3,756.57
10001002-29,10,001,002-29,3092.27,1973.85,55.52,19.35,3022.5,1841.95,60.44,90.56,2969.43,1904.99,42.9,69.27,3059.82,1879.21,33.07,60.35,2977.52,1989.15,2993.42,1957
10001002-30,10,001,002-30,163.11,194.12,2.1,1.26,163.37,180.99,2.1,5.6,154.7,193.17,1.68,4.48,165.45,183.09,3.37,5.04,155.67,195.56,146.45,204.77
10001002-31,10,001,002-31,1129.73,563.4,19.26,13.01,1108.05,526.37,14.14,25.69,1103.43,538.38,11,25.14,1106.15,557.93,9.31,23.18,1045.12,618.99,1042.59,624.15
10001002-32,10,001,002-32,926.32,531.13,22.25,10.85,880.78,497.93,23.3,38.48,875.73,523.6,10.09,30.59,894.58,523.17,10.44,26.68,841.95,598.84,839.94,591.63
10001002-33,10,001,002-33,1322.42,1214.41,32.57,15.47,1304.21,1157.22,36.14,41.79,1278.86,1188.26,24.27,39.24,1324.35,1183.14,19.52,26.2,1257.7,1256.79,1209.97,1293.91
10001002-34,10,001,002-34,100.96,247.39,6.76,1.59,97.56,241.96,6.68,3.96,94.53,240.11,4.7,4.74,105.29,238.99,3.69,1.38,107.24,235.93,98.08,243.1
10001003-28,10,001,003-28,302.29,260.22,7.9,3.19,303.49,243.15,5.38,9.71,295.91,244.64,6.56,8.68,304.04,245.99,4.6,7.36,306.7,249.03,300.3,248.55
10001003-29,10,001,003-29,422.21,551.65,15.02,4.68,422.22,525.59,10.28,17.49,418.52,531.43,6.85,15.08,434.27,527.63,6.35,12,422.3,543.61,399.2,564.07
10001003-30,10,001,003-30,469.79,1410.38,27.49,7.87,484.54,1347.33,24.56,32.56,468.41,1363.46,17.56,26.62,498.48,1361.27,17.43,19.75,514.16,1361.02,485.97,1382.21
10001003-31,10,001,003-31,1602,868,22,13,1602,796,31,37,1556,848,27,26,1605,828,22,29,1528,917,1493,958
10001003-32,10,001,003-32,685.26,400.73,15.13,6.91,662.98,396.48,15.45,19.21,657.34,393.51,11.15,15.73,661.91,401.25,12.73,19.93,626.43,455.55,628.02,443.84
10001003-33,10,001,003-33,694.21,849.68,17.6,6.84,689.32,802.74,16.62,21.51,654.12,828.16,19.56,22.49,692.26,815.45,11.73,13.69,661.94,846.74,615.01,884.87
10001003-34,10,001,003-34,1425.53,1612.5,35.62,17.12,1420.58,1519.14,33.25,49.87,1363.28,1588.51,22.67,41.7,1441.5,1526.66,21.43,47.67,1369.39,1616.42,1329.35,1650.41
10001004-28,10,001,004-28,37.58,46.23,0.3,0.3,37.58,41.46,1.19,2.09,37.28,43.84,0.3,0.89,40.26,42.35,0.3,0.6,41.16,40.56,39.07,43.54
10001004-29,10,001,004-29,356.42,486.26,15.52,2.07,349.69,467.63,8.79,17.59,352.28,471.77,5.69,13.45,359.52,472.29,5.69,10.35,349.17,486.77,324.86,509.02
10001004-30,10,001,004-30,231.72,591.88,4.39,3.85,247.97,551.87,4.46,14.44,233.81,568.69,8.21,7.41,241.72,567.1,2.03,8.57,254.06,560.65,234.21,575.2
