GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16USSRISA,G16USSDBAR,G16USSLBUC,G16PSCRECH,G16PSCLHOS
13001000002,13,001,000002,419.2,721.2,9.8,436.4,564.8,27.3,533.6,334.6
1300100001B,13,001,00001B,684.9,92,9,635.9,81,14,654.9,62
1300100001C,13,001,00001C,497.4,51.7,5.1,457,52.5,13.3,467.2,45.3
1300100003C,13,001,00003C,777.4,263.1,15.2,750.7,211.7,26.4,791.2,137.2
1300100004B,13,001,00004B,567,21,1,535.9,13,11,546.9,15
1300100004D,13,001,00004D,905.5,92.9,12,830.7,90.9,19,866.7,68.9
1300100005A,13,001,00005A,530,68,12,492,54,18,512,47
1300100005B,13,001,00005B,583,103,8,541,92,13,553,66
130010003A1,13,001,0003A1,473.6,19.5,5,439,24.4,10.4,441.7,25.5
13003000001,13,003,000001,850,136,6,758,117,24,763,106
13003000002,13,003,000002,380.2,29.4,4.2,325.7,34.3,11.2,333.9,26.4
13003000003,13,003,000003,489,257,16,445,226,16,487,143
13003000004,13,003,000004,164,275,9,154,219,14,198,123
130050DOUGL,13,005,0DOUGL,3365.5,608,47,3047.4,474.1,95,3107.4,352
1300700000A,13,007,00000A,62.1,27.2,0,60.5,14.5,2.5,56.2,10.2
1300700000E,13,007,00000E,134.8,137.8,4,129.6,109.5,6.4,142.8,67.8
1300700000H,13,007,00000H,92.2,105.9,3,93.2,88.8,2,108.4,58.5
1300700000M,13,007,00000M,133,74,2,130,64,2,137,38
1300700000N,13,007,00000N,360.4,313.1,6.2,357.5,261,16.4,380.5,171.4
13009000318,13,009,000318,1535.9,585.9,47.4,1529.4,486,53.2,1606.6,326.6
13009000319,13,009,000319,608.4,540.7,31.1,619.5,454.5,35.1,657.8,304.8
13009000322,13,009,000322,682,273,17,627,243,23,664,176
13009001714,13,009,001714,384.4,218.1,8,355.6,200.2,18.9,389.4,121.5
1300900321E,13,009,00321E,110.5,529.8,9,119.5,464.1,11.9,174.3,236
1300900321W,13,009,00321W,365.3,1334.4,24,410.2,1124.8,33.9,576.9,617.8
