GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRREY,G18GOVDHUB,G18GOVLPOR,G18GOVOSIE,G18GOVOWRI,G18ATGDMIL,G18ATGLBAT,G18ATGOWRI,G18SOSRPAT,G18SOSDDEJ,G18SOSLOFE,G18SOSOWRI,G18TRERDAV,G18TREDFIT,G18TRELHIR,G18TREOWRI,G18AUDRMOS,G18AUDDSAN,G18AUDLPER,G18AUDOWRI,G18AGRRNAI,G18AGRDGAN,G18AGRLSTE,G18AGROWRI
19001001001,19,001,001001,125.42,42.88,2.23,0.99,0,113.28,38.42,0.99,127.9,37.18,3.72,0,89.48,74.61,4.71,0,104.85,58.5,4.21,0,118.48,44.87,3.72,0
19001001002,19,001,001002,80.09,27.38,1.42,0.63,0,72.33,24.53,0.63,81.67,23.74,2.37,0,57.14,47.64,3.01,0,66.95,37.35,2.69,0,75.65,28.65,2.37,0
19001001003,19,001,001003,68.54,23.43,1.22,0.54,0,61.91,21,0.54,69.9,20.32,2.03,0,48.9,40.77,2.57,0,57.3,31.97,2.3,0,64.75,24.52,2.03,0
19001001004,19,001,001004,9.89,3.38,0.18,0.08,0,8.93,3.03,0.08,10.08,2.93,0.29,0,7.05,5.88,0.37,0,8.27,4.61,0.33,0,9.34,3.54,0.29,0
19001001005,19,001,001005,84.69,46.31,1.42,0.77,0,89.66,24.47,1.39,84.59,42.06,2.57,0,61.51,65.76,2.25,0,69.08,57.31,2.95,0,80.4,44.29,3.96,0
19001001006,19,001,001006,100.31,60.75,1.65,0.94,0,110.67,28.49,1.88,99.61,55.57,3.06,0,73.23,83.12,2.35,0,81.24,73.94,3.53,0,95.37,57.22,5.18,0
19001001007,19,001,001007,108.21,65.54,1.78,1.02,0,119.39,30.74,2.03,107.45,59.95,3.3,0,79,89.67,2.54,0,87.64,79.76,3.81,0,102.88,61.73,5.59,0
19001001008,19,001,001008,41.07,24.88,0.67,0.39,0,45.32,11.67,0.77,40.78,22.75,1.25,0,29.99,34.03,0.96,0,33.26,30.27,1.45,0,39.05,23.43,2.12,0
19001001009,19,001,001009,89.78,54.37,1.48,0.84,0,99.05,25.5,1.69,89.15,49.74,2.74,0,65.54,74.4,2.11,0,72.71,66.18,3.16,0,85.36,51.21,4.64,0
19001001010,19,001,001010,68.83,23.53,1.22,0.54,0,62.17,21.09,0.54,70.19,20.41,2.04,0,49.11,40.95,2.58,0,57.54,32.1,2.31,0,65.03,24.62,2.04,0
19001001011,19,001,001011,79.42,27.16,1.41,0.63,0,71.73,24.33,0.63,80.99,23.54,2.35,0,56.66,47.25,2.98,0,66.4,37.04,2.67,0,75.03,28.41,2.35,0
