GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOFUE,G20PREOKIN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSRERN,G20USSDGRE,G20USSLSTE,G20USSOHER,G20USSOWRI
19001001001,19,001,001001,155.67,53.29,1.74,0,0,0.5,0,0,0,0.25,151.95,52.55,3.72,1.49,0
19001001002,19,001,001002,99.4,34.03,1.11,0,0,0.32,0,0,0,0.16,97.02,33.55,2.37,0.95,0
19001001003,19,001,001003,85.07,29.12,0.95,0,0,0.27,0,0,0,0.14,83.04,28.72,2.03,0.81,0
19001001004,19,001,001004,12.27,4.2,0.14,0,0,0.04,0,0,0,0.02,11.98,4.14,0.29,0.12,0
19001001005,19,001,001005,114.26,46.64,1.81,0,0.46,0.07,0,0.31,0,0.19,108.45,47.77,3.8,1.77,0.31
19001001006,19,001,001006,138.46,58.87,2.35,0,0.71,0,0,0.47,0,0.24,130.45,60.75,4.94,2.35,0.47
19001001007,19,001,001007,149.36,63.5,2.54,0,0.76,0,0,0.51,0,0.25,140.73,65.54,5.33,2.54,0.51
19001001008,19,001,001008,56.69,24.1,0.96,0,0.29,0,0,0.19,0,0.1,53.41,24.88,2.02,0.96,0.19
19001001009,19,001,001009,123.92,52.69,2.11,0,0.63,0,0,0.42,0,0.21,116.76,54.37,4.43,2.11,0.42
19001001010,19,001,001010,85.43,29.25,0.95,0,0,0.27,0,0,0,0.14,83.39,28.84,2.04,0.82,0
19001001011,19,001,001011,98.57,33.75,1.1,0,0,0.31,0,0,0,0.16,96.22,33.28,2.35,0.94,0
19001001012,19,001,001012,89.4,29.02,0.29,0,0.15,0.29,0,0.29,0,0,86.33,29.17,2.93,0.44,0
19001001013,19,001,001013,39.11,12.7,0.13,0,0.06,0.13,0,0.13,0,0,37.77,12.76,1.28,0.19,0
19001001014,19,001,001014,342.45,112.37,1.66,0,0.45,1.12,0,0.9,0,0.11,331.38,112.49,10.62,2,0
19001001015,19,001,001015,50.13,21.06,0.61,0.14,0.06,0,0,0.18,0,0.23,47.94,21.3,1.32,1.09,0.11
19001001016,19,001,001016,80.09,37.86,1.1,0.29,0,0.11,0,0.24,0.06,0.27,77.21,38.06,2.28,1.4,0.09
19001001017,19,001,001017,548.45,303.56,9.94,2.05,0,1.89,0,1.11,0.94,0.25,531.53,305.53,19.96,4.85,0.08
19001001018,19,001,001018,171.07,71.72,1.94,0.55,0.09,0,0,0.61,0,0.86,164.03,72.22,4.19,3.87,0.33
19001001019,19,001,001019,92.37,38.67,0.99,0.33,0,0,0,0.33,0,0.5,88.74,38.83,2.15,2.15,0.17
19001001020,19,001,001020,177.59,74.34,1.91,0.64,0,0,0,0.64,0,0.95,170.6,74.66,4.13,4.13,0.32
19001001021,19,001,001021,95.46,30.98,0.31,0,0.16,0.31,0,0.31,0,0,92.17,31.14,3.13,0.47,0
19001001022,19,001,001022,111.76,36.27,0.37,0,0.18,0.37,0,0.37,0,0,107.91,36.46,3.66,0.55,0
