GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCOP,G16PREIMCM,G16PREISTE,G16PREICAS,G16PREIFUE,G16PREOWRI,G16USSRCRA,G16USSDSTU,G16USSCWRI
16001011401,16,001,011401,857.82,206.17,35.04,0,63.09,10,4.01,0,0,817.87,208.16,65.1
16001011402,16,001,011402,804.09,294.38,49.39,2.05,86.71,8.1,3.06,1.02,0.01,890.58,267.23,58.62
16001011403,16,001,011403,281.57,115.48,17.27,1.93,38.9,4.78,1.95,0.96,0.02,328.13,104.24,12.37
16001011404,16,001,011404,1292.2,317.72,79.09,2.01,148.22,13.05,13.01,7,0,1308.43,319.7,112.15
16001011405,16,001,011405,996.34,331.81,54.1,3.02,90.23,9.06,8.02,3,0,996.62,322.78,81.15
16001011406,16,001,011406,1726.01,564.14,75.91,5.1,141.49,9.27,7.1,8,3,1789.75,474.23,130.33
16001011407,16,001,011407,651.05,302.7,30.77,2.98,58.55,5.95,8.93,2.98,0,648.07,273.92,65.5
16001011408,16,001,011408,740.8,480.2,57.92,1.1,101.1,6.26,4.1,1.05,0,837.36,432.58,62.61
16001011409,16,001,011409,713,394,47,2,73,18,3,1,1,784,354,39
16001011410,16,001,011410,650.6,471.15,61.15,2.01,59.23,30.01,10.01,1,0,708.93,474.01,68.13
16001011411,16,001,011411,807.22,453,69.18,1.03,67.58,16.92,5.98,0,0,843.54,423.54,76.01
16001011412,16,001,011412,377.28,131.11,16.04,2.83,37.73,9.43,2.83,0,0,422.55,125.45,24.52
16001011413,16,001,011413,1664.67,718.65,90.79,5.02,260.17,13.15,5.02,0,0,1889.93,628.31,110.75
16001011414,16,001,011414,1280,456,95,4,209,25,4,1,0,1395,455,111
16001011415,16,001,011415,790.78,251.78,42.72,3.64,84.53,6.36,2.73,1.82,0,857.14,224.51,43.63
16001011416,16,001,011416,1098.32,484.72,63.47,3.44,98.37,5.19,2.51,0.27,0.01,1233.71,426.24,55.27
16001011417,16,001,011417,903.63,293.24,73.03,1,91.05,10.01,11,2,0,977.63,302.24,62.05
16001011418,16,001,011418,1212.37,463.76,63.97,9,95.95,10.99,8,4,1,1228.37,462.76,105.95
16001011419,16,001,011419,663.51,313.62,64.68,2.94,67.63,8.82,2.94,3.92,0,688.99,302.84,83.31
16001011501,16,001,011501,888,641,82,1,180,21,10,5,2,1095,620,75
16001011502,16,001,011502,789,559,72,1,122,12,3,3,1,919,546,75
16001011503,16,001,011503,631,477,42,5,69,15,8,1,0,703,438,60
16001011504,16,001,011504,1006.32,733.17,95.03,6,162.05,27.01,11.01,0,0,1190.37,688.16,100.03
16001011505,16,001,011505,581,393,55,7,82,17,3,1,3,620,387,61
16001011506,16,001,011506,597,486,62,5,80,29,12,2,0,700,498,75
16001011507,16,001,011507,687,439,85,3,103,19,11,7,0,769,462,94
16001011508,16,001,011508,640,481,53,6,86,20,7,1,2,660,484,78
16001011509,16,001,011509,943,727,128,4,82,35,6,6,0,1015,729,111
16001011510,16,001,011510,490,389,85,4,31,17,9,4,0,508,398,66
16001011511,16,001,011511,451,341,45,3,44,21,0,1,1,462,340,64
16001011512,16,001,011512,422,343,72,3,42,21,4,4,0,456,338,74
16001011513,16,001,011513,506.06,386.03,71.01,2,44,22,3,3,0,523.06,393.03,60.01
16001011514,16,001,011514,504,340,58,6,69,18,10,3,0,580,325,49
16001011515,16,001,011515,403.94,228.97,44.99,1,32,7,1,1,0,447.94,196.97,37.99
16001011601,16,001,011601,795.8,823.45,71.28,1.85,50.07,16.65,4.63,0.92,0,901.4,729.07,63.87
