GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCOP,G16PREIMCM,G16PREISTE,G16PREICAS,G16PREIFUE,G16PREOWRI,G16USSRCRA,G16USSDSTU,G16USSCWRI
16001011401,16,001,011401,857.8,206.2,35,0,63.1,10,4,0,0,817.9,208.2,65.1
16001011402,16,001,011402,804.1,294.4,49.4,2,86.7,8.1,3.1,1,0,890.6,267.2,58.6
16001011403,16,001,011403,281.6,115.5,17.3,1.9,38.9,4.8,2,1,0,328.1,104.2,12.4
16001011404,16,001,011404,1292.2,317.7,79.1,2,148.2,13.1,13,7,0,1308.4,319.7,112.2
16001011405,16,001,011405,996.3,331.8,54.1,3,90.2,9.1,8,3,0,996.6,322.8,81.2
16001011406,16,001,011406,1726,564.1,75.9,5.1,141.5,9.3,7.1,8,3,1789.8,474.2,130.3
16001011407,16,001,011407,651,302.7,30.8,3,58.5,6,8.9,3,0,648.1,273.9,65.5
16001011408,16,001,011408,740.8,480.2,57.9,1.1,101.1,6.3,4.1,1,0,837.4,432.6,62.6
16001011409,16,001,011409,713,394,47,2,73,18,3,1,1,784,354,39
16001011410,16,001,011410,650.6,471.1,61.1,2,59.2,30,10,1,0,708.9,474,68.1
16001011411,16,001,011411,807.2,453,69.2,1,67.6,16.9,6,0,0,843.5,423.5,76
16001011412,16,001,011412,377.3,131.1,16,2.8,37.7,9.4,2.8,0,0,422.6,125.4,24.5
16001011413,16,001,011413,1664.7,718.6,90.8,5,260.2,13.2,5,0,0,1889.9,628.3,110.8
16001011414,16,001,011414,1280,456,95,4,209,25,4,1,0,1395,455,111
16001011415,16,001,011415,790.8,251.8,42.7,3.6,84.5,6.4,2.7,1.8,0,857.1,224.5,43.6
16001011416,16,001,011416,1098.3,484.7,63.5,3.4,98.4,5.2,2.5,0.3,0,1233.7,426.2,55.3
16001011417,16,001,011417,903.6,293.2,73,1,91,10,11,2,0,977.6,302.2,62
16001011418,16,001,011418,1212.4,463.8,64,9,96,11,8,4,1,1228.4,462.8,106
