GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRLIT,G18GOVDJOR,G18GOVLBOE,G18GOVCBAY,G18GOVOWRI,G18LTGRMCG,G18LTGDCOL,G18SOSRDEN,G18SOSDHUM,G18CONRWOO,G18TRERELL,G18ATGRWAS,G18ATGDBIS,G18SPIRYBA,G18SPIDWIL
16001011401,16,001,011401,817.88,295.2,7.01,9.01,0,803.86,315.23,830.88,280.2,928.95,929.96,867.9,231.18,704.76,411.32
16001011402,16,001,011402,688.01,295.17,12.11,6.38,0,672.89,319.82,696.66,285.18,780.81,780.84,733.14,241.01,587.6,386.63
16001011403,16,001,011403,383.64,163.67,6.72,3.62,0,375.09,177.49,388.25,158.37,435.3,435.28,408.58,133.87,327.54,215
16001011404,16,001,011404,1128.96,404.54,16.46,14,0,1125.21,412.08,1163.46,372.58,1338.93,1341.55,1167.06,362.94,974.62,560.84
16001011405,16,001,011405,1019.12,431.68,10.03,13,0,1019.04,434.76,1047.18,397.6,1221.85,1227.87,1074.28,355.47,847.62,579.16
16001011406,16,001,011406,2304.78,760.04,18.23,8.25,0,2226.93,845.99,2296.22,747.29,2534.17,2535.18,2375.26,653.67,1925.11,1112.33
16001011407,16,001,011407,609.37,360.26,4.96,5.95,0,575.62,382.09,600.43,340.41,744.34,735.41,644.1,296.74,481.34,469.43
16001011408,16,001,011408,732.45,528.83,8.36,3.19,0,675.01,582.56,725.71,513.53,928.22,930.22,798.81,435.21,581.48,664.54
16001011409,16,001,011409,736,444,3,2,0,671,501,737,421,895,888,760,381,574,587
16001011410,16,001,011410,583.97,588.28,9.03,7.01,0,551.77,621.51,591.92,572.3,820.37,816.35,624.06,525.16,507.42,662.79
16001011411,16,001,011411,809.97,547.86,16.04,5.02,0,762.39,599.59,822.65,517.21,1009.34,1013.22,857.05,472.88,638.67,713.03
16001011412,16,001,011412,664.6,271.54,5.25,0,0,651.09,284.29,673.6,257.29,783.11,785.36,690.1,237.03,584.32,348.06
16001011413,16,001,011413,2257.76,1131.36,24.5,12.61,0,2171.2,1209,2252.82,1088.89,2635.53,2649.73,2359.17,956.94,1755.83,1607.6
16001011414,16,001,011414,994.63,512.98,12.4,8.12,0,979.86,518.47,1005.58,475.59,1207.7,1207.54,1059.52,409.81,763.63,739.06
16001011415,16,001,011415,879.86,265.41,10,0,0,835.32,309.95,875.32,262.69,931.67,921.67,882.59,238.14,713.52,420.84
16001011416,16,001,011416,1247.97,537.49,14.21,5.17,0,1165.68,633.55,1229.86,545.51,1414.8,1406.9,1285.85,486.46,1016.05,753.34
16001011417,16,001,011417,920.58,485.29,1.01,8.01,0,916.57,477.31,934.59,450.28,1122.7,1114.7,961.62,409.25,809.49,582.38
16001011418,16,001,011418,1131.42,554.71,18.99,12.99,0,1102.43,598.69,1148.41,540.72,1355.3,1363.3,1194.38,491.75,953.51,741.62
16001011419,16,001,011419,596.86,382.23,7.84,13.72,0,589.02,397.91,632.15,349.89,799.74,798.76,660.57,317.54,511.6,469.45
16001011501,16,001,011501,963,731,18,5,0,896,807,970,719,1285,1280,1046,608,755,947
16001011502,16,001,011502,847,647,20,10,0,815,693,855,641,1100,1107,934,545,659,839
16001011503,16,001,011503,628,561,13,11,0,589,605,636,539,818,816,692,480,500,694
16001011504,16,001,011504,1027.31,882.26,25,8,0,980.3,915.26,1052.33,815.23,1322.43,1329.43,1093.34,755.2,816.26,1073.3
16001011505,16,001,011505,553,481,11,8,0,524,520,573,461,761,763,599,427,447,595
16001011506,16,001,011506,606,620,16,7,0,589,647,639,595,915,920,691,533,475,752
16001011507,16,001,011507,629,622,7,12,0,608,639,659,574,907,912,701,527,521,729
16001011508,16,001,011508,587,607,12,10,0,564,627,604,580,862,866,641,530,457,724
16001011509,16,001,011509,723.87,841.63,24.37,14.57,0,717.4,853.56,769.21,793.75,1147.34,1130.74,799.58,741.97,629.22,933.9
16001011510,16,001,011510,641.84,860.31,27.23,13.23,0,634.07,869.14,690.27,808.14,1097.68,1103.72,716.06,771.02,567.39,939.17
16001011511,16,001,011511,283.29,343.07,10.4,5.2,0,276.53,349.3,302.52,318.11,458.98,460.54,311.36,302,233.39,391.93
16001011512,16,001,011512,327,492,15,13,1,338,494,365,464,593,596,395,422,313,509
16001011513,16,001,011513,403.05,500.03,9,10,1,388.05,517.04,428.05,469.04,650.07,655.07,444.06,447.03,354.04,551.04
16001011514,16,001,011514,477,454,8,11,0,464,475,498,428,682,682,515,407,401,531
16001011515,16,001,011515,386.95,247.97,5,3,0,360.95,271.96,368.95,260.96,496.93,491.93,405.94,215.97,320.96,309.96
16001011601,16,001,011601,899.57,852.19,18.51,5.55,0,782.97,977.14,881.06,867.92,1219.67,1217.81,966.19,770.77,661.64,1091.95
16001011602,16,001,011602,612.11,890.47,7.17,9.92,0,535.87,958.97,606.77,874.79,972.27,976.8,680.1,791.07,479.28,1007.44
16001011603,16,001,011603,602,1218,18,8,0,564,1253,625,1165,1148,1160,713,1071,477,1330
16001011604,16,001,011604,402,808,17,4,0,370,845,422,785,703,711,473,722,333,888
16001011605,16,001,011605,325,908,19,1,0,284,950,330,898,630,642,390,822,268,963
16001011606,16,001,011606,248,892,12,5,0,233,899,281,837,572,571,327,775,214,910
16001011607,16,001,011607,656.28,800.79,6.93,10.89,0,630.54,824.55,676.07,768.13,976,980.95,741.4,688.94,557.29,893.84
16001011608,16,001,011608,388.79,768.55,13.51,11.92,0,378.95,779.63,418.34,719.7,637.49,638.78,440.26,684.92,348.25,798.55
16001011609,16,001,011609,546.23,571.19,12.48,5.76,0,504.95,599.99,554.87,536.63,770.86,779.5,590.39,498.23,420.47,687.35
16001011610,16,001,011610,711.53,857.31,14.5,12.22,0,661.89,890.45,743.83,788.99,1010.37,1000.75,816.18,699.55,556.56,999.9
16001011611,16,001,011611,636,680.19,17.23,7.19,0,575.92,748.3,631.51,680.37,923.85,922.87,708.8,587.87,460.45,852.57
16001011612,16,001,011612,262.24,481.5,19.03,3.02,0,271.16,475.56,298.3,449.38,531.77,529.75,329.43,407.23,220.97,526.75
16001011613,16,001,011613,497.11,727.26,24.04,9.04,0,447.1,789.28,516.21,711.11,787.83,793.83,571.26,646.02,377.01,862.34
16001011614,16,001,011614,460,590,16,10,1,436,621,477,572,744,746,497,542,385,674
16001011615,16,001,011615,498.2,1048.5,23.01,11.01,0,508.18,1046.52,542.21,986.49,1000.42,997.42,606.24,908.44,440.17,1108.53
16001011701,16,001,011701,439,665,20,9,1,436,678,471,636,775,771,519,579,383,725
16001011702,16,001,011702,508,695,18,7,0,516,695,564,636,810,812,622,566,446,766
16001011703,16,001,011703,437,719,12,7,0,429,726,478,664,796,804,497,633,371,774
16001011704,16,001,011704,309.73,781.51,17.7,9.41,0,282.57,807.82,320.34,762.05,646.69,647.07,373.21,693.67,262.82,828.88
16001011705,16,001,011705,299,714,18,12,1,303,722,340,669,652,661,359,636,267,757
16001011706,16,001,011706,379,982,21,13,0,399,968,439,921,817,816,494,846,344,1029
16001011707,16,001,011707,253,765,6,2,0,217,793,278,721,567,579,323,664,181,825
16001011708,16,001,011708,439,1019,21,7,0,416,1044,473,969,847,858,554,876,361,1098
16001011709,16,001,011709,340,855,14,4,0,292,895,346,832,631,647,390,780,271,912
16001011710,16,001,011710,186.36,591.99,21.21,2.05,0,184.11,557.25,206.63,526.5,364.82,364.94,230.18,469.79,161.77,566.53
16001011711,16,001,011711,170,613,19,2,0,174,611,202,569,445,465,224,534,158,612
16001011712,16,001,011712,394,578,16,10,0,389,587,429,540,660,667,467,494,334,642
