GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR
17001001001,17,001,001001,76,359,10,1,2,175,260,5,7,0,117,299,10,9
17001002001,17,001,002001,72,350,17,5,1,138,283,16,6,0,118,299,17,5
17001003001,17,001,003001,69.07,331.58,12.01,3,1,118.18,267.46,12.01,9.01,0,94.15,294.48,9.02,12.01
17001003002,17,001,003002,46.93,375.42,8.99,2,0,117.82,295.54,6.99,5.99,0,96.85,308.52,9.98,6.99
17001004001,17,001,004001,16,112,2,0,2,30,97,1,0,0,32,92,1,1
17001005001,17,001,005001,68.84,329.34,17.76,2.97,0.97,142.62,258.56,14.04,1.32,0,91.96,302.02,12.86,5.55
17001006001,17,001,006001,52.96,232.31,4.65,0.93,0,106.85,167.27,6.51,4.65,0,89.2,179.35,3.72,9.29
17001007001,17,001,007001,48.7,339.79,10.65,1.28,0.03,118.58,264.1,11.03,1.98,0,89.45,286.59,11.39,5.72
17001007002,17,001,007002,66.14,289.98,8.16,0.91,0,135.91,205.72,12.68,7.25,0,113.25,228.37,15.4,2.72
17001008001,17,001,008001,42.14,213.57,6.76,1.9,0,85.61,160.62,7.7,3.79,0,57.85,178.85,9.58,6.68
17001009001,17,001,009001,89.24,464.2,18.04,8.01,0,179.49,376.88,12.05,8.02,0,131.32,410.99,12.06,15.04
17001010001,17,001,010001,19,83.01,3,0,0,45,58.01,2,0,0,33,65.01,1,3
17001011001,17,001,011001,13.2,94.88,1.07,0,2,33.81,71.14,5,1,0,18.81,81.01,3,3.07
17001012001,17,001,012001,18,150,2,1,1,53,111,0,2,0,40,118,3,4
17001013001,17,001,013001,34.96,283.7,9.99,2,0,104.89,217.77,5.99,2,0,73.92,236.75,5.99,9.99
17001014001,17,001,014001,103.61,614.22,9.24,2.08,1.05,228.57,458.03,21.4,11.16,0,184.03,482.26,18.38,22.19
17001015001,17,001,015001,23.71,187.73,3.95,0.99,0,63.24,141.29,3.95,0.99,0.99,49.4,155.13,4.94,0
17001016001,17,001,016001,75.48,519.57,25.23,4.05,1.03,201.3,395.82,10.16,7.19,0,150.43,438.65,18.29,14.11
17001017001,17,001,017001,58.38,442.73,8.76,2.92,1.95,165.42,326.94,14.6,5.84,0,109.95,371.7,13.62,6.81
17001018001,17,001,018001,110.25,418.92,17.27,4,0,216.97,305.11,24.24,4.03,0,170.23,352.82,15.21,10.09
17001018002,17,001,018002,41.04,228.35,8.78,0.01,0,97.8,168.6,7.81,0.98,0.01,73.37,192.06,6.85,2.91
17001019001,17,001,019001,89.56,452.71,13.78,2.95,1.97,198.8,348.39,9.84,11.81,0,146.64,398.58,17.71,5.9
17001019002,17,001,019002,118.27,450.78,26.03,8.01,2,220.42,361.62,17.01,7.01,0,204.3,370.74,14.01,11.01
17001019003,17,001,019003,80.15,284.56,12.57,1.84,0,155.82,216.17,3.48,4.65,0,112.71,254.55,8.22,3.89
17001020001,17,001,020001,86.08,377.79,20.94,0.06,0.06,161.09,302.4,10.57,6.55,0,120.18,337.21,10.57,10.31
17001020002,17,001,020002,158.18,560.23,31.02,2,8,238.45,490.88,15.01,4.64,0,192.5,525.28,13.01,9.01
17001020003,17,001,020003,106.76,377.94,11.63,1.06,0.09,194.92,280.35,11.49,9.53,0,159.98,314.44,9.66,6.61
17001020004,17,001,020004,116.85,430.38,15.1,1.12,0,172.01,375.32,9.82,6.5,0,148.36,392.63,12.03,5.13
17001020005,17,001,020005,101.73,319.87,14.65,1.54,1.06,152.52,274.21,8.9,2.8,0,119.59,299.53,8.87,4.79
17001020006,17,001,020006,123,384,18,3,0,195,309,10,11,0,160,342,11,10
17001021001,17,001,021001,52.5,254.75,10.38,1.03,0,101.47,207.47,4.38,4.32,0,76.3,234.61,2.32,5.22
17001022001,17,001,022001,86.21,359.08,10.06,4.01,0.01,150.34,289.98,8.03,5.01,0,105.26,334.04,7.04,10.02
17001022002,17,001,022002,54.09,224.86,10.31,2.92,2.19,98.17,180.08,8.06,3.67,1.45,77.49,199.24,6.61,3.66
17001022003,17,001,022003,110.16,497.64,26.6,4.65,3.48,176.99,444,15.89,4.04,0,136.73,474.41,15.98,10.73
17001023001,17,001,023001,112.3,247.55,13.93,3.28,2.46,170.5,195.91,9.84,4.92,0,139.35,227.05,5.74,4.1
