GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPRI,G18GOVRRAU,G18GOVCMCC,G18GOVLJAC,G18ATGDRAO,G18ATGRHAR,G18ATGLHAR,G18SOSDWHI,G18SOSRHEL,G18SOSLDUT,G18COMDMEN,G18COMRSEN,G18COMLBAL,G18TREDFRE,G18TRERDOD,G18TRELLEH
17001001001,17,001,001001,74,210,51,11,58,278,8,147,192,9,99,236,10,92,243,7
17001002001,17,001,002001,53,234,46,18,47,286,17,141,194,16,87,244,15,74,258,16
17001003001,17,001,003001,42,202,32,9,37,245,5,100,182,6,62,215,9,50,223,9
17001003002,17,001,003002,41,250,38,15,34,297,8,111,225,7,62,265,14,58,268,11
17001004001,17,001,004001,12,84,11,0,13,92,1,36,69,1,20,84,1,20,85,0
17001005001,17,001,005001,46.35,234.28,40.04,6.08,45.26,268.42,8.07,122.96,196.74,4.04,62.5,255.16,7.05,70.52,242.14,9.05
17001006001,17,001,006001,44.88,171.58,15.96,7.98,46.88,186.54,4.99,113.7,123.7,2.99,69.82,165.59,4.99,67.82,164.59,4.99
17001007001,17,001,007001,37.07,237.33,15.97,7.58,29.29,258.49,7.72,101.05,189.45,4.47,51.27,235.72,5.64,56.11,229.75,6.71
17001007002,17,001,007002,53.71,190.9,30.69,10.55,54.66,214.88,13.43,117.01,159.24,9.59,82.48,186.11,11.51,77.68,189.94,12.47
17001008001,17,001,008001,28.89,163.14,16.26,5.77,27.79,173.86,5.77,78.89,131.27,2.9,51.68,153.71,4.81,54.59,148.91,5.76
17001009001,17,001,009001,87.15,348.92,24.1,8.04,71.15,380.97,13.03,177.44,284.74,6.02,106.3,342.86,13.03,107.32,341.82,13.03
17001010001,17,001,010001,15,57.01,7,1,13,63.01,2,36,43.01,0,19,58.01,1,20,56.01,1
17001011001,17,001,011001,11.47,74.14,6.4,0.07,11.2,78.74,2.07,29.14,62.87,3,17.6,70.34,2.07,17.6,70.27,2.13
17001012001,17,001,012001,20,102,21,4,21,123,4,42,102,3,28,113,5,28,115,4
17001013001,17,001,013001,33.96,212.78,27.97,5.99,27.97,244.74,4.99,93.9,179.81,6.99,51.95,217.77,6.99,47.95,224.76,5.99
17001014001,17,001,014001,73.99,399.97,45,19,68,453.97,10,205.99,323.98,8,120.99,401.97,7,117.99,401.97,9
17001015001,17,001,015001,24.7,131.41,16.8,6.92,20.75,155.13,0.99,61.26,115.6,1.98,36.56,137.34,3.95,34.58,138.33,3.95
17001016001,17,001,016001,82.07,356.36,41.04,14.01,65.06,407.41,13.01,192.17,287.3,13.01,104.1,367.36,15.01,115.1,350.36,21.01
