GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,G20USSDDUR,G20USSRCUR,G20USSIWIL,G20USSLMAL,G20USSGBLA
17001001001,17,001,001001,91,383,2,1,0,1,98,361,5,6,2
17001002001,17,001,002001,69,381,12,2,0,1,75,376,4,6,1
17001003001,17,001,003001,59,349,8,4,1,0,65,344,5,7,0
17001003002,17,001,003002,49,403,3,3,0,0,56,395,0,4,3
17001004001,17,001,004001,18,117,1,0,0,0,23,112,0,1,0
17001005001,17,001,005001,63.49,341.36,3.03,1.99,1,0.01,66.5,335.23,4.03,2.04,0.02
17001006001,17,001,006001,62.84,266.34,2.99,0,0,1.99,65.83,253.37,2.99,2.99,2.99
17001007001,17,001,007001,50.65,346.73,3.31,0.01,0,0.05,52.77,336.19,3.2,3.36,1.21
17001007002,17,001,007002,57.55,323.26,2.88,0,0,0,71.93,301.21,3.84,2.88,1.92
17001008001,17,001,008001,42.28,242.13,4.77,0,0,0.94,51.72,226.92,1.93,5.7,2.84
17001009001,17,001,009001,96.24,504.38,13.03,1,0,0.01,106.3,488.28,1.01,12.03,3.02
17001010001,17,001,010001,19,102.01,2,0,0,0,25,94.01,1,2,0
17001011001,17,001,011001,9.27,105.34,0,0,0,0,16.67,93.95,1,0,0
17001012001,17,001,012001,21,147,0,0,0,0,21,144,0,2,1
17001013001,17,001,013001,35.96,333.65,2,0,0,0,37.96,327.65,1,2,1
17001014001,17,001,014001,97.99,673.95,7,1,0,0,126.99,634.96,6,5,0
17001015001,17,001,015001,22.73,201.57,2.96,0,0,0,30.63,188.72,1.98,0.99,0.99
17001016001,17,001,016001,99.08,545.55,13,1,2,0,117.08,521.54,4,6,2
17001017001,17,001,017001,67,494,8,1,0,0,80,477,2,5,0
17001018001,17,001,018001,90.25,483.66,8.06,1,0,0.03,107.6,458.15,3.06,11.06,0.03
17001018002,17,001,018002,41.03,252.78,1.98,0,0,0.97,52.77,236.13,1.96,1.95,0.98
17001019001,17,001,019001,104.95,510.78,4,0,2,0,104.95,500.78,1,2,1
17001019002,17,001,019002,142.35,463.82,11.01,3,0,0,146.34,447.82,3,3.01,5
17001019003,17,001,019003,113.87,396.32,15.64,0.96,0.27,0,127.12,384.52,4.11,9.63,0.18
17001020001,17,001,020001,112.25,474.58,7.4,1.13,0,0,109.05,475.45,1.13,7.13,0.07
17001020002,17,001,020002,158,593,16,3,0,0,166,578,8,7,2
17001020003,17,001,020003,131.22,364.67,5.62,1.91,0.91,0,129.53,356.29,7.33,4.64,3.66
17001020004,17,001,020004,83.47,345.1,4.05,0,0.99,0,90,333.11,1.95,2.89,1.93
17001020005,17,001,020005,131.6,425.21,6.1,1.78,0.28,0,127.77,423.73,2.68,2.91,1.49
17001020006,17,001,020006,108,441,7,2,1,0,115,439,1,1,2
17001021001,17,001,021001,57.42,290.36,1.19,1.06,0.03,0,58.35,285.08,0.25,2.16,1.12
17001022001,17,001,022001,70.94,266.26,4.21,0,0,0,69.53,266.28,0.7,2.11,0.7
17001022002,17,001,022002,88.44,327.27,2.25,1.01,0.01,0.01,96.55,316.17,1.08,2.12,0.04
17001022003,17,001,022003,141.38,547.99,6.51,1.85,1.81,0.04,130.49,560.68,0.54,5.58,2.24
17001023001,17,001,023001,163.91,368.21,5.28,1.15,0.19,0.96,154.22,371.46,5.77,4.32,3.07
17001023002,17,001,023002,131.55,250.19,3.2,1.09,3.04,1.04,127.65,230.98,8.14,5.22,8.08
17001023003,17,001,023003,120.21,200.35,8.8,3.91,1.95,1.95,124.12,189.6,6.84,9.77,3.91
17001023004,17,001,023004,176,322,6,1,5,0,177,305,5,8,3
17001023005,17,001,023005,139,156,4,4,2,1,131,152,9,5,5
17001023006,17,001,023006,69,78,1,1,0,1,70,69,3,1,2
17001023007,17,001,023007,98,58,5,0,0,1,81,56,12,5,3
17001023008,17,001,023008,102.4,282.82,7.8,0,0,0,108.25,276,2.93,3.9,0.98
17001023009,17,001,023009,162.16,403.9,10.94,1.99,1.99,0.99,155.19,417.83,0.99,3.98,2.98
17001023010,17,001,023010,107,151,6,1,1,0,103,150,4,5,3
17001023011,17,001,023011,133,298,7,1,1,2,143,284,5,4,4
17001023012,17,001,023012,125.36,282.33,10.05,1,0,0,131.41,273.29,3.01,6.03,3
17001023013,17,001,023013,106,206,2,3,1,0,110,201,2,4,2
17001023014,17,001,023014,144,199,5,1,1,1,142,195,3,5,2
17001023015,17,001,023015,157.9,391.55,12.73,0,2.72,0,166.1,378.83,2.73,9.99,1.81
17001023016,17,001,023016,202,348,17,0,7,0,193,342,5,19,7
17001023017,17,001,023017,189.04,313.84,12,1,1.01,0,187.08,313.78,0.01,10.01,2.99
17001023018,17,001,023018,191.46,450.14,3.57,1.03,0,0,182.96,449.76,1.13,7.33,1.01
17001023019,17,001,023019,85,105,1,3,0,1,79,110,2,3,1
17001023020,17,001,023020,215,317,9,5,2,0,197,333,2,7,4
17001023021,17,001,023021,220,378,13,3,0,0,216,387,2,9,4
17001023022,17,001,023022,199,313,10,2,2,0,195,319,2,4,3
17001023023,17,001,023023,141.43,305.67,0.2,1.02,1.91,0,145.14,297.97,1.02,5.79,1.94
17001023024,17,001,023024,150.71,513.01,5.52,1.8,0.87,0,145.18,519.76,1.96,1.96,1.84
