GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOWRI,G16USSRYOU,G16USSDBAY,G16USSLBRE,G16USSOWRI,G16GOVRHOL,G16GOVDGRE,G16GOVLBEL,G16GOVOWRI,G16ATGRHIL,G16ATGDARR,G16SPIRMCC,G16SPIDRIT
18001000010,18,001,000010,577.04,123.34,36.87,8.09,525.58,168.63,48.18,0,534.37,179.99,24,0,600.69,116.47,495.56,238.48
18001000020,18,001,000020,532.97,100.53,26.05,11.99,494.46,143.86,35.24,0,503.69,141.75,21.06,0,560.92,91.51,458.57,204.95
18001000030,18,001,000030,517.5,106.2,18.99,5.97,492.98,135.49,18.22,0,493.26,153.27,6.06,0,550.31,84.28,440.32,208.3
18001000040,18,001,000040,187,28,2,2,161,39,16,0,157,50,4,0,184,24,140,72
18001000050,18,001,000050,639.52,310.9,52.53,13.21,541.3,405.7,69.88,0,554.01,425.6,26.38,1,703.71,277.94,522.68,481.17
18001000060,18,001,000060,572.04,328.67,54.73,10.29,515.33,360.86,76.2,1,498.98,408.02,42.5,0,601.37,314.68,490.5,443.84
18001000070,18,001,000070,298.06,163.69,34.73,5.96,243.46,194.48,58.54,0,247.4,214.37,30.75,0,326.82,146.84,265.22,222.35
18001000080,18,001,000080,403.96,157.95,15.77,4.33,336.6,219.21,25.55,0,344.45,221.88,13.77,0,419.66,136.99,323.07,243.05
18001000090,18,001,000090,633.96,301.03,58.06,10.39,520.6,393.13,76.62,0.99,510.91,444.46,26.02,1,652.52,298.16,509.4,463.98
18001000100,18,001,000100,523.88,183.39,41.01,7.63,455.11,245.41,52.47,0.01,441.82,291.1,20.01,0.01,551.41,186.2,416.28,335.65
18001000110,18,001,000110,315,32,13,8,306,57,10,0,309,57,5,0,333,34,274,94
18001000120,18,001,000120,361.58,106.88,24.72,2.96,299.18,144.53,44.54,0.99,301.23,168.21,11.88,0,374.42,102.92,312.05,170.25
18001000130,18,001,000130,290,45,12,4,265,72,12,0,262,68,12,0,291,45,239,102
18001000140,18,001,000140,134,24,7,2,112,46,7,0,123,39,2,0,139,23,110,55
18001000150,18,001,000150,417,53,17,5,369,94,26,0,352,130,6,0,417,50,330,147
18001000160,18,001,000160,57.74,14.43,3.85,0,48.11,20.21,7.7,0,51,18.28,3.85,0,56.77,16.36,46.19,28.87
18001000170,18,001,000170,256.14,78,18,7,223.12,116.01,25.01,0,229.12,120.02,10,0,276.13,68.01,197.1,163.04
18001000180,18,001,000180,202.54,46.33,11.94,4.51,176.2,64.43,19.29,0,170.88,82.44,8.33,0,208.17,46.16,163.91,95.01
18001000190,18,001,000190,447,101,30,7,394,158,32,0,388,177,13,0,464,99,379,196
18001000200,18,001,000200,379.83,32.66,12.13,6.91,339.29,64.36,28.82,0,335.51,82.99,11,0,378.17,34.52,287.34,128.48
18001000210,18,001,000210,420.26,118.57,26.15,6,354.89,179.79,37.3,0,353,203.72,15.15,0,446.23,102.64,310.81,246.13
18001000220,18,001,000220,452,104,22,3,359,170,40,0,350,201,18,0,449,111,362,199
18001000230,18,001,000230,364,94,24,4,308,138,39,0,311,161,8,0,380,100,293,184
18001000240,18,001,000240,255.95,46.39,5.25,0.07,215.37,74.12,20.01,0.01,232.83,65.77,6,0,254.35,44.3,221.06,84.5
18001000250,18,001,000250,409.04,105.05,27.23,5.67,374.4,135.79,40.45,0,353.55,167.12,26.23,0,435.34,96.01,350.93,189.95
18003000010,18,003,000010,128,190,19,5,125,188,25,1,132,185,14,0,150,174,129,201
18003000020,18,003,000020,114,150,20,6,124,143,19,0,125,150,7,0,137,146,116,165
18003000030,18,003,000030,365,249,32,16,346,273,43,0,351,289,22,0,431,207,340,311
18003000040,18,003,000040,252.25,167.34,19.15,5,248.92,165.67,21.65,0.83,244.76,184.82,9.99,0.83,291.38,139.86,245.59,188.15
18003000050,18,003,000050,334,227,35,18,328,241,41,0,328,257,21,0,388,197,318,271
18003000060,18,003,000060,272.75,246.66,17.85,12,260.08,245.33,31.35,0.17,266.24,257.18,17.01,0.17,325.62,201.14,270.41,260.85
18003000070,18,003,000070,192,91,16,7,168,113,21,0,178,110,14,0,210,81,174,121
18003000080,18,003,000080,276.98,168.99,19,20,257.99,189.99,35,0,273.98,190.99,12,0,323.98,135.99,262.99,202.99
18003000090,18,003,000090,527.46,261.79,44.77,9.73,497.3,312.39,36.98,0,511.89,310.45,18.49,0,612.13,202.42,495.35,330.88
18003000100,18,003,000100,96.29,75.15,5.02,2.01,87.28,74.17,15.02,0,87.28,83.17,4.01,0,109.34,65.11,88.28,87.18
18003000110,18,003,000110,438.86,281.37,41.3,12.12,387.69,317.98,59.37,1.06,422.12,320.54,18.5,0,505.22,229.14,420.87,331.98
