GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOWRI,G16USSRYOU,G16USSDBAY,G16USSLBRE,G16USSOWRI,G16GOVRHOL,G16GOVDGRE,G16GOVLBEL,G16GOVOWRI,G16ATGRHIL,G16ATGDARR,G16SPIRMCC,G16SPIDRIT
18001000010,18,001,000010,577,123.3,36.9,8.1,525.6,168.6,48.2,0,534.4,180,24,0,600.7,116.5,495.6,238.5
18001000020,18,001,000020,533,100.5,26,12,494.5,143.9,35.2,0,503.7,141.8,21.1,0,560.9,91.5,458.6,204.9
18001000030,18,001,000030,517.5,106.2,19,6,493,135.5,18.2,0,493.3,153.3,6.1,0,550.3,84.3,440.3,208.3
18001000040,18,001,000040,187,28,2,2,161,39,16,0,157,50,4,0,184,24,140,72
18001000050,18,001,000050,639.5,310.9,52.5,13.2,541.3,405.7,69.9,0,554,425.6,26.4,1,703.7,277.9,522.7,481.2
18001000060,18,001,000060,572,328.7,54.7,10.3,515.3,360.9,76.2,1,499,408,42.5,0,601.4,314.7,490.5,443.8
18001000070,18,001,000070,298.1,163.7,34.7,6,243.5,194.5,58.5,0,247.4,214.4,30.8,0,326.8,146.8,265.2,222.3
18001000080,18,001,000080,404,157.9,15.8,4.3,336.6,219.2,25.6,0,344.4,221.9,13.8,0,419.7,137,323.1,243.1
18001000090,18,001,000090,634,301,58.1,10.4,520.6,393.1,76.6,1,510.9,444.5,26,1,652.5,298.2,509.4,464
18001000100,18,001,000100,523.9,183.4,41,7.6,455.1,245.4,52.5,0,441.8,291.1,20,0,551.4,186.2,416.3,335.6
18001000110,18,001,000110,315,32,13,8,306,57,10,0,309,57,5,0,333,34,274,94
18001000120,18,001,000120,361.6,106.9,24.7,3,299.2,144.5,44.5,1,301.2,168.2,11.9,0,374.4,102.9,312,170.2
18001000130,18,001,000130,290,45,12,4,265,72,12,0,262,68,12,0,291,45,239,102
18001000140,18,001,000140,134,24,7,2,112,46,7,0,123,39,2,0,139,23,110,55
18001000150,18,001,000150,417,53,17,5,369,94,26,0,352,130,6,0,417,50,330,147
18001000160,18,001,000160,57.7,14.4,3.9,0,48.1,20.2,7.7,0,51,18.3,3.9,0,56.8,16.4,46.2,28.9
18001000170,18,001,000170,256.1,78,18,7,223.1,116,25,0,229.1,120,10,0,276.1,68,197.1,163
18001000180,18,001,000180,202.5,46.3,11.9,4.5,176.2,64.4,19.3,0,170.9,82.4,8.3,0,208.2,46.2,163.9,95
18001000190,18,001,000190,447,101,30,7,394,158,32,0,388,177,13,0,464,99,379,196
18001000200,18,001,000200,379.8,32.7,12.1,6.9,339.3,64.4,28.8,0,335.5,83,11,0,378.2,34.5,287.3,128.5
18001000210,18,001,000210,420.3,118.6,26.1,6,354.9,179.8,37.3,0,353,203.7,15.2,0,446.2,102.6,310.8,246.1
18001000220,18,001,000220,452,104,22,3,359,170,40,0,350,201,18,0,449,111,362,199
18001000230,18,001,000230,364,94,24,4,308,138,39,0,311,161,8,0,380,100,293,184
18001000240,18,001,000240,255.9,46.4,5.2,0.1,215.4,74.1,20,0,232.8,65.8,6,0,254.3,44.3,221.1,84.5
18001000250,18,001,000250,409,105,27.2,5.7,374.4,135.8,40.5,0,353.6,167.1,26.2,0,435.3,96,350.9,189.9
18003000010,18,003,000010,128,190,19,5,125,188,25,1,132,185,14,0,150,174,129,201
18003000020,18,003,000020,114,150,20,6,124,143,19,0,125,150,7,0,137,146,116,165
18003000030,18,003,000030,365,249,32,16,346,273,43,0,351,289,22,0,431,207,340,311
18003000040,18,003,000040,252.2,167.3,19.1,5,248.9,165.7,21.6,0.8,244.8,184.8,10,0.8,291.4,139.9,245.6,188.2
18003000050,18,003,000050,334,227,35,18,328,241,41,0,328,257,21,0,388,197,318,271
18003000060,18,003,000060,272.8,246.7,17.9,12,260.1,245.3,31.4,0.2,266.2,257.2,17,0.2,325.6,201.1,270.4,260.9
18003000070,18,003,000070,192,91,16,7,168,113,21,0,178,110,14,0,210,81,174,121
18003000080,18,003,000080,277,169,19,20,258,190,35,0,274,191,12,0,324,136,263,203
18003000090,18,003,000090,527.5,261.8,44.8,9.7,497.3,312.4,37,0,511.9,310.4,18.5,0,612.1,202.4,495.4,330.9
18003000100,18,003,000100,96.3,75.2,5,2,87.3,74.2,15,0,87.3,83.2,4,0,109.3,65.1,88.3,87.2
18003000110,18,003,000110,438.9,281.4,41.3,12.1,387.7,318,59.4,1.1,422.1,320.5,18.5,0,505.2,229.1,420.9,332
18003000120,18,003,000120,380,206,26,6,363,216,28,1,365,217,17,0,424,170,347,250
18003000130,18,003,000130,280,213,30,8,259,242,33,0,271,243,22,0,329,187,276,254
18003000140,18,003,000140,655,421.2,55.1,19.1,608.9,474.4,59.2,0,615.9,485.4,35.1,0,733.3,376,609.9,510.5
18003000150,18,003,000150,405,256.8,28.9,12.9,386.1,285.6,31.8,0,388.1,291.6,20.9,0,467.7,211,383.1,303.5
18003000160,18,003,000160,135,125,16,6,112,140,21,0,123,137,16,0,156,113,129,145
18003000170,18,003,000170,278,146,30,5,268,158,34,0,275,166,18,0,310,138,265,184
18003000180,18,003,000180,383.6,154.2,31,6,388.6,158.3,27,0,394.6,162.3,8,0,446.7,102.2,382.6,174.3
18003000190,18,003,000190,497,334,44,18,456,375,55,0,465,395,22,0,574,282,453,412
18003000200,18,003,000200,415,246,27,17,379,277,44,0,403,277,21,0,456,228,386,308
18003000210,18,003,000210,407,256,30,7,384,284,26,0,392,283,14,0,454,229,380,310
18003000220,18,003,000220,724.4,311.8,48,23,700.4,356.7,50,0,717.4,355.7,27,0,829.3,259.8,686.5,406.7
18003000230,18,003,000230,349,186,36,9,346,208,27,1,345,214,14,0,406,156,329,236
18003000240,18,003,000240,295,153,31,9,268,183,27,1,281,181,13,0,322,139,275,191
18003000250,18,003,000250,447,285,37,3,421,303,46,0,434,309,21,0,501,250,416,338
18003000260,18,003,000260,541,230,40,26,527,259,49,1,519,275,29,0,608,191,508,301
18003000270,18,003,000270,532.4,175.8,17.5,6.5,522.9,195,18.8,0,522,204.4,7.7,0.8,583.3,137.6,511.8,210.6
18003000280,18,003,000280,608,272.6,22.6,11.9,581.8,289.5,33.4,1,587.4,302.6,14.6,1.2,683.6,203.8,571.1,315.7
18003000290,18,003,000290,398.9,201.4,24.6,8,377.6,232.7,21.3,0.7,383.6,234,12,0.7,429.5,184.2,368.3,251.3
18003000300,18,003,000300,356.1,192,18,10,330.1,212,27,0,343.1,211,12,0,391.1,162,330.1,226
18003000310,18,003,000310,462,246,35,2,429,269,45,0,428,283,27,0,504,214,449,278
18003000320,18,003,000320,401,244,34,8,377,272,39,0,379,288,17,2,437,222,371,305
18003000330,18,003,000330,4.3,3,0,0,2.3,5,0,0,2.3,5,0,0,3.3,4,2.3,5
18003000340,18,003,000340,195,133,13,8,166,155,27,0,175,154,18,0,214,118,177,162
18003000350,18,003,000350,220.5,135.6,19.2,8.1,225.5,142.8,15.2,0,221.5,150.8,10.1,0,254,115.3,224.5,153.8
18003000360,18,003,000360,264,265,42,25,260,275,51,0,255,301,28,1,330,242,262,314
18003000370,18,003,000370,304.4,254,49,12,286,268.5,62,0,282.5,297.9,29.7,0,352,242.4,299.9,300
18003000380,18,003,000380,402,401,56,23,397,434,54,0,399,449,35,0,496,359,411,460
18003000390,18,003,000390,356.8,290.5,57,11.2,335.3,318.5,62.6,0,346.6,338.1,24.3,0.9,411,272.8,339.1,357.8
18003000400,18,003,000400,148,125,21,5,125,138,32,0,136,138,17,0,166,120,143,142
18003000410,18,003,000410,252,257,42,5,234,288,36,0,243,286,19,0,293,241,265,273
18003000420,18,003,000420,202,169,25,7,197,175,27,0,205,179,9,0,232,157,207,185
18003000430,18,003,000430,159,148,15,5,138,160,27,0,142,163,14,0,186,127,148,172
18003000440,18,003,000440,180,261,42,17,190,265,43,0,190,276,25,2,230,252,205,279
18003000450,18,003,000450,90,93,25,10,91,105,20,0,89,112,11,0,114,96,100,109
18003000460,18,003,000460,45.4,86.8,17.8,3.9,46.4,85.8,18.7,0,48.3,94.7,7.9,0,60.1,85.8,53.2,94.7
18003000470,18,003,000470,287.6,243.6,25.4,12.8,273.9,254.7,38.8,0,282.6,262.3,21.9,0.1,333.6,210.5,279.3,272.7
18003000480,18,003,000480,373,219,32,9,371,225,31,0,374,230,22,0,420,187,348,264
18003000490,18,003,000490,322,165,27.3,10.8,286,187.5,42.9,1,303.5,188.5,20.5,0,355.2,148.5,301.6,209.9
18003000500,18,003,000500,367.4,202,23.2,7.7,339.3,215.6,36.7,0,345.1,235.9,9.7,0,398.3,179.8,336.4,246.5
18003000510,18,003,000510,507,269,60,16,472,305,76,2,472,335,46,0,564,268,472,368
18003000520,18,003,000520,246,93,24,8,236,114,22,0,244,113,12,0,273,77,217,135
18003000530,18,003,000530,420,381,73,26,406,407,79,1,409,436,41,0,510,356,424,451
18003000540,18,003,000540,322.8,193.9,17,8,322.8,201.9,13,0,324.8,204.9,6,0,365.8,159.9,305.8,225.9
18003000550,18,003,000550,60.8,59.8,6,8,57.8,64.8,9,0,58.8,68.8,4,0,67.8,61.8,56.8,73.7
18003000560,18,003,000560,208.6,137.2,23.2,5.1,203.7,140.2,25.3,0,199.7,155.3,14.1,0,239.8,121.2,196.8,168.3
18003000570,18,003,000570,726.7,282.3,46.2,13.7,696.2,317.6,56.9,1,708.9,337.3,28.5,0,816,233.2,697.1,361
18003000580,18,003,000580,494.4,173.6,22.8,11.3,480.8,193.2,29.1,0,475.2,210.5,11.5,1,531,150.6,468,221.9
18003000590,18,003,000590,567.7,210.4,30,7.2,567.2,222.3,26.6,1,565.8,239.9,10.6,0,641,148.5,545.5,253.5
18003000600,18,003,000600,613.2,276.3,34.8,14.9,604.3,300.1,40.8,0,608.2,312.1,19.9,0,693.7,220.6,609.2,314.1
18003000610,18,003,000610,226.3,139.8,22.1,9,209.1,154.9,29.2,0,221.2,156.9,13.1,0,246.4,130.7,216.2,165.9
18003000620,18,003,000620,154,246,29,16,156,256,33,1,167,258,19,1,233,192,152,280
18003000630,18,003,000630,153.7,153.6,16.4,3.6,160,140,24.6,0,160,151.8,12.7,0,173.7,142.7,160,157.3
18003000640,18,003,000640,331.2,250.1,24,9,305.1,274.1,34,0,303.2,280.1,20,0,364.2,228.1,299.2,289.1
18003000650,18,003,000650,125,85,14,5,132,81,13,1,140,85,4,0,166,58,127,99
18003000660,18,003,000660,100.9,208.4,33.9,17.2,96.7,217.9,40.7,0,91.7,240.1,20.4,0,131.5,209.5,102,239.1
18003000670,18,003,000670,193.7,278.2,24.2,18.2,187.2,277.3,45.4,0,199.4,280.3,25.3,0,226.9,260,199.9,295
18003000680,18,003,000680,131,183.5,35,13.2,127.8,196.1,37.7,0,124.8,216.3,18.4,0,161.6,189.6,137.1,214.2
18003000690,18,003,000690,417.9,195.9,31,11,351.9,248.9,44,1,371.9,248.9,20,1,432.9,204.9,398.9,241.9
18003000700,18,003,000700,143.3,177.3,18.7,6.7,126.3,195,24.4,0,130.1,199.6,13.7,0,158,181.5,130,211.7
18003000710,18,003,000710,451.8,305.9,38,23,398.9,350.9,62,1,439.8,341.9,29,1,515.8,282.9,425.8,371.9
18003000720,18,003,000720,223.4,159.6,27.9,4,182.6,189.5,41.9,0,204.5,190.5,17,0,243.4,158.6,214.5,194.5
18003000730,18,003,000730,434,238,25,7,381,260,53,0,397,271,28,0,464,210,400,272
18003000740,18,003,000740,276,222,23,10,237,230,53,0,250,237,26,0,306,201,270,245
18003000750,18,003,000750,266.8,224.5,27.1,5,250.6,233.6,41.1,0,243.6,248.6,26,0,311.8,199.5,244.6,265.6
18003000760,18,003,000760,340.8,260.2,27.5,9.3,302.6,285.7,45.2,0,314.6,298.8,21.2,0,377.7,242.2,325.5,303.4
18003000770,18,003,000770,191.3,164,29.1,9,185.2,177.1,29.2,0,196.2,171.2,17.1,0,212.5,162.9,184.3,198.2
18003000780,18,003,000780,304.8,245.2,41.6,16.2,278.2,264.7,55.7,0,272.6,289.8,32.3,0,331.5,233.9,280.6,291
18003000790,18,003,000790,349,190.6,27.4,5.9,330.4,210.2,28.4,0,331.4,217,14.7,0,390,164.2,338.2,225.8
18003000800,18,003,000800,448.3,221.6,33,10,412.3,260.6,33.9,0,416.3,271.6,16,0,506.2,180.7,415.3,281.5
18003000810,18,003,000810,345,274.4,23.6,8.1,327.6,279.8,33.6,1,332.6,286,19.3,0,379,243.8,312.8,310.2
18003000820,18,003,000820,379.8,234.6,32.7,16,351.3,253.3,53.4,0,361.1,268.9,22.7,0,428.2,207.8,368.4,276.9
18003000830,18,003,000830,433,175.8,21.8,7.9,388.3,206.6,37.7,0,383.3,229.4,13.9,0,462.8,159.9,386.3,235.3
18003000840,18,003,000840,322,176,16,10,299,195,19,0,298,203,11,0,353,139,281,218
18003000850,18,003,000850,626,338,60,20,588,381,60,0,591,401,32,0,709,291,588,417
18003000860,18,003,000860,310.2,236.1,24,13,314.1,239.1,30,0,313.1,250.1,14,0,373.2,194.1,316.2,253.1
18003000870,18,003,000870,185.3,141.1,19,5,180.3,144.2,26,0,184.3,150.2,13,0,220.3,119.1,183.3,153.2
18003000880,18,003,000880,489.5,199.6,35.7,10.9,472.6,235.3,30.8,0,487.5,234.3,13.9,1,544.1,169.8,464.7,256.2
18003000890,18,003,000890,172.2,145.8,25.4,7.8,145.8,168.3,31.3,0,162.4,170.2,14.7,0,202.5,133.1,162.4,182
18003000900,18,003,000900,265,227,35,17,231,254,51,0,232,269,31,0,300,215,246,275
18003000910,18,003,000910,283,156,25,9,252,185,36,1,258,187,23,0,328,126,247,214
18003000920,18,003,000920,331,228,29,18,288,263,45,1,285,285,30,1,347,236,278,309
18003000930,18,003,000930,683.3,337.1,65.2,22.1,673.1,362.3,69.2,0,681.2,379.3,41.1,1,762.5,289,637.2,433.4
18003000940,18,003,000940,425,208.7,38.2,15.3,415.7,221.4,44.1,0.8,404.7,246.9,23.8,0.8,474.2,182.4,394.5,269.8
18003000950,18,003,000950,1.2,1.1,0.2,0,1.1,1.1,0.2,0,1.1,1.2,0.1,0,1.3,1,1.1,1.3
18003000960,18,003,000960,387.9,140.3,11.3,10.1,386.6,149.5,15.2,0,398,145.5,9.1,0,435.1,103.8,385.7,160.6
18003000970,18,003,000970,269.6,307,29.4,9.3,258.2,323.2,34.6,1,265.4,326.3,24.4,0,331.1,267.8,270.4,331.5
18003000980,18,003,000980,229.7,232.6,30.4,8.8,215.9,242.4,36.3,0,217.9,254.2,20.6,0,262.1,219.9,231.6,256.2
18003000990,18,003,000990,257.4,214.2,27.5,18.7,231.8,231.8,44.2,1,242.7,241.7,25.5,1,295.7,203.4,243.6,253.5
18003001000,18,003,001000,305.8,148.8,17.5,7.2,271.2,172,29.1,0,280.8,176,13.5,0,337.2,126.6,261,204.2
18003001010,18,003,001010,583.4,373.6,55.9,15,504.4,428.5,90.9,1,515.5,451.5,49,2,628.3,372.6,538.4,472.4
18003001020,18,003,001020,466,255,43,17,372,296,94,1,409,307,45,0,483,268,417,335
18003001030,18,003,001030,159.7,281.4,26,7,140.7,296.4,39.9,0,156.7,298.4,16,0,199.6,263.4,154.7,313.4
18003001040,18,003,001040,472,295,38,17,405,344,66,1,428,352,30,0,539,259,439,361
18003001050,18,003,001050,338.1,192,18.4,4.1,300.9,211.2,30.6,0,300,230.3,13.3,0,371.8,159.7,307.1,233.6
18003001060,18,003,001060,272.9,263,34.6,9.9,253.1,280.8,47.5,1,259,289.7,25.7,1,331.2,236.3,265.9,308.4
18003001070,18,003,001070,12.7,8.5,3.1,1,13.5,11.6,0.1,0,12.5,10.7,3,0,15.7,9.4,16.4,7.8
18003001080,18,003,001080,396.8,209.7,27.4,9.8,382.1,224.3,31.4,0,382.1,240,12.7,0,452.6,160.7,360.5,264.5
18003001090,18,003,001090,239,172,21,9,246,174,19,0,244,185,7,1,294,134,240,189
18003001100,18,003,001100,368.4,246.9,34.9,8,371.4,252.9,30.9,0,376.3,260.9,13.9,0,445,195.1,355.4,288.7
18003001110,18,003,001110,265.8,204.8,28,5,254.8,211,32.9,0,259.8,216,18.9,0,305,174.8,254.8,226.1
18003001120,18,003,001120,347,230.7,30.1,7,340.9,245.8,31.1,0,345.9,249.8,20.1,0,411.1,188.6,344.9,259.8
18003001130,18,003,001130,464,243,34,8,471,250,26,0,464,264,11,0,529,193,427,307
18003001140,18,003,001140,559,327,47,10,575,344,35,0,588,341,19,0,660,267,568,369
18003001150,18,003,001150,312,152,4,4,324,143,10,1,328,141,7,0,355,107,324,141
18003001160,18,003,001160,308,147,7,6,310,149,9,0,311,147,4,0,349,107,296,161
18003001170,18,003,001170,448.6,275,37.7,11.6,467.5,278.9,24.7,0,466.6,284.5,14.9,0,533.5,213.8,440,319.1
18003001180,18,003,001180,260,182,25,10,258,203,16,1,276,193,7,1,304,159,261,205
18003001190,18,003,001190,338,236,26,12,317,258,35,0,328,259,20,0,393,196,325,272
18003001200,18,003,001200,360,232,34,15,350,247,44,0,353,256,27,1,450,180,344,294
18003001210,18,003,001210,346,173,29,13,339,190,28,1,351,188,14,1,402,140,334,210
18003001220,18,003,001220,419.8,333.8,26.8,14.8,419.2,337.5,42,0,430.2,352.5,15.9,0,518.8,261.3,425.3,361.3
18003001230,18,003,001230,310.4,176.1,33.3,7.4,321.5,187.2,21.3,0,309.4,207.5,11.1,0,359.5,148.2,302,215.9
18003001240,18,003,001240,328,193,31,12,297,220,41,0,300,229,23,0,379,163,301,245
18003001250,18,003,001250,440,248,39,6,422,267,41,1,440,264,18,0,504,203,410,298
18003001260,18,003,001260,558.7,332.8,35.3,14.4,558.5,346.8,39.3,0,565.4,357.2,19.6,0,646.6,272.9,570.5,362.7
