GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRBRA,G18USSDDON,G18USSLBRE,G18SOSRLAW,G18SOSDHAR,G18SOSLRUT,G18AUDRKLU,G18AUDDWHI,G18AUDLSCH,G18TRERMIT,G18TREDAGU
18001000010,18,001,000010,414.21,145.23,27.79,447.85,116.34,12.92,438.85,121.28,14.01,457.75,120.19
18001000020,18,001,000020,440.42,107.61,28.03,466.47,86.51,18,458.37,93.53,18,477.41,90.54
18001000030,18,001,000030,459.05,115.27,13,492.97,88.26,4,482.89,93.26,7.98,496.89,86.3
18001000040,18,001,000040,152,25,1,161,14,2,156,16,2,157,17
18001000050,18,001,000050,451.33,313.36,57.62,503.72,253.39,40.22,481.15,275.46,37.41,512.04,275.09
18001000060,18,001,000060,436.3,328.28,46.86,487.85,272.29,36.32,456.1,298.38,34.57,497.27,287.9
18001000070,18,001,000070,215.7,160.75,30.77,245.47,134.98,18.85,232.54,147.87,14.9,258.37,136.94
18001000080,18,001,000080,324.11,185.98,20.6,368.27,150.73,4.3,347.08,159.41,11.53,361.5,156.2
18001000090,18,001,000090,453.33,349.75,47.2,510.3,304.2,22.23,483.33,317.1,31.89,519.08,312.18
18001000100,18,001,000100,410.26,218.67,24.87,432.36,188.13,22.83,430.3,187.27,18.16,446.59,188.18
18001000110,18,001,000110,282,44,2,288,37,4,289,38,3,290,40
18001000120,18,001,000120,272.49,121.73,19.78,298.19,99.96,11.86,284.33,111.82,10.87,303.12,102.93
18001000130,18,001,000130,228,50,7,239,41,4,234,44,6,246,37
18001000140,18,001,000140,117,27,2,124,18,2,115,25,2,122,20
18001000150,18,001,000150,331,72,16,352,48,11,341,56,8,353,51
18001000160,18,001,000160,46.19,17.32,0.96,44.26,16.36,2.89,44.26,15.4,4.81,50.04,13.47
18001000170,18,001,000170,189.12,108,15,219.11,69,16,217.11,70,14,233.11,70
18001000180,18,001,000180,174.07,55.19,13.67,183.29,54,5.55,171.58,55.93,9.07,189.64,48.7
18001000190,18,001,000190,340,124,23,357,106,13,342,110,18,372,99
18001000200,18,001,000200,310.68,38.77,5.21,313.04,29.65,3.08,309.04,29.71,6.99,314.14,25.81
18001000210,18,001,000210,327.81,134.68,15.04,352.74,104.64,14.11,336.74,113.6,13.19,356.96,105.53
18001000220,18,001,000220,310,122,16,327,107,8,313,109,17,333,99
18001000230,18,001,000230,265,110,24,293,89,12,282,94,12,302,87
18001000240,18,001,000240,209.04,53.39,4.19,214.37,44.28,1.14,206.41,46.38,1.15,210.59,46.24
18001000250,18,001,000250,351.89,118.02,27.4,373.73,99.27,16.7,361.92,99.59,22.47,384.5,95.8
18003000010,18,003,000010,112,157,10,119,145,9,124,142,5,122,148
18003000020,18,003,000020,77,134,7,82,131,5,89,120,6,86,132
18003000030,18,003,000030,246,256,26,279,225,15,290,210,19,298,220
18003000040,18,003,000040,190.65,170.67,9.16,208.96,147.36,10.82,216.45,137.36,7.49,212.29,145.69
18003000050,18,003,000050,249,244,16,268,223,15,278,209,18,290,213
18003000060,18,003,000060,220.35,243.33,12.84,250.04,213.64,11.18,246.55,203.64,17.51,250.71,215.31
18003000070,18,003,000070,149,108,9,157,98,11,167,88,7,163,99
18003000080,18,003,000080,203.99,187.99,6,225.99,154.99,12,233.99,145.99,14,236.99,155.99
18003000090,18,003,000090,434.04,305.58,24.33,485.62,256.92,16.54,494.37,238.43,19.46,504.11,244.27
18003000100,18,003,000100,66.24,80.17,6.01,73.27,75.14,6.01,74.27,70.13,7.01,75.28,78.14
18003000110,18,003,000110,327.2,268.62,24.5,364.38,236.38,15.5,375.94,214.39,21.62,386,226.13
18003000120,18,003,000120,292,221,21,321,190,16,319,190,17,325,198
18003000130,18,003,000130,212,198,14,218,188,12,233,168,15,235,178
18003000140,18,003,000140,494.6,455.37,20.1,544.74,402.23,16.08,562.81,373.11,20.08,573.85,376.15
18003000150,18,003,000150,329.4,280.63,20.9,358.26,252.77,15.92,372.19,228.89,15.92,379.15,236.85
18003000160,18,003,000160,104,128,13,124,111,9,122,111,8,126,116
18003000170,18,003,000170,209,162,14,227,142,12,229,133,18,239,141
18003000180,18,003,000180,328.36,160.21,13.01,349.39,125.17,11.02,359.4,111.16,11.01,363.4,117.16
18003000190,18,003,000190,370,355,26,407,315,21,428,286,17,427,301
18003000200,18,003,000200,329,246,16,348,226,12,351,209,17,358,217
18003000210,18,003,000210,326,257,8,344,233,12,364,211,15,359,228
18003000220,18,003,000220,584.64,334.79,23.99,629.61,280.83,24.98,649.6,260.84,17.99,656.6,260.84
18003000230,18,003,000230,251,195,18,272,171,13,285,156,16,295,161
18003000240,18,003,000240,207,154,14,219,130,18,224,126,15,229,135
18003000250,18,003,000250,340,288,14,373,254,9,386,232,11,377,247
18003000260,18,003,000260,427,245,29,453,215,25,461,202,29,467,216
18003000270,18,003,000270,448.43,203.83,9.81,472.7,176.14,8.78,487.21,153.44,10.55,489.62,163.99
18003000280,18,003,000280,488.71,273.69,19.36,522.35,239.9,12.59,536.77,220.66,13.05,540.68,226.71
18003000290,18,003,000290,312.49,214.09,10.64,337.75,188.16,10.64,344.4,172.2,12.63,347.06,178.85
18003000300,18,003,000300,267.15,190.04,13,293.16,162.03,11,306.16,142.03,9,299.16,157.03
18003000310,18,003,000310,387,238,26,397,215,26,405,204,27,407,222
18003000320,18,003,000320,317,242,25,340,223,12,340,219,16,349,221
18003000330,18,003,000330,2.42,4.02,0.01,1.47,4.97,0.01,1.47,4.96,0.01,1.47,4.97
18003000340,18,003,000340,156,111,8,165,104,6,163,105,6,170,104
18003000350,18,003,000350,155.89,124.76,5.17,170.19,103.49,9.1,174.2,98.37,7.15,167.27,109.44
18003000360,18,003,000360,195,257,31,204,240,26,219,221,23,221,240
18003000370,18,003,000370,241.41,257.04,22.14,266.42,231.09,15.68,284.75,209.98,17.57,282.88,224.7
18003000380,18,003,000380,337,436,30,372,397,27,396,354,39,390,389
18003000390,18,003,000390,243.8,332.54,31.76,267.15,304.51,28.02,277.43,287.7,30.83,291.44,302.65
18003000400,18,003,000400,98,125,12,107,114,8,114,106,9,115,112
18003000410,18,003,000410,176,236,29,187,227,20,200,215,17,209,225
18003000420,18,003,000420,159,160,18,187,138,7,184,140,6,190,139
18003000430,18,003,000430,120,145,11,129,135,8,133,127,13,139,133
18003000440,18,003,000440,105,248,17,117,231,16,127,224,16,132,231
18003000450,18,003,000450,67,99,14,74,95,11,78,91,9,84,93
18003000460,18,003,000460,36.48,72.97,9.86,43.39,72.97,2.96,44.37,71.98,1.97,47.33,71
18003000470,18,003,000470,226.28,264.5,22.34,247.05,241.4,18.03,258.89,225.1,17.26,265.82,238.22
18003000480,18,003,000480,303,220,21,334,189,17,345,172,15,353,173
18003000490,18,003,000490,245.87,175.79,13.67,263.42,150.43,19.52,266.36,146.51,15.62,273.2,156.27
18003000500,18,003,000500,272.61,211.71,17.4,298.71,177.87,13.53,310.31,168.21,11.6,314.18,175.94
18003000510,18,003,000510,355,310,36,380,275,39,397,262,32,406,278
18003000520,18,003,000520,205,126,13,220,104,12,223,101,14,229,106
18003000530,18,003,000530,314,351,38,342,330,26,360,306,30,372,322
18003000540,18,003,000540,277.83,188.88,11.99,291.82,170.89,11.99,309.81,152.91,11.99,303.81,166.9
18003000550,18,003,000550,31.92,65.77,4.98,31.93,65.76,4.98,35.91,60.78,4.98,37.91,62.77
18003000560,18,003,000560,159.52,139.03,7.14,175.62,118.03,10.04,170.63,115.02,13.03,179.67,122
18003000570,18,003,000570,550.79,326.39,16.72,586.2,268.39,28.5,589.16,253.63,30.46,603.89,266.4
18003000580,18,003,000580,402.23,202.47,12.28,417.82,173.5,17.48,433.87,159.25,16.51,433.12,170.47
18003000590,18,003,000590,476.04,217.22,15.61,517.04,179.79,6.21,521.64,164.19,10.81,517.61,174.64
18003000600,18,003,000600,501.9,303.13,29.82,555.57,255.43,16.9,555.57,235.55,26.83,568.49,247.47
18003000610,18,003,000610,150.93,141.8,9.04,161.01,135.7,4.03,157.04,133.64,8.06,161.04,135.69
18003000620,18,003,000620,123,288,17,150,251,21,184,213,19,171,246
18003000630,18,003,000630,87.29,130.91,13.63,99.11,123.64,9.09,99.11,122.73,8.18,105.47,123.64
18003000640,18,003,000640,257.01,221.03,24.99,273.01,206.02,15.01,280.01,194.02,16.01,275.03,213.02
18003000650,18,003,000650,140,86,5,153,72,4,166,53,5,167,55
18003000660,18,003,000660,72.52,247.33,12.26,82.55,237.18,10.35,87.55,230.1,13.43,86.63,240.44
18003000670,18,003,000670,136.32,260.71,16.19,150.35,245.73,14.14,155.44,232.63,17.15,153.45,248.81
18003000680,18,003,000680,90.61,194.45,10.27,99.64,187.3,9.36,104.64,176.21,15.45,103.73,188.57
18003000690,18,003,000690,275.83,197.88,17.99,307.81,174.89,7,308.81,173.89,10.99,312.81,175.89
18003000700,18,003,000700,99.74,147.58,11.27,116.13,134.13,9.9,116.16,124.95,16.98,120.1,137.77
18003000710,18,003,000710,332,296.99,25.01,354,269,24,362,254,27.99,370.99,275
18003000720,18,003,000720,139.65,159.6,3.99,153.62,143.64,3.99,154.62,132.67,10.97,153.62,143.64
18003000730,18,003,000730,338,218,20,357,194,23,361,189,20,367,198
18003000740,18,003,000740,185,176,20,196,168,14,188,167,17,205,170
18003000750,18,003,000750,195.38,228.52,15.06,214.43,213.49,12.03,216.43,201.47,19.03,220.44,212.49
18003000760,18,003,000760,247.63,252.95,9.32,264.74,229.33,9.86,269.72,230.24,5.79,271.34,232.32
18003000770,18,003,000770,132.98,141.98,17.03,148.04,131.89,11.04,141.06,131.89,15.02,153.07,133.9
18003000780,18,003,000780,204.8,257.62,30.32,230.19,225.34,24.15,227.28,225.19,25.19,242.24,236.41
18003000790,18,003,000790,240.47,191.59,21.51,263.93,172.04,15.64,276.63,158.36,15.64,273.7,171.06
18003000800,18,003,000800,351.42,243.6,20.97,382.37,209.66,14.98,398.34,190.69,17.97,401.34,202.67
18003000810,18,003,000810,247.53,265.41,16.49,262.07,235.96,24.36,276.37,224.64,20.36,279.3,243.94
18003000820,18,003,000820,316.84,245.28,23.81,337.44,226.46,19.51,348.31,207.8,21.38,357.06,220.12
18003000830,18,003,000830,322.81,172.86,19.87,345.66,152,14.9,348.64,142.07,18.87,352.61,154.98
18003000840,18,003,000840,262,207,12,298,169,7,297,164,8,301,168
18003000850,18,003,000850,492,348,26,544,299,16,558,269,20,564,277
18003000860,18,003,000860,240.13,226.08,12.01,267.14,194.07,9,276.14,182.06,9.01,282.14,184.06
18003000870,18,003,000870,162.25,144.15,13.01,174.28,126.13,14.01,175.28,123.12,15.01,176.28,135.12
18003000880,18,003,000880,381.31,249.19,9.95,416.05,206.53,11.92,426.99,184.67,15.88,434.92,189.65
18003000890,18,003,000890,127.2,164.38,14.68,144.81,151.66,6.85,148.72,144.81,8.81,146.76,154.59
18003000900,18,003,000900,198,235,27,222,217,18,219,210,23,229,223
18003000910,18,003,000910,207,179,13,220,160,13,226,145,15,228,156
18003000920,18,003,000920,233,231,20,250,205,22,253,203,22,262,212
18003000930,18,003,000930,532,348.27,23.1,566.13,311.09,19.1,575.18,284.02,23.11,580.23,303.08
18003000940,18,003,000940,311.35,212.09,30.54,333.41,184.95,28,338.5,181.55,22.06,353.77,184.1
18003000950,18,003,000950,0.88,1.01,0.09,0.98,0.91,0.06,1.03,0.83,0.08,1.03,0.9
18003000960,18,003,000960,339.14,148.96,14.28,357.08,127.11,8.37,374.98,109.46,7.66,367.45,121.2
18003000970,18,003,000970,205.54,298.57,14.18,226.74,267.32,16.18,234.73,256.31,18.15,235.81,268.4
18003000980,18,003,000980,173.73,221.82,9.82,195.32,196.3,8.83,206.12,186.49,8.83,197.28,201.21
18003000990,18,003,000990,183.71,185.67,12.77,198.44,167.99,12.77,197.46,167.01,10.81,203.36,173.88
18003001000,18,003,001000,235.41,166.61,11.41,254.09,145.06,10.22,265.12,127.26,12.18,269,134.39
18003001010,18,003,001010,420.34,387.39,37.94,453.29,358.44,21.97,465.27,343.46,30.95,475.26,358.44
18003001020,18,003,001020,327,241,33,354,226,21,343,226,27,365,233
18003001030,18,003,001030,106.78,247.48,17.96,118.75,244.49,9.98,114.76,243.49,14.97,123.74,248.48
18003001040,18,003,001040,332,301,28,368,261,28,364,257,27,377,271
18003001050,18,003,001050,262.63,195.06,8.19,287.83,167.79,9.19,289.98,152.62,14.17,299.95,155.82
18003001060,18,003,001060,228.37,265.94,16.81,246.17,242.21,16.81,259.02,227.38,14.83,256.05,245.18
18003001070,18,003,001070,10.36,7.48,0.02,11.37,6.43,0.03,11.4,6.4,0.02,11.4,6.41
18003001080,18,003,001080,337.98,219.44,22.53,370.31,188.09,15.67,381.09,162.62,17.63,385.01,177.32
18003001090,18,003,001090,177,166,11,188,145,17,203,125,13,199,142
18003001100,18,003,001100,309.63,245.92,10.95,337.51,216.05,5.97,346.47,199.12,11.95,351.45,201.11
18003001110,18,003,001110,201.11,217.92,9.99,217.24,199.8,7.01,219.2,192.8,7.09,227.23,190.84
18003001120,18,003,001120,282.72,218.79,12.04,311.78,185.72,8.03,309.79,175.7,18.03,322.82,176.69
18003001130,18,003,001130,372,247,9,390,218,14,421,189,12,412,200
18003001140,18,003,001140,478,350,19,520,304,13,522,281,25,529,294
18003001150,18,003,001150,274,164,4,301,132,3,306,125,3,302,130
18003001160,18,003,001160,266,147,4,280,125,6,286,114,10,283,126
18003001170,18,003,001170,405.95,285.61,15.41,442.54,249.55,11.81,459.27,231.45,10.81,460.35,236.34
