GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20GOVRHOL,G20GOVDMYE,G20GOVLRAI,G20ATGRROK,G20ATGDWEI
18001000010,18,001,000010,585.22,135.17,19.92,499.48,104.31,137.56,579.82,151.26
18001000020,18,001,000020,607.99,132.65,25.99,520.7,98.4,144.53,593.96,143.61
18001000030,18,001,000030,562.38,128.27,5.99,537.08,79.18,73.4,541.43,132.22
18001000040,18,001,000040,212,24,4,171,16,48,198,35
18001000050,18,001,000050,701.07,348.17,36.23,655.88,219.14,203.37,691.44,359.76
18001000060,18,001,000060,672.41,374.04,32.33,609.83,239.61,215.23,657.57,388.82
18001000070,18,001,000070,365.64,203.36,17.86,304.11,151.74,123.08,339.83,219.26
18001000080,18,001,000080,478.18,189.34,4.72,447.7,125.13,100.29,471.98,184.67
18001000090,18,001,000090,756.05,366.58,35.54,656.77,247.4,248.48,733.9,399.22
18001000100,18,001,000100,589.88,216.88,12.51,540.1,133.9,135.79,585.01,214.25
18001000110,18,001,000110,337,37,3,298,26,55,336,38
18001000120,18,001,000120,405.08,135.57,12.85,347.67,94.99,116.77,389.26,155.33
18001000130,18,001,000130,305,56,3,237,39,92,310,53
18001000140,18,001,000140,143,21,1,115,18,28,134,29
18001000150,18,001,000150,414,74,7,375,43,78,413,71
18001000160,18,001,000160,65.43,18.28,1.92,51.96,13.47,19.25,58.7,24.06
18001000170,18,001,000170,304.13,81,6,250.11,57,85.03,309.13,76.01
18001000180,18,001,000180,253.95,52.96,5.53,229.31,29.22,52.05,241.25,64.68
18001000190,18,001,000190,491,116,12,449,77,90,481,127
18001000200,18,001,000200,390.64,31.83,6.08,323.41,22.69,84.42,373.06,42.73
18001000210,18,001,000210,471.57,116.72,11.08,401.04,71.53,127.75,459.3,127.94
18001000220,18,001,000220,474,110,5,422,65,96,443,128
18001000230,18,001,000230,404,86,6,360,54,84,393,93
18001000240,18,001,000240,262.56,57.51,1.17,235.54,36.44,49.29,259.35,55.84
18001000250,18,001,000250,433.82,123.66,10.28,403.3,80.87,82.71,440.02,125.33
18003000010,18,003,000010,123,210,9,155,172,14,130,206
18003000020,18,003,000020,125,184,9,135,159,22,132,179
18003000030,18,003,000030,375,321,18,416,208,82,382,310
18003000040,18,003,000040,245.59,188.98,8.33,288.88,131.54,24.14,258.08,177.33
18003000050,18,003,000050,336,305,17,368,220,65,349,302
18003000060,18,003,000060,278.41,346.02,12.67,336.12,254.46,44.86,310.92,312.67
18003000070,18,003,000070,181,128,3,183,85,40,175,125
18003000080,18,003,000080,277.98,222.99,12,319.98,154.99,40,304.98,189.99
18003000090,18,003,000090,584.88,348.4,29.2,654.95,214.1,88.56,629.65,310.45
18003000100,18,003,000100,89.33,97.19,2.02,95.36,71.12,16.05,93.35,89.17
18003000110,18,003,000110,464.27,344.59,24.62,498.31,246.56,88.54,496.64,327.1
18003000120,18,003,000120,399,251,16,410,174,77,412,240
18003000130,18,003,000130,268,270,17,296,204,62,299,253
18003000140,18,003,000140,642.89,594.7,18.08,734.29,418.13,104.26,676.07,552.58
18003000150,18,003,000150,388.11,349.3,16.92,469.71,231.87,52.74,424.93,324.42
18003000160,18,003,000160,154,170,7,179,122,30,164,166
