GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSDWIE,G16USSRMOR,G16USSLGAR,G16USSOTH
20001000010,20,001,000010,35,112,4,3,0,25,128,5,0
20001000020,20,001,000020,18.9,109.1,0,0,1,13.9,109.1,4,0
20001000030,20,001,000030,9,46,1,1,0,8,46,8,0
20001000040,20,001,000040,58,197,13,4,2,54,199,13,0
20001000050,20,001,000050,10,44,2,2,0,10,43,5,0
2000100006A,20,001,00006A,31.2,111.4,3.7,3.4,2,22.5,118.3,6,0
2000100006B,20,001,00006B,0,0,0,0,0,0,0,0,0
2000100006C,20,001,00006C,4.4,12.2,0.8,0,0,2.6,12.8,1.2,0
2000100006D,20,001,00006D,0,0.2,0,0,0,0,0.2,0,0
20001000070,20,001,000070,110.1,205.1,18.4,12.6,2.9,98.5,218.6,29,0
20001000080,20,001,000080,121.4,254.7,16.9,13,2.1,92.6,295.1,22,0
20001000130,20,001,000130,24.9,69.1,4.2,0.1,0,14.9,72.7,6.8,0
20001000140,20,001,000140,82,265,11,5,0,70,270,22,0
20001000150,20,001,000150,23,63,6,0,0,10,77,7,0
2000100016A,20,001,00016A,25,99.7,7.2,3,0,28.2,95.8,11.8,0
2000100016C,20,001,00016C,3.8,10.8,0.7,0.2,0.1,3,11.3,0.9,0
20001000170,20,001,000170,27,91,7,1,0,24,96,3,0
20001000180,20,001,000180,28,87,8,5,0,35,89,7,0
20001000190,20,001,000190,19,47,0,1,2,13,56,1,0
2000100020A,20,001,00020A,67,195.9,5.1,7,0,54.1,205.8,9.1,0
2000100020B,20,001,00020B,0.6,1.1,0.1,0.1,0,0.6,1.1,0.1,0
2000100020C,20,001,00020C,0,0,0,0,0,0,0,0,0
20001000210,20,001,000210,120.2,340.2,21.3,7.8,1.9,95,355.7,30,0
20001170010,20,001,170010,144.1,281.1,33.6,10,1,110.4,326.7,27.8,0
