GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDBOL,G20USSRMAR,G20USSLBUC
20001000010,20,001,000010,32,134,4,35,133,2
20001000020,20,001,000020,17.86,100.19,1.98,24.8,88.29,5.95
20001000030,20,001,000030,11,60,1,11,56,2
20001000040,20,001,000040,45,237,2,50,204,26
20001000050,20,001,000050,12,65,0,13,61,1
2000100006A,20,001,00006A,30.05,142.72,4.19,32.47,133.92,8.67
2000100006B,20,001,00006B,0,0,0,0,0,0
2000100006C,20,001,00006C,3.78,13.76,0.15,4.54,12.55,0.45
2000100006D,20,001,00006D,0.04,0.22,0.01,0.04,0.21,0.01
20001000070,20,001,000070,136.18,271.84,8.7,148.73,243.81,22.23
20001000080,20,001,000080,132.26,282.54,11.04,137.37,261.35,28.93
20001000130,20,001,000130,21.82,77.63,0.93,26.03,70.78,2.74
20001000140,20,001,000140,88,284,6,100,259,19
20001000150,20,001,000150,16,76,1,17,73,4
2000100016A,20,001,00016A,33.01,106.85,2.94,32.12,100.65,8.97
2000100016C,20,001,00016C,4.33,11.9,0.28,4.75,10.95,0.92
20001000170,20,001,000170,35,107,0,40,98,4
20001000180,20,001,000180,43,110,1,47,96,11
20001000190,20,001,000190,19,68,1,20,68,1
2000100020A,20,001,00020A,69.04,239.44,6.98,69.17,232.28,12.03
2000100020B,20,001,00020B,0.63,1.21,0.05,0.69,1.08,0.13
2000100020C,20,001,00020C,0,0,0,0,0,0
20001000210,20,001,000210,136.67,376.1,8.72,150.25,346.05,29.08
20001170010,20,001,170010,171.88,315.16,6.97,174.92,282.42,29.8
20001170020,20,001,170020,174.34,442.8,7.92,182.27,415.06,28.73
20001170030,20,001,170030,172.09,329.56,14.1,186.21,294.22,34.26
2000117003B,20,001,17003B,0,0,0,0,0,0
2000117003C,20,001,17003C,1.08,3.63,0.1,1.04,3.43,0.3
20001170040,20,001,170040,163.93,361.36,12.93,192.58,310.87,30.79
20001190010,20,001,190010,0.02,0.09,0,0.02,0.09,0.01
20001190020,20,001,190020,0,0,0,0,0,0
20003000010,20,003,000010,26.05,121.9,1.56,29.17,105.75,11.46
2000300002A,20,003,00002A,134.3,393.03,9.88,145.16,346.61,39.5
2000300002B,20,003,00002B,0.28,1.29,0.02,0.37,1.12,0.09
2000300002C,20,003,00002C,0.09,0.39,0.01,0.11,0.34,0.03
20003000030,20,003,000030,106.94,376.47,22.78,122.22,338.12,40.88
20003000040,20,003,000040,88,268.02,6,92,237.01,32
20003000050,20,003,000050,16.88,69.52,5.96,19.86,62.57,6.95
20003000060,20,003,000060,17.15,57.87,1.37,17.61,51.46,5.72
20003000080,20,003,000080,11.85,56.28,0,9.87,49.37,5.92
20003000100,20,003,000100,7.42,35.63,0,8.17,34.64,0.74
20003000110,20,003,000110,18.41,93.69,1.04,20.6,84.45,10.04
20003000120,20,003,000120,9.53,47.63,0.91,9.98,43.55,4.54
20003000130,20,003,000130,11.47,57.37,1.09,12.02,52.45,5.46
2000300014A,20,003,00014A,32.53,145.45,2.88,42.62,126.75,10.48
20003000160,20,003,000160,24.1,112.82,1.44,26.95,97.88,10.61
20003000170,20,003,000170,49,126,6,49,116,13
20003000180,20,003,000180,19,114,5,21,105,8
20003000190,20,003,000190,22.58,108.37,0,24.83,105.36,2.26
20003000200,20,003,000200,57.85,195.13,4.63,59.39,173.54,19.28
20003000210,20,003,000210,26.91,122.32,0.08,30.15,114.79,4.38
20003000220,20,003,000220,36,110,2,40,94,14
20003000230,20,003,000230,4.11,18.07,0.59,3.38,16.89,1.47
20003000240,20,003,000240,23.89,104.93,3.41,19.62,98.11,8.53
20003200010,20,003,200010,0,0,0,0,0,0
20003200020,20,003,200020,37.66,192.83,4.36,37.9,182.24,12.64
20005000010,20,005,000010,95,194,3,94,179,15
20005000020,20,005,000020,115,190,5,118,186,15
20005000030,20,005,000030,143,188,14,142,174,32
20005000040,20,005,000040,221.4,343.34,15.01,222.57,316.03,35.15
2000500005A,20,005,00005A,385.2,596.35,31.64,384.8,545.23,78.91
2000500006A,20,005,00006A,230.66,280.89,3.01,228.67,244.93,36.96
2000500006B,20,005,00006B,0.02,0.05,0,0.02,0.05,0.01
2000500006C,20,005,00006C,0,0,0,0,0,0
2000500007A,20,005,00007A,268.05,387.14,30,273.06,362.12,55.01
2000500007B,20,005,00007B,0.14,0.37,0.01,0.16,0.32,0.04
2000500007C,20,005,00007C,0,0,0,0,0,0
2000500008A,20,005,00008A,143.65,244.43,11.67,139.17,215.97,40.7
2000500008B,20,005,00008B,0,0,0,0,0,0
2000500008D,20,005,00008D,0.11,0.27,0.01,0.12,0.24,0.03
20005000090,20,005,000090,82,268,5,90,236,29
20005000100,20,005,000100,71.85,284.37,4.02,84,249.1,26.17
20005000110,20,005,000110,34,284,10,45,262,20
20005000120,20,005,000120,23,85,4,27,75,10
20005000130,20,005,000130,35,115,0,35,107,6
20005000140,20,005,000140,72,281,7,86,243,27
2000500016A,20,005,00016A,201.24,503.57,17.64,216.91,445.61,53.11
2000500017A,20,005,00017A,86.25,174,3.99,86.25,156.98,17.03
2000500017B,20,005,00017B,0.01,0.01,0,0.01,0.01,0
20005100050,20,005,100050,118.08,393.1,9,122.08,373.08,27.01
20005120030,20,005,120030,33.15,92.63,0.98,39,81.9,6.83
20005180010,20,005,180010,0.18,0.47,0.02,0.2,0.42,0.05
20005180020,20,005,180020,0,0,0,0,0,0
20007000010,20,007,000010,0,3,0,0,3,0
20007000020,20,007,000020,0,7,1,0,7,1
20007000030,20,007,000030,0,23,0,0,22,0
20007000040,20,007,000040,16,70,1,15,64,8
20007000050,20,007,000050,16,77,3,23,65,6
20007000060,20,007,000060,9,56,2,12,53,2
20007000070,20,007,000070,40,289,6,47,272,16
20007000080,20,007,000080,36,164,3,43,153,8
20007000090,20,007,000090,7,45,1,8,41,3
20007000100,20,007,000100,1,13,0,1,12,0
20007000110,20,007,000110,48.27,270.93,2.73,51.02,253.6,17.31
2000700012A,20,007,00012A,45,238,5,45,220,19
2000700012B,20,007,00012B,0,0,0,0,0,0
20007000130,20,007,000130,24.6,202.22,3.09,21.7,192.63,8.58
20007000140,20,007,000140,11,137,0,12,126,7
20007000150,20,007,000150,5.13,47.85,0.18,6.28,44.78,2.11
20007000160,20,007,000160,4,49,3,7,46,2
20007000170,20,007,000170,5,21,0,7,17,1
20007000180,20,007,000180,0,20,0,0,19,1
20007000190,20,007,000190,2.01,23.85,0.57,2.59,22.7,1.44
20007000200,20,007,000200,11.99,142.15,3.43,15.41,135.3,8.56
20007000210,20,007,000210,0,31,2,0,29,3
20007000220,20,007,000220,5,8,0,5,8,0
20007000230,20,007,000230,4,76,0,6,73,0
20009000010,20,009,000010,3,23,1,4,23,1
20009000020,20,009,000020,6,41,0,7,39,1
20009000030,20,009,000030,27.01,207.08,2,31.02,200.08,5
20009000040,20,009,000040,18,92,1,16,88,6
20009000050,20,009,000050,10,62,2,9,61,3
20009000060,20,009,000060,2,24,0,2,23,1
20009000070,20,009,000070,24.42,205.88,3.02,27.47,198.73,3.1
20009000080,20,009,000080,1,52,0,5,45,3
20009000090,20,009,000090,14,31,1,14,29,3
20009000100,20,009,000100,5,24,1,5,24,1
2000900011A,20,009,00011A,127,212,13,128,205,22
2000900011B,20,009,00011B,0,0,0,0,0,0
20009000120,20,009,000120,130,383,9,145,351,24
20009000130,20,009,000130,104,302,9,105,291,19
20009000140,20,009,000140,154,483,12,173,457,19
20009000150,20,009,000150,166,463,5,165,448,14
20009000160,20,009,000160,139.15,634.59,0.14,137.26,628.46,12.15
20009000170,20,009,000170,124.69,366.21,13.12,125.83,341.86,27.24
20009000180,20,009,000180,148.24,369.6,9.99,156.22,346.76,18.91
2000900019A,20,009,00019A,138,443,9,164,397,24
2000900019B,20,009,00019B,0,0,0,0,0,0
20009000200,20,009,000200,99.98,223.3,6.2,96.54,211.27,22.54
20009000210,20,009,000210,97.13,137.43,9.14,97.23,128.3,17.15
2000900022A,20,009,00022A,43.63,76.07,2.36,42.89,64.81,11.41
2000900022B,20,009,00022B,0,0,0,0,0,0
2000900022C,20,009,00022C,5.42,24.14,0.59,5.72,23.26,1.18
2000900022E,20,009,00022E,0.2,0.89,0.02,0.21,0.86,0.04
2000900022F,20,009,00022F,0,0,0,0,0,0
2000900023A,20,009,00023A,86.31,489.36,10.49,93.89,479.63,11.62
2000900023B,20,009,00023B,9.25,83.53,0.93,12.7,77.44,2.71
2000900023C,20,009,00023C,0.67,2.98,0.07,0.71,2.87,0.15
20009000240,20,009,000240,63.01,222.06,3,61.01,206.06,21
20009000250,20,009,000250,62.23,267.84,6.04,71.23,254.79,8.07
20009000260,20,009,000260,56.09,221.94,1.03,56.09,204.92,15.03
2000900027A,20,009,00027A,48,211,3,52,191,21
2000900027B,20,009,00027B,0,0,0,0,0,0
20009000280,20,009,000280,55,335,9,52,325,18
20009000290,20,009,000290,196.58,891.12,10.98,220.53,820.27,48.9
20009000300,20,009,000300,14.96,107.73,2.99,16.96,105.74,2
20009000310,20,009,000310,12,89,2,14,84,4
20009000320,20,009,000320,10.98,67.85,2.99,12.97,68.85,0
20009000330,20,009,000330,33,125,6,37,118,11
20009000340,20,009,000340,45.36,202.08,4.95,47.84,194.66,9.9
20009000350,20,009,000350,20.7,169.31,3.93,20.7,164.38,6.9
20009000360,20,009,000360,10,47,1,11,46,1
20009000370,20,009,000370,13.97,92.79,1,17.96,84.81,4.99
20009000380,20,009,000380,12.03,72.21,2,12.04,69.19,4.01
20009000390,20,009,000390,2,30,1,4,28,1
20009900010,20,009,900010,0,0,0,0,0,0
