GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PREOFUE,G16USSRPAU,G16USSDGRA
2100100A102,21,001,00A102,211.84,10.32,0.99,2.73,1.85,0,176.89,39.87
2100100A104,21,001,00A104,372.82,29.32,5.79,2.87,3.86,0.02,314.95,85.25
2100100A105,21,001,00A105,280.52,30.52,2.03,0.06,1.89,0.87,257.26,53.04
2100100B102,21,001,00B102,385.26,135.38,12.69,5.1,8.54,0.84,378.87,147.76
2100100B104,21,001,00B104,414.34,51.08,8.58,1.26,1.15,0,360.38,97.81
2100100C102,21,001,00C102,369.96,96.71,14.05,1.05,14.03,0,340.17,148.41
2100100C104,21,001,00C104,519.68,103.79,9.97,5.27,12.39,0.05,476.92,155.53
2100100D101,21,001,00D101,344.18,47.14,1.02,0.01,1.01,0,315.6,66.91
2100100D103,21,001,00D103,323.05,46.29,2.95,2.95,1.97,0,271.83,91.6
2100100D104,21,001,00D104,287.67,108.61,4.89,2.94,0.98,0,248.53,150.68
2100100E101,21,001,00E101,472.43,50.02,6.44,0.12,3.41,0,405.06,103.55
2100100E104,21,001,00E104,478.23,155.98,12.41,3.04,10.28,0.06,440.74,198.32
2100100F101,21,001,00F101,498.42,111.04,9.62,3.13,4.79,0,431.61,179.22
2100100F103,21,001,00F103,506.46,92.25,14,1.67,3.2,0.11,434.32,158.62
2100100G101,21,001,00G101,573.52,131.94,16.47,0.78,12.7,1.06,505.12,199.2
2100100G102,21,001,00G102,597.51,122.23,19.05,2.01,9.95,0,537.81,195.68
2100300A101,21,003,00A101,434,164,14,8,3,0,418,191
2100300A102,21,003,00A102,493.45,84.67,20.94,3.64,1.82,0,452.48,136.56
2100300B101,21,003,00B101,583.44,114.41,9.15,0.1,8.01,3.01,530.7,174.07
2100300B102,21,003,00B102,490.99,72.56,8.95,3.98,1.99,0.99,451.24,111.32
2100300B103,21,003,00B103,246.58,53.41,5.25,3.99,0.03,0,219.41,76.83
2100300C101,21,003,00C101,554.59,142.76,20.94,3.62,7.32,0.9,519.07,192.81
2100300C102,21,003,00C102,794.2,160.42,25.77,2.36,12.53,0.1,748.25,220.68
2100300D101,21,003,00D101,672.85,142.9,12.93,6.89,9.48,0,636.61,204.11
2100300D102,21,003,00D102,343.46,62.1,7.02,0,4,0,307.39,102.2
2100300D103,21,003,00D103,571.26,121.55,4.44,1.06,3.08,0.01,511.55,172.8
2100300E101,21,003,00E101,249.97,45.39,3.06,0.01,1.03,0,234.86,59.54
2100300E102,21,003,00E102,529.9,111,15.75,8.75,3.02,0.97,490.7,168.76
2100300E103,21,003,00E103,349.15,43.15,8.99,2.01,6,0,315.2,85.12
2100500A101,21,005,00A101,455,238,23,6,15,0,398,334
2100500A102,21,005,00A102,594,163,27,4,10,3,492,297
2100500B101,21,005,00B101,548,213,21,4,6,0,446,346
2100500B102,21,005,00B102,873.07,291.36,45.74,3.98,21.88,0,759.71,478.3
2100500C101,21,005,00C101,574.57,224.83,25.98,2,9.99,0,494.63,343.74
2100500C102,21,005,00C102,615,225,16,5,23,0,510,369
2100500D101,21,005,00D101,628.87,138.57,18.03,1.03,12.99,0,539.99,258.53
2100500D102,21,005,00D102,778.43,254.17,28.02,2,18.01,0,647.37,426.26
2100500E101,21,005,00E101,1113.03,323.86,44.48,12.41,15.41,2,916.35,592.24
2100500E103,21,005,00E103,509.03,134.42,19.53,8.22,9.36,0,439.1,237.83
2100500F101,21,005,00F101,452.73,123.6,16.08,3,5.06,0,371.35,230.11
2100500F102,21,005,00F102,327.02,80.01,11,0,4,1,273.02,148.01
2100500F103,21,005,00F103,212.06,59.46,5.95,0,0.99,0,161.52,116.93
2100500F104,21,005,00F104,551.2,170.47,17.4,2.3,13.06,0,451.72,302.46
2100700A101,21,007,00A101,238.89,39.28,3.2,1,0,0,202.45,78.01
2100700A102,21,007,00A102,485.6,158.83,9.14,4,10.21,1,427.7,241.49
2100700A103,21,007,00A103,107,12,2,0,0,0,89,32
2100700B101,21,007,00B101,348.59,146.98,10.92,4.97,3.97,0,309.86,203.59
2100700B102,21,007,00B102,114.11,24.72,3.8,0,0,0,105.55,38.99
