GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIWES,G20PREIPIE,G20USSRMCC,G20USSDMCG,G20USSLBAR
2100100A102,21,001,00A102,65,12,0,0,0,57,14,1
2100100A104,21,001,00A104,467,86,0,0,0,428,100,22
2100100A105,21,001,00A105,81,14,0,0,0,74,18,3
2100100B102,21,001,00B102,339,65,0,0,0,313,76,14
2100100B104,21,001,00B104,501,94,2,0,0,455,110,21
2100100C102,21,001,00C102,356,65,0,0,0,325,74,13
2100100C104,21,001,00C104,820,156,3,0,0,757,184,38
2100100D101,21,001,00D101,724,136,3,1,0,669,162,34
2100100D103,21,001,00D103,373,72,0,0,0,341,81,15
2100100D104,21,001,00D104,332,62,0,0,0,307,73,16
2100100E101,21,001,00E101,544,99,0,0,0,501,120,25
2100100E104,21,001,00E104,458,83,0,0,0,415,101,21
2100100F101,21,001,00F101,476,89,1,0,0,438,106,22
2100100F103,21,001,00F103,762,141,4,1,0,704,165,33
2100100G101,21,001,00G101,758,140,2,0,0,698,163,34
2100100G102,21,001,00G102,273,50,1,0,0,249,58,11
2100300A101,21,003,00A101,857,189,6,0,0,790,217,45
2100300A102,21,003,00A102,607,130,5,0,0,561,155,33
2100300B101,21,003,00B101,465,100,2,0,0,426,120,26
2100300B102,21,003,00B102,441,96,2,0,0,402,111,23
2100300B103,21,003,00B103,1017,221,10,0,0,935,259,57
2100300C101,21,003,00C101,573,121,2,0,0,533,145,29
2100300C102,21,003,00C102,612,131,4,0,0,562,153,35
2100300D101,21,003,00D101,462,99,2,0,0,425,120,21
2100300D102,21,003,00D102,318,70,2,0,0,295,80,16
2100300D103,21,003,00D103,902,200,9,1,0,830,233,53
2100300E101,21,003,00E101,358,78,3,0,0,329,92,20
2100300E102,21,003,00E102,539,118,3,0,0,499,140,32
2100300E103,21,003,00E103,269,58,2,0,0,249,68,12
2100500A101,21,005,00A101,1127,392,17,2,0,1054,425,66
2100500A102,21,005,00A102,400,139,6,0,0,374,152,21
2100500B101,21,005,00B101,221,76,3,0,0,207,84,13
2100500B102,21,005,00B102,807,276,9,1,0,751,302,43
2100500C101,21,005,00C101,846,291,14,1,0,789,320,47
2100500C102,21,005,00C102,554,193,7,0,0,517,211,30
2100500D101,21,005,00D101,811,281,8,1,0,759,305,44
2100500D102,21,005,00D102,509,177,7,0,0,476,194,28
2100500E101,21,005,00E101,1001,371,19,0,0,937,404,59
2100500E103,21,005,00E103,285,100,4,0,0,265,110,15
2100500F101,21,005,00F101,1018,351,15,0,0,952,384,55
2100500F102,21,005,00F102,707,240,9,1,0,659,263,37
2100500F103,21,005,00F103,540,185,9,0,0,501,202,30
2100500F104,21,005,00F104,863,297,12,0,0,806,328,47
2100700A101,21,007,00A101,181,41,0,0,0,164,50,5
2100700A102,21,007,00A102,293,72,0,0,0,271,81,9
2100700A103,21,007,00A103,72,17,0,0,0,66,20,2
2100700B101,21,007,00B101,480,119,0,0,0,441,130,15
2100700B102,21,007,00B102,243,58,0,0,0,226,63,9
2100700C101,21,007,00C101,126,29,0,0,0,118,37,3
2100700C102,21,007,00C102,199,51,0,0,0,183,55,8
2100700C103,21,007,00C103,171,41,0,0,0,161,49,5
2100700C104,21,007,00C104,230,52,0,0,0,211,61,5
2100700D101,21,007,00D101,800,197,2,0,0,741,219,24
2100700D102,21,007,00D102,99,23,0,0,0,91,27,2
2100700E101,21,007,00E101,229,57,0,0,0,217,64,7
2100700E102,21,007,00E102,236,55,0,0,0,217,63,6
2100900A101,21,009,00A101,167,57,0,0,0,152,62,11
2100900A102,21,009,00A102,937,328,10,1,0,853,358,64
2100900A103,21,009,00A103,436,151,2,0,0,398,169,29
2100900A104,21,009,00A104,38,13,0,0,0,35,14,3
2100900B101,21,009,00B101,220,76,2,0,0,201,86,14
2100900B102,21,009,00B102,785,277,5,0,0,714,300,55
2100900B103,21,009,00B103,489,172,1,0,0,448,184,35
2100900B104,21,009,00B104,940,322,9,2,0,856,353,67
2100900C101,21,009,00C101,351,122,2,0,0,316,133,25
2100900C102,21,009,00C102,270,92,2,0,0,244,103,19
2100900C103,21,009,00C103,859,299,4,0,0,788,330,58
2100900C104,21,009,00C104,1472,510,17,1,0,1341,563,103
2100900D101,21,009,00D101,754,261,4,0,0,684,285,55
2100900D102,21,009,00D102,597,209,6,0,0,542,227,41
2100900D103,21,009,00D103,265,90,1,0,0,243,101,17
2100900E101,21,009,00E101,344,116,3,0,0,313,132,26
2100900E102,21,009,00E102,489,168,3,0,0,446,185,38
2100900E103,21,009,00E103,491,171,2,0,0,449,190,37
2100900E104,21,009,00E104,1249,436,14,1,0,1141,478,89
2100900F101,21,009,00F101,545,190,4,0,0,498,210,40
2100900F102,21,009,00F102,460,161,3,0,0,417,174,30
2100900F103,21,009,00F103,720,247,6,0,0,652,267,49
2100900G101,21,009,00G101,775,269,5,0,0,705,300,54
2100900G102,21,009,00G102,715,246,6,0,0,652,275,51
2100900G103,21,009,00G103,299,103,1,0,0,272,114,21
2101100A101,21,011,00A101,492,196,3,0,0,434,222,30
2101100A102,21,011,00A102,119,47,1,0,0,107,54,7
2101100A103,21,011,00A103,296,117,2,0,0,262,134,18
2101100A104,21,011,00A104,274,105,2,1,1,245,124,16
2101100A105,21,011,00A105,283,108,0,0,0,251,127,12
2101100B102,21,011,00B102,392,154,2,0,0,347,178,23
2101100B103,21,011,00B103,528,205,4,0,0,469,235,29
2101100B104,21,011,00B104,463,184,1,0,0,412,214,27
2101100C101,21,011,00C101,430,167,0,0,0,382,194,25
2101100C102,21,011,00C102,218,86,1,0,0,192,100,13
2101100C103,21,011,00C103,166,65,1,0,0,146,76,9
2101100C104,21,011,00C104,150,58,0,0,0,131,67,7
2101300A101,21,013,00A101,103,24,0,0,0,95,27,2
2101300A102,21,013,00A102,642,139,4,1,0,579,165,31
2101300A103,21,013,00A103,128,28,0,0,0,117,34,5
2101300A104,21,013,00A104,230,51,0,0,0,206,62,10
2101300A105,21,013,00A105,364,76,0,0,0,334,95,18
2101300B101,21,013,00B101,225,46,1,0,0,203,60,11
2101300B102,21,013,00B102,174,38,1,0,0,156,45,8
2101300B103,21,013,00B103,254,57,1,0,0,231,68,13
2101300B104,21,013,00B104,185,40,1,0,0,168,47,7
2101300B105,21,013,00B105,174,38,1,0,0,155,46,9
2101300B106,21,013,00B106,15,4,0,0,0,13,4,0
2101300B107,21,013,00B107,424,91,2,0,0,384,110,16
2101300B108,21,013,00B108,88,19,0,0,0,79,22,3
2101300C101,21,013,00C101,193,39,1,0,0,177,52,11
2101300C102,21,013,00C102,93,20,0,0,0,84,22,3
2101300C103,21,013,00C103,157,34,0,0,0,145,40,6
2101300C104,21,013,00C104,286,61,0,0,0,255,74,13
2101300C105,21,013,00C105,581,123,3,0,0,524,155,29
2101300D101,21,013,00D101,186,40,1,0,0,166,48,8
2101300D102,21,013,00D102,916,197,5,2,0,829,243,49
2101300D103,21,013,00D103,176,36,1,0,0,159,46,9
2101300D104,21,013,00D104,198,44,2,0,0,179,52,9
2101300D105,21,013,00D105,41,8,0,0,0,37,10,0
2101300D106,21,013,00D106,141,30,0,0,0,126,36,7
2101300E101,21,013,00E101,100,20,0,0,0,89,25,4
2101300E102,21,013,00E102,363,77,1,0,0,327,95,17
2101300E103,21,013,00E103,392,84,2,0,0,353,99,18
2101300E104,21,013,00E104,578,122,2,0,0,523,150,29
2101300E105,21,013,00E105,214,47,0,0,0,195,56,8
2101300E106,21,013,00E106,506,110,2,0,0,456,135,25
2101500A102,21,015,00A102,1059,493,21,3,0,987,531,65
