GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOMCM,G16PRECCAS,G16PREOOTH,G16USSRKEN,G16USSRBOU,G16USSRFLE,G16USSRMAN,G16USSRDUK,G16USSRCRA,G16USSRCAO,G16USSRMAR,G16USSRPAT,G16USSDCAM,G16USSDFAY,G16USSDEDW,G16USSDLAN,G16USSDPEL,G16USSDWIL,G16USSDMEN,G16USSLCLE,G16USSLGIL,G16USSOLAN,G16USSOTAY,G16USSNBIL,G16USSNHEB,G16USSNMAR,G16USSNWEL,R16USSRKEN,R16USSDCAM
220010001-1,22,001,0001-1,916.2,98.59,13.94,6.97,2.99,1,0,206.14,483,31.87,101.58,43.82,8.96,6.97,1,2.99,48.8,29.88,3.98,3.98,0,1,0,10.95,0,0,0,13.94,7.97,0,0,388.39,66.72
220010001-2,22,001,0001-2,689.22,240.05,13.34,9.27,2.67,1,1.68,140.11,439.13,41.04,59.75,14.77,14.05,5.69,0.07,2,73.86,69.78,10.24,14.29,0.05,6.61,2.02,3.99,1.1,0,0.07,8.76,3.08,3.97,0.99,315.29,78.51
220010001-3,22,001,0001-3,684.6,126.77,10.67,3.31,1.36,1,7.84,159.09,399.23,29.02,54.42,16.37,11.08,5.7,0.17,0.01,57.71,41.36,7.94,4.3,4.98,1.68,0,4.05,0.9,2,0,3.77,5.75,0.16,0,330.12,68
220010001-4,22,001,0001-4,681.57,134.89,11.13,1.11,1.06,5,4,152.52,455.99,24.76,45.65,25.32,7.04,9.02,1,0,37.42,29.44,5.04,4.02,5.04,4,2,4.02,0.04,0,1,3.08,4.02,2.06,0,331.67,55.61
220010001-5,22,001,0001-5,339.7,220.85,9.84,3.93,0.98,1,0.98,91.58,219.88,13.7,32.47,7.93,1,2.93,3.93,0,75.66,40.89,14.91,11.86,4.95,2,0.98,1.98,0,0,3.93,6.98,0,0,0,142.7,113.13
220010001-6,22,001,0001-6,87.89,657.48,1.98,2.95,4.93,3.95,5,26.74,188.37,7.88,7.86,10.9,4.93,0.98,0,1.98,207.26,109.03,27.67,27.7,9.95,6.91,7.98,1.98,1.97,2,0,22.74,3.97,1,2,48.29,190.26
220010001-8,22,001,0001-8,385.39,114.53,4.18,2.51,0,0,2.51,77.75,201.47,24.24,37.62,15.05,5.85,1.67,0.84,0,47.65,36.78,10.87,2.51,5.02,1.67,0,0,0,0,0,7.52,4.18,0.84,0,183.92,43.47
220010001-9,22,001,0001-9,500.51,44.79,5.48,4.59,2.8,0.05,0,151.92,260.29,32.87,28.39,13.75,1.94,0.96,0,0.02,20.19,20.31,2.2,1.26,1.86,0.14,0.02,0.95,1.85,0,0,3.9,0.96,2.75,0.01,246.06,28.19
220010002-1,22,001,0002-1,816,94,10,4,0,4,1,160,435,41,90,36,13,6,1,1,35,26,6,1,3,0,1,5,2,1,0,1,4,0,0,384,64
220010002-2,22,001,0002-2,621.63,35.2,5.84,0.98,3.83,0.02,2.87,172.66,310.79,23.37,68.75,33.88,1.93,0.98,2.87,0,10.33,17.63,1.03,0.05,1.95,0,0.96,1.01,0.96,0.96,0,4.83,7.68,0,0,350.25,36.25
