GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
220010001-1,22,001,0001-1,320.67,83.65,57.76,80.67,33.86,54.77,22.9,50.79,9.96,203.16,10.95
220010001-2,22,001,0001-2,232.58,100.75,80.56,105.69,29.65,35.86,95.11,81.45,17.4,157.31,43.88
220010001-3,22,001,0001-3,220.19,87.9,51.73,103.29,18.14,44.18,46.26,49.69,6.73,145.73,25.52
220010001-4,22,001,0001-4,241.14,97.48,49.67,103.1,30.59,42.38,38.25,65.3,10.08,154.21,11.23
220010001-5,22,001,0001-5,111.35,38.4,20.68,58.22,10.77,29.63,91.56,79.45,14.86,53.92,43.82
220010001-6,22,001,0001-6,61.31,31.7,20.81,31.65,4.95,17.79,256.45,228.18,20.84,26.6,96.1
220010001-8,22,001,0001-8,111.19,36.78,25.92,47.65,13.38,28.42,35.95,33.44,0,61.03,16.72
220010001-9,22,001,0001-9,136.75,64.24,29.55,47.95,25.63,16.65,13.64,14.69,3.83,96.4,10.98
220010002-1,22,001,0002-1,261,95,39,106,24,47,23,38,11,167,16
220010002-2,22,001,0002-2,217.65,81.42,21.59,77.48,37.47,28.09,8.16,17.92,1.01,168.21,6.2
220010002-3,22,001,0002-3,232.16,90.41,55.63,61.44,21.43,45.97,22.41,34.15,2.94,172.78,16.06
220010002-5,22,001,0002-5,149,56,25,60,14,18,12,15,3,162,6
220010003-1,22,001,0003-1,121.92,42.17,33.6,66.21,15.9,30.25,34.6,49.46,12.02,245.38,101.85
220010003-2,22,001,0003-2,197,80,38,90,18,64,14,14,5,126,8
220010003-3,22,001,0003-3,295.57,85.7,86.84,161.38,30.74,74.54,75.34,105.43,32.27,585.91,206.26
220010003-4,22,001,0003-4,117.37,47.51,40.55,64.89,18.94,33.28,174.44,213.53,15.89,267.38,423.41
220010003-5,22,001,0003-5,162.14,38.07,29.09,57.1,23.04,43.09,41.11,28.32,1.05,102.47,40.54
220010003-7,22,001,0003-7,237.19,84.73,57.71,99.49,38.48,30.79,36.95,50.2,10.81,179.87,48.67
220010004-1,22,001,0004-1,118.82,73.24,25.52,38,10.22,34.59,11.15,23.26,5.04,122.42,11.12
220010004-2,22,001,0004-2,146,77,42,64,10,130,24,33,17,153,17
220010004-4,22,001,0004-4,229.13,63.66,63.98,103.72,40.24,101.79,19.71,41.32,6.88,213.26,21.72
220010004-5,22,001,0004-5,175.67,77.6,32.41,62.25,13.64,36.67,9.38,16.2,2.56,88.69,7.68
220010004-6,22,001,0004-6,155.4,64.59,33.92,69.68,8.81,117.17,9.56,13.96,7.15,155.25,19.45
220010005-1,22,001,0005-1,52.6,41.88,16.56,18.51,4.87,13.64,33.12,10.71,1.95,63.31,21.43
220010005-2,22,001,0005-2,70,38,21,28,9,16,18,15,4,104,25
220010005-3,22,001,0005-3,104.39,73.85,34.96,82.45,15.53,19.53,4.89,18.44,8.7,122.19,15.49
220010005-4,22,001,0005-4,110,39,34,66,10,17,17,18,12,175,30
220010005-5,22,001,0005-5,35.07,32.63,10.98,23.12,13.17,7.29,6.57,16.16,2.2,54.37,16.5
220010006-1,22,001,0006-1,47.07,15.48,16.29,22.17,3.94,18.18,90.92,79.67,6.52,51.24,129.06
220010006-2,22,001,0006-2,88,47,22,48,4,17,17,25,10,173,31
220010006-3,22,001,0006-3,90.42,34.14,24.23,41.03,9.53,12.5,65.77,83.34,9.89,155.04,122.5
220010006-4,22,001,0006-4,105,44,38,53,26,23,51,75,6,210,91
220010006-5,22,001,0006-5,83.69,32.64,33,37.22,3.83,14.9,36.62,44.84,3.79,163.22,63.26
220010006-6,22,001,0006-6,25.25,3.96,6.79,17.71,1.92,5.83,203,179.96,3.92,16.58,371.96
220010006-7,22,001,0006-7,146.77,34.06,53.33,98.51,14.12,31.69,37.73,40.97,11.12,259.99,72.6
220010006-8,22,001,0006-8,110.54,26.6,26.9,62.98,8.11,16.26,25.93,16.2,1.75,165.21,47.12
220010007-2,22,001,0007-2,133.97,59.33,32.29,36.45,7.04,45.54,26.69,38.87,2.18,76.38,13.28
220010007-3,22,001,0007-3,263.92,134.96,57.98,77.98,24.99,88.97,14,19.99,1,148.95,6
220010007-4,22,001,0007-4,184.67,110.53,47.92,74.38,26.07,57.53,12.15,12.23,6.38,158.61,10.76
22001006-10,22,001,006-10,61.41,21.71,7.81,33.91,3.36,14.45,8.11,9.43,0.2,59.84,3.36
22001006-12,22,001,006-12,128.57,64.78,16.69,59.87,11.78,21.59,16.69,43.19,5.89,216.91,41.22
22001006-13,22,001,006-13,75.38,36.85,13.77,24.54,9.38,16.85,3.77,21.46,0.15,90.85,11.46
22001006-14,22,001,006-14,167.46,67.4,50.1,97.02,13.89,28.74,15.07,26.8,7.25,159.79,26.88
22001006-15,22,001,006-15,50.18,15.62,9.99,26.25,1.02,12.48,5.32,7.2,0.96,30.13,4.54
22001006-16,22,001,006-16,75.45,27.25,11.56,22.24,18.65,11.46,10.1,18.56,2.14,65.79,6.34
220030001-1,22,003,0001-1,28.39,14.68,7.83,12.73,0.98,11.75,42.09,20.56,5.87,25.45,4.89
220030001-2,22,003,0001-2,17,14,12,11,4,12,16,20,0,15,12
220030001-3,22,003,0001-3,30.61,11.32,13.17,23.27,2.02,5.25,33.91,20.44,1.13,20.55,10.11
220030001-4,22,003,0001-4,7,2,0,8,1,1,111,34,5,0,60
220030001-5,22,003,0001-5,19,11,5,6,2,1,13,15,3,7,4
220030001-6,22,003,0001-6,28,14,14,35,2,13,27,25,6,28,8
220030002-1,22,003,0002-1,52,18,25,17,2,8,26,26,4,27,7
220030002-2,22,003,0002-2,134,63,38,64,15,30,14,26,4,138,10
220030002-3,22,003,0002-3,63.52,27.98,19.96,24.82,3.86,14.37,3.95,11.83,4.48,58.19,5.14
220030002-5,22,003,0002-5,5.02,3.95,1.03,0.07,0.03,2.9,50.13,42.41,8.67,8.9,86.58
220030002-6,22,003,0002-6,60.1,27.72,24.73,23.33,4,12.92,15.51,14.61,2.99,59.5,8.7
220030003-1,22,003,0003-1,86.08,43.37,35.98,23.95,7.3,22.2,9.41,14.16,5.9,65.18,5.68
220030003-2,22,003,0003-2,129.29,79.94,57.34,78.9,29.84,46.52,22.13,21.4,10.63,127.13,19.48
220030004-2,22,003,0004-2,111.26,22.57,12.33,30.79,6.51,20.49,3.73,2.74,0.13,37.34,1.17
220030004-3,22,003,0004-3,69.84,44.69,27.59,34.87,10.73,33.44,6.98,4.03,3.56,45.72,7.01
220030005-2,22,003,0005-2,100.69,46.28,18.1,31.21,4.02,46.29,10.04,15.05,1.02,55.38,3.03
220030005-3,22,003,0005-3,45.94,19.98,26.97,40.95,6.99,21.97,8.99,15.98,0,28.96,5.99
220030005-5,22,003,0005-5,57.19,25.66,13.92,21.43,10.07,25.05,4.83,5.56,1.21,28.02,1.93
220030005-7,22,003,0005-7,10.07,2.57,9.47,10.49,2.24,8.47,214.17,51.26,6.05,8.81,52.14
220030005-9,22,003,0005-9,51,23,28,45,7,37,100,31,3,46,49
22003005-10,22,003,005-10,125.84,41.35,25.95,37.49,16.35,49.96,12.48,24.94,2.88,82.55,15.34
22003005-12,22,003,005-12,4,2,3,11,0,1,38,7,1,0,14
22003005-13,22,003,005-13,0,0,0,0,0,0,0,0,0,0,0
22003005-8A,22,003,005-8A,8,8,2,2,0,2,8,5,0,9,3
2200302-2-A,22,003,02-2-A,32.19,20.15,9.04,12,4,8.12,21,18.69,3.35,26.35,22.46
2200302-4-C,22,003,02-4-C,78,25,26,41,2,24,25,47,10,55,19
2200302-4-O,22,003,02-4-O,96.79,48.89,28.94,31.93,14.97,7.98,56.87,47.89,5.99,111.75,20.95
2200305-4-C,22,003,05-4-C,92,32,32,36,10,33,48,26,1,62,21
2200305-4-O,22,003,05-4-O,67.25,35.53,29.76,30.76,15.36,29.78,10.56,16.31,2.88,50.87,8.63
22005000001,22,005,000001,293.87,257.51,136.5,73.98,29.3,44.94,115.01,104.16,15.22,242.27,84.73
22005000002,22,005,000002,291.7,209.9,89.52,58.65,17.75,56.33,60.19,69.45,13.12,196.01,43.99
22005000003,22,005,000003,277,185,79,51,33,44,95,80,11,190,52
22005000004,22,005,000004,188,127,87,55,21,37,74,67,5,165,41
22005000005,22,005,000005,238,130,72,73,13,35,120,100,14,147,83
22005000006,22,005,000006,365.6,216.92,151.12,121.87,24.37,56.67,178.54,135.88,18.28,295.53,102.98
22005000007,22,005,000007,159.68,133.38,85.01,42.74,16.91,25.83,96.75,68.1,14.09,114.59,63.4
22005000008,22,005,000008,238.25,213.86,86.29,73.16,28.14,51.59,95.67,80.67,13.13,187.6,65.66
22005000009,22,005,000009,295,163,104,70,36,55,150,156,19,230,128
22005000010,22,005,000010,330,212,130,75,39,50,87,85,10,262,55
22005000011,22,005,000011,308.58,200.21,121.4,83.24,32.46,61.55,181.68,120.54,11.15,215.7,93.15
22005000012,22,005,000012,287,214,78,119,32,60,74,83,11,214,61
22005000013,22,005,000013,282,214,95,73,14,48,82,85,10,268,51
22005000014,22,005,000014,233.51,126.87,55.96,55.68,8.27,28.46,21.7,46.69,6.16,165.58,27.4
