GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
220010001-1,22,001,0001-1,1045.7,80.7,7,3,4,987.9,28.9,27.9,24.9,4,5,0,0,3,2,4,10,17.9,3,3
220010001-2,22,001,0001-2,683.7,238.3,10.7,1.6,10.1,657,18.9,73.8,67.4,12.6,17.1,2,2.1,4.7,7.2,9.2,8.6,12.8,6.7,6.1
220010001-3,22,001,0001-3,617.1,130.2,10,3.7,1.1,590.7,15.3,42.4,44.3,19.5,0.9,2.9,4,2.3,2.1,6.7,0.9,5.2,2.1,1.7
220010001-4,22,001,0001-4,676.1,136.9,8.1,1,7.1,656.8,14.4,29.2,64.3,8.1,7,0,5.1,1.1,5.1,4.1,11,8.1,1,0
220010001-5,22,001,0001-5,343.9,245.4,6.9,1,4,312.4,13.7,120.4,54.6,9.9,5.9,2,2.9,0,8,0,7.9,9.9,1,5.9
220010001-6,22,001,0001-6,106.7,683.7,8.9,5,9.9,111.6,2,302.7,175.7,39.6,30.7,3.9,3,6,5,0,24.9,18.8,7,8.9
220010001-8,22,001,0001-8,456.9,124.7,4.3,1.7,1.7,421,12.8,46.1,31.6,14.5,5.1,5.1,6,0,2.6,6,2.6,5.1,0,4.3
220010001-9,22,001,0001-9,488.6,47.1,4.7,1.9,5.6,473.4,16.7,11,14.4,4.4,0.3,1.9,2.8,2.9,3.8,3.8,1,5.7,2,0.1
220010002-1,22,001,0002-1,990,62,7,1,2,932,24,25,13,2,15,0,7,3,2,3,8,4,1,1
220010002-2,22,001,0002-2,711.8,28.5,9.6,0,2.9,685.5,10.8,7.4,14.9,0,2,0,3.8,1,0,2.9,1,2.9,0,0
220010002-3,22,001,0002-3,813.4,91.1,5.3,1,4,784,17.3,27,28.9,9.3,3.4,3.3,0.2,1.7,3,4,1.7,3.8,1,1
220010002-5,22,001,0002-5,446,43,5,1,2,453,5,13,10,0,5,0,1,0,1,0,3,1,0,1
220010003-1,22,001,0003-1,428.8,123,5.5,0,1.9,396.5,9.8,44.7,38.8,6.8,6.4,0.9,3,0.4,2.4,0.6,7.9,9,0.6,0.2
220010003-2,22,001,0003-2,761,43,4,1,0,744,20,16,13,0,0,0,3,0,0,1,9,0,0,0
220010003-3,22,001,0003-3,961.1,281.2,10.1,1.4,4.6,909.3,20,106.6,91.2,14.7,11.4,3.9,8.5,1.1,3.7,3.4,13.5,2.2,1.8,1
220010003-4,22,001,0003-4,421.6,562.6,9.1,0,1.7,410.2,22,285.8,102.3,14.1,27.1,7.1,2.8,0.6,3.2,0,16.8,16.1,1.6,4
220010003-5,22,001,0003-5,572.5,97.2,7.5,0.9,0,542.7,22.1,50.3,25.6,1.8,5.2,2,3.7,0,0,0,4,3.6,0.9,1.8
220010003-7,22,001,0003-7,816.9,132.1,7.4,3.6,2.9,789.8,21,53.6,38.4,6.1,9.7,0.8,2.7,1.2,2.7,1.1,3.1,3.9,0,1.8
220010004-1,22,001,0004-1,601.4,45.5,3,0,0,560.8,9.4,25.2,15.1,6,3,0,1.1,1,1,3,4.1,5.1,0,1
220010004-2,22,001,0004-2,596,81,3,0,4,586,8,36,32,6,2,2,1,1,0,1,3,4,0,0
220010004-4,22,001,0004-4,1025.2,66.9,9.8,1,1.1,974.7,29.8,20.8,21.6,3.9,7.8,1.9,5,1,0,0,5,4,1,1
220010004-5,22,001,0004-5,646.4,28.1,2.6,0,2.6,613.1,24.7,11.1,8.5,1.7,2.6,0,4.3,0,0,0,4.3,5.1,0,0
220010004-6,22,001,0004-6,596.3,44.7,4.2,1,0.1,581.3,18.5,20.7,7.5,4.1,0.1,2,1.2,1,0,0,4.2,6.3,0,1
220010005-1,22,001,0005-1,273.7,39,2.9,0,1,253.2,8.8,14.6,17.5,2,2.9,0,2.9,0,0,1,1,2.9,0,0
220010005-2,22,001,0005-2,345,53,4,0,1,333,1,25,20,0,2,2,0,1,3,3,1,3,0,0
220010005-3,22,001,0005-3,574.6,26.2,3.9,0,1,555,10.8,6.8,14.5,0,2,1.9,1,0,0,1,2.9,3.9,0,0
220010005-4,22,001,0005-4,396,33,7,0,3,379,6,18,7,0,2,2,4,0,1,1,4,3,0,0
220010005-5,22,001,0005-5,219,23.9,3.3,0,1,208.4,5.9,11.5,8.6,0.1,0.3,0.1,0.2,3,1,0,0.2,0.1,0,0
220010006-1,22,001,0006-1,110.5,266.5,2.1,0.8,0.1,103.4,4.2,107.3,64.5,10.8,8.8,4.6,2.1,0.7,4.3,2.1,5.7,10.6,3.6,0.7
220010006-2,22,001,0006-2,247,60,1,0,1,233,3,18,24,8,3,2,3,0,0,1,1,1,0,2
220010006-3,22,001,0006-3,192.3,197.8,4.3,3.1,0,192.2,6.6,80.8,50.5,5.4,6.2,0.6,3.3,0.1,0.6,4.3,5.8,7.4,1.5,1.1
220010006-4,22,001,0006-4,311,199,8,1,0,300,3,67,65,10,5,2,0,0,1,10,9,11,3,1
220010006-5,22,001,0006-5,199.3,86,0.6,0.2,1,192.9,2.3,38.9,19.1,3.2,2.6,1.3,0.6,0.2,2.3,3.6,1.7,3.2,1.1,1.2
220010006-6,22,001,0006-6,8.9,550.7,1,2.9,2.9,18.4,2,277.1,121.9,21.5,23.5,12.5,0,0,4.8,0,5.8,6.8,2.9,3
220010006-7,22,001,0006-7,483.3,81.2,8.4,0,4.1,461.2,12.7,23.6,35.9,4,5,0,3.4,1,2,0,2.1,4.1,1,2
220010006-8,22,001,0006-8,293.6,59.2,0.9,0.8,0.8,272.8,4.1,18.1,17.3,3.1,4,1.7,2.4,0.8,0,0.8,2.4,4,0.8,0.8
220010007-2,22,001,0007-2,567,85.4,3,1,0,544.6,12.1,19,27.7,8.1,8.2,4,1,0,1,0,4,5,0,2
220010007-3,22,001,0007-3,942.7,43,7,1,1,907.7,36,16,12,8,0,4,4,3,1,0,5,2,0,0
220010007-4,22,001,0007-4,717,33,7,1,6,674,27,21,5,0,0,0,3,1,1,6,8,4,1,2
22001006-10,22,001,006-10,246.3,28.6,1.1,0,0,224.8,6.2,18.2,7.3,2,2,0,0,3,0,1,1.1,0.1,0,0
22001006-12,22,001,006-12,333,66,5,1,1,333,3,20,18,6,5,2,1,0,3,4,4,4,1,0
22001006-13,22,001,006-13,203.5,13.8,3.4,1,0,203.6,5.6,3.8,5,0.1,2,0,0.1,0,0,0,0,0.1,0.2,0
22001006-14,22,001,006-14,609.4,42.8,5.1,0.2,0.2,583.2,9.9,12.9,11.7,0.9,3,6.3,1.6,0.2,1,1.2,2.6,5,1.2,1.2
22001006-15,22,001,006-15,167,9,2.7,0,0.9,158.9,5.4,4.5,6.3,0,0,0,2.6,0,0,0,0.9,0.9,0,0
22001006-16,22,001,006-16,271.9,24.3,5,0.1,0.4,260.6,8.7,21.8,0.9,2.1,0,0.1,1.1,0.2,0.3,0.3,0.1,1.4,2.9,0
220030001-1,22,003,0001-1,126.3,70.5,0,2,2,110.6,7.8,16.6,32.3,8.8,2,2,0,0,0,0,3.9,3.9,0,0
220030001-2,22,003,0001-2,126.7,42.7,2,0,0,127.4,0.1,10.2,10.2,7.1,6,2,0,0,0,2,1,1.1,0,0
220030001-3,22,003,0001-3,147.7,57.5,2,0,2,131.4,5.2,17.4,24.7,2.2,5,3,2,4,0,2,3.1,0.1,2,1
220030001-4,22,003,0001-4,14,178,4,2,4,23,2,22,81,9,14,2,0,0,1,0,3,6,0,1
220030001-5,22,003,0001-5,40,41,4,0,0,42,3,15,11,2,2,0,2,0,0,0,1,1,2,0
220030001-6,22,003,0001-6,175,52,3,1,1,154,13,19,14,4,5,0,2,0,0,2,3,1,0,1
220030002-1,22,003,0002-1,220,98,4,0,4,223,7,27,37,7,2,2,0,0,0,2,5,4,0,0
