GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI
25001000107,25,001,000107,1286.5,1023.08,91.74,24.21,25.31
25001000108,25,001,000108,928,929,98,27,31
25001000109,25,001,000109,1103.03,1080.46,98.13,26.5,43.18
25001000110,25,001,000110,1050,1032,111,26,30
25001000111,25,001,000111,893.34,637.41,60.54,35.66,15.9
25001000112,25,001,000112,1022,946,82,32,31
25001000113,25,001,000113,890.94,628.15,51.78,21.49,32.24
25001000114,25,001,000114,995.9,881.14,73.09,31.99,39.08
25001000115,25,001,000115,1049.76,1111.29,68.23,14.17,42.93
25001000116,25,001,000116,1033,1006,107,29,42
25001000117,25,001,000117,1204.33,957.45,91.5,27.88,42.03
25001000118,25,001,000118,873.65,572.7,69.73,28.02,36.77
25001000119,25,001,000119,620.49,342.83,42.21,22.94,18.21
25001000430,25,001,000430,581.63,705.03,50.98,15.01,15.96
25001000431,25,001,000431,740.19,949.86,64.53,12.34,59.78
25001000432,25,001,000432,369.68,460.62,39.09,16.15,17.85
25001000433,25,001,000433,921.52,874.39,80.12,26.49,31.77
25001000434,25,001,000434,712.24,681.39,67.87,15.87,24.68
25001000435,25,001,000435,766.94,605.72,59.65,20.24,32.21
25001000436,25,001,000436,861.31,950.59,83.21,23.96,3.52
25001000454,25,001,000454,1306.28,814.55,100.94,38.98,30.98
25001000455,25,001,000455,1320,750,94,33,37
25001000456,25,001,000456,1182.9,802.92,101.73,39.9,26.93
25001000566,25,001,000566,2369.96,1769.53,212.89,67.09,84.76
25001000656,25,001,000656,958.96,864.14,74.29,17.6,25.42
25001000657,25,001,000657,1082.89,777.18,76.43,18.86,40.7
25001000658,25,001,000658,865.56,683.51,69.84,37.78,28.64
25001000659,25,001,000659,970.77,746.12,82.22,35.76,29
25001000660,25,001,000660,968,646,66,27,23
25001000695,25,001,000695,2170,1181.06,132,60.08,54.18
25001000756,25,001,000756,1785.64,510.9,79.67,29.88,32.86
25001000757,25,001,000757,1378.28,703.06,58.67,36.79,34.81
25001000758,25,001,000758,1096.54,772.35,65.79,20.98,27.65
25001000759,25,001,000759,1252.37,882.5,84.84,22.66,37.74
25001000760,25,001,000760,1295.17,850.64,103.69,31.68,55.69
25001000761,25,001,000761,1344.09,778.28,83.89,29.27,35.48
25001000762,25,001,000762,1102.79,917.73,81.53,28.07,28.32
25001000763,25,001,000763,1070,907,81,42,31
25001000764,25,001,000764,1073,799,84,30,27
25001000881,25,001,000881,1200.43,844.04,88.86,24.79,31.62
25001000882,25,001,000882,1118.4,823.42,75.21,34.19,30.28
25001000883,25,001,000883,1138.16,898.33,82.94,36.97,29.98
25001000884,25,001,000884,1061.4,698.35,90.03,35.01,32.01
25001001167,25,001,001167,1126.95,823.23,72.93,25.98,1
25001001168,25,001,001168,806.99,722.37,61.23,23.07,12.1
25001001169,25,001,001169,710,640,65,27,8
25001001170,25,001,001170,870.98,659.6,68.5,18.59,14.68
25001001171,25,001,001171,918.49,981,78.09,24.06,38.91
25001001454,25,001,001454,2692.33,1513.73,192.07,65.27,76.03
25001001530,25,001,001530,2070.4,206.84,37.79,34.81,17.9
25001001643,25,001,001643,1224.13,970.22,74.64,30.43,33.39
25001001644,25,001,001644,1195.17,1023.48,79.07,23.9,30.13
25001001645,25,001,001645,949.4,919.94,87.38,25.53,26.51
25001001646,25,001,001646,947.05,1011.77,87.07,19.02,29
25001001647,25,001,001647,899,936,103,22,22
25001001648,25,001,001648,797.23,983.05,78.92,21.98,33.97
25001001877,25,001,001877,1094.43,360.81,61.97,32.98,17.99
25001001964,25,001,001964,1546.26,512.44,72.64,72.64,18.91
25001002145,25,001,002145,1208.25,859.6,80.78,32.92,18.27
25001002146,25,001,002146,1138.66,898.87,95.64,23.84,24.74
25001002147,25,001,002147,903.34,662.82,62.98,18.01,17.04
25001002148,25,001,002148,999.58,857.93,78.81,30.93,38.91
25001002149,25,001,002149,881,797,61,26,32
25001002150,25,001,002150,905.21,751.51,64.87,29.94,23.95
25001002151,25,001,002151,1265.23,1021.82,93.1,28.26,22.38
25001ZZZZZZ,25,001,ZZZZZZ,247.16,186.41,18.26,6.31,7.58
25003000015,25,003,000015,439,255,33,20,5
25003000016,25,003,000016,476,270,44,17,10
25003000017,25,003,000017,475,268,36,17,13
25003000018,25,003,000018,446,233,31,15,7
25003000019,25,003,000019,577,259,45,11,19
25003000028,25,003,000028,225.9,51.98,8,8,5
25003000122,25,003,000122,571,368,37,25,28
25003000592,25,003,000592,977.58,740.68,82.96,29.99,31.99
25003000614,25,003,000614,510,327,29,12,7
25003000629,25,003,000629,1089.67,490.4,88.89,40.95,29.96
25003000630,25,003,000630,1100.33,449.6,77.11,42.05,35.04
25003000708,25,003,000708,621,147,30,30,4
25003000777,25,003,000777,194.41,170.83,17.28,11.22,7.84
25003000846,25,003,000846,791.56,161,34.74,33.53,5.97
25003000847,25,003,000847,737,187,38,31,13
25003000848,25,003,000848,526.61,82.82,11.23,32.44,12.02
25003000849,25,003,000849,824.83,149.17,19.04,31.03,7.01
25003000871,25,003,000871,189,159,24,9,9
25003000915,25,003,000915,606,403,55,37,11
25003000974,25,003,000974,998.42,597.32,77.04,32.01,27.01
25003000999,25,003,000999,1969.02,852,115,86,12
