GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWAR,G18USSRDIE,G18USSUAYY,G18USSOWRI,G18GOVRBAK,G18GOVDGON,G18GOVOWRI,G18ATGDHEA,G18ATGRMCM,G18ATGOWRI,G18SOCDGAL,G18SOCRAMO,G18SOCGSAN,G18SOCOWRI,G18TREDGOL,G18TRERORR,G18TREGGUE,G18TREOWRI,G18AUDDBUM,G18AUDRBRA,G18AUDLFIS,G18AUDGSTA,G18AUDOWRI
25001000107,25,001,000107,1138.3,952.6,72.4,0,1606.6,516.3,0,1341.6,820.6,0,1427.1,653.6,49.4,0,1282.1,781.3,47.4,0,1156.3,809.8,70.4,55.3,0
25001000108,25,001,000108,741,859,59,0,1263,365,3,900,754,0,951,637,38,2,860,707,50,0,772,746,58,31,1
25001000109,25,001,000109,937.2,1014.7,51,2,1526,427.9,2.9,1119.7,883.2,1,1174.7,747.8,54,1,1050,839,47.1,1,935.2,900.9,53,39.2,1
25001000110,25,001,000110,888,956,52,0,1433,414,6,1022,861,0,1148,671,47,0,997,789,55,2,904,816,78,43,0
25001000111,25,001,000111,734.1,553.6,42.3,1,938.4,374,4.1,837.4,487.3,2,856.9,408.5,44.1,0,798.7,457.1,48.1,1,710.5,490.3,50.4,35.7,1
25001000112,25,001,000112,905,914,58,4,1435,413,5,1076,806,0,1188,634,43,0,1047,748,45,0,944,797,60,25,0
25001000113,25,001,000113,698.5,560.7,44.9,0,891.9,390.8,2,812.8,480.6,1,858.7,387.8,38.1,0,790.3,439.6,39.1,0,711.2,479.7,49.8,23.4,0
25001000114,25,001,000114,849.4,866.1,52.1,2,1317,404.6,8,1007.7,746.8,2,1101.9,601.6,38,3,979.6,691.8,37.1,4,860.5,751.9,63.1,24,4
25001000115,25,001,000115,838.6,1099.2,57.8,1,1618.3,359,2,1032.4,958,0,1133.8,813.3,33.3,0,994.2,925.2,36.1,0,884.2,981,53,25.1,0
25001000116,25,001,000116,908,927,48,1,1453,391,5,1075,792,2,1166,645,44,1,1017,750,57,3,901,826,52,35,2
25001000117,25,001,000117,1029.8,1002.7,49.2,1,1578.8,464.2,4.8,1233,839.1,0,1295.8,701,56.6,0,1174,812.8,49.2,0,1053.7,864.8,61.8,37.4,0
25001000118,25,001,000118,704.9,459.4,38.1,0,802.8,379.5,2,779.9,416.5,0,821.4,331,37,1,749.2,386.5,40.7,1,706.9,396.7,45.9,22.9,0
25001000119,25,001,000119,455.5,285.2,34.8,0,483.5,273.1,2,513.4,256.2,1,520.9,211.7,28,0,501.1,235.1,19.2,0,456.5,250,29.1,13.1,1
25001000430,25,001,000430,464.6,613.8,35.2,0,872.8,209.4,4.2,515.7,590.5,0,644.8,420.2,30.1,0,549.2,493.8,34.6,0,511.9,504.6,33.9,21.7,0
25001000431,25,001,000431,621.6,842.6,50.3,0,1163.4,319.8,5.7,712.7,808.5,0,866.4,607.3,33.2,0,730.7,685.1,44.6,0,678.5,713.6,40.8,24.7,0
25001000432,25,001,000432,290.6,407.9,34,0.8,577,148.7,0.8,313.6,423.2,0.8,417.3,289,20.4,0,345,342.5,21.2,0,330.6,340.8,31.4,6.8,0
25001000433,25,001,000433,788.4,847.3,69.2,0.1,1330.1,340.7,0.1,899.2,801.3,0.1,1088,548.7,31.2,1,921.8,680.1,45.3,0,864.4,687.9,51.9,31.1,0
