GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI,G20USSDMAR,G20USSROCO,G20USSOAYY,G20USSOWRI
25001000107,25,001,000107,1703.49,1033.25,37.27,9.05,1.03,1626.18,1116.67,21.08,2.02
25001000108,25,001,000108,1197,985,45,3,1,1189,995,18,0
25001000109,25,001,000109,1361.12,1103.03,36.31,6.87,2.94,1319.9,1159.94,9.81,2.94
25001000110,25,001,000110,1402,1082,35,11,0,1377,1110,18,1
25001000111,25,001,000111,1065.14,605.91,15.57,5.25,1.09,1042.48,617.53,8.22,1.01
25001000112,25,001,000112,1338,1000,35,10,0,1321,1030,14,0
25001000113,25,001,000113,1085.34,654.53,19.54,8.79,2.93,1105.86,629.13,7.82,0
25001000114,25,001,000114,1302.35,816.34,31,6,0.04,1264.15,884.47,6.01,1.99
25001000115,25,001,000115,1356.66,1113.38,18.19,3.21,10.85,1262.42,1209.86,4.09,0.03
25001000116,25,001,000116,1318,1040,20,7,4,1314,1037,11,0
25001000117,25,001,000117,1535.99,967.13,33.64,18.25,1.08,1486.69,1035.62,10.55,1.94
25001000118,25,001,000118,1025.53,603.12,22.92,10.07,0,1023.65,581.46,5.92,6.93
25001000119,25,001,000119,733.45,385.35,14.06,10.92,0,737.33,384.01,1.08,2.07
25001000430,25,001,000430,747.57,700.42,30.41,7.21,4.68,758.25,712,11.43,0.13
25001000431,25,001,000431,997.35,905.28,25.62,17.08,14.23,982.17,947.04,7.59,1.9
25001000432,25,001,000432,509.91,503.11,9.35,4.25,1.7,495.46,506.51,5.95,1.7
25001000433,25,001,000433,1217.48,955.84,20.51,7.66,10.28,1206.39,970.38,7.93,4.31
25001000434,25,001,000434,942.31,663.76,20.27,6.17,7.93,949.36,691.08,7.05,3.53
25001000435,25,001,000435,988.12,614.66,12.04,7.26,5.33,899.71,673.8,1.34,4.51
25001000436,25,001,000436,1180.6,1013.71,31.15,9.76,10.1,1203.9,993.35,18.08,5
25001000454,25,001,000454,1672.08,795.56,40.98,8,6,1646.09,852.53,5,2
25001000455,25,001,000455,1684,735,31,15,8,1648,786,4,3
25001000456,25,001,000456,1578.86,804.91,29.92,14.96,3.99,1542.95,855.78,14.96,0
25001000566,25,001,000566,3068.57,1806.05,68.94,22.61,40.28,2971.43,1984.58,8.03,8.8
25001000656,25,001,000656,1251.24,848.5,19.55,1.96,7.82,1207.25,884.67,10.75,0
25001000657,25,001,000657,1306.22,855.59,20.84,3.97,11.91,1227.81,947.9,2.98,3.97
25001000658,25,001,000658,1136.06,691,25.47,8.31,5.25,1119.89,705.1,13.22,4.16
25001000659,25,001,000659,1225.34,766.41,22.29,13.55,10.64,1177.1,811.81,10.65,6.76
25001000660,25,001,000660,1210,742,30,8,11,1216,742,18,5
25001000695,25,001,000695,2821,1133.78,47.28,15.76,20.69,2771.72,1204.74,16.74,2.95
25001000756,25,001,000756,2087.4,519.86,22.91,9.96,16.93,2030.63,595.55,4.98,2.99
25001000757,25,001,000757,1638.82,680.19,23.87,7.96,10.94,1587.11,728.92,5.97,1.99
25001000758,25,001,000758,1392.13,785.7,20.98,9.54,6.67,1365.44,805.72,4.77,0
25001000759,25,001,000759,1526.43,983.47,31.51,13.25,16.06,1477.92,1040.51,8.1,0
25001000760,25,001,000760,1682.09,818,38.4,12.48,7.68,1550.55,958.18,10.56,0
25001000761,25,001,000761,1667.4,815,24.33,6.11,14.07,1611.27,867.2,11.09,0
25001000762,25,001,000762,1378.32,928.32,21.29,11.1,8.18,1336.95,959.94,14.98,2.97
25001000763,25,001,000763,1346,930,38,13,14,1336,961,15,0
25001000764,25,001,000764,1328,816,22,12,1,1293,833,9,0
25001000881,25,001,000881,1521.61,855.96,27.73,12.81,17.74,1453.81,935.83,15.74,3.93
25001000882,25,001,000882,1427.06,840.02,33.21,7.81,10.74,1408.5,895.7,5.86,0.98
25001000883,25,001,000883,1474.91,863.36,39.97,16.99,9.99,1445.93,916.33,13.99,3
25001000884,25,001,000884,1356.52,775.31,47.01,9.01,15,1353.5,820.33,6.01,3
25001001167,25,001,001167,1434.66,846.21,17.98,5.99,5,1418.68,874.19,7.99,2
25001001168,25,001,001168,1124.8,794.39,34.08,6.05,10,1096.68,848.56,8.03,0
25001001169,25,001,001169,942,683,25,7,5,943,678,11,4
25001001170,25,001,001170,1130.32,685.04,25.44,14.68,2.94,1135.21,693.85,7.83,1.96
25001001171,25,001,001171,1329.36,1063.29,19.03,7.05,9,1268.52,1132.94,4.12,2.01
25001001454,25,001,001454,3297.36,1460.61,56.15,15.11,25.04,3157.13,1635.81,20.06,2.02
25001001530,25,001,001530,2388.62,180.99,9.94,5.97,12.93,2368.73,205.85,0.99,0
25001001643,25,001,001643,1503.03,994.81,40.25,12.76,8.83,1488.28,1040.96,17.67,0.98
25001001644,25,001,001644,1487.06,1014.37,24.12,8.38,2.16,1419.02,1086.78,7.38,1.06
25001001645,25,001,001645,1208.59,948.42,29.45,13.75,4.91,1182.08,978.85,10.8,0.98
25001001646,25,001,001646,1280.34,1048.79,35.02,11.01,6,1224.32,1104.81,12.01,0
25001001647,25,001,001647,1166,982,33,7,5,1154,989,17,1
25001001648,25,001,001648,1087.95,1053.98,26.97,4,5,1054.98,1091.94,7.99,1
25001001877,25,001,001877,1385.28,339.82,18.99,8,9,1378.28,364.81,2,0
25001001964,25,001,001964,1961.19,493.53,23.88,16.92,7.96,1956.21,527.36,6.97,4.98
25001002145,25,001,002145,1494.05,888.78,28.21,6,7.97,1459.04,926.89,14.01,1.05
25001002146,25,001,002146,1434.44,892.26,31.5,5.03,5,1407.53,926.94,11.84,3.01
25001002147,25,001,002147,1144.05,671.8,28.95,13,8.98,1145.11,687.72,10.98,1
25001002148,25,001,002148,1217.06,864.91,21.95,18.95,5.99,1245.99,851.94,5.99,1
25001002149,25,001,002149,1100,848,28,8,1,1125,824,11,1
25001002150,25,001,002150,1142.74,756.5,15.97,10.98,10.98,1128.77,765.48,13.97,0
25001002151,25,001,002151,1614.57,1071.59,35.29,7.03,11.12,1553.91,1143.13,19.16,8
25001ZZZZZZ,25,001,ZZZZZZ,313.9,189.52,6.44,2.38,2.31,304.13,203.83,1.92,0.52
25003000015,25,003,000015,527,253,13,9,2,539,237,6,0
25003000016,25,003,000016,574,291,18,5,2,595,269,12,0
25003000017,25,003,000017,601,324,17,7,2,613,313,8,0
25003000018,25,003,000018,512,269,13,6,1,521,255,11,0
25003000019,25,003,000019,680,291,16,8,0,680,284,20,0
25003000028,25,003,000028,270.88,49.98,1,1,2,264.89,55.98,2,7
25003000122,25,003,000122,757,413,17,6,2,740,397,19,1
25003000592,25,003,000592,1123.51,774.66,35.98,0,11,1113.52,782.66,13.99,5
25003000614,25,003,000614,583,390,13,2,2,594,371,11,1
25003000629,25,003,000629,1303.41,559.32,32.96,12.98,4.99,1294.42,550.33,15.98,1
25003000630,25,003,000630,1378.59,479.68,30.04,14.02,5.01,1344.58,488.67,12.02,1
25003000708,25,003,000708,783,174,8,7,1,776,167,4,2
25003000777,25,003,000777,213.81,203.32,6.06,0.06,0,221.53,187.6,1.22,0
25003000846,25,003,000846,949.15,178.06,14.46,7.42,1.46,935,182.04,9.34,0
25003000847,25,003,000847,861,203,14,9,5,865,205,5,0
25003000848,25,003,000848,651.85,84.74,6.52,5.57,5.54,649.02,84.76,4.65,0
25003000849,25,003,000849,906,188.19,9.02,6.01,6,897.98,197.2,3.01,0
25003000871,25,003,000871,257,207,9,3,2,282,186,3,1
25003000915,25,003,000915,771,402,18,15,4,771,387,10,0
25003000974,25,003,000974,1237.49,604.34,31.02,9,10,1209.48,607.34,3.01,8
25003000999,25,003,000999,2415.02,984.99,51,23,15,2377.02,976.99,27,3
25003001004,25,003,001004,2701,602,30,17,18,2621,650,13,2
25003001275,25,003,001275,481,102,6,2,1,463,112,2,0
25003001277,25,003,001277,102,16,1,4,2,104,20,0,0
25003001300,25,003,001300,98,48,4,1,0,94,55,0,0
25003001338,25,003,001338,678,264,13,4,0,671,257,13,0
25003001383,25,003,001383,932,388,11,6,0,933,366,3,0
25003001384,25,003,001384,848,288,14,6,0,856,262,12,0
25003001385,25,003,001385,678,216,10,15,0,702,196,7,0
25003001386,25,003,001386,957,390,16,7,0,960,354,11,0
25003001387,25,003,001387,801,318,21,10,0,812,279,10,0
25003001455,25,003,001455,536.72,430.35,13.66,5.86,2.93,528.91,404,24.4,1.95
25003001492,25,003,001492,299,216,14,2,2,300,215,5,0
25003001495,25,003,001495,944,312,18,7,1,941,301,4,0
25003001496,25,003,001496,1161,397,15,19,5,1150,375,14,4
25003001497,25,003,001497,706,184,12,10,2,690,184,4,1
25003001498,25,003,001498,1269,377,20,7,4,1255,357,8,0
25003001499,25,003,001499,1412,376,18,11,11,1375,381,8,2
25003001500,25,003,001500,1448,420,32,10,5,1423,415,8,1
25003001501,25,003,001501,1417.47,396.35,25.08,13.05,4.03,1398.45,403.24,10.03,1
25003001502,25,003,001502,1527.53,554.65,18.92,10.95,7.97,1521.55,529.76,6.97,0
25003001503,25,003,001503,1198,301,22,10,7,1168,317,14,2
25003001504,25,003,001504,1207,454,31,12,6,1201,438,6,4
25003001505,25,003,001505,1261,333,19,18,5,1263,323,9,2
25003001506,25,003,001506,889,235,12,12,2,867,247,3,0
25003001507,25,003,001507,759.86,277.27,12.28,14.1,3.02,769.7,243.27,12.14,1.01
25003001508,25,003,001508,1204.14,399.73,34.72,11.9,1.98,1185.3,399.73,16.86,0.99
25003001606,25,003,001606,828,215,8,4,2,820,210,5,0
25003001642,25,003,001642,311.26,207.19,5.19,2,2.04,310.99,193.38,9.12,0
25003001659,25,003,001659,226,161,7,4,1,234,151,4,0
25003001675,25,003,001675,1542,578,21,15,6,1516,569,8,0
25003001803,25,003,001803,1098.91,236.98,12,11,4,1081.92,246.98,8,0
25003001882,25,003,001882,234.06,72.03,3,2,3,221.06,69.03,7,1
25003001934,25,003,001934,240,107,5,1,0,241,99,1,0
25003001981,25,003,001981,784.12,164.02,15,4,4,783.11,166.02,0,6
25003002050,25,003,002050,1286.51,223.7,12.92,4.97,4.97,1259.66,246.56,4.97,3.98
25003002051,25,003,002051,575,49,4,6,3,566,60,1,1
25003002052,25,003,002052,1334.49,226.3,12.08,6.03,8.03,1305.34,254.44,3.03,1.02
25003002070,25,003,002070,370,201,4,3,1,382,161,11,0
25005000012,25,005,000012,837.31,940.29,23.53,12.25,3.13,893.13,855.78,15,1.32
25005000013,25,005,000013,930.14,1169.98,27.78,8.03,3.04,987.04,1058.56,23.73,0.18
25005000014,25,005,000014,927.25,1202.76,22.34,10.08,5.02,1022.67,1070.64,23.27,1.99
25005000087,25,005,000087,1006,800,31,12,4,1024,773,12,2
25005000088,25,005,000088,1099.34,826.13,28.09,6.15,8.39,1082.05,831.08,10.17,3.15
25005000089,25,005,000089,1157,813,36,13,11,1142,832,18,0
25005000090,25,005,000090,1268,942,42,19,8,1255,951,20,3
25005000091,25,005,000091,1276,753,23,15,6,1282,761,3,2
25005000092,25,005,000092,1242,758,30,10,10,1219,781,15,1
25005000093,25,005,000093,1038,530,23,13,10,1072,515,7,0
25005000094,25,005,000094,1452,1113,29,9,7,1425,1132,9,7
25005000095,25,005,000095,801,382,26,13,5,844,364,11,23
25005000096,25,005,000096,1144,749,27,14,10,1181,717,10,0
25005000097,25,005,000097,1036,795,34,19,5,1042,777,19,7
25005000098,25,005,000098,1141.66,810.87,43.91,5.85,15.61,1169.95,808.92,6.83,5.85
25005000144,25,005,000144,1085.26,1289.53,42.63,13.87,10.38,1142.03,1232.84,19.62,7.34
25005000145,25,005,000145,787,1073,22,7,7,823,1004,25,3
25005000639,25,005,000639,1043.57,1298.54,40.52,3.95,6.92,1110.77,1211.57,11.86,0.99
25005000640,25,005,000640,802.43,683.46,10.48,7.05,7.08,838.23,630.43,6.14,0.01
25005000641,25,005,000641,44.4,3.32,0.01,0,0,42.42,4.3,0,0
25005000642,25,005,000642,1164.31,916.98,20.53,13.69,4.89,1192.66,856.37,3.91,0.98
25005000643,25,005,000643,1291.6,1020.68,17.99,11,11,1330.58,956.7,13,0
25005000644,25,005,000644,953,844,15,8,3,1046,717,9,1
25005000645,25,005,000645,1197,1020,22,8,5,1242,939,12,2
25005000646,25,005,000646,1507.57,863.97,23.05,4.61,11.99,1497.42,853.83,8.3,0
25005000647,25,005,000647,1767.55,1114.04,31.05,13.54,12.97,1751.54,1097.97,18.56,3.97
25005000661,25,005,000661,1060.34,1192.65,37.28,12.98,10.48,1076.07,1123.74,38.21,4.32
