GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHOG,G18GOVDJEA,G18GOVLQUI,G18GOVGSCH,G18GOVOWRI,G18COMRPHU,G18COMDFRA,G18COMOWRI,G18ATGRWOL,G18ATGDFRO,G18ATGOWRI,G18USSRCAM,G18USSDCAR,G18USSLVOH,G18USSISIM,G18USSOWRI
2400101-000,24,001,01-000,344,33.8,5,1,0,231.8,120.2,0,306.2,64.7,0,287.3,72.7,0,12.9,0
2400102-000,24,001,02-000,358.6,33.2,4,0,0,244.1,138.6,0,324.4,72.3,0,280.3,96.3,6,18.1,0
2400103-000,24,001,03-000,354,23.9,2,1,0,242.3,121.6,0,317.1,54.8,0,289.1,66.8,3,18.9,0
2400104-002,24,001,04-002,182,62,4,7,0,111,128,1,146,101,2,121,106,7,12,1
2400104-003,24,001,04-003,322,99,7,4,1,168,247,0,240,190,0,209,198,5,21,0
2400104-004,24,001,04-004,563,136,4,8,0,299,371,1,433,249,0,355,321,5,21,2
2400104-005,24,001,04-005,293,62.3,2.2,8.2,0,162.9,183.9,1,226.1,133.1,2,207.2,143.9,3.2,6.4,2
2400104-008,24,001,04-008,381.4,86.6,3.4,3.4,0,179.1,277.7,0,282,182.5,0,244.2,218.5,3.4,7.7,0
2400105-004,24,001,05-004,399.8,144.9,1,8,3,201.9,326.8,0,309.8,231.9,0,253.9,264.9,9,18,0
2400105-006,24,001,05-006,208.2,46.1,0,0,0,132.1,120.2,0,180.2,77.1,0,162.1,88.1,1,5,0
2400106-001,24,001,06-001,429,169,7,10,0,183,407,0,313,289,0,233,344,11,28,0
2400106-003,24,001,06-003,206,61,6,0,0,105,157,0,156,115,0,126,130,5,9,0
2400106-005,24,001,06-005,386.5,132.8,4,3,1,201.7,305.6,0,291.6,215.7,0,231.7,254.7,6,21,1
2400106-006,24,001,06-006,615,129,7,6,0,345,386,0,529,223,0,465,268,5,17,1
2400106-099,24,001,06-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400107-001,24,001,07-001,655,126.9,6.5,0.9,0,381.6,387.2,0.9,548.6,232.3,0,480.5,295.8,5.6,13.1,0
2400107-002,24,001,07-002,799,123,7,0,1,458,431,1,666,249,2,570,322,2,31,1
2400108-000,24,001,08-000,989.5,136.6,5.9,3,0,638.8,441.6,0,841.8,269.3,0,760.3,336.9,5.9,24.8,0
2400109-000,24,001,09-000,386.1,23.1,0.9,0.9,0,250.1,143.6,0.9,350.2,50.8,1.8,316.2,81.2,0.9,7.4,1.8
2400110-000,24,001,10-000,644.1,54.8,3.8,0,0,360.5,282.7,0,551.7,110.8,0,485.5,168.3,3.7,19,0
2400111-000,24,001,11-000,371.9,159.5,1,2.9,0,175.8,345,0,272,259.4,0,229.7,279.6,5.8,16.3,0
2400112-000,24,001,12-000,873.4,286.1,6.8,13.5,2.9,453,661.8,0.9,693.8,449.6,0.9,588.7,532.1,8.7,42.8,0.9
2400113-000,24,001,13-000,703.4,94,4,4.1,0,428.1,336.1,0,598.1,193.4,0,529.2,232.8,7.1,37.3,0
2400114-000,24,001,14-000,108.9,69.9,4,0,0,45.9,124.8,0,72.9,97.9,0,54.9,106.9,3,6,3
2400116-000,24,001,16-000,680.6,93.1,5.4,3.4,0,434.9,305.5,0,585,185.3,0,529.6,219.6,4.4,15.9,0
2400118-000,24,001,18-000,752.2,75.8,3.2,1.6,0.1,452.3,330.6,0,667.9,132.6,0,558.9,216.7,1.4,30.7,0
2400120-000,24,001,20-000,696.4,66,5,3,0,455.9,284.2,0,608.3,155,0,550,187.3,7,21.1,0
2400121-000,24,001,21-000,405,50,2,1,0,251,187,1,356,104,0,326,122,10,6,0
2400122-001,24,001,22-001,466.8,138.6,8.8,10.7,1,259.3,335.7,0,367.6,246.3,0,312.8,267.3,6.8,25.3,2.9
2400122-002,24,001,22-002,48.2,12.4,0.2,0.3,0,28.7,27.3,0,39.4,19.7,0,36.2,23.7,0.2,0.7,0.1
2400123-000,24,001,23-000,725.1,197.1,12,6,0,401.1,512.2,0,593.1,320.1,2,505.1,386.1,11,32,0
2400124-000,24,001,24-000,586.6,72.8,3.8,5.8,0,350.8,281.8,0,495.6,162,0,458.2,181.2,3.8,24,0
2400126-000,24,001,26-000,648.7,358.9,12,6,0,351.9,619.8,0,503.8,496.8,0,432.8,516.8,11,45,0
2400129-001,24,001,29-001,896.6,159,4,3,0,485.1,525.8,2,711.7,327,0,659,377.7,7,16.9,0
2400129-002,24,001,29-002,841.6,175.3,2,0,1,438.8,540,2,664.3,337.6,0,555.1,416.8,9,46,0
2400129-003,24,001,29-003,606.9,116,3.5,3.1,0,310.9,390.2,0.1,484.5,242.3,0,414.7,299.8,4.4,17.9,0
2400131-000,24,001,31-000,502.7,80.1,2,4,4,335.4,238.3,1,445.6,131.2,0,410.5,151.2,3,21,1
2400134-000,24,001,34-000,691,86,5,6,1,391,368,2,537,237,3,483,274,4,27,2
2400301-001,24,003,01-001,993.4,236,7,9.1,0,500.1,713.2,4,722.1,500.2,2,651.7,506.2,11.1,71.4,3
2400301-002,24,003,01-002,1016.9,311.1,12.8,9.5,2.1,530.5,778.6,2,724.2,599.3,1.9,649.3,590.6,12,92.2,1.9
2400301-003,24,003,01-003,805,204,9,5,0,433,556,4,577,424,0,506,430,7,69,2
2400301-004,24,003,01-004,582,443,3,2,0,276,749,0,365,665,0,316,662,7,55,0
2400301-005,24,003,01-005,584.8,414.8,7,7,2,284.8,701.8,2,347.1,665.5,2,294.7,686.6,5.1,44.3,0
2400301-006,24,003,01-006,619.4,723.2,12.7,2.3,1.9,303.3,1021.9,0.1,376.9,987.8,0,317.9,982.1,9.3,49.3,0.1
2400301-007,24,003,01-007,802.9,183.2,5.6,11.2,0,389.2,592,1.9,571.2,411,0,498.9,415.7,13.2,66.6,0
2400301-008,24,003,01-008,1068,225,6,12,0,595,673,2,799,486,0,714,478,14,88,0
2400301-009,24,003,01-009,934.5,234.1,6.5,7.4,0.1,497.7,654.2,4,700.2,451.3,0.1,615.8,464.7,18.6,70.8,0
2400301-010,24,003,01-010,833.6,213.8,5,3,2,382.7,663.6,2,570.5,477.8,2,477.2,484.9,14.1,83.3,2
2400301-011,24,003,01-011,801,165.5,5.4,3.3,0.1,394.4,554.5,2.1,534.1,412.2,3.1,510.6,372.9,14.4,60.2,3.1
2400301-012,24,003,01-012,453.3,802.6,10.1,3,2,202.1,1030.8,9,243.9,1022.1,3,214.5,984.1,11.1,55.4,0
2400301-013,24,003,01-013,315,197,7,5,0,140,376,0,202,319,0,153,321,9,39,0
2400301-014,24,003,01-014,677.1,211.5,12.8,4.9,3,400.3,486.3,4.9,506.1,393.4,2,446.8,395.4,11.9,53.4,2
2400301-015,24,003,01-015,822.8,245.6,6.9,6.9,0,373.3,699,0,548.5,516.9,2,457.4,544.6,6.9,81.2,0
2400301-016,24,003,01-016,642.2,348.4,7.1,7.1,3,328.7,658,2,429.5,562.1,0,387.6,545.4,12.1,49.8,2
2400301-017,24,003,01-017,409.8,196.6,1.9,0,0,186.4,419,1.9,257.5,342.4,0,221.5,341.5,6.5,39.7,0
2400301-018,24,003,01-018,726.5,610.5,16.6,5.6,0.1,371.1,969.8,2.1,458.6,888.2,3,421.5,881,17.2,40.5,0.1
2400301-019,24,003,01-019,651.2,660.2,8.9,8.9,2,304.2,999.2,4,361.9,963.5,2,298.3,969.4,15.9,56.7,0
2400301-020,24,003,01-020,631,559,13,7,2,348,824,2,412,791,0,360,782,21,39,0
2400301-021,24,003,01-021,363,868,9,3,0,175,1030,0,209,1029,1,163,1021,9,44,3
2400301-022,24,003,01-022,1171.8,1296.7,26.1,11.6,1.9,660.4,1769.2,0,695.3,1799.3,0,581,1802.2,32,92,1
2400301-023,24,003,01-023,246.8,408.4,4,2.4,0,147.3,481.7,1.6,145.7,508,0,124.2,503.2,7.2,27.9,0
2400301-024,24,003,01-024,436,385,6,3,0,207,597,2,250,579,0,216,569,8,44,1
2400301-025,24,003,01-025,670.2,279.3,6.8,2.4,2.1,359.6,576.8,0,460.7,496.7,0,398,517.8,12,41,2
2400301-026,24,003,01-026,485,1320,22,5,0,192,1583,0,215,1610,1,178,1576,21,43,3
2400301-099,24,003,01-099,3.8,6.3,0.1,0,0,2.3,7.4,0,2.2,7.8,0,1.9,7.8,0.1,0.4,0
2400302-001,24,003,02-001,661.9,262.9,6.7,2.9,0,340.6,564.1,0,446.1,481.6,0,373.2,474.9,7.7,78.7,0
2400302-002,24,003,02-002,664.3,321,5.4,5.2,0,299.4,690.9,2.1,410.3,579.1,0.3,363.8,596,2.1,45.8,0.1
2400302-003,24,003,02-003,731.9,270.2,4.7,1.9,0,380,613.6,0,500.1,502.9,0,432.5,496.3,8.4,72.2,0
2400302-004,24,003,02-004,792.4,443.2,4.8,2.9,1.9,394.8,814.2,1.9,512.7,718.1,2.9,450.9,730.5,16.2,46.6,1.9
2400302-005,24,003,02-005,659.9,496.4,8.9,3,0,353.7,788.7,0,447.8,713.4,0,385.4,693.5,15.8,65.4,0
2400302-006,24,003,02-006,594.7,240.5,2.2,9,2,312.5,513.3,0,416.1,419.7,0,374.3,426.3,12.3,36.9,0
2400302-007,24,003,02-007,936.1,490.3,9.7,9.7,2.9,436.2,986.3,1.9,586.8,858,1.9,516.3,851.2,12.6,73.3,0
2400302-008,24,003,02-008,513.2,164.5,3.6,0,0,273.3,394,2.6,362.8,306.1,1,323.2,305,6.2,41.6,0
2400302-009,24,003,02-009,759.1,608.7,9.6,7.3,0.1,363.4,992.5,0.1,468.4,909.2,0.1,408.8,902.4,18.4,54.2,2.1
2400302-010,24,003,02-010,890.6,244.1,7,3.1,0,481.6,646.2,3.9,639.4,480.6,0,541.4,493.4,11,90,2
2400302-011,24,003,02-011,529.1,188.6,5.1,2,3,270.3,432.3,4,377.2,337.6,3,313.6,353.4,13.2,39.6,2
2400302-012,24,003,02-012,340.6,110.3,7,0,0,205.9,233.1,0,258.2,181.4,0,231,168.9,11.2,27.2,1.4
2400302-013,24,003,02-013,442.7,204.8,3.5,1.4,0,219.5,420,0.1,294.3,348.1,0.1,254.9,336.4,9.4,41.9,0.1
2400302-014,24,003,02-014,557.3,817.1,6.2,6.9,0,241.1,1097.5,2.1,296,1088.8,3.9,258.9,1064.5,8.4,47.5,0.1
2400302-015,24,003,02-015,584.8,525.1,7.6,4.2,0,285,799.6,3.3,362.7,746.7,1.6,296.8,754.7,13.5,47.7,1.6
2400302-016,24,003,02-016,951.8,296.4,9.1,5,0,489.9,741.5,4.2,676.2,566.5,0.9,602.9,571.6,17.2,65,2
2400302-017,24,003,02-017,476.3,602.9,5.9,3,2,204.4,854.2,0,245,847.9,0,214.2,837.2,12.8,29.7,0
2400302-018,24,003,02-018,653.3,458.6,9.3,3.2,0,304.4,791.4,4.2,401.8,706.1,0.1,344.9,701.5,17.6,52.1,2.1
2400302-019,24,003,02-019,622.5,528.2,12.4,9.7,0,316,840.7,1.9,388.9,783.6,0,358.8,763.2,11.2,47.5,0.6
2400302-020,24,003,02-020,929.6,436.6,6.4,5.4,2,480.3,857.6,7.2,620.8,725.7,2,559.5,727.2,11.1,69.3,3
2400302-021,24,003,02-021,1577.5,459,12.5,7.4,0.2,840,1163.4,0,1144.8,884.9,3,1004.6,925.7,19,92.8,3
2400302-022,24,003,02-022,973,252.7,8.5,13,1.9,529.8,682.4,0.1,698.7,530.4,0,624.7,525.7,20.6,60.2,1.9
2400302-023,24,003,02-023,1088,506,10,9,2,582,976,2,720,874,4,612,880,30,91,0
