GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREBSEG,G20PREOWRI
2400101-000,24,001,01-000,75.56,414.61,5.95,2,0,0
2400102-000,24,001,02-000,81.35,430.91,5.03,0.01,0,3
2400103-000,24,001,03-000,79.77,458.65,1.99,1.99,0,0
2400104-002,24,001,04-002,133,210,5,4,2,1
2400104-003,24,001,04-003,238,375,6,8,1,4
2400104-004,24,001,04-004,374,563,2,6,3,10
2400104-005,24,001,04-005,158.77,324.91,1.64,1.09,1.09,1.09
2400104-008,24,001,04-008,235.67,438.78,12.85,1.71,1.71,1.71
2400105-004,24,001,05-004,274.85,414.78,4,2,1,4
2400105-006,24,001,05-006,72.15,281.22,5,1,0,0
2400106-001,24,001,06-001,439,375.01,10,3,2,5
2400106-003,24,001,06-003,169,228,4,1,0,5
2400106-005,24,001,06-005,332.57,368.53,13.98,3.99,1,5.99
2400106-006,24,001,06-006,262,657,6,7,1,6
2400106-099,24,001,06-099,0,0,0,0,0,0
2400107-001,24,001,07-001,272.43,717.46,10.26,6.53,0.93,2.8
2400107-002,24,001,07-002,330,832,13,4,0,3
2400108-000,24,001,08-000,251.01,987.18,8.88,3.98,2.97,2.02
2400109-000,24,001,09-000,81.19,431.98,1.98,2.96,0.99,2.95
2400110-000,24,001,10-000,129.03,698.19,8.93,1.94,0.94,2.98
2400111-000,24,001,11-000,286.93,330.98,4.04,2.04,0.01,2.01
2400112-000,24,001,12-000,538.79,863.7,26.8,9.54,2.97,7.06
2400113-000,24,001,13-000,170.37,806.62,9.24,4.22,0.09,1.04
2400114-000,24,001,14-000,129.84,133.83,3.99,3.99,0,0
2400116-000,24,001,16-000,214.56,929.31,4.5,6.2,1.2,0.2
2400118-000,24,001,18-000,170.94,854.45,9.97,1.45,0.16,3.21
2400120-000,24,001,20-000,170.57,823.49,6.08,3.01,3.01,2.02
2400121-000,24,001,21-000,111,514,6,1,0,0
2400122-001,24,001,22-001,329.69,613.61,18.49,0.97,0,3.89
2400122-002,24,001,22-002,26.31,76.39,0.51,0.03,0,0.11
2400123-000,24,001,23-000,408.16,695.17,17.01,4.01,1,7
2400124-000,24,001,24-000,183.08,624.95,4.79,0.96,2.88,9.59
2400126-000,24,001,26-000,920.63,744.7,21.99,5,1,13.99
2400129-001,24,001,29-001,425.42,907.5,12.92,1.99,1.99,2.98
2400129-002,24,001,29-002,413.8,746.66,13.02,3.01,0,8.01
2400129-003,24,001,29-003,299.19,630.35,7.74,3.47,0.07,2.2
2400131-000,24,001,31-000,139.83,622.18,6.06,1.03,0.02,2.01
2400134-000,24,001,34-000,226,739,8,6,5,4
2400301-001,24,003,01-001,739.07,896.2,20.13,8.06,4.01,10.05
2400301-002,24,003,01-002,747.07,760.02,28.47,5.3,2.18,15.4
2400301-003,24,003,01-003,590,822,22,12,1,6
2400301-004,24,003,01-004,911,595,21,8,4,0
2400301-005,24,003,01-005,871.51,403.41,18.15,4.05,1.02,13.07
2400301-006,24,003,01-006,1362.43,468.64,28.64,11.68,1.93,19.56
2400301-007,24,003,01-007,381.67,590.65,23.49,10.32,1.88,9.38
2400301-008,24,003,01-008,609,936,32,5,3,18
2400301-009,24,003,01-009,580.58,923.36,30.69,9.54,2.12,4.06
