GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI
23001019105,23,001,019105,1106.17,1273.91,149.29,44.28,0.05
23001020601,23,001,020601,1091.88,1027.94,181.98,39.35,9.84
23001020602,23,001,020602,1371.05,1089.7,167.91,51.87,7.29
23001020603,23,001,020603,934.91,1109.83,146.05,32.45,10.73
23001020604,23,001,020604,863.48,953.09,96.14,40.26,10.04
23001020605,23,001,020605,1065.12,1143.71,147.58,44.62,4.97
23001029255,23,001,029255,817,1545,151,26,0
23001038565,23,001,038565,418,752,76,17,10
23001040035,23,001,040035,1780.45,2805.69,290.89,86.04,17.16
23001040665,23,001,040665,466,691.64,62.79,21.58,28.45
23001040770,23,001,040770,561.07,738.01,115.82,44.28,0.37
23001044585,23,001,044585,527.92,890.54,119.18,24.29,5.15
23001046160,23,001,046160,533.59,952.32,98.95,21.79,6.66
23001060020,23,001,060020,1247.35,1688.84,199.41,58.48,7.13
23001064570,23,001,064570,867.12,1694.47,152.14,50.71,0
23001077800,23,001,077800,1092,2014,150,47,12
23001079585,23,001,079585,225.88,588.53,64.86,6.29,6
23001387401,23,001,387401,1547.12,822.06,116.02,34.65,8.16
23001387402,23,001,387402,1332,1521,177,40,10
23001387403,23,001,387403,1490,555,103,43,7
23001387404,23,001,387404,1014,1132,144,26,6
23001387405,23,001,387405,816,547,90,29,5
23001387406,23,001,387406,1068.21,1575.33,176.44,37.14,10.01
23001387407,23,001,387407,1049.36,1220.65,148.34,28.1,8.01
23003NA,23,003,NA,13499,19454,1658,518,125
23005002655,23,005,002655,273,561,58,16,3
23005007170,23,005,007170,1208.84,1446.89,155.76,68.57,5.88
23005010180,23,005,010180,4487.66,1585.28,228.46,70.52,6.95
23005011125,23,005,011125,817.25,1107.24,103.9,46.5,9.89
23005012300,23,005,012300,243.77,68,17.55,11.61,0.02
23005015430,23,005,015430,3211.7,1758.43,285.06,56.02,29
23005024495,23,005,024495,4919,2638,307,108,22
