GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDMIL,G18GOVRMOO,G18GOVIHAY,G18GOVOWRI,G18USSDRIN,G18USSRBRA,G18USSIKIN,G18USSOWRI
23001019105,23,001,019105,944.7,1145.8,114.7,0,174.3,927.1,1138.6,4
23001020601,23,001,020601,896.1,811.5,150.5,6.9,200.7,727.9,963,0
23001020602,23,001,020602,1226.2,833.9,148.2,2,221.7,771.6,1223.6,0
23001020603,23,001,020603,829.9,931.3,118.9,1,136.4,772,993.2,0
23001020604,23,001,020604,775,789.5,136.3,1.1,140.1,727.8,849.2,0
23001020605,23,001,020605,868.3,866.1,147.3,1.9,169.4,811.5,924.3,0
23001029255,23,001,029255,624,1250,152,0,114,1048,869,0
23001038565,23,001,038565,374,566,85,0,77,488,468,0
23001040035,23,001,040035,1609.8,2103.7,334.1,0,323.5,1781.1,2000.7,0
23001040665,23,001,040665,429.7,571,83.4,1,75.5,477.8,502.3,0
23001040770,23,001,040770,500.6,474.4,93.1,0,118,416.2,546.5,3
23001044585,23,001,044585,459.8,687.3,130.3,1,75.5,651.3,567.7,0
23001046160,23,001,046160,440.9,804.6,85.5,0,58.7,685.2,597.9,0
23001060020,23,001,060020,1078.4,1430.7,202.7,1,209.2,1268.2,1254.3,2
23001064570,23,001,064570,728.9,1192.3,146.2,0,146.2,1045.1,914.9,0
23001077800,23,001,077800,897,1528,212,0,139,1317,1189,0
23001079585,23,001,079585,198.1,463.7,48.8,1,25.8,413.9,279.1,0
23001387401,23,001,387401,1396.9,576.5,128.5,2.1,467.3,501.1,1116,1
23001387402,23,001,387402,1103,1299,180,2,204,1050,1343,1
23001387403,23,001,387403,1193,295,113,2,454,266,884,0
23001387404,23,001,387404,872,882,168,2,162,740,1059,0
23001387405,23,001,387405,757,298,90,1,298,255,556,0
23001387406,23,001,387406,946.6,1299.5,155.4,2,187.5,1111.4,1147.7,1
23001387407,23,001,387407,850.9,870,133.3,2,194.4,736.9,939.1,0
23003NA,23,003,NA,10420,14508,2242,2,1837,10783,14818,3
23005002655,23,005,002655,249,492,36,0,65,403,311,0
23005007170,23,005,007170,1140.3,1200,183.2,0,245.9,1028.6,1249,0
23005010180,23,005,010180,3940.4,1505.8,191.7,0,554.2,1117.4,3971.2,0
23005011125,23,005,011125,694.6,884.7,116.8,0,169.2,730.3,806.4,0
