GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
23001019105,23,001,019105,1392.86,1341.78,64.53,27.22,7,1056.57,1583.34,165.09,40.28
23001020601,23,001,020601,1912.55,1368.91,70.88,31.64,3.8,1570.17,1601.18,143.03,56.33
23001020602,23,001,020602,1083.74,777.03,40.15,17.94,2.19,889.55,908.73,81.16,31.99
23001020603,23,001,020603,900.23,847.82,30.68,16.15,7.03,712.02,971.5,83.56,38
23001020604,23,001,020604,1334.94,1248.23,46.55,24.82,9.86,1056.41,1430.11,126.19,57.58
23001020605,23,001,020605,1292.23,1165.17,57.7,33.95,3.13,1024,1329.8,146.91,68.2
23001029255,23,001,029255,924,1667,33,27,4,691,1834,93,38
23001038565,23,001,038565,510,820,27,9,3,397,898,53,22
23001040035,23,001,040035,2301.31,2913.08,130.32,62.4,14.18,1833.39,3208.28,262.69,124.91
23001040665,23,001,040665,568.03,770.12,24.53,9.81,2.94,445.4,868.23,32.37,13.73
23001040770,23,001,040770,553.4,821.03,22.32,20.13,2.04,469.8,852.31,66.42,31.18
23001044585,23,001,044585,668.08,1008.15,41.52,22.04,2.03,520.21,1079.73,83.45,52.81
23001046160,23,001,046160,669.21,1013.09,36.86,13.86,2.08,510.75,1144.08,60.29,26.01
23001060020,23,001,060020,1520.58,1907.84,59.19,28.89,10.81,1161.53,2162.41,135.26,53.79
23001064570,23,001,064570,1039.16,1759.11,52.7,25.85,1.99,839.28,1878.44,102.42,66.63
23001077800,23,001,077800,1302,2057,56,32,2,1015,2255,112,61
23001079585,23,001,079585,283.84,626.89,15.3,6.15,3.01,199.72,694.56,21.58,16.37
23001387401,23,001,387401,1228.68,574.1,27.74,33.93,2.08,1073.69,662.88,81.26,29.51
23001387402,23,001,387402,1496,1489,61,28,5,1160,1743,91,70
23001387403,23,001,387403,1777.05,818.62,39.44,49.6,2.99,1555.37,944.7,117.12,42.42
23001387404,23,001,387404,1384,1148,60,28,0,1105,1347,129,31
23001387405,23,001,387405,755.4,471.52,18.06,12.7,3.67,649.86,540.09,52.2,20.6
23001387406,23,001,387406,1191.89,1575.36,62.17,25.11,5.01,934.08,1822.83,98.46,60.21
23001387407,23,001,387407,1924.42,1202.15,46.07,32.38,9.34,1655.37,1376.96,133.11,52.55
23003NA,23,003,NA,14114.3,21144.97,423.6,235.26,52.09,9877.51,24115.67,1078.68,747.34
23005002655,23,005,002655,354,625,13,12,1,255,691,33,24
23005007170,23,005,007170,1639.87,1500.77,54.86,27.43,1.96,1334.23,1699.63,130.29,49.96
23005010180,23,005,010180,5369.7,1455.16,68.54,47.68,12.91,4484.68,2146.49,315.86,37.74
23005011125,23,005,011125,1035.91,1174.55,53.42,19.79,2.97,817.27,1302.18,102.88,48.49
23005012300,23,005,012300,258,66,3,6,0,219,102,9,3
23005015430,23,005,015430,4118.88,1804.48,88.02,34.01,7,3260.7,2545.61,249.08,35.01
23005024495,23,005,024495,6213,2678,133,61,18,5100,3667,311,50
23005026525,23,005,026525,4367.58,1676.92,111.86,59.93,11.99,3757.33,2144.34,287.64,47.94
23005027025,23,005,027025,38,19,0,0,0,27,29,1,0
23005028240,23,005,028240,6527.35,4285.64,219.98,132.99,25,5198.5,5375.54,489.95,160.99
23005028870,23,005,028870,2681,2563,113,61,8,2100,2975,259,90
