GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
23001019105,23,001,019105,1392.9,1341.8,64.5,27.2,7,1056.6,1583.3,165.1,40.3
23001020601,23,001,020601,1912.6,1368.9,70.9,31.6,3.8,1570.2,1601.2,143,56.3
23001020602,23,001,020602,1083.7,777,40.1,17.9,2.2,889.5,908.7,81.2,32
23001020603,23,001,020603,900.2,847.8,30.7,16.1,7,712,971.5,83.6,38
23001020604,23,001,020604,1334.9,1248.2,46.5,24.8,9.9,1056.4,1430.1,126.2,57.6
23001020605,23,001,020605,1292.2,1165.2,57.7,34,3.1,1024,1329.8,146.9,68.2
23001029255,23,001,029255,924,1667,33,27,4,691,1834,93,38
23001038565,23,001,038565,510,820,27,9,3,397,898,53,22
23001040035,23,001,040035,2301.3,2913.1,130.3,62.4,14.2,1833.4,3208.3,262.7,124.9
23001040665,23,001,040665,568,770.1,24.5,9.8,2.9,445.4,868.2,32.4,13.7
23001040770,23,001,040770,553.4,821,22.3,20.1,2,469.8,852.3,66.4,31.2
23001044585,23,001,044585,668.1,1008.1,41.5,22,2,520.2,1079.7,83.4,52.8
23001046160,23,001,046160,669.2,1013.1,36.9,13.9,2.1,510.8,1144.1,60.3,26
23001060020,23,001,060020,1520.6,1907.8,59.2,28.9,10.8,1161.5,2162.4,135.3,53.8
23001064570,23,001,064570,1039.2,1759.1,52.7,25.9,2,839.3,1878.4,102.4,66.6
23001077800,23,001,077800,1302,2057,56,32,2,1015,2255,112,61
23001079585,23,001,079585,283.8,626.9,15.3,6.2,3,199.7,694.6,21.6,16.4
23001387401,23,001,387401,1228.7,574.1,27.7,33.9,2.1,1073.7,662.9,81.3,29.5
23001387402,23,001,387402,1496,1489,61,28,5,1160,1743,91,70
23001387403,23,001,387403,1777,818.6,39.4,49.6,3,1555.4,944.7,117.1,42.4
23001387404,23,001,387404,1384,1148,60,28,0,1105,1347,129,31
23001387405,23,001,387405,755.4,471.5,18.1,12.7,3.7,649.9,540.1,52.2,20.6
23001387406,23,001,387406,1191.9,1575.4,62.2,25.1,5,934.1,1822.8,98.5,60.2
23001387407,23,001,387407,1924.4,1202.2,46.1,32.4,9.3,1655.4,1377,133.1,52.5
23003NA,23,003,NA,14114.3,21145,423.6,235.3,52.1,9877.5,24115.7,1078.7,747.3
23005002655,23,005,002655,354,625,13,12,1,255,691,33,24
23005007170,23,005,007170,1639.9,1500.8,54.9,27.4,2,1334.2,1699.6,130.3,50
23005010180,23,005,010180,5369.7,1455.2,68.5,47.7,12.9,4484.7,2146.5,315.9,37.7
23005011125,23,005,011125,1035.9,1174.6,53.4,19.8,3,817.3,1302.2,102.9,48.5
23005012300,23,005,012300,258,66,3,6,0,219,102,9,3
23005015430,23,005,015430,4118.9,1804.5,88,34,7,3260.7,2545.6,249.1,35
23005024495,23,005,024495,6213,2678,133,61,18,5100,3667,311,50
23005026525,23,005,026525,4367.6,1676.9,111.9,59.9,12,3757.3,2144.3,287.6,47.9
23005027025,23,005,027025,38,19,0,0,0,27,29,1,0
23005028240,23,005,028240,6527.4,4285.6,220,133,25,5198.5,5375.5,490,161
23005028870,23,005,028870,2681,2563,113,61,8,2100,2975,259,90
23005031390,23,005,031390,2404,1426,46,38,0,1972,1746,184,26
23005031600,23,005,031600,749,798,14,19,4,550,925,77,34
23005041067,23,005,041067,134,53,4,0,1,104,78,7,1
23005048085,23,005,048085,1095.2,1435.7,44.7,21.8,4.1,890.5,1569.2,84.8,57.5
23005048820,23,005,048820,1738,1761,85,35,4,1388,2025,165,52
23005053860,23,005,053860,1881.1,1019.5,48,30,4,1506.3,1305.4,168.9,20
23005060685,23,005,060685,692,490,14,16,2,540,588,75,16
23005061945,23,005,061945,1606,1475,60,21,1,1257,1713,137,55
23005066145,23,005,066145,9624.3,5238.8,216.5,110.3,32.1,7694.3,6833.5,545.1,160.3
23005066775,23,005,066775,535,721,18,11,0,438,769,53,25
23005073670,23,005,073670,2822.8,3058.3,108.1,47.6,7,2211.8,3518.7,233,93.2
23005084301,23,005,084301,1624.6,618.3,38.2,30.9,3.1,1369,776.1,141.8,29.7
23005084302,23,005,084302,902.2,343.4,21.2,17.2,1.7,760.2,431,78.7,16.5
23005084303,23,005,084303,1177.8,448.3,27.7,22.4,2.3,992.5,562.7,102.8,21.6
23005084304,23,005,084304,1206.6,459.2,28.4,23,2.3,1016.8,576.4,105.3,22.1
23005084305,23,005,084305,2414.5,919,56.7,45.9,4.7,2034.6,1153.5,210.7,44.2
23005084306,23,005,084306,1503.5,572.2,35.3,28.6,2.9,1266.9,718.3,131.2,27.5
23005084307,23,005,084307,1002.7,381.6,23.6,19.1,1.9,844.9,479,87.5,18.4
23005086025,23,005,086025,5844,5292,232,131,23,4672,6138,527,186
23005087845,23,005,087845,4841.4,1444.1,80.1,44.1,12,3994.7,2144.7,267.4,36.1
23005605411,23,005,605411,3038,361,37,53,19,2411,505,517,27
23005605412,23,005,605412,2710,427.4,46.9,98.8,0,2325.6,554.2,402.4,46.9
23005605413,23,005,605413,1763,133,8,21,0,1610,186,150,3
23005605421,23,005,605421,4344.8,349.2,65.5,65.5,6.9,3641.5,518.8,614,31.7
23005605422,23,005,605422,3552.3,362.7,55.3,102.3,4,2927.9,467.6,718,14.2
23005605431,23,005,605431,3475.4,646.2,57.2,99.2,19,2799.1,905.8,511,42.1
23005605432,23,005,605432,2773.3,720.8,41,35,3,2246.4,947.8,317.9,35
23005605441,23,005,605441,3753.4,766.5,72.1,80.1,3,3107.9,1020.7,504.5,60.1
23005605442,23,005,605442,2835,756,29,39,0,2422,978,260,16
23005605451,23,005,605451,2624.4,694,36,60,0,2222.9,914.3,269.2,24
23005605452,23,005,605452,2992.6,1172.2,73,44.7,2.7,2455.8,1534.7,262.9,34.7
23005719901,23,005,719901,2438.4,560.6,38,41.1,2,1906,801.9,260.2,23
23005719902,23,005,719902,2225.6,587.4,35,51.9,4,1796,816.1,220.8,34
23005719903,23,005,719903,2391.1,930.7,55.4,28.2,4.6,1996.3,1194,223.8,33.4
23005719904,23,005,719904,2267.5,882.8,52.6,26.8,4.4,1893.1,1132.5,212.3,31.6
23005719905,23,005,719905,2881.4,829.6,44,44,2,2528.6,1011.5,254.9,40
23005821051,23,005,821051,1709.6,836.9,42.5,29.1,3.7,1389,1021.3,167.7,40
23005821052,23,005,821052,1214.6,594.6,30.2,20.6,2.6,986.8,725.6,119.1,28.4
23005821053,23,005,821053,1877.1,918.9,46.7,31.9,4.1,1525,1121.4,184.1,43.9
23005821054,23,005,821054,1097.7,537.3,27.3,18.7,2.4,891.8,655.7,107.6,25.7
23005821055,23,005,821055,1737.3,822.5,43.1,29,3.4,1413.8,1013.7,167.5,37.3
23007NA,23,007,NA,8058.6,8632.8,353.6,182.4,30.7,6278.5,9681,967.3,323.3
23009NA,23,009,NA,19654.7,15145,556.2,385.3,41,15624.2,17550.8,1850.2,744.1
23011000590,23,011,000590,380.4,785.2,20.5,9.8,2,282.6,840,48.9,21.5
23011004020,23,011,004020,1018.1,1181.6,35.4,19.1,1,800.5,1322.2,98.2,33.2
23011004475,23,011,004475,614,986,24,15,2,473,1056,78,35
23011012350,23,011,012350,611,919,23,15,3,464,1005,75,29
23011012735,23,011,012735,1119,1398,55,29,3,869,1583,115,43
23011013470,23,011,013470,646.9,1099.2,33.9,14,1,507.2,1162.1,93.8,37.9
23011021001,23,011,021001,1253.2,451.3,22.7,9.9,0,1062.6,941.2,100.7,52.3
23011021002,23,011,021002,1217.4,696.1,42.2,12.1,1,948,994.5,95.7,26.3
23011021003,23,011,021003,1354.3,701,34.1,12.1,2,1136,1401.2,164.7,80.3
23011021004,23,011,021004,1479.1,2316.6,120.9,71,8,1155.3,1480.1,111.9,51
23011024670,23,011,024670,913,770,43,19,6,721,919,80,38
23011024950,23,011,024950,392,422,15,4,2,322,459,43,13
23011027085,23,011,027085,1712,1474,73,38,4,1405,1684,161,53
23011030550,23,011,030550,1291,446,29,27,3,1053,576,151,17
23011040175,23,011,040175,859,1263,45,19,4,630,1399,103,46
23011043080,23,011,043080,841,812,34,13,1,631,986,55,32
23011046405,23,011,046405,1091,1400,67,34,3,869,1567,114,41
23011047770,23,011,047770,568.9,548.4,15.6,5.9,0,458.5,617.8,53.8,10.8
23011054560,23,011,054560,1699,1857,55,38,3,1276,2115,194,65
23011059110,23,011,059110,698,1036,26,25,3,545,1159,61,29
23011061700,23,011,061700,472,534,16,13,0,383,601,37,22
23011062190,23,011,062190,953,820,41,16,3,770,947,90,31
23011063835,23,011,063835,344,351,11,10,2,261,410,29,15
23011068385,23,011,068385,1115.3,1576.6,56.8,15.8,4.7,846,1766.6,106.2,50.3
23011078190,23,011,078190,9.7,19.6,0.5,0.2,0,7.2,21,1.3,0.6
23011078745,23,011,078745,1168.7,1512.4,60.2,23.2,7.3,905,1707.4,102.8,54.7
23011079025,23,011,079025,188,209,5,6,0,145,217,35,8
23011080880,23,011,080880,511,344,13,7,0,408,411,47,13
23011082945,23,011,082945,1011,1320,43,17,4,765,1498,86,43
23011086165,23,011,086165,502.9,930,43.4,14.5,2,380.5,1006.1,73.2,36.1
23011086515,23,011,086515,2186.2,2343.8,85.2,46.6,4,1672.1,2700.4,205.1,89.2
23011086970,23,011,086970,1984,1653,70,56,1,1581,1963,169,67
23011807401,23,011,807401,690.4,363,22.4,11.6,1.5,579.1,424.3,63.2,21
23011807402,23,011,807402,664.8,346.2,21.5,11.2,1.4,558.1,404.8,60.8,20.2
23011807403,23,011,807403,337.2,175,10.9,5.7,0.7,283.1,204.7,30.8,10.2
23011807404,23,011,807404,865.1,449,28,14.5,1.9,726.5,525.1,79.1,26.3
23011807405,23,011,807405,482.5,250.4,15.6,8.1,1,405.2,292.9,44.1,14.7
23011807406,23,011,807406,1073.9,562,34.8,18,2.3,901.2,657.1,98.2,32.7
23011807407,23,011,807407,979.9,509.5,31.7,16.4,2.1,822.7,595.8,89.6,29.8
23013NA,23,013,NA,15271,10006,358,250,34,12334,11735,1475,401
23015NA,23,015,NA,12798.1,10251,422.6,200.5,35,10206.5,12076.9,1119.8,348.9
23017NA,23,017,NA,15000.2,17867,657,353,41.3,11908.6,19764.9,1530.6,640.1
23019NA,23,019,NA,38092,44889.1,1870.9,753.5,125.9,29283,51178,3488.4,1613.2
23021NA,23,021,NA,3556,6159.5,174,60,12,2683.7,6620.7,396.1,211.1
23023001570,23,023,001570,251.1,99.7,3.8,1,3.8,199.7,126.4,30.5,2.9
23023006260,23,023,006260,763,1082,31,12,0,557,1219,73,23
23023006365,23,023,006365,1135.6,858.4,53,31,5,939.5,970.5,136.1,33
23023027295,23,023,027295,542.9,299.3,13.2,7,0.2,448.4,358.6,43.5,9.1
23023033551,23,023,033551,417.6,186.5,12.6,8.9,0.6,342.8,224.2,48.8,9.7
23023033552,23,023,033552,357.1,159.4,10.7,7.6,0.5,293,191.7,41.7,8.3
23023033553,23,023,033553,1168.2,521.6,35.1,25,1.7,958.7,627,136.5,27
23023033554,23,023,033554,416.7,186,12.5,8.9,0.6,342,223.6,48.7,9.6
23023033555,23,023,033555,404.3,180.5,12.2,8.7,0.6,331.8,217,47.2,9.3
23023033556,23,023,033556,212.6,94.9,6.4,4.6,0.3,174.5,114.1,24.8,4.9
23023033557,23,023,033557,324.2,144.8,9.8,6.9,0.5,266.1,174,37.9,7.5
23023058070,23,023,058070,0,0,0,0,0,0,0,0,0
23023058515,23,023,058515,802,747,19,11,0,653,849,65,16
23023062645,23,023,062645,944,1059,57,29,2,752,1208,109,33
23023076960,23,023,076960,3880.2,2336.8,146.1,61.4,7.8,3048.6,2960.9,338.2,83.8
23023081930,23,023,081930,745,631,19,3,4,588,758,50,13
23023087460,23,023,087460,1203.3,1135.3,32.7,25.4,3.2,937.1,1290.4,127.4,47.6
23025NA,23,025,NA,10320.4,16697.9,470.5,232.6,32.1,7453.5,17921.3,1785.2,528.6
23027004125,23,027,004125,262,320,14,6,0,184,368,34,11
23027007870,23,027,007870,249,318,17,11,2,193,357,39,8
23027009270,23,027,009270,237,390,11,7,3,192,405,34,13
23027026280,23,027,026280,225.5,446.5,14.2,4.1,1,160.9,481.8,35.2,19.5
23027026420,23,027,026420,203,237,16,15,1,170,248,44,5
23027035240,23,027,035240,312,120,5,11,0,275,143,24,3
23027035450,23,027,035450,135,191,8,4,1,112,200,23,6
23027037585,23,027,037585,149,316,11,2,2,112,323,35,12
23027039055,23,027,039055,268,309,7,11,0,208,319,50,9
23027039501,23,027,039501,655.4,173.7,7.2,13.4,1,538.5,244.5,65.1,6.2
23027039502,23,027,039502,599.2,161.8,6.9,12.5,0.9,492.2,226.1,60.4,5.8
23027039503,23,027,039503,768.6,350.6,20.4,25.6,1.3,622.9,413.9,115.6,13.4
23027039504,23,027,039504,415.1,189.4,11,13.8,0.7,336.4,223.6,62.5,7.2
23027039505,23,027,039505,410.3,379,10.1,7.1,0,322.5,426.3,49.6,14.1
23027039755,23,027,039755,1070,552,17,21,6,875,668,114,10
23027046475,23,027,046475,311,267,14,14,0,235,291,68,14
23027046790,23,027,046790,350,267,20,17,1,284,303,62,10
23027047245,23,027,047245,245,356,9,4,0,195,366,39,10
23027052845,23,027,052845,705.6,416.6,11.3,20.6,0,569.5,482.6,84.8,17.3
23027056450,23,027,056450,385,538,12,9,0,293,593,48,17
23027061210,23,027,061210,167.6,236.8,7.8,2.9,0,134.5,249.5,11.7,22.4
23027066565,23,027,066565,435,482,14,11,1,333,526,66,15
23027066635,23,027,066635,852.1,723.2,27,16,1,673.1,818.2,93,30
23027074475,23,027,074475,535,509,15,11,2,437,559,46,21
23027075525,23,027,075525,343,455,19,13,1,257,510,56,9
23027076610,23,027,076610,230,212,4,3,0,170,235,35,7
23027077625,23,027,077625,236,341,10,10,0,174,379,29,10
23027078255,23,027,078255,449,456,23,26,3,362,511,60,16
23027079480,23,027,079480,229,262,4,10,0,174,286,31,17
23027086760,23,027,086760,1057.4,1264.4,37.5,18.2,2.1,803,1432.9,105,35.5
23029NA,23,029,NA,6752.4,10090,228.8,141.7,22,5250.8,11090.2,536.9,333.9
23031000275,23,031,000275,658,932,35,16,4,522,1039,50,32
23031000730,23,031,000730,994,950,42,18,5,772,1119,87,27
23031001605,23,031,001605,1410.6,1341,39.7,31.8,3,1120.5,1525.8,126.2,53.6
23031004720,23,031,004720,2020,2234,96,39,10,1669,2454,155,103
23031004860,23,031,004860,7109,3720.6,183.2,135.2,25,5731.8,4528.3,709.8,188.3
23031009410,23,031,009410,2463.2,2718.6,116.2,54.3,7,1974.2,3038.7,255.2,101.5
23031014485,23,031,014485,434,479,19,16,2,345,534,48,21
23031016725,23,031,016725,588,758,34,8,1,435,877,58,17
23031022955,23,031,022955,2869,1792,64,33,6,2421,2087,159,86
23031033665,23,031,033665,1260.8,1512.4,65.8,22.7,3,983.8,1727.3,130.8,37.5
23031036535,23,031,036535,5425,2688,116,64,8,4390,3502,333,93
23031036745,23,031,036745,1801.7,935,18.2,20.2,5,1492.4,1210.7,75.7,21.3
23031037270,23,031,037270,4465,1813,115,66,6,3826,2270,237,112
23031038425,23,031,038425,1245,2183,77,40,4,1007,2310,116,101
23031039195,23,031,039195,822,950,41,34,6,672,1026,113,41
23031039405,23,031,039405,892.1,1386.7,53.9,28.4,6,704.2,1504.3,115,46.8
23031041750,23,031,041750,1329,1541,59,31,4,1019,1765,124,55
23031048750,23,031,048750,364,572.8,12.9,11.9,1,280.4,606.6,51.7,23.9
23031050325,23,031,050325,1481,1561,63,22,5,1183,1784,107,50
23031054980,23,031,054980,735.7,310.6,8,8,0,606.3,425.1,16.9,8
23031055085,23,031,055085,3748,2374,76,55,10,3120,2771,257,110
23031056870,23,031,056870,474.4,566.7,18.1,13,2,347.4,625.6,74,22.1
23031067475,23,031,067475,714,1039.2,28.1,21.1,1,525.5,1165.3,72.3,33.1
23031070030,23,031,070030,2777,1738,90,52,12,2358,2041,165,99
23031080530,23,031,080530,1881,2477,90,51,7,1486,2714,199,111
23031081475,23,031,081475,4516.3,3342.4,109,56,14,3608.7,4085.9,245.1,89
23031087985,23,031,087985,6182,3360,130,55,6,5253,4115,257,128
23031646751,23,031,646751,936.1,535.7,22.9,19.1,1.8,761.5,659.7,68.9,24.6
23031646752,23,031,646752,1179.3,674.9,28.9,24.1,2.2,959.4,831.1,86.8,31
23031646753,23,031,646753,2241.6,1282.9,54.9,45.8,4.3,1823.6,1579.7,165.1,58.9
23031646754,23,031,646754,996,570,24.4,20.4,1.9,810.3,701.9,73.3,26.2
23031646755,23,031,646755,703.3,402.5,17.2,14.4,1.3,572.2,495.6,51.8,18.5
23031646756,23,031,646756,1189.4,680.7,29.1,24.3,2.3,967.6,838.2,87.6,31.3
23031646757,23,031,646757,623,356.5,15.3,12.7,1.2,506.8,439,45.9,16.4
23031657251,23,031,657251,1686,1592,66,39,0,1334,1816,144,76
23031657252,23,031,657252,2193,1868,95,45,6,1814,2060,250,105
23031657253,23,031,657253,1571,1734,61,34,18,1130,2021,130,80
