GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PREOth
26001001001,26,001,001001,199,500,2,13,6
26001001002,26,001,001002,178,441,4,14,7
26001001003,26,001,001003,214,401,13,8,5
26001001004,26,001,001004,253.71,496.51,3.96,21.8,3.96
26001001005,26,001,001005,80,249,6,16,2
26001001006,26,001,001006,80.12,112,3.27,13.08,0.82
26001001007,26,001,001007,216.02,541.03,6,21,5
26001001008,26,001,001008,160,417,4,22,4
26001001009,26,001,001009,120.44,316.52,2.99,13.93,3.98
26001001010,26,001,001010,96,382,4,11,3
26001001011,26,001,001011,72,135,3,2,3
26001001012,26,001,001012,42,179,1,5,3
26001ZZZZZZ,26,001,ZZZZZZ,20.72,30.93,0.78,3.18,0.24
26003003001,26,003,003001,199,396,6,28,4
26003003002,26,003,003002,101,200,6,16,3
26003003003,26,003,003003,15,9,0,2,0
26003003004,26,003,003004,74.89,134.79,3,6.99,1
26003003005,26,003,003005,111,108,3,11,2
26003003006,26,003,003006,440.86,517.83,22.99,41.99,4
26003003007,26,003,003007,324.21,767.29,12.01,31.02,8
26003003009,26,003,003009,121,138,4,13,1
26003003010,26,003,003010,274.64,312.45,9.95,26.87,2.99
26003ZZZZZZ,26,003,ZZZZZZ,0,0,0,0,0
26005005001,26,005,005001,296.63,295.68,10.81,33.79,6.21
26005005002,26,005,005002,464.38,652.09,31.28,67.46,7.82
26005005003,26,005,005003,556.26,837.16,10.08,78.25,7.05
26005005004,26,005,005004,203.73,345.07,6.82,19.5,2.92
26005005005,26,005,005005,603.56,728.26,7.98,68.84,3.99
26005005006,26,005,005006,290,516,13,43,5
26005005007,26,005,005007,310,409,6,30,1
26005005008,26,005,005008,241.76,724.37,6.48,43.54,10.19
26005005009,26,005,005009,367.21,1220.56,22.51,84.46,19.81
26005005010,26,005,005010,330,810,14,58,9
26005005011,26,005,005011,528.01,253.74,6.17,17.84,1.23
26005005012,26,005,005012,199.67,224.14,9.79,27.41,1.96
26005005013,26,005,005013,225.95,1156.83,9.95,38.81,3.99
26005005014,26,005,005014,589.14,711.47,12.72,50.89,4.89
26005005015,26,005,005015,752.07,1016.32,25.41,90.36,14.13
26005005016,26,005,005016,445,648,11,66,11
26005005017,26,005,005017,348,1401,17,70,13
26005005018,26,005,005018,356.06,461.02,17.24,22.38,17.25
26005005019,26,005,005019,317.01,450.92,12.05,37.18,13.01
26005005020,26,005,005020,312,583,10,44,13
26005005021,26,005,005021,335.05,430.25,4,43.01,8
26005005022,26,005,005022,306,905,17,85,10
26005005023,26,005,005023,493.63,716.36,5.66,50.02,24.54
26005005024,26,005,005024,498.82,1197.83,15.89,54.87,16.47
26005005025,26,005,005025,224.9,302.81,9.74,19.48,6.2
26005005026,26,005,005026,381,521,7,39,2
26005005027,26,005,005027,455.91,1542.16,15.14,92.95,23.41
26005005028,26,005,005028,156.11,690.91,3.86,44.05,11.59
26005005029,26,005,005029,428.33,1145.86,12.21,69.59,13.04
26005005030,26,005,005030,303.39,857.07,7.42,64.28,11.2
26005005031,26,005,005031,256,748,9,52,7
26005005032,26,005,005032,653.05,835.25,23.13,105.13,16.02
26005005033,26,005,005033,515.37,775.98,22.71,69.11,10.86
26005005034,26,005,005034,503.85,734.12,16.17,62.79,7.12
26005005035,26,005,005035,194,1437,16,42,21
26005005036,26,005,005036,738.58,778.21,29.58,100.6,11.87
26005005037,26,005,005037,166,1023,6,42,16
26005005038,26,005,005038,248,925,9,58,7
26005005039,26,005,005039,366.29,183.15,7.01,14.25,0.08
26005005040,26,005,005040,991.75,900.47,19.58,74.35,13.67
26005005041,26,005,005041,3.65,1.56,0.02,0.06,0.01
26005005042,26,005,005042,361,723,12,57,9
26005005043,26,005,005043,307,579,2,42,4
26005005044,26,005,005044,257.61,629.93,14.58,44.72,6.8
26005005045,26,005,005045,650,1045,40,110,9
26005005046,26,005,005046,455,1039,10,80,10
26005ZZZZZZ,26,005,ZZZZZZ,70.64,77.88,1.2,5.67,1.8
26007007001,26,007,007001,398.52,554.6,21.8,48.76,7.32
26007007002,26,007,007002,351.19,401.65,8.9,16.82,3.96
26007007003,26,007,007003,332.69,506.22,15.09,30.18,2.04
26007007004,26,007,007004,275.07,328.68,11.29,23.28,2.12
26007007005,26,007,007005,375,549,22,43,6
26007007006,26,007,007006,280,582,8,22,3
26007007007,26,007,007007,352.98,592.74,9.59,33.75,5.44
26007007008,26,007,007008,407,680,5,56,5
26007007009,26,007,007009,211.12,355.23,3.67,18.36,6.43
26007007010,26,007,007010,367.6,628.47,8.05,38.13,2.02
26007007011,26,007,007011,158.04,454.11,3,7,6
26007007012,26,007,007012,158,338,0,27,2
26007007013,26,007,007013,217,569,10,19,6
26007007014,26,007,007014,181,661,6,26,5
26007007015,26,007,007015,264.72,573.99,8.74,21.84,3.49
26007007016,26,007,007016,32.96,88.89,0,4,0
26007007017,26,007,007017,213,780,7,34,3
26007ZZZZZZ,26,007,ZZZZZZ,301.1,446.41,11.87,28.89,4.18
26009009001,26,009,009001,271.38,685.47,12.05,27.15,5.05
26009009002,26,009,009002,404,806,16,47,5
26009009003,26,009,009003,72,158,3,6,2
26009009004,26,009,009004,182,447,4,23,7
26009009005,26,009,009005,144,327,5,23,4
26009009006,26,009,009006,706.63,959.21,15.72,57.98,9.83
26009009007,26,009,009007,463.4,746.1,11.28,53.97,5.16
26009009008,26,009,009008,216.59,371.43,3.8,16.15,2.85
26009009009,26,009,009009,161,286,6,19,0
26009009010,26,009,009010,356.02,632.47,13.92,20.88,1.99
26009009011,26,009,009011,236,656,13,34,6
26009009012,26,009,009012,201,498,4,19,4
26009009013,26,009,009013,553.82,906.37,17.1,53.39,1.07
26009009014,26,009,009014,111.66,347.48,4.81,18.29,3.85
26009009015,26,009,009015,309.43,467.01,12.42,29.61,1.91
26009009016,26,009,009016,35,134,3,8,0
26009ZZZZZZ,26,009,ZZZZZZ,23.78,35.67,0.78,2.11,0.23
26011011001,26,011,011001,54,185,2,9,1
26011011002,26,011,011002,136.82,310.51,4.23,17.7,0.09
26011011003,26,011,011003,78.37,169.63,0.8,8.33,0.06
26011011004,26,011,011004,221.14,488.12,3.11,26.56,0.86
26011011005,26,011,011005,133.71,287.24,4.95,15.85,2.97
26011011006,26,011,011006,337,644,6,48,4
26011011007,26,011,011007,127.36,311.81,2.67,16.99,5.18
26011011008,26,011,011008,87.29,223.76,3.05,9.15,2.03
26011011009,26,011,011009,212,442,14,29,5
26011011010,26,011,011010,45,79,1,4,0
26011011011,26,011,011011,213.73,399.54,6.74,8.66,0.96
26011011012,26,011,011012,177.64,309.19,7.33,19.01,1.82
26011011015,26,011,011015,223.22,355.45,1.42,26.3,3.55
26011011016,26,011,011016,62,209,1,8,1
26011011017,26,011,011017,178,378,1,12,2
26011ZZZZZZ,26,011,ZZZZZZ,31.44,53.81,0.28,3.74,0.44
26013013001,26,013,013001,76.45,201.54,2.98,9.93,2.98
26013013002,26,013,013002,239.45,276.41,7.87,18.73,3.94
26013013003,26,013,013003,61.5,144.14,2.88,5.77,0.96
26013013004,26,013,013004,59.96,134.37,1.13,5.26,0.08
26013013005,26,013,013005,74.67,155.3,2,3.29,1.04
26013013006,26,013,013006,72.4,150.52,1.91,9.53,1.91
26013013007,26,013,013007,495.94,1010.66,2.32,49.4,10.07
26013013008,26,013,013008,74.66,82.62,27.87,3.98,0
26013ZZZZZZ,26,013,ZZZZZZ,0.55,1.46,0.02,0.07,0.02
26015015001,26,015,015001,222,740,18,35,7
26015015002,26,015,015002,230.68,614.8,10.89,41.58,12.87
26015015003,26,015,015003,579,1063,24,90,10
26015015005,26,015,015005,336,840,8,69,16
26015015006,26,015,015006,370.51,840.48,9.75,39.98,13.65
26015015007,26,015,015007,266,402,16,48,4
26015015008,26,015,015008,261,401,9,44,4
26015015009,26,015,015009,358,486,11,66,9
26015015010,26,015,015010,464.32,939.2,21.11,69.42,7.13
26015015011,26,015,015011,539,1023,21,62,12
26015015012,26,015,015012,396.99,1242.99,12,92,22
26015015013,26,015,015013,479,984,13,66,7
26015015014,26,015,015014,173.49,530.52,7.25,30.02,4.35
26015015015,26,015,015015,478.97,966.95,18,77,10
26015015016,26,015,015016,695,972,13,67,13
26015015017,26,015,015017,309,581,10,45,8
26015015018,26,015,015018,429.86,738.76,15.99,63.98,12
26015015019,26,015,015019,334.31,1048.4,14.23,65.64,13.99
26015015020,26,015,015020,252.66,762.57,12.91,36.15,8.32
26015015021,26,015,015021,550.03,1086.04,36.86,113.21,18.69
26015015022,26,015,015022,295,696,13,48,9
26015015023,26,015,015023,393,974,13,73,9
26015015024,26,015,015024,332.03,781.05,9,42,4
26015037120,26,015,037120,368.15,488.25,9.01,40.02,8
26017001004,26,017,001004,0.17,0.27,0.01,0.07,0
26017017001,26,017,017001,389.84,612.61,12.93,51.71,11.93
26017017002,26,017,017002,299.15,482.87,3.14,21.2,3.14
26017017003,26,017,017003,484.87,695.51,8.54,41.75,2.85
26017017004,26,017,017004,507,641,7,47,5
26017017005,26,017,017005,459,579,15,24,3
26017017006,26,017,017006,611.85,846.72,19.01,57.09,4.53
26017017007,26,017,017007,562.02,716.01,11,63,3
26017017008,26,017,017008,831.42,701.86,26.96,66.6,10.52
26017017009,26,017,017009,907,623,25,69,5
26017017010,26,017,017010,757.16,532.35,27.3,58.22,6.1
26017017011,26,017,017011,733.2,548.67,19.63,80.49,6.87
26017017012,26,017,017012,895,848,17,64,8
26017017013,26,017,017013,669.64,677.98,18.07,63.29,8.02
26017017014,26,017,017014,726,735,21,85,5
26017017015,26,017,017015,728,664,27,91,13
26017017016,26,017,017016,764.3,752.46,17.92,88.56,6.97
26017017017,26,017,017017,448,988,8,62,8
26017017018,26,017,017018,438,457,11,56,7
26017017019,26,017,017019,443,483,17,47,4
26017017020,26,017,017020,670,1375,9,64,7
26017017021,26,017,017021,566,963,18,67,13
26017017022,26,017,017022,303,560,7,36,4
26017017023,26,017,017023,153,380,4,25,7
26017017024,26,017,017024,273.08,315.85,6.4,20.65,3.58
26017017025,26,017,017025,287.46,414.55,3.5,18.26,2.8
26017017026,26,017,017026,460.72,534.58,6.25,35.66,5.11
26017017027,26,017,017027,602,504,12,48,8
26017017028,26,017,017028,239.46,284.8,8.3,28.1,4.47
26017017029,26,017,017029,495.79,873.14,18.52,52.66,6.17
26017017030,26,017,017030,433.91,698.62,8.95,29.58,3.3
26017017031,26,017,017031,243,525,3,25,6
26017017032,26,017,017032,16,24.8,0.8,6.4,0
26017017033,26,017,017033,302,355,10,26,3
26017017034,26,017,017034,593,783,7,52,5
26017017035,26,017,017035,380,727,12,48,7
26017017036,26,017,017036,433,521,4,25,8
26017017037,26,017,017037,426,767,16,51,9
26017017038,26,017,017038,285,435,7,35,3
26017017039,26,017,017039,200,469,6,28,6
26017017040,26,017,017040,166.23,235.11,3.36,17.63,1.68
26017017041,26,017,017041,493.05,929.85,12.06,54.06,4.36
26017017042,26,017,017042,319,437,8,38,8
26017017043,26,017,017043,467,582,9,46,7
26017017044,26,017,017044,408.16,854.39,12.07,81.29,8.07
26017017045,26,017,017045,334.83,545.93,9.19,47.53,5
26017017046,26,017,017046,130,244,2,21,3
26017ZZZZZZ,26,017,ZZZZZZ,369.12,504.58,8.41,32.54,4.5
26019019001,26,019,019001,751,1214,29,58,5
26019019002,26,019,019002,724,825,31,56,10
26019019003,26,019,019003,141.01,192.55,5.83,20.42,1.94
26019019004,26,019,019004,89.89,203.76,4,6.99,1
26019019005,26,019,019005,363.32,345.35,3.99,21.96,5.99
26019019006,26,019,019006,363.96,277.03,7.59,36.81,3.78
26019019007,26,019,019007,237.62,189.8,10.96,10.99,2
26019019008,26,019,019008,406,700,26,51,8
26019019009,26,019,019009,375.05,726.07,12,48,7
26019019010,26,019,019010,153,238,6,25,0
26019019011,26,019,019011,244.81,278.61,3.65,17.36,0.91
26019019012,26,019,019012,101.37,98.41,5.9,13.78,0.98
26019019013,26,019,019013,106,200,2,11,3
26019ZZZZZZ,26,019,ZZZZZZ,40.58,42.38,0.85,3.64,0.28
26021021001,26,021,021001,303,1075,8,46,9
26021021002,26,021,021002,339,978,8,57,6
26021021003,26,021,021003,747.62,481.92,8.02,20.99,2.02
26021021004,26,021,021004,555.18,135.06,0.99,16.38,3.84
26021021005,26,021,021005,387,234,9,23,3
26021021006,26,021,021006,503.51,336.65,9.92,31.7,9.91
26021021007,26,021,021007,633,349,8,16,6
26021021008,26,021,021008,936,122,6,17,6
26021021009,26,021,021009,901,39.93,2.24,5.9,1.12
26021021010,26,021,021010,573,14,7,5,0
26021021011,26,021,021011,917.12,17.74,2.02,4.06,2.01
26021021012,26,021,021012,851.27,160.89,5.51,15.59,3.4
26021021013,26,021,021013,451.97,709.68,17.57,55.64,7.81
26021021014,26,021,021014,268.49,644.29,7.57,53.57,16.2
26021021015,26,021,021015,444.48,968.87,9.1,54.28,12.04
26021021016,26,021,021016,328.47,536.31,4.89,35.86,11.41
26021021017,26,021,021017,412.01,529.75,9.87,55.24,3.02
26021021018,26,021,021018,273.92,494.58,10.08,28.02,10.99
26021021019,26,021,021019,493.58,1024.64,11.04,57.68,8.98
26021021020,26,021,021020,818.69,834.49,21.73,74.07,3.95
26021021021,26,021,021021,180.19,427.13,2.86,30.51,6.67
26021021022,26,021,021022,340.81,916.87,7.14,49.49,6.33
26021021023,26,021,021023,248.29,672.98,7.67,29.72,4.79
26021021024,26,021,021024,195,399,11,22,5
26021021025,26,021,021025,232.42,525.27,4,39.01,0
26021021026,26,021,021026,281.58,570.07,12.84,19.76,3.95
26021021027,26,021,021027,464,1152,18,74,15
26021021028,26,021,021028,529,1147,11,78,26
26021021029,26,021,021029,371,732,12,50,9
26021021030,26,021,021030,606.36,951.02,14.81,69.13,9.88
26021021031,26,021,021031,488,999,11,84,4
26021021032,26,021,021032,308,664,4,43,14
26021021033,26,021,021033,255,578,11,34,8
26021021034,26,021,021034,436.88,417.51,11.62,32.94,5.81
26021021035,26,021,021035,639.26,598.31,10.99,50.94,3
26021021036,26,021,021036,373.46,405.79,11.55,33.68,3.88
26021021037,26,021,021037,480,504,18,46,10
26021021038,26,021,021038,460.9,482.45,15.61,35.06,5.27
26021021039,26,021,021039,501.1,716.55,15.39,51.94,6.73
26021021040,26,021,021040,407.94,762.75,17.1,38.74,6.25
26021021041,26,021,021041,309.21,423.58,9.97,25.94,7.96
26021021042,26,021,021042,498.87,837.93,21.5,58.69,6.26
26021021043,26,021,021043,401.98,722.4,14.39,48.93,7.67
26021021044,26,021,021044,464.26,748.12,5.93,43.42,14.78
26021021045,26,021,021045,479.17,873.63,14.94,88.66,9.96
26021021046,26,021,021046,371.19,357.12,15,49.95,5.36
26021021047,26,021,021047,721.19,374.29,24.92,69.17,8.67
26021021048,26,021,021048,237,730,6,35,16
26021021049,26,021,021049,410.94,770.35,12.92,51.79,5.97
26021021050,26,021,021050,376.96,915.05,7.81,63.48,4.88
26021021051,26,021,021051,705.28,634.61,17.12,63.65,8.6
26021021052,26,021,021052,747,715,14,81,9
