GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27001000005,27,001,000005,332.4,440.6,28.7,9.5,0,393.6,370.2,28.1,13.3,0.9,393.7,351,42.8,0,379.8,327.6,53.8,17.6,0,411.7,316,58.1,2.9
27001000010,27,001,000010,255.2,232.2,8.3,2.5,0,296.8,180.8,12.8,3.6,0.1,297.7,163.1,21.1,0,298.6,150.6,19.1,10.3,0,312.6,146.2,25.8,1.1
27001000015,27,001,000015,65.8,84.7,5,2,0,79.8,69.8,6,0,0,79.8,70.8,3,0,79.8,65.8,9,0,0,78.8,65.8,9,0
27001000020,27,001,000020,7,14,0,0,0,9,11,0,0,0,9,10,0,0,9,10,0,0,0,10,10,0,0
27001000025,27,001,000025,12,24,0,0,0,13,18,4,0,0,12,23,1,0,12,20,4,0,0,12,21,2,0
27001000030,27,001,000030,26.4,37.8,1.9,0,0,33,31.2,0.9,0,0,33,30.2,0,0,30.2,29.3,3.8,0,0,31.2,29.3,3.8,0
27001000035,27,001,000035,8,14,0,0,0,8,13,1,0,0,8,14,0,0,10,12,0,0,0,10,9,2,0
27001000038,27,001,000038,9,12,1,0,0,8,14,0,0,0,11,10,0,0,10,10,0,0,0,11,8,0,0
27001000040,27,001,000040,291,344,6,5,0,350,279,13,4,0,352,263,17,0,345,260,17,11,0,363,241,28,0
27001000045,27,001,000045,105.8,93.5,8.1,1,0,123.8,75.4,8.1,1,0,122.8,77.4,6,0,123.8,66.3,12.1,1,0,125.9,58.4,20.1,0
27001000050,27,001,000050,127,142,6,1,0,145,119,7,5,0,147,113,9,1,142,113,10,3,0,153,103,15,0
27001000055,27,001,000055,43.9,50.9,2,0,0,47,46.8,3,1,0,50.9,36.9,6.9,0,47,36.9,10.8,1,0,51.9,36.9,7,0
27001000060,27,001,000060,213,233,11,1,0,266,178,10,2,0,258,174,14,0,254,168,23,3,0,269,163,21,0
27001000065,27,001,000065,102,120,9,3,0,112,106,10,4,0,111,105,15,0,105,105,15,5,0,119,94,17,0
27001000070,27,001,000070,93,110,3,1,0,102,98,2,4,0,97,92,13,0,99,88,7,3,0,104,89,7,0
27001000075,27,001,000075,48,47,1,0,0,62,32,2,0,0,55,37,3,0,56,31,6,2,0,62,25,8,0
27001000080,27,001,000080,84.4,67.6,1,3,0,97.4,53.6,3,0,0,94.4,48.7,8,0,98.3,47.7,5,0,0,99.3,46.7,6,0
27001000082,27,001,000082,9,7,3,0,0,13,6,0,0,0,14,5,0,0,10,6,3,0,0,9,3,5,2
27001000085,27,001,000085,51,67,5,2,0,69,48,7,1,0,65,49,9,0,67,45,9,2,0,68,44,11,0
27001000090,27,001,000090,137,126,7,1,0,162,94,12,2,0,161,90,14,0,153,86,21,3,0,165,85,19,0
27001000095,27,001,000095,23,4,2,1,0,22,6,1,2,0,24,6,2,0,22,5,2,2,0,25,6,1,0
27001000100,27,001,000100,9,4,0,0,0,9,4,0,0,0,9,4,0,0,9,4,0,0,0,9,4,0,0
27001000105,27,001,000105,3,12,3,1,0,6,10,3,0,0,7,10,2,0,6,10,3,0,0,8,4,6,0
27001000110,27,001,000110,55.8,58,0.1,3,0,63.9,48,1,2.9,0,60.1,50.7,5,0,54.2,46.6,6.1,5.9,0,66.8,40.9,8.8,0
27001000115,27,001,000115,15,4,2,0,0,15,6,1,0,0,17,3,1,0,16,3,2,0,0,16,5,1,0
27001000120,27,001,000120,54.1,73.8,9.2,2.1,0,66.2,62.9,5.1,4,0,70.3,57.8,8.1,0,66.2,48.8,14.1,5,0,70.2,57.9,8.1,1
27001000125,27,001,000125,34,10.8,3.9,0.9,0,34.4,12.3,2,0,0,37.3,12.3,0,0,35.2,12.2,2.1,0,0,34.3,13.2,2.1,0
27001000130,27,001,000130,31.2,41.6,0.9,1.9,0,33.1,37.9,3.8,0,0,33.1,32.2,5.7,0,34.1,31.2,3.8,2.8,0,37.9,28.4,6.6,0
27001000132,27,001,000132,12,13,1,0,0,12,12,1,1,0,13,12,1,0,13,12,1,0,0,14,9,2,0
27001000135,27,001,000135,86,97,5,1,0,103,81,4,2,0,102,73,13,0,103,68,9,7,0,103,68,16,0
27001000140,27,001,000140,43.2,25.5,3.9,1,0,47.1,24.6,3.9,1,0,45.2,22.6,3,0,45.2,19.6,5.9,2,0,49.1,20.6,4.9,0
27001000145,27,001,000145,301,320,8,2,0,360,247,13,0,0,353,239,19,0,356,229,16,3,0,365,215,32,1
27001000150,27,001,000150,29.1,31.9,0.9,0.9,0,32.8,29,0,0,0,33.7,25.3,1.9,0,33.7,23.4,2.8,1,0,31.9,25.3,1,0
27001000155,27,001,000155,30,14,0,0,0,32,12,1,0,0,33,11,1,0,33,9,2,1,0,33,7,5,0
27001000160,27,001,000160,36,36,2,1,0,43,29,2,1,0,42,28,4,0,43,25,3,2,0,45,25,4,0
27001000165,27,001,000165,25,30,1,0,0,28,27,1,1,0,28,27,1,0,27,25,3,0,0,28,26,3,0
27001000170,27,001,000170,23,13,2,0,0,25,12,1,0,0,25,10,3,0,24,9,5,0,0,25,9,4,0
27001000175,27,001,000175,296.2,358.6,15,3.1,0,351.5,288.3,17.2,6,0,358.5,261.1,31.2,1,353.2,252.2,34.4,12.1,0,365.6,247,39.3,1
27001000180,27,001,000180,34,48,5,0,0,40,40,6,1,0,42,39,4,0,36,32,14,3,0,41,36,10,0
27001000185,27,001,000185,138.7,140.7,4,4,0,158.9,120.5,6,2,0,158.9,115.5,9.1,0,161.8,105.4,8.1,5,0,167.9,100.4,14.1,1
27001000190,27,001,000190,6,15,1,0,0,9,11,2,0,0,7,12,2,0,5,13,2,1,0,9,11,2,0
27001000195,27,001,000195,42,50,3,0,0,51,42,2,0,0,52,40,1,0,49,37,4,2,0,54,33,5,0
27001000200,27,001,000200,16,10,0,0,0,17,9,0,0,0,17,9,0,0,17,9,0,0,0,17,7,3,0
27001000205,27,001,000205,82,83,2,0,0,103,58,2,3,0,98,54,10,0,103,50,5,2,0,109,50,5,0
27001000210,27,001,000210,79,85,6,3,0,90,75,6,2,0,91,65,14,0,86,69,9,3,0,95,63,12,0
