GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27001000005,27,001,000005,431.74,614.76,8.66,2.03,2.89,0,0.15,3.82,0.94,0.08,407.17,537.66,76.01,20.99,0
27001000010,27,001,000010,200.12,388.17,3.33,1.97,1.11,0,1.84,1.17,0.06,0.92,183.82,368.36,29.81,5.98,0
27001000015,27,001,000015,74.76,106.66,2.99,0,0,0,0,0,0,0,78.75,94.7,5.98,1,0
27001000020,27,001,000020,11,12,0,0,0,1,0,0,0,0,11,13,0,0,0
27001000025,27,001,000025,20,17,0,0,0,0,0,0,0,1,20,16,0,0,0
27001000030,27,001,000030,37.77,38.71,0,0,0,0,0,0,0.94,0,33.05,35.88,4.72,0.94,0
27001000035,27,001,000035,15,12,1,0,0,0,0,0,1,0,15,14,0,0,0
27001000038,27,001,000038,13,15,0,1,0,0,0,0,2,0,12,18,1,0,0
27001000040,27,001,000040,285,482,2,0,0,0,0,1,1,1,277,463,15,4,0
27001000045,27,001,000045,77.55,154.12,2,0,1.02,0,0,1,0,0,75.55,149.94,4.12,1,0
27001000050,27,001,000050,137,197,0,0,0,0,0,1,0,1,132,183,8,5,2
27001000055,27,001,000055,45.98,56.29,0.98,0.99,0,0,0,0.98,0,0,43.94,54.22,5.02,1.98,0.01
27001000060,27,001,000060,220,382,1,1,0,0,0,0,0,1,200,344,39,11,0
27001000065,27,001,000065,105.04,175.08,2,1,0,0,0,0,1,0,107.04,146.09,22,4,0
27001000070,27,001,000070,88.96,166.92,2,1,1,0,0,1,1,1,90.96,155.91,8,1,1
27001000075,27,001,000075,35,90,0,0,0,0,0,0,1,1,40,82,4,0,0
27001000080,27,001,000080,63.58,151.01,1.99,0,0,0,0,0,0,0,65.57,133.12,2.98,4.97,0
27001000082,27,001,000082,9,18,0,0,0,0,0,0,0,0,9,13,2,0,0
27001000085,27,001,000085,42,78,0,1,0,0,0,1,0,0,43,73,3,2,0
