GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16USSRBLU,G16USSDKAN,G16USSLDIN,G16USSGMCF,G16USSCRYM,G16GOVRGRE,G16GOVDKOS,G16GOVLSPR,G16GOVGFIT,G16GOVITUR,G16LTGRPAR,G16LTGDCAR,G16LTGLHED,G16LTGGLEA,G16ATGRHAW,G16ATGDHEN,G16TRERSCH,G16TREDBAK,G16TRELOTO,G16TREGHEX,G16SOSRASH,G16SOSDSMI,G16SOSLMOR
29001000002,29,001,000002,738,167,29,14,4,639,273,20,3,18,635,284,9,14,11,635,249,27,19,727,202,699,209,18,4,705,190,31
29001000003,29,001,000003,463,451,52,31,2,442,517,27,17,2,458,495,24,14,9,431,468,33,44,486,482,444,458,44,22,484,440,47
29001000004,29,001,000004,503,299,35,12,5,476,357,11,14,2,493,353,4,5,7,480,324,12,19,530,302,507,291,22,15,515,295,24
29001000005,29,001,000005,643,371,44,9,7,620,440,19,8,2,645,430,4,5,11,608,424,22,9,716,353,685,353,22,6,680,349,34
29001000006,29,001,000006,875.3,221.2,26.7,4.3,5.2,754.9,311.6,31.8,13.2,19.4,770.7,323.9,15.6,7.2,11.4,755.8,292.6,29.2,25.5,848,254.8,818.7,252.4,25.2,11.4,804.8,248.7,45.5
29001000007,29,001,000007,1246.8,407.4,56.3,10.7,7.8,1131.3,551,27.2,8.7,15.5,1159.4,531.7,18.4,6.8,13.6,1128.4,519,38.8,17.5,1270.1,425.9,1226.4,413.3,41.7,12.6,1227.4,423,50.5
29001000008,29,001,000008,768.1,534.8,62,16,16,775,593.8,22,8,19,798,579.8,17,7,7,784,556.8,36,17,849.1,537.8,829,517.8,35,9,865,471.8,48
29001000009,29,001,000009,270,457,36,23,0,265,492,14,12,7,279,492,13,11,2,310,420,15,29,315,458,307,422,25,18,330,408,30
29001000010,29,001,000010,412,262,47,9,1,363,314,29,12,8,386,314,19,6,2,368,289,28,36,431,290,400,289,28,6,418,265,36
29001000011,29,001,000011,110.8,329.5,38.1,18,2,136.8,348.6,2,5,2,137.8,341.6,9,7,2,148.8,299.6,8,23,150.9,328.5,142.8,304.5,17,16,153.9,308.5,16
29003000002,29,003,000002,4.5,1.6,0.2,0,0,3.8,2.2,0.1,0,0,4,2.1,0.1,0,0,3.9,1.9,0.1,0.1,4.1,2,4,1.9,0.1,0,4.2,1.7,0.2
29003000003,29,003,000003,410.3,142.6,15.5,3.5,1.9,348.2,198.6,12.6,3.5,4.8,369.3,190.3,6.2,1.9,2.3,360.2,172.8,13.6,12.2,377.8,179.6,366.9,169.1,11.8,4.8,387.9,154.8,17.6
29003000004,29,003,000004,157.6,41.6,13.9,3,1,150.7,69.4,4,0,0,136.8,81.3,3,0,0,158.6,56.5,3,2,169.5,49.6,154.6,54.5,6.9,1,170.5,37.7,6.9
29003000005,29,003,000005,221.3,49,4,2,1,195.9,74.5,3,2.9,1,193.8,77.6,0,2,0,201.8,56.9,2.9,4.9,211.6,58.8,202.7,59.8,2,0,215.5,51.9,4.9
29003000006,29,003,000006,1042.6,363.8,39.9,9,4.8,884.7,506.7,32.2,9.1,12.1,938.5,485.5,15.9,4.8,5.8,915.2,440.9,34.8,31.2,960.2,458.3,931.9,431.6,30.2,12.2,985.9,395,44.9
29003000007,29,003,000007,543.9,188,20.5,4.6,2.5,461.9,262.2,16.6,4.7,6.2,489.4,251.5,8.1,2.5,3,477.8,227.8,17.9,16.1,501,236.8,486.5,223,15.5,6.2,514.5,204.1,23.2
29003000008,29,003,000008,633.8,233.6,41,10.1,3.2,511.9,366.1,22.4,10.1,9.6,542.8,356.5,10.1,8,2.1,553.4,292.1,25,30.3,579,320.3,585.9,274.6,28.2,13.3,617.3,261.3,27.1
29003000009,29,003,000009,374.9,123.8,27.4,4,0.4,312.5,194.9,11.7,5.1,4.8,329.7,189.5,7.7,2.2,2.6,320.2,166.5,15,18.2,342.8,170.5,340.6,149.7,14.2,7.3,353,145.7,19.7
29003000010,29,003,000010,251.2,60.1,8.8,1,1.9,221,81.6,11.6,4.8,1.9,219.2,98.9,1,3.9,3.9,221.1,76.6,2,17.4,246.2,73.8,224,82.4,3.9,2.9,250.1,60.2,7.8
29003000011,29,003,000011,438.8,100.6,18.4,6,3,339,184.5,22.1,8.1,6.1,358.2,194.4,8.1,2,4,354.1,163.1,18.2,18.2,387.4,159.2,378.3,134.9,20.2,11.1,393.5,123.8,31.2
29003000012,29,003,000012,305.6,72.6,14.5,0.1,2.9,257.3,119.8,8.9,4.9,1.1,269.5,123.1,0.1,2.1,0.2,269.7,99.5,6.8,9.2,278.2,106.1,276.5,94.1,6.8,3,289.8,86.7,11.6
29003000013,29,003,000013,647.3,213.7,47.3,6.9,0.6,539.5,336.6,20.2,8.8,8.2,569.1,327.1,13.2,3.8,4.4,552.8,287.4,25.8,31.5,591.8,294.4,588.1,258.4,24.6,12.6,609.5,251.5,34
29003000014,29,003,000014,548.3,201.4,35.4,8.7,2.8,443,315.7,19.3,8.8,8.2,469.7,307.6,8.7,6.9,1.8,478.8,252,21.5,26.1,500.8,276.3,506.7,236.8,24.3,11.4,533.9,225.3,23.4
29003000015,29,003,000015,93.7,25.9,3.7,1.3,1,82.8,36.4,3.9,1.1,1.8,77.3,46.1,1.7,0.5,0.4,82.1,37.2,2.9,2.6,94.1,30.1,87.6,31.3,3.4,1,89.1,30.9,5.3
29003000016,29,003,000016,148.6,33.8,6.9,0.4,0.4,133,49.4,2.6,3,1.3,119.6,69.3,0.9,0.4,0.9,129.9,46.8,5.6,6.5,143.4,44.2,139.9,40.7,3,0.9,139.9,39.9,8.2
29003000017,29,003,000017,121.7,28.2,6,0.3,0.2,102.1,50.6,3.2,0.8,0.8,99.4,53.2,2.2,0.9,0.9,101.2,44,4.1,3.3,111.4,41.4,111.1,35,3.3,2.1,119,30,4.7
29003000018,29,003,000018,96.8,27.5,3.7,1.6,1.1,86.3,37.6,4.2,1.1,2.1,78.8,49.2,2.1,0.5,0.5,84.7,39.7,3.2,2.6,99,30.7,91,32.8,3.7,1.1,92.1,32.8,5.8
29003000019,29,003,000019,323.7,72,15.4,0.7,0.7,272.8,130.4,8.5,1.8,1.9,263.5,138.9,6,2.4,2.4,268.6,114.8,10.7,8.4,297,106,295.3,89.8,8.4,5.3,316.4,76.4,12.7
29003000020,29,003,000020,113.1,25,5.4,0.2,0.2,95.2,45.6,2.9,0.6,0.6,92.1,48.3,2.1,0.8,0.8,93.8,40,3.8,2.9,103.5,37.1,103.1,31.2,2.9,1.9,110.6,26.5,4.4
29003000021,29,003,000021,168.4,38.3,7.9,0.5,0.5,150.8,56,3,3.4,1.5,135.5,78.6,1,0.5,1,147.3,53,6.4,7.4,162.5,50.1,158.6,46.2,3.4,1,158.6,45.2,9.3
29005000002,29,005,000002,405,122,20,2,0,361,164,17,1,3,330,203,12,0,1,338,181,11,15,381,156,345,169,20,3,386,135,22
29005000004,29,005,000004,794,225,38,8,3,725,269,34,8,5,671,328,24,6,8,686,280,29,25,742,262,676,281,28,10,787,204,34
29005000005,29,005,000005,640,142,33,4,2,576,212,16,7,6,576,224,14,2,7,558,200,18,18,589,206,572,191,22,10,625,153,25
29005000006,29,005,000006,60,18,2,0,0,50,18,2,0,3,43,25,4,1,1,47,17,7,1,47,24,40,27,2,1,50,16,8
29005000007,29,005,000007,161,34,11,0,0,149,41,3,3,2,126,62,3,0,6,135,46,4,6,152,36,135,39,11,4,150,31,10
29007000502,29,007,000502,274.2,61.2,4.4,2.7,0,239.6,91.4,3.5,4.4,5.3,240.5,99.4,2.7,0,2.7,245,87,5.3,5.3,262.7,77.2,252.1,74.6,3.5,3.5,259.2,67.4,12.4
29007000506,29,007,000506,547.8,119.8,19.6,4.3,2,462.4,200.6,14.4,9.6,7.7,454.5,221.6,13.3,2,6.3,480,170,22.7,14.7,523.3,158.8,488.9,158.4,21.4,6.4,504.8,143.6,30.6
29007000508,29,007,000508,836.8,244,40.4,7.8,9.9,717.4,365.4,21.4,13.8,15.9,683.8,411,13.2,9.8,29.8,698.9,372.4,33.2,24.6,794.6,327.5,776,299,29.4,11.1,827.3,258.9,42
29007000510,29,007,000510,250,59.5,10.9,3,1,179.5,119,13.9,6.9,4,195.4,120,6,2,4,166.6,131.9,11.9,14.9,211.3,114.1,203.3,105.1,10.9,5,229.1,81.3,17.9
29007000512,29,007,000512,162,64,8,1,0,95,114,12,5,6,127,102,2,2,1,119,99,9,4,147,82,135,79,8,3,145,73,14
29007000513,29,007,000513,921,372,31,13,2,745,501,43,15,14,790,499,13,7,15,751,497,29,28,828,467,806,448,27,11,847,393,63
