GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRHAW,G18USSDMCC,G18USSLCAM,G18USSGCRA,G18USSIODE,G18AUDRMCD,G18AUDDGAL,G18AUDLOTO,G18AUDGFIT,G18AUDCLUE
29001000002,29,001,000002,577,194,8,3,19,528,203,9,4,30
29001000003,29,001,000003,351,443,13,9,14,322,434,22,15,29
29001000004,29,001,000004,427,316,4,5,8,396,309,12,8,24
29001000005,29,001,000005,588,416,6,3,11,528,423,14,14,23
29001000006,29,001,000006,705.85,228.91,8.38,4.23,17.46,663.51,226.94,16.76,8.2,29.57
29001000007,29,001,000007,1031.4,461.76,12.61,7.76,15.53,953.79,462.72,25.23,6.8,52.39
29001000008,29,001,000008,699.04,532.8,14.99,6,11,664.02,506.82,23,6,38
29001000009,29,001,000009,198,393,7,2,9,180,381,20,9,8
29001000010,29,001,000010,297,265,4,3,14,277,257,21,3,14
29001000011,29,001,000011,64.71,243.54,10.02,9.01,3.01,60.67,244.51,11.02,6.01,1.04
29003000002,29,003,000002,3.23,1.76,0.06,0.03,0.1,2.71,1.96,0.08,0.04,0.3
29003000003,29,003,000003,295.96,161.62,5.37,2.48,8.89,248.63,179.6,7.03,3.31,27.69
29003000004,29,003,000004,125.88,54.51,0.99,1.98,6.94,109.03,66.41,0.99,0.99,13.88
29003000005,29,003,000005,176.22,54.95,1.95,0.99,6.87,147.86,69.65,0.98,0.98,13.74
29003000006,29,003,000006,752.05,412.54,13.71,6.33,22.69,631.75,458.06,18.03,8.45,70.5
29003000007,29,003,000007,393.12,213.07,7.09,3.26,11.88,330.31,237.14,9.21,4.33,36.67
29003000008,29,003,000008,460.29,257.02,11.71,4.26,14.37,388.46,281.5,10.11,6.39,52.68
29003000009,29,003,000009,262.13,150.78,8.4,2.19,7.3,231.83,153.33,9.49,2.19,25.19
29003000010,29,003,000010,184.36,73.68,3.87,1.93,3.91,151.42,89.21,3.86,4.82,15.52
29003000011,29,003,000011,328.32,140.91,13.11,2.03,11.09,291.94,145.94,14.12,3.03,33.32
29003000012,29,003,000012,247.14,87.13,3.02,0.11,10.42,212.04,109.14,2.08,0.24,19.5
29003000013,29,003,000013,452.55,260.31,14.5,3.78,12.61,400.23,264.72,16.39,3.78,43.49
29003000014,29,003,000014,398.66,221.69,10.08,3.65,12.5,336.51,243.05,8.7,5.47,45.47
29003000015,29,003,000015,84.96,25.75,1.44,0.43,0.94,69.45,30.7,0.53,0.87,6.98
29003000016,29,003,000016,128.21,37.68,3.03,0,2.6,109.58,43.75,3.03,1.3,10.83
29003000017,29,003,000017,81.44,33.06,3.49,0.47,1.44,71.51,37.35,2.43,0.92,7.8
29003000018,29,003,000018,89.44,26.46,1.59,0.53,0.53,72.5,31.22,0.53,1.06,7.41
29003000019,29,003,000019,216.99,84.73,9.45,1.2,3.54,190.69,96.15,6.45,2.41,20.36
29003000020,29,003,000020,75.21,29.58,3.33,0.42,1.25,66.25,33.54,2.29,0.83,7.08
29003000021,29,003,000021,145.35,42.72,3.44,0,2.95,124.24,49.6,3.44,1.47,12.28
29005000002,29,005,000002,352,126,2,3,2,305,150,7,4,8
29005000004,29,005,000004,603.01,214,11,9,3,559.01,220,17,6,20
29005000005,29,005,000005,491.99,151,16,1,9,459.99,163,19,1,13
29005000006,29,005,000006,53,17,2,1,0,47,21,1,1,1
29005000007,29,005,000007,119,34,5,1,1,112,35,3,3,1
29007000502,29,007,000502,219.22,71.89,2.66,1.78,4.44,150,128.69,5.33,0.89,13.31
29007000506,29,007,000506,438.78,137.11,7.34,1.22,7.56,323,213.31,5.67,1.11,35.69
29007000508,29,007,000508,719.37,266.76,13.89,8.45,16.53,530.22,400.39,20.63,5.45,60.23
29007000510,29,007,000510,196.4,72.41,6.94,0,8.93,145.81,113.08,2.98,0.99,20.83
29007000512,29,007,000512,117,64,3,2,10,92,86,2,3,11
29007000513,29,007,000513,744,352,15,4,19,592,455,16,4,54
29007000545,29,007,000545,406.31,143.21,7.73,4.84,14.2,290.68,223.26,11.59,1.09,41.18
29007000616,29,007,000616,191.77,135.53,5.9,2.99,6.87,142.37,162.29,8.85,3.07,20.08
29007000623,29,007,000623,413.22,259.61,19.76,3.59,17.07,306.32,337.76,17.97,7.19,33.24
29007000632,29,007,000632,227.39,168.2,7.25,3.62,8.15,169.41,198.7,10.87,3.93,23.86
29007000633,29,007,000633,389.58,283.13,12.9,5.88,14.14,290.38,337.48,18.4,6.62,39.83
29007000641,29,007,000641,332,214,11,4,12,271,237,12,2,40
29007000642,29,007,000642,471.06,287.47,11.88,4.06,15.79,362.52,360.79,18.98,3.21,39.96
29007000657,29,007,000657,258.6,84.59,2.06,2,3.07,203.19,120.92,4.02,0.01,17.17
29007000658,29,007,000658,198,55,3,0,0,136,97,4,0,10
29007000667,29,007,000667,328.29,132.08,4.69,3.56,8.25,235.1,203.32,5.7,0.45,30.63
29009000002,29,009,000002,186,52.84,1.79,0.36,6.78,148.52,81.4,5,2.5,4.28
29009000003,29,009,000003,189.16,56.81,1.17,1.17,9.37,160.47,80.23,2.93,1.17,5.27
29009000004,29,009,000004,218.69,60.11,3.79,2.17,3.25,174.44,91.97,10.26,1.09,1.62
29009000005,29,009,000005,621.45,202.62,14.21,6.18,21.2,505.98,289.08,24.78,9.05,15.34
29009000006,29,009,000006,985.47,269.64,15.78,6.1,22.93,782.51,423.22,29.35,12.22,19.07
29009000007,29,009,000007,265.81,68.99,1.86,1.83,4.6,207.89,110.85,11.01,2.77,3.22
29009000008,29,009,000008,556.49,108.92,10.89,4.95,10.89,460.44,188.14,12.87,10.89,8.91
29009000009,29,009,000009,426.8,183.73,7.38,3.41,8.72,333.04,263.9,10.23,3.27,5.73
29009000010,29,009,000010,270.25,72.46,4.9,0,4.9,216.39,115.54,5.87,3.92,2.94
29009000011,29,009,000011,329.73,78.19,5.33,0.82,10.16,268,133.49,7.31,3.29,5.04
29009000012,29,009,000012,133.84,40.19,0.83,0.83,6.63,113.53,56.77,2.07,0.83,3.73
29009000013,29,009,000013,254.48,52.37,3.69,2.01,3.69,200.43,93.67,7.72,4.03,1.68
29009000014,29,009,000014,148.08,37.74,2.01,0.72,2.87,116.51,61.7,3.87,1.72,2.58
29009000015,29,009,000015,1178.07,523.53,37.81,19.63,27.47,976.18,692.07,54.23,18.71,10.28
29009000016,29,009,000016,317.95,82.55,2.25,2.17,5.5,248.71,132.61,13.12,3.32,3.85
29009000017,29,009,000017,197.51,45.17,3.06,0.38,6.12,160.38,78.47,4.21,1.91,3.06
29009000018,29,009,000018,503.52,103.63,7.31,3.99,7.31,396.57,185.33,15.28,7.97,3.32
29009000019,29,009,000019,359.37,169.29,0.99,0.99,3.96,301.95,207.9,6.93,2.97,6.93
29009000020,29,009,000020,352,125,6,2,28,330,145,16,6,6
29009000021,29,009,000021,732.83,290.98,7.63,7.6,13.32,558.01,439.2,21.84,4.76,12.34
29009000022,29,009,000022,335,95.16,3.21,0.64,12.22,267.48,146.6,9,4.5,7.72
29009000023,29,009,000023,456.51,102.08,7.11,3.05,14.11,389.56,158.86,13.13,5.11,8.09
29011000004,29,011,000004,462,59,1,2,5,436,75,5,5,2
29011000008,29,011,000008,156,82,3,1,3,147,85,2,2,3
29011000010,29,011,000010,484,96,2,5,11,454,116,9,2,5
29011000011,29,011,000011,529,75,4,1,13,512,82,10,3,3
29011000015,29,011,000015,339,78,2,3,14,323,95,8,1,2
29011000016,29,011,000016,796.83,111.52,7.91,5.92,17.7,763.41,138.98,14.8,4.91,1.02
2901116-018,29,011,16-018,917.75,184.38,19.88,6,25.5,872.62,216.5,22.12,10.75,7.38
2901116-021,29,011,16-021,379.42,97.11,8.22,5.08,7.8,366.96,99.52,12.08,1.34,5.6
29013002701,29,013,002701,183,58,4,1,5,162,70,7,3,3
29013002703,29,013,002703,640.69,304.47,14.88,0,25.79,525.64,372.91,37.69,2.98,20.83
29013002705,29,013,002705,527,223.95,10.05,12,18.08,427.64,297.17,19.12,7.01,20.07
29013002722,29,013,002722,263.58,97.84,10.98,2,12.98,210.66,134.78,13.98,2,3
29013002767,29,013,002767,207,91,2,0,12,168,118,14,1,4
29013002801,29,013,002801,136.86,65.41,1.51,1.51,6.81,102.46,94.52,4.54,1.51,4.16
29013002814,29,013,002814,554.62,266.94,13.88,9.43,29.07,457.98,343.15,17.46,9.81,20.94
29013002825,29,013,002825,160.29,54.07,0,1.93,4.84,117.83,84.95,7.72,0,4.84
29013002847,29,013,002847,182,37,4,1,3,148,62,4,0,6
29013002849,29,013,002849,472.15,245.61,6.75,2.73,14.65,406.52,284.54,11.69,6.56,9.63
29013002850,29,013,002850,326.02,174.51,7.93,6.32,13.55,280.64,205.43,17.35,7.12,4.3
29013002868,29,013,002868,199.16,64.8,0.97,1.04,11.77,165.7,87.2,6.08,1.93,13.7
29013002892,29,013,002892,316.28,126.05,11.05,0.05,17.73,261.21,170.27,10.66,4.31,10.51
29013002904,29,013,002904,216.61,82.61,0.92,0,4.59,193.67,89.95,5.51,2.75,0.92
29013002930,29,013,002930,82.17,12.56,0.04,1.02,3.06,68.06,23.43,0.21,0.04,2.09
29015000001,29,015,000001,466.37,163.49,9.96,2,13.96,427.48,195.4,14.95,2.99,9.97
29015000002,29,015,000002,1162,282,37,12,27,997,438,26,12,28
29015000004,29,015,000004,276.7,131.5,4,3.69,10.78,238.49,162.63,9.54,1.54,5.84
29015000005,29,015,000005,539,218,10,5,13,479,273,20,3,11
29015000007,29,015,000007,680.83,397.95,8.37,4.31,31.86,544.66,515.53,25.84,7.14,8.48
29015000008,29,015,000008,603.39,286.33,8.74,8.04,23.47,520.28,354.03,20.8,3.36,12.75
29015000009,29,015,000009,759,192,15,8,10,652,273,13,8,18
290150012-6,29,015,0012-6,1197.19,646.48,33.92,14.96,35.92,1004.64,807.11,64.85,12.97,20.95
29017000003,29,017,000003,307.47,51.99,1.16,2.11,1.21,287.43,60.35,1.28,3.16,6.15
29017000005,29,017,000005,245.09,61.77,2.99,1.99,1,230.15,59.78,6.97,1.99,1
29017000006,29,017,000006,653.45,145.83,5.57,4.18,7.43,613.98,159.76,9.75,6.04,6.5
29017000007,29,017,000007,730.34,162.9,6.22,4.67,8.29,686.21,178.48,10.88,6.75,7.28
29017000009,29,017,000009,626.38,144.53,4.33,5.26,7.38,589.99,160.09,9.32,6.39,2.4
29017000010,29,017,000010,308,77,2,0,1,280,88,4,3,4
29017000011,29,017,000011,362.62,96.47,8.67,1.74,2.62,353.01,93.91,8.68,2.61,2.6
29017000012,29,017,000012,235.79,64.09,2.04,2.03,2.04,228.52,57.15,9.08,2.04,0.04
29017000015,29,017,000015,376.85,81.42,3.02,0.02,1.03,364.71,81.48,3.03,0.03,1.03
29019000007,29,019,000007,772.72,476.77,14,3,19.99,557.8,616.74,17,5,65.96
29019000008,29,019,000008,654.85,332.89,19,3,15.99,479.9,470.85,19.99,3,38.99
29019000009,29,019,000009,503.08,233.56,10.63,3.32,14.57,363.53,338.77,13.87,6.57,31.73
29019000010,29,019,000010,228.19,110.77,7.38,2.21,8.49,172.06,149.55,7.01,2.22,16.98
29019000011,29,019,000011,263.54,122.27,5.53,1.73,7.6,190.31,177.53,7.25,3.45,16.58
29019000012,29,019,000012,386.19,187.4,12.46,3.74,14.35,291.1,253.14,11.86,3.76,28.71
29019000015,29,019,000015,489.53,389.72,19.52,2.89,18.8,348.53,477.94,30.37,4.34,37.6
29019000016,29,019,000016,654,342,14,9,8,459,483,23,2,35
29019000017,29,019,000017,533.1,429.24,13.1,2.1,20.93,366.46,534.68,21.23,3.11,46.98
29019000018,29,019,000018,332.43,223.9,7.39,0.57,4.55,229.58,294.36,13.64,1.7,13.64
29019000019,29,019,000019,248.66,167.47,5.53,0.43,3.4,171.72,220.18,10.2,1.28,10.2
2901900001A,29,019,00001A,53,377.99,6,7,5,43,359.99,13,14,5
2901900001B,29,019,00001B,40,204,3,0,4,29,195,6,4,8
2901900001C,29,019,00001C,112.03,720.38,6.97,8.13,9.29,89.39,723.86,10.45,12.19,9.29
2901900001D,29,019,00001D,66,562,9,9,11,55,548,18,6,11
2901900001E,29,019,00001E,111.2,422.97,4.09,7.5,5.46,107.11,399.09,15.69,5.46,2.05
2901900001F,29,019,00001F,67.9,272.43,3.66,5.69,8.13,56.11,271.21,9.35,4.47,6.1
2901900001G,29,019,00001G,80.47,517.44,5,5.84,6.67,64.21,519.94,7.51,8.76,6.67
2901900001I,29,019,00001I,72.31,161.31,1.17,0.88,1.76,72.6,147.84,3.81,2.34,0.88
29019000020,29,019,000020,347,359.99,9.48,2.61,6.93,243.76,423.68,13.79,5.18,19
29019000021,29,019,000021,281.91,467.53,29.14,4.87,8.92,223.07,500.73,34.08,4.91,20.54
29019000022,29,019,000022,188.92,253.74,6.97,5.06,9.4,143.23,284.37,10.89,5.53,14.96
29019000023,29,019,000023,218.47,272.88,6.7,4.19,6.7,164.9,294.65,17.58,5.86,18.42
29019000024,29,019,000024,516.54,486.69,17.65,6.23,11.76,361.87,586.86,23.01,5.47,47.05
29019000025,29,019,000025,300.94,313.07,13.29,3.47,8.66,218.34,380.65,13.86,4.04,15.02
29019000026,29,019,000026,513,522,17.12,4.07,8.22,351.78,643.83,32.7,1.21,15.98
29019000027,29,019,000027,657.82,633.3,10.94,4.27,8.71,457.99,779.04,26.11,4.26,25.49
29019000028,29,019,000028,107.55,114.39,2.42,0.89,2.71,75.57,136.46,5.03,2.15,6.63
