GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16HALRZIN,G16HALDJUN,G16HALLBRE,G16GOVRGIA,G16GOVDBUL,G16GOVLDUN,G16ATGRFOX,G16ATGDJEN,G16SOSRSTA,G16SOSDLIN,G16SOSLROO,G16AUDRROS,G16AUDDLAS,G16SPIRARN,G16SPIDROM
30001000001,30,001,000001,201.22,173.47,47.58,14.87,0.99,227.98,203.2,21.81,174.46,264.66,14.87,272.59,157.61,226.99,191.31,22.8,206.18,226.99,194.28,233.93
30001000002,30,001,000002,551.03,127.2,35.01,15.98,4.02,545.97,178.27,27.01,481.98,249.26,23,600.01,124.29,539.98,161.27,31.97,475.92,244.31,510.86,212.39
30001000003,30,001,000003,512.03,161.22,32.67,5.16,0.03,537.39,189.81,17.29,474.05,257.19,15.28,593.51,127.59,529.3,187.68,18.3,447.58,261.57,473.67,240.37
30001000004,30,001,000004,131,34,6,1,0,128,41,6,109,60,4,143,29,123,41,2,118,48,121,48
30001000005,30,001,000005,99.35,9.09,4.01,1,0.01,100.39,16.06,2.01,99.34,17.1,2.02,105.4,10.06,100.37,14.07,3.01,92.33,21.11,91.36,22.09
30001000006,30,001,000006,298.74,118.94,32.27,9.22,1.84,300.59,159.51,16.6,244.34,216.68,21.21,354.99,110.64,289.52,165.05,18.44,252.64,205.62,263.7,207.46
30001000007,30,001,000007,251.9,48.32,14.26,4.65,2.13,259.03,64.16,7.16,216.1,108.16,7.48,278.84,43.74,233.26,86.55,11.29,209.68,110.39,214.45,110.52
30001000008,30,001,000008,55.65,13.91,1.99,0,0.99,62.61,8.94,0.99,54.66,15.9,2.98,63.6,8.94,59.63,11.93,1.99,52.67,17.89,57.64,14.91
30001000009,30,001,000009,300,87,19,4,1,308,95,16,248,159,12,345,67,292,105,18,249,155,265,135
30001000012,30,001,000012,267.43,155.51,20.8,1.98,1.98,281.3,183.24,7.92,208,253.57,10.9,349.64,107.96,274.37,182.25,6.93,225.83,232.77,243.66,208.99
30001000014,30,001,000014,228.6,126.33,27.38,7.11,2.02,213.66,164.8,23.17,164.01,212.47,25.23,255.32,137.18,217.5,151.91,26.19,193.04,191.37,190.21,190.4
30001000017,30,001,000017,83.29,18.42,3.1,1.02,1.98,80.33,27.42,2.08,76,33.77,0.09,87.32,22.39,79.29,26.44,0.11,65.11,40.66,69.29,39.46
30001000019,30,001,000019,92.66,14.12,6.03,1.02,1,86.66,25.16,3.03,83.58,27.26,5.03,94.72,18.11,88.65,19.15,5.03,82.56,26.26,86.62,24.21
30001000020,30,001,000020,73.91,2.01,0.01,1,0,73.9,2.02,3.99,65.92,12,3,77.9,2.01,74.9,2.02,2,62.93,15.99,71.91,6.01
30001000021,30,001,000021,116.52,25.12,10.02,1.98,0,120.44,36.18,2.04,107.39,53.18,0.05,127.51,22.23,118.6,32.11,3.98,101.37,51.33,110.4,41.28
30001000023,30,001,000023,88.15,28.14,4.85,0.01,0,89.11,29.16,3.88,71.67,48.53,2.92,87.23,30.06,86.18,32.08,2.9,69.76,48.5,80.35,38.85
30003000001,30,003,000001,75.97,46.02,4.02,0.23,0.06,73.71,49.42,3.37,67.46,59.74,2.92,98.9,28.76,71.77,54.86,1.21,74.71,51.35,75.16,51.05
30003000002,30,003,000002,53.24,43.57,6.62,0.01,0,52.3,48.32,2.84,40.02,62.48,1.91,63.65,36.98,48.51,50.23,2.84,51.32,48.34,42.86,57.78
30003000003,30,003,000003,114.01,20,3,0,0,116.01,19,3,100,38,2,127.01,9,103.01,30,4,105.01,31,95.01,38
30003000004,30,003,000004,69.27,19.59,3.36,2.23,0.08,62.33,28.91,3.53,52.12,37.82,4.82,80.49,12.95,55.88,39.13,0.6,58.89,32.44,54.63,36.86
30003000005,30,003,000005,43.78,129.76,4.1,2.25,0.13,44.4,134.15,5.47,33.89,144.43,4.82,72.69,107.49,34.26,140.68,6.42,39.75,138.53,35.02,145.25
30003000006,30,003,000006,49.46,13.85,1.98,0,0,49.46,16.82,0,48.47,17.8,0.99,53.41,12.86,47.48,17.8,0.99,43.52,20.77,41.54,23.74
30003000007,30,003,000007,91.89,556.1,29.78,24.71,5.89,124.29,595.67,12.33,76.15,633.02,22.04,228.07,486.17,92.82,619.91,16.33,107.1,600.09,87.99,631.16
30003000008,30,003,000008,94.42,45.69,4.92,1.91,0.01,95.4,53.36,2.01,89.27,57.67,5.74,102.55,46.2,89.52,57.31,1.98,86.81,57.19,90.31,59.39
