GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOWRI,G16USSRBUR,G16USSDROS,G16USSLHAU,G16GOVRMCC,G16GOVDCOO,G16GOVLCEC,G16LTGRFOR,G16LTGDCOL,G16LTGLCOL,G16ATGRNEW,G16ATGDSTE,G16TRERFOL,G16TREDBLU,G16SOSRLAP,G16SOSDMAR,G16AUDRSTU,G16AUDDWOO,G16AGRRTRO,G16AGRDSMI,G16INSRCAU,G16INSDGOO,G16LABRBER,G16LABDMEE,G16LABOWRI,G16SPIRJOH,G16SPIDATK,G16SSCREDM,G16SSCDMOR,G16SACRDIE,G16SACDROZ,G16SACRMUR,G16SACDEAG,G16SACUBUI,G16SACRHUN,G16SACDJON,G16SACRBER,G16SACDSTE,G16SACRZAC,G16SACDMCK
37001000001,37,001,000001,1814.2,399.8,48.6,24.3,1779.2,406.6,86.6,1756.9,485.4,43.8,1789,410.5,58.4,1735.5,504.9,1753.9,454.3,1671.2,538.9,1700.4,519.5,1882.3,368.7,1746.2,473.8,1849.3,381.3,1,1741.3,473.8,1129.4,863.8,1776.3,417.3,1674.2,395,119.7,1783.1,409.5,1708.2,492.2,1763.7,420.2
37001000002,37,001,000002,2079.6,463,44.2,24.7,2051.6,451.8,84.6,1999.2,562.1,41.8,2068.9,430.8,57.6,1981.6,562.5,2028.4,470.1,1890,615.5,1945,552.2,2195.7,349.2,1987.6,517.6,2151.3,373.1,1.2,1997.3,512.5,1253.2,979.7,2033.5,418.4,1900.6,439.6,121.4,2050.3,405,1950.5,527.6,2016.5,425.3
37001000004,37,001,000004,1987.4,561.3,61.3,27.2,1979.6,554.5,85.6,1925.1,670.2,27.2,1983.5,553.5,59.3,1882.3,693.6,1900.8,624.5,1802.5,736.4,1857,682.9,2125.5,469.9,1893,665.4,2062.3,502,3.9,1923.2,641.1,1130.4,1103.1,1931.9,555.5,1809.3,569.1,108,1957.2,535,1889.1,617.7,1923.2,563.2
37001000005,37,001,000005,1432.7,323.5,46.5,12.9,1414.9,316.6,71.2,1364.4,416.6,24.7,1403,323.5,44.5,1343.6,416.6,1381.2,342.3,1261.5,469,1327.8,403.7,1522.7,249.3,1359.5,381.9,1482.2,262.2,2,1359.5,379.9,812.3,747,1385.2,305.7,1297.1,327.5,77.2,1405,294.9,1360.5,352.2,1357.5,326.5
37001000007,37,001,000007,1709.8,474.8,56,11.6,1694.7,460.2,79.6,1645,550.3,48.5,1689.8,449.9,69.9,1633.6,551.5,1653.4,495.4,1547.9,609.2,1608.7,547.2,1808.1,396.8,1651,516.2,1777,405.7,2.1,1637.8,521.9,1036.7,869.2,1654.5,452,1544.4,463.9,100.8,1673.8,432.9,1614.2,509,1649.8,447.6
37001000011,37,001,000011,985.1,1084.9,39.9,15.2,966.1,1075.4,63.6,964.2,1115.3,27.6,967.1,1067.8,50.4,950.9,1128.6,970.9,1091.5,923.4,1147.6,944.3,1121.9,1073.5,1007.9,959.5,1117.2,1046.9,1027.9,3.8,980.4,1084.9,709.6,1102,997.5,1046.9,926.2,1038.3,83.6,1002.2,1049.7,952.8,1106.7,991.8,1047.8
37001000013,37,001,000013,1028.4,1014,40.7,4.9,998.5,982.1,62,963.5,1060.6,32,965.6,1002.3,45.6,935.5,1067.3,947.2,1026.6,848.4,1135.1,907.4,1070.2,1059.6,944.2,921.9,1056.7,1054.7,932.6,0,929.7,1043.1,693.2,1010.3,937.5,988.8,884.1,978.1,83.4,975.2,964.6,913.3,1058.5,955.9,981
37001000035,37,001,000035,1481.3,987.4,76.5,26.9,1527.7,919.1,95.5,1442.3,1052.3,51.6,1519.8,880.5,91.3,1438.1,1034.7,1506.4,925.5,1378.2,1068.6,1446.8,995.1,1679.9,794,1485.6,952.5,1672.6,783.3,2,1487.8,953.3,983.3,1103.7,1522.4,855.9,1404,826.3,154.9,1537.4,841.9,1465.8,937.3,1509.5,852.9
3700100003C,37,001,00003C,1059.7,679.7,64,33,1194.8,597.6,57,1072.7,748.7,35,1184.8,578.6,63,1094.7,720.6,1137.8,627.6,1025.7,767.7,1102.7,682.6,1339.9,471.5,1121.7,654.6,1335.9,472.5,2,1126.7,661.6,882.5,681.6,1172.8,549.5,1024.7,620.5,97.1,1202.8,538.5,1089.7,682.6,1166.8,554.5
3700100003N,37,001,00003N,1132.9,1011.8,64.5,34.2,1210,933.6,79.1,1119.2,1075.2,35.2,1265.7,847.7,57.6,1170,984.4,1224.7,878,1097.7,1026.4,1158.3,962,1369.2,773.5,1177.8,923.9,1394.6,745.1,3.9,1172.9,944.4,834,987.3,1223.7,829.1,1103.6,849.6,117.2,1248.1,812.5,1165.1,920,1239.3,806.7
3700100003S,37,001,00003S,2116.6,1801.3,126.8,43.9,2235.8,1718,118,2064.9,1931.8,79.6,2262.4,1636.1,124.2,2120.5,1865.8,2192.1,1698.6,1999.4,1932.5,2122.3,1795.4,2435.9,1519.4,2139.8,1764.1,2438.7,1519.9,3,2154.2,1758.8,1639.8,1722,2187.2,1623.8,1990.5,1626.3,229.5,2205,1622.2,2098.5,1771.4,2189.7,1616
3700100003W,37,001,00003W,1241.6,698.6,70.2,17.1,1275.8,663.1,74.8,1182,796.6,41.3,1280,620.7,78.2,1213,754.4,1242,691.8,1176.7,762.7,1203.9,721.5,1426,539.1,1222.7,710.1,1408.5,551.3,2.1,1232.6,716.6,834.9,855.9,1265.1,628,1165.2,624.1,116.3,1289.8,609.5,1233.2,684.9,1279.3,605.4
37001000063,37,001,000063,527.9,990.8,29,8,529.6,959.1,56.7,548.1,975.4,24.9,549.2,932.5,41.8,529.2,989.3,524.4,983.9,483.3,1025.2,508.4,994.1,585.3,934.1,524.3,978.2,610,900.5,3,544.1,960.4,497.1,816.8,529.3,949.2,489.4,896.9,94.3,545.4,934.2,515.3,980.2,552,938.3
37001000064,37,001,000064,1803.9,1054.9,63.1,31,1808.8,1036.9,105.2,1713.7,1194.1,48.1,1814.8,1008.9,86.1,1725.7,1163.1,1775.8,1059,1593.5,1272.2,1714.6,1143.1,1964.1,928.7,1756.7,1103,1978,904.8,4,1766.7,1094,1196.3,1320.9,1786.8,996.9,1642.5,1008.9,137.2,1815.8,968.8,1730.7,1089,1794.8,983.9
3700100006E,37,001,00006E,692.4,762.1,39.9,14.1,700.8,748.4,39.3,671,802.1,23.7,694.1,726.9,44,665.5,801.2,673.7,769.4,609.6,840.6,635.9,805.3,757,708.6,668.2,786,782.9,677.4,1,653.3,797.7,532.4,709,698.5,724.6,623.4,722.4,78.7,693.3,738.1,645,791,688.9,730.4
3700100006N,37,001,00006N,428.5,844,38.2,10.1,425.5,830.6,39.6,414.9,862.6,22.2,431.8,813.3,35.4,405.6,866.8,423.4,836,385,882.3,406.3,851,466.1,802.4,422.4,839.8,473.5,793.9,0,431.7,828.6,373.4,707.2,425.5,822.5,389.1,805.8,55.1,441.6,804.4,409.4,847.8,426.9,822.3
3700100006S,37,001,00006S,1133,685,54.5,17.2,1129.2,669.7,72.7,1083.2,754.9,41.1,1132,661.1,54.6,1071.7,759.6,1094.7,701.2,997.1,807.5,1045.9,752,1200.1,629.4,1083,723.5,1221.9,599.9,1.9,1078.4,717.6,731,817.2,1096.6,663.9,1008.5,659.1,105.3,1131,633.4,1060.3,718.5,1104.2,652.4
3700100006W,37,001,00006W,271,339,11,12,273,329,25,271,348,11,267,330,21,250,365,272,344,253,364,259,359,292,329,269,347,304,312,1,263,354,215,297,278,329,253,322,31,278,331,261,347,270,335
3700100008N,37,001,00008N,1386.1,715.9,44.9,26.1,1376.1,723.2,62.8,1320.4,810.3,36.5,1379.2,699,64.3,1342.5,791.3,1352.9,739.7,1263.5,831.3,1313.1,801.1,1485.8,647.4,1338.6,766.7,1456.1,663,1,1338.3,764.2,904.5,976.2,1355.2,711.9,1277.4,685.7,115.3,1387.1,695.1,1331.5,758.4,1367.2,681.9
3700100008S,37,001,00008S,553.4,214.7,20.8,9.3,553.6,222.2,19.2,523.7,256.1,16.2,544.4,216.1,24.6,521.4,261.3,543.8,229.8,497.8,269.7,516.2,259.6,594.4,186.8,534.5,241.3,580.5,194.6,0,536.7,233,345.1,345.4,539.1,209,500,205.3,46.1,544.5,206.7,521.4,240.6,545.3,205.9
3700100009N,37,001,00009N,833.9,537.6,47.9,14.7,845.6,532.7,43,794.8,605.1,28.4,824.1,532.7,45.9,803.6,587.5,829,538.6,763.5,612,797.7,579.7,916,471.2,785,585.5,901.4,480.9,1,809.4,559.1,604,617.8,830.9,517.1,757.6,517.1,72.3,826.1,522.9,790.9,566,833.9,505.4
3700100009S,37,001,00009S,1780,1098.9,63,24.4,1755.7,1093.8,111.4,1691.7,1207.9,59.5,1758.1,1078.5,93.7,1692.8,1227.3,1742.1,1134.3,1600.1,1279.7,1699.6,1184,1917.5,996.4,1700.2,1184.2,1875.1,1022.6,5,1711.6,1176.9,1146,1365.4,1732.1,1088,1623.8,1069.2,143.3,1769.8,1055.6,1692.4,1165.1,1740.3,1069.7
37001000103,37,001,000103,1348.2,638.2,44.3,10.8,1343.7,616.6,71.5,1282.8,719.6,37.6,1335.3,608.2,66.3,1287.8,706.5,1315,647.3,1209.6,757.9,1259.4,698.8,1453.7,546.5,1248,717.3,1421.5,563.4,0.1,1278,684.3,934.1,801.9,1304.9,600.3,1206.9,595.6,109.3,1324.8,587.6,1284.6,660.6,1310.8,587.3
3700100010N,37,001,00010N,1497.1,992,71.6,35,1543.3,953.5,85.6,1464.1,1078.6,47.8,1539,927.7,87.7,1467.6,1056.1,1520.2,981.7,1390.8,1115.2,1462.5,1037.1,1667.9,866.6,1451.6,1049.1,1658.1,858.3,4.1,1494.7,1013.1,1008.5,1156,1534,911.9,1410.6,915.9,125.8,1559.6,899.5,1463.8,1002.1,1553.1,896.5
3700100010S,37,001,00010S,2330.3,2547.8,161,78.7,2430.3,2480.5,168.1,2260.5,2723.1,113.9,2406.7,2438.3,170.4,2319.9,2667.8,2448.9,2468.2,2201.8,2746.6,2296.5,2633.9,2677.2,2294.9,2263.9,2662.8,2684.7,2271.9,9.2,2325.1,2620.8,1862.6,2431,2373.7,2475.7,2200.3,2360.4,296.2,2488.1,2359.1,2322.3,2562.2,2465.5,2375
37001000124,37,001,000124,666,543,36,18,695,518,51,638,601,27,700,509,35,646,591,686,543,634,603,660,567,783,464,672,558,768,470,3,657,571,503,580,678,527,617,531,63,694,509,658,563,679,517
37001000125,37,001,000125,874,523,38,17,869,510,58,828,583,28,867,490,48,829,563,839,524,780,592,812,557,947,446,829,531,938,442,3,841,527,604,585,849,473,771,486,83,875,462,811,536,852,469
37001000126,37,001,000126,809,578,34,15,886,506,44,806,617,14,878,492,41,800,596,845,517,761,612,812,551,1016,373,806,548,998,399,0,807,566,618,565,871,440,764,496,57,875,438,804,531,861,444
37001000127,37,001,000127,651.9,1835.2,51.5,13.2,653.8,1805.2,65.6,623.4,1861,41.2,660.9,1792.2,49.4,634.1,1842.2,666.2,1801.7,611.5,1875.5,629.9,1841.1,741.9,1751.5,644.2,1836,758.5,1728.8,2,658.4,1818.8,704.5,1392.3,647.5,1811.2,602.6,1753.3,91.8,668.7,1782,625.2,1837.6,658.4,1794.2
37001000128,37,001,000128,325,788,24,10,344,752,41,317,796,23,337,745,35,313,798,332,762,294,812,310,787,362,744,329,770,380,724,2,330,769,381,541,338,741,294,725,68,352,730,323,769,341,739
37001000129,37,001,000129,653.2,331.5,24,7.2,661.9,310.5,37.3,625.2,369.3,17.9,670.1,307.8,24,623.8,371.4,661.8,314.9,597.3,384.4,619.6,359.6,719.3,274.9,646.4,338.4,713.8,274.6,0.8,637.4,351,444.6,423.9,658.5,299.2,612.3,304,50.5,663.7,300.9,627,344.2,660.1,295.1
3700100012E,37,001,00012E,322,552,18,7,308,543,37,296,572,19,315,541,24,305,567,319,547,293,579,299,567,346,534,312,562,351,521,2,327,548,258,500,323,536,291,518,48,328,531,306,558,312,545
3700100012N,37,001,00012N,289,1777,45,7,294,1721,78,302,1746,45,290,1719,58,289,1775,302,1748,267,1796,274,1772,335,1728,286,1768,351,1697,2,303,1747,453,1298,300,1732,262,1709,68,310,1726,275,1777,303,1736
3700100012S,37,001,00012S,198,493,13,6,192,483,22,194,497,11,186,482,15,179,505,187,492,181,502,178,500,214,472,181,497,221,459,3,193,489,233,349,199,478,171,471,32,206,468,185,492,198,467
3700100012W,37,001,00012W,618,706,46,20,640,695,42,575,771,39,645,658,58,607,740,645,681,595,749,625,702,740,601,610,722,728,614,0,621,720,523,614,639,646,570,648,74,657,628,603,697,648,636
370010003N2,37,001,0003N2,213.8,309.7,13,9,242.8,287.7,5,239.8,295.7,6,248.8,272.7,13,212.8,307.7,244.8,270.7,216.8,300.7,239.8,279.7,309.7,208.8,234.8,282.7,279.7,236.8,0,246.8,266.7,186.8,277.7,256.7,246.8,214.8,262.7,30,261.7,241.8,229.8,281.7,260.7,237.8
37001001210,37,001,001210,553.8,590.7,32.1,20.4,571.3,580,34.1,530.4,641.4,18.5,567.4,572.2,32.1,538.2,625.8,566.4,587.8,507,648.2,535.3,618,611.2,547,549.9,602.4,621.9,539.2,0,550.8,609.2,433.1,582,568.4,561.5,512.9,554.7,60.3,574.2,559.6,533.3,600.5,564.5,561.5
3700300000E,37,003,00000E,1319.2,358.6,43.7,21.9,1254.6,381.4,86.4,1281.4,436,36.8,1296.3,356.6,50.6,1165.2,525.4,1212.9,433,1137.4,527.4,1150.3,485.7,1269.5,415.2,1178.1,491.7,1292.3,379.4,2,1246.6,421.1,817.5,668.5,1228.8,383.4,1147.3,367.5,116.2,1236.7,387.4,1185.1,436,1217.8,386.4
3700300000M,37,003,00000M,962.9,281.1,25,8,916.1,290.8,58.6,916.5,342.7,18.5,953.1,280.4,20.3,872.1,375.3,903.6,320.7,828.1,396.4,861.2,367.1,929.8,304.9,845.7,376.6,913.5,316.3,1,902.4,318.4,579.4,526.2,900.4,293.6,847.4,282.6,75.8,910.7,289.8,878.9,332.4,872.2,315.5
3700300000W,37,003,00000W,1012.7,203.5,25.7,7.9,953.5,231,63.2,963.3,262.8,25.7,992,214.3,23.7,915,305.1,937.8,258.6,884.5,316.9,900.3,296.2,971.4,237.9,901.3,293.2,964.5,241.8,0,928.9,266.6,615.7,432.8,922.1,246.8,887.4,232,65.2,942.8,235.9,896.3,279.4,931.9,234
370030000B1,37,003,0000B1,1699.6,428.4,48.1,27.7,1630.6,423.8,128,1603.7,534.9,56,1681.4,409.4,54.1,1555.2,578.2,1637.5,458.4,1520.3,592.6,1549.1,543.5,1689.4,414.7,1579.7,521.1,1715.7,407.7,1,1651.7,466.2,947,948.2,1647,414.2,1522.6,415.3,136.6,1646.9,422.4,1534.7,518.9,1635,415.1
370030000B2,37,003,0000B2,1939.1,488,82.4,19.3,1873.5,494.8,146.4,1825,630.4,74.3,1933.8,475.4,70.3,1778.2,689.1,1905.4,524.5,1759.9,671.2,1802.2,622.9,1954.8,480.2,1830.2,609.8,1967.2,479.9,2,1863.1,583,1055.3,1127.8,1899.7,478.1,1748.9,484.3,157.5,1912.8,475,1802,585.8,1872.6,488.2
3700300G1G2,37,003,00G1G2,939.4,240.9,21.2,11.9,898.3,257.9,47.9,901.9,296,20.2,899.7,256.7,24.5,810.3,350.7,807.1,316.4,747.6,385.6,781.8,346.9,837,312.4,781,356.1,826.2,316,1,840.2,300,542.8,457.1,816,280.3,785,273.4,57.7,824.4,279.1,782.7,308.8,802.7,291.3
3700300LRSL,37,003,00LRSL,1206.3,239.9,30,16,1177.3,236.9,64,1163.3,309.8,21,1190.3,258.9,21,1095.4,358.8,1114.3,308.8,1058.4,370.8,1075.4,334.8,1156.3,278.8,1071.4,360.8,1121.3,303.8,3,1109.4,314.8,733.6,548.7,1125.3,277.8,1064.4,269.8,76,1120.3,286.8,1094.4,304.8,1113.3,280.8
3700300S1S2,37,003,00S1S2,1534,369.7,50.1,21.1,1433.7,414.7,109.4,1448.7,486,46.2,1494.9,394.7,41.2,1329.5,578.1,1391.6,478.9,1288.3,594.2,1313.4,539,1412.8,466.8,1320.5,557,1417.8,468.8,3,1404.7,471.9,882.5,817.2,1365.6,452.7,1295.2,425.7,127.4,1402.6,437.7,1333.4,490.9,1355.5,467.7
3700300T2T3,37,003,00T2T3,1339,560,59,23,1296,562,104,1292,636,54,1330,548,48,1209,697,1245,616,1127,743,1187,673,1293,589,1173,697,1296,579,0,1264,606,830,809,1219,594,1142,563,133,1251,578,1170,647,1215,589
37003T1T4T5,37,003,T1T4T5,2081.3,633.5,55.9,19.4,1973.6,638.1,130.1,1986.8,757.4,37.9,2026.7,631.5,60,1822,865.9,1914.9,711.2,1766.2,877.1,1830.8,786.3,1987.2,672.5,1823.9,805.3,1964.3,674.3,5,1915.1,725.1,1311.3,1052.3,1914.9,644.4,1814.3,615,172.4,1941.3,647.2,1847,725.6,1869.8,672.4
37005000001,37,005,000001,677,186.9,17,12.5,665.4,186.3,36.6,641.3,235.4,17.7,658.2,194.3,21.8,630.1,235.2,636.5,216.5,563.5,295.9,608,244.4,680.9,185.8,612,241.2,668.4,195,0,634.6,224.6,404.3,371,645.8,190.6,593.8,195.6,47,642.3,188.1,605.3,238.2,631.5,204.8
37005000004,37,005,000004,717.8,167.4,20.1,9.5,679.7,183.9,38.9,668,230.3,12.5,667.3,197.1,25.6,629,249.8,646.6,207.6,580.6,282.1,616.6,251.8,682,191.1,621.1,243.4,679,188.5,0,635.5,227.3,382,406.2,657.2,190.3,615.5,179.9,58.7,667.6,187.5,627,229.9,644.5,200
3700500003A,37,005,00003A,1636.7,677.1,67.9,33.5,1591.4,698.8,110.2,1516.7,848.4,47.2,1512.7,768.7,56.1,1436,900.5,1467.4,783.4,1260.8,1011.8,1360.2,914.3,1560,738.1,1360.2,898.6,1525.5,747,2,1403.5,856.2,1041.3,956.6,1488.1,723.4,1348.3,718.5,132.9,1516.7,689.9,1382.8,833.6,1468.4,737.2
3700500006A,37,005,00006A,741.4,264.7,23.2,10.1,743.8,258.2,41,717.8,316.1,19,704.5,280.5,25.1,669.9,348.6,711.2,288.1,611.1,386.5,646.7,351.4,761,259.4,663.8,333.6,745.3,257.2,0,680.9,318.7,465.1,421.7,707.4,260.2,634.9,285.7,53.1,725.2,247.3,664.1,312.6,685.8,281.7
370070000MM,37,007,0000MM,176.2,693.4,3.1,3.1,172.9,677.3,17.4,197.1,665.3,3.2,171.8,681.4,8.2,158.5,698.7,154.5,697.6,133.2,713.9,142.4,702.7,164.8,683.4,130.3,717.1,176.8,674.2,0,162.5,684.5,202.7,569.2,154.5,664.3,137.3,669.2,17.5,167.7,657.2,143.5,683.5,162.6,653.3
370070000WS,37,007,0000WS,110,92,0,3,105,94,6,104,95,7,105,90,5,100,97,97,98,91,105,93,100,103,94,89,104,105,90,0,103,93,87,83,98,90,96,89,6,100,89,103,89,97,89
