GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOFUE,G16PREOWRI,G16USSRHOE,G16USSDGLA,G16USSLMAR,G16USSIGER,G16USSOWRI,G16HALRCRA,G16HALDIRO,G16HALLSEA,G16HALOWRI,G16GOVRBUR,G16GOVDNEL,G16GOVLRIS,G16GOVOWRI,G16AUDRGAL,G16AUDLRIE,G16AUDOWRI,G16TRERSCH,G16TREDMAT,G16TRELOLS,G16TREOWRI,G16INSRGOD,G16INSDBUF,G16INSLBAT,G16INSOWRI,G16PSCRFED,G16PSCDHUN,G16PSCLSKA,G16PSCOWRI
38001003901,38,001,003901,909.13,216.03,65.01,8,13,0,7,1067.15,114.02,23,17,2,1003.14,151.02,58.01,0,1049.15,135.02,33,0,974.13,163.03,1,874.12,216.03,78.01,0,880.13,203.03,65.01,1,926.13,163.02,72.01,2
38003002401,38,003,002401,240,141,29,2,2,0,5,346,63,7,3,0,269,127,22,0,333,78,9,0,297,77,3,243,134,23,2,236,126,34,2,262,103,29,2
38003002402,38,003,002402,361.23,226.12,51.44,8.73,2.92,0.97,10.68,510.7,127.13,14.56,1.94,0,383.56,222.25,36.88,1.94,510.7,127.14,13.59,0.97,413.64,167.88,1.94,332.11,244.58,51.42,0.97,329.19,224.17,52.43,1.94,365.15,191.16,55.31,0
38003002403,38,003,002403,230,164,40,8,3,2,12,335,92,14,13,3,274,160,20,2,337,92,25,1,289,129,2,239,158,40,1,241,140,49,1,254,124,49,1
38003002404,38,003,002404,368.17,213.02,53.17,5.28,3.39,1,11.61,521.3,107.35,21.56,8.17,1,388.4,214.24,47.34,2.06,504.3,120.74,31.56,2,423.29,164.46,7.11,361.17,226.58,47.34,1,359.67,188.63,68.9,1,399.79,159.79,54.5,2.06
38003002405,38,003,002405,435.45,279.03,63.72,9.66,2.9,1.93,17.38,650.76,135.17,22.21,7.72,0,496.28,257.79,48.28,0,620.83,158.34,29.93,0,567.72,165.1,1.93,479.86,256.83,44.41,0.97,448,244.28,82.07,0.97,500.14,197.93,67.59,0.97
38003002406,38,003,002406,206,91,19,3,3,0,5,252,52,10,6,0,203,92,28,0,247,56,18,0,219,74,2,176,103,27,0,181,84,39,0,191,85,28,0
38003002407,38,003,002407,80,31,15,0,5,0,3,110,19,4,2,0,91,30,11,0,109,15,7,0,92,31,0,82,34,15,0,75,40,14,0,90,31,10,0
38003002408,38,003,002408,114,28,10,0,0,0,3,143,12,0,2,1,120,23,13,0,136,17,2,0,116,24,0,106,35,5,0,98,30,15,0,110,22,12,1
38003002409,38,003,002409,151,46,24,0,4,0,0,193,19,8,2,0,152,48,16,0,188,19,15,0,154,47,0,129,50,22,0,123,49,24,1,142,31,22,0
38003002410,38,003,002410,54,28,5,0,0,0,1,62,17,4,2,0,50,25,9,0,66,17,4,0,53,16,1,50,26,6,0,51,20,6,0,50,20,5,0
38003002411,38,003,002411,385.15,152.82,40.66,5.33,6.79,0.1,11.33,501.24,82.36,10.68,3.17,0,408.77,155.72,25.51,1,500.17,89.78,10.92,0.03,427.35,103.56,2.02,368.86,179.01,25.83,0.06,359.14,144.92,53.6,0.1,414.93,111.12,29.6,0.98
38003002412,38,003,002412,168,59,17,4,2,0,0,214,29,8,1,0,182,57,13,0,212,38,3,0,183,56,0,166,67,10,2,155,65,19,1,185,37,20,0
38003002413,38,003,002413,156,68,25,1,6,0,4,209,39,11,3,0,168,62,29,1,212,41,10,0,175,64,0,134,94,21,0,136,74,37,1,161,61,26,1
38003002414,38,003,002414,65,25,7,0,0,0,0,76,18,3,0,0,65,27,6,0,73,21,4,0,60,22,0,55,29,7,0,53,27,7,0,58,24,8,0
38003002415,38,003,002415,146,45,7,0,0,0,2,178,23,2,1,0,150,37,12,0,168,27,5,1,144,39,1,136,51,12,0,135,47,11,0,142,37,13,0
38005001401,38,005,001401,625.71,313.42,76.93,4.99,7.98,0,20.99,832.36,203.64,19.98,14.99,0,737.52,258.56,59.95,1,725.53,314.45,23.99,2,715.45,244.66,1,585.66,378.4,73.91,0,622.58,327.49,75.92,1,671.54,282.51,67.94,0.01
