GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOFUE,G16PREOWRI,G16USSRHOE,G16USSDGLA,G16USSLMAR,G16USSIGER,G16USSOWRI,G16HALRCRA,G16HALDIRO,G16HALLSEA,G16HALOWRI,G16GOVRBUR,G16GOVDNEL,G16GOVLRIS,G16GOVOWRI,G16AUDRGAL,G16AUDLRIE,G16AUDOWRI,G16TRERSCH,G16TREDMAT,G16TRELOLS,G16TREOWRI,G16INSRGOD,G16INSDBUF,G16INSLBAT,G16INSOWRI,G16PSCRFED,G16PSCDHUN,G16PSCLSKA,G16PSCOWRI
38001003901,38,001,003901,909.1,216,65,8,13,0,7,1067.2,114,23,17,2,1003.1,151,58,0,1049.2,135,33,0,974.1,163,1,874.1,216,78,0,880.1,203,65,1,926.1,163,72,2
38003002401,38,003,002401,240,141,29,2,2,0,5,346,63,7,3,0,269,127,22,0,333,78,9,0,297,77,3,243,134,23,2,236,126,34,2,262,103,29,2
38003002402,38,003,002402,361.2,226.1,51.4,8.7,2.9,1,10.7,510.7,127.1,14.6,1.9,0,383.6,222.2,36.9,1.9,510.7,127.1,13.6,1,413.6,167.9,1.9,332.1,244.6,51.4,1,329.2,224.2,52.4,1.9,365.1,191.2,55.3,0
38003002403,38,003,002403,230,164,40,8,3,2,12,335,92,14,13,3,274,160,20,2,337,92,25,1,289,129,2,239,158,40,1,241,140,49,1,254,124,49,1
38003002404,38,003,002404,368.2,213,53.2,5.3,3.4,1,11.6,521.3,107.3,21.6,8.2,1,388.4,214.2,47.3,2.1,504.3,120.7,31.6,2,423.3,164.5,7.1,361.2,226.6,47.3,1,359.7,188.6,68.9,1,399.8,159.8,54.5,2.1
38003002405,38,003,002405,435.4,279,63.7,9.7,2.9,1.9,17.4,650.8,135.2,22.2,7.7,0,496.3,257.8,48.3,0,620.8,158.3,29.9,0,567.7,165.1,1.9,479.9,256.8,44.4,1,448,244.3,82.1,1,500.1,197.9,67.6,1
38003002406,38,003,002406,206,91,19,3,3,0,5,252,52,10,6,0,203,92,28,0,247,56,18,0,219,74,2,176,103,27,0,181,84,39,0,191,85,28,0
38003002407,38,003,002407,80,31,15,0,5,0,3,110,19,4,2,0,91,30,11,0,109,15,7,0,92,31,0,82,34,15,0,75,40,14,0,90,31,10,0
38003002408,38,003,002408,114,28,10,0,0,0,3,143,12,0,2,1,120,23,13,0,136,17,2,0,116,24,0,106,35,5,0,98,30,15,0,110,22,12,1
38003002409,38,003,002409,151,46,24,0,4,0,0,193,19,8,2,0,152,48,16,0,188,19,15,0,154,47,0,129,50,22,0,123,49,24,1,142,31,22,0
38003002410,38,003,002410,54,28,5,0,0,0,1,62,17,4,2,0,50,25,9,0,66,17,4,0,53,16,1,50,26,6,0,51,20,6,0,50,20,5,0
38003002411,38,003,002411,385.1,152.8,40.7,5.3,6.8,0.1,11.3,501.2,82.4,10.7,3.2,0,408.8,155.7,25.5,1,500.2,89.8,10.9,0,427.4,103.6,2,368.9,179,25.8,0.1,359.1,144.9,53.6,0.1,414.9,111.1,29.6,1
38003002412,38,003,002412,168,59,17,4,2,0,0,214,29,8,1,0,182,57,13,0,212,38,3,0,183,56,0,166,67,10,2,155,65,19,1,185,37,20,0
38003002413,38,003,002413,156,68,25,1,6,0,4,209,39,11,3,0,168,62,29,1,212,41,10,0,175,64,0,134,94,21,0,136,74,37,1,161,61,26,1
38003002414,38,003,002414,65,25,7,0,0,0,0,76,18,3,0,0,65,27,6,0,73,21,4,0,60,22,0,55,29,7,0,53,27,7,0,58,24,8,0
38003002415,38,003,002415,146,45,7,0,0,0,2,178,23,2,1,0,150,37,12,0,168,27,5,1,144,39,1,136,51,12,0,135,47,11,0,142,37,13,0
38005001401,38,005,001401,625.7,313.4,76.9,5,8,0,21,832.4,203.6,20,15,0,737.5,258.6,60,1,725.5,314.4,24,2,715.5,244.7,1,585.7,378.4,73.9,0,622.6,327.5,75.9,1,671.5,282.5,67.9,0
38005002301,38,005,002301,146.6,79.3,17,2,3,0,5,200.8,50.2,4,5,0,164.7,72.2,15.1,2,164.6,85.3,6,0,178.7,49.2,1,145.6,80.3,22.1,0,145.5,70.2,27.1,0,172.6,54.2,21.1,1
38005002302,38,005,002302,81.4,372.1,15,29,4,1,38,203.4,270.1,39,13,2,74.4,450.1,14,0,137.4,344.1,42,0,152.4,324.1,4,107.3,339.1,63,2,65.3,433.1,26,2,96.4,369.1,49,1
38005002303,38,005,002303,76.2,77.1,3,5,2,0,5,104.2,50,5,5,0,77.2,76,9,0,82.2,73,6,1,97.2,50,3,73.2,66.1,18,1,67.2,83.1,9,1,76.2,70,9,1
38007003901,38,007,003901,131.7,30.7,13.9,0,1,0,4,154.4,21.8,5.9,1,0,141.6,33.7,6.9,0,158.4,15.8,8.9,0,146.5,24.8,0,137.6,25.7,13.9,0,135.6,24.8,13.9,0,139.6,17.8,15.8,0
38007003902,38,007,003902,267,21,14,2,5,1,3,285,18,9,1,0,268,26,14,2,280,23,11,0,268,31,0,256,31,19,0,261,24,19,0,262,16,23,0
38007003903,38,007,003903,95.4,7.1,5,2,0,0,0,102.4,3,1,1,0,94.4,8.1,4,0,97.4,9.1,2,0,93.4,11.1,0,88.4,11.1,6,0,90.4,9.1,4,1,93.4,6,6,0
38009000601,38,009,000601,529,105.2,28.5,7.1,3,3,6.1,592.7,64.1,11.2,9.1,1,541.6,98.9,34.5,0,549.9,91,32.2,2,520.3,109.7,2,481.5,124.6,45.5,1,483.3,112.3,47.8,1,524,83.9,38.5,1
38009000602,38,009,000602,526.4,149.1,31.6,7.9,1,0,6,636.9,74.1,9.9,6.9,0,559.9,125.4,33.6,0,577.7,129.3,11.9,1,545.1,112.7,0,489.8,173.8,32.6,0,474,150.1,51.4,0,523.3,127.4,35.6,0
38009000603,38,009,000603,478.9,129.7,26.9,5,2,0,14.9,555.7,70.8,19.9,9,0,501.8,100.8,43.9,0,524.8,110.8,15.9,1,489.9,122.7,1,445.9,143.7,44.9,0,427,135.7,58.8,0,455,113.7,50.9,0
38009000604,38,009,000604,537.2,176.4,55.8,3,2,0,6,659.8,97.7,20.9,7,0,582.1,133.6,59.8,0,608,139.5,26.9,3,569.1,143.5,2,522.3,177.4,57.8,2,514.3,163.5,70.8,2,537.2,148.5,62.8,2
38009000605,38,009,000605,422.8,175.6,34.2,7,3,0,10,553.2,76.3,18.1,5,0,486.9,119.4,42.2,0,508,124.5,14.1,0,467.9,125.5,1,398.7,182.6,43.2,0,390.7,171.5,48.2,1,430.8,122.5,59.2,0
38011003901,38,011,003901,616.1,133.1,47,7.8,0,1,8.8,717,78.3,11.8,7.8,2,657.3,98.8,52.9,0,696.4,96.9,18.6,1,640.6,120.4,1,594.5,141.9,38.2,0,609.2,131.2,35.2,0,620,101.8,59.7,0
