GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20HALRARM,G20HALDRAK,G20HALLPET,G20HALOWRI,G20GOVRBUR,G20GOVDLEN,G20GOVLHEN,G20GOVOWRI,G20AUDRGAL,G20AUDDHAR,G20AUDOWRI,G20TRERBEA,G20TREDHAU,G20TREOWRI,G20INSRGOD,G20INSOWRI,G20PSCRKRO,G20PSCDBUC,G20PSCOWRI
38001003901,38,001,003901,981.11,258.02,30,0,1010.12,213.02,32,1,1000.11,163.02,40,57.01,977.11,250.03,1,926.1,308.03,4,1107.13,15,971.11,259.03,1
38003002401,38,003,002401,219,166,12,1,241,139,16,0,261,117,11,11,229,161,0,226,160,4,322,6,220,153,0
38003002402,38,003,002402,424.38,255.26,30.07,2.91,436.04,238.73,27.16,0,469.96,198.95,22.32,16.52,403.98,280.47,0.97,387.46,293.11,2.92,568,18.44,400.09,266.89,1.94
38003002403,38,003,002403,228,151,13,0,230,135,16,2,247,119,12,8,213,163,1,215,161,5,321,5,221,150,1
38003002404,38,003,002404,420.46,256.92,20.5,2.06,452.24,215.41,24.5,0,458.85,189.19,28.78,22.5,407.9,262.25,2,401.29,268.59,8.45,579.98,15.56,414.35,243.86,1
38003002405,38,003,002405,505.93,318.62,25.1,3.86,550.34,263.59,26.07,0,539.72,241.38,26.07,31.86,511.72,299.31,0.97,496.28,318.62,7.72,701.93,12.55,495.31,303.17,0
38003002406,38,003,002406,236,106,9,3,254,92,1,0,254,83,4,10,226,106,0,205,129,1,287,2,217,108,0
38003002407,38,003,002407,109,42,6,0,116,38,3,0,121,31,3,2,105,49,0,102,51,0,134,1,102,47,0
38003002408,38,003,002408,116,39,0,0,117,30,3,0,117,25,5,7,112,39,0,101,49,2,141,0,101,42,0
38003002409,38,003,002409,178,54,5,0,177,42,16,0,185,36,5,8,165,59,0,168,56,2,200,0,166,56,0
38003002410,38,003,002410,57,29,0,0,57,25,1,0,53,28,3,1,55,28,0,53,31,0,65,0,54,29,0
38003002411,38,003,002411,479.22,187.21,10.33,1.17,494.37,159.27,10.27,0,488.46,136.49,14.83,27.11,452.39,192.97,0.06,423.98,216.68,7.91,567.09,10.45,442.25,186.08,0.06
38003002412,38,003,002412,183,59,5,0,186,47,8,0,170,41,12,20,181,59,1,162,75,4,221,2,179,54,1
38003002413,38,003,002413,183,83,19,1,190,77,12,0,198,65,12,10,182,88,0,171,98,1,235,9,165,95,1
38003002414,38,003,002414,64,30,1,0,71,24,1,0,71,20,0,7,61,29,0,60,36,0,73,3,62,29,0
38003002415,38,003,002415,165,43,5,1,165,36,4,1,141,35,14,20,151,54,0,145,57,4,187,2,155,41,0
38005001401,38,005,001401,752.54,338.44,23.98,2,762.52,310.48,27.96,1,723.49,281.51,41.94,61,710.59,364.39,1,688.55,379.43,4,917.2,13.98,673.6,345.49,0
38005002301,38,005,002301,163.73,69.32,3.01,0,162.74,64.28,7.02,0,151.67,72.26,3.04,12.09,152.72,80.3,0,152.67,80.35,0,190.88,2.03,147.71,84.31,0
38005002302,38,005,002302,84.4,337.13,6.01,2,112.42,299.11,15.01,1,117.4,290.11,14.02,5.03,96.4,324.14,1,92.38,328.15,1.01,282.48,37,97.39,323.14,2
38005002303,38,005,002303,94.2,77.06,6.01,2,101.21,64.06,5.01,1,106.2,64.05,2.01,7.01,98.2,72.07,1,97.19,75.08,2,144.24,7,94.2,77.07,1
38007003901,38,007,003901,132.64,46.52,6.93,0,142.54,33.66,5.94,0.99,134.62,27.72,9.9,11.88,133.63,46.52,0.99,135.61,41.57,1.98,164.32,0,141.55,37.61,0.99
38007003902,38,007,003902,304,17,14,0,305,23,8,1,231,24,11,69,305,28,0,284,42,5,310,1,288,36,1
38007003903,38,007,003903,103.5,8.06,0,1,105.49,7.06,0.01,0,75.39,5.06,7.03,21.07,103.48,8.07,1,100.44,9.1,3,106.49,1.01,101.46,10.08,0
38009000601,38,009,000601,525.04,105.68,10.27,1.02,529.55,93.17,11.25,0.01,508.54,79.89,18.21,29.37,517.38,110.36,0,491.12,137.6,1.03,581.59,7.07,508.1,117.59,0
38009000602,38,009,000602,522.39,177.73,17.73,1,556.85,143.17,15.79,0.99,556.85,125.43,13.84,23.69,545.95,155.08,0,529.2,170.87,1.97,624.98,4.95,528.26,170.81,0
38009000603,38,009,000603,465.92,154.65,6,2.99,473.94,123.72,11.98,1.99,472.94,115.72,15.96,17.96,454.01,147.64,1,449,160.61,1,532.81,7.97,458.96,145.67,1
38009000604,38,009,000604,609.99,194.36,18.94,1.99,617.96,178.41,23.92,0,637.9,147.51,19.93,19.93,607,198.35,1,591.05,210.31,3.99,719.63,8.97,605,195.36,1
38009000605,38,009,000605,452.01,188.64,12.06,3.01,468.04,153.59,18.08,0,477.1,119.49,25.07,20.07,436,187.65,0,425.95,192.69,5.01,543.37,9.03,435,186.64,1
38011003901,38,011,003901,587.78,133.12,16.65,0.98,600.5,108.65,16.65,0,538.76,100.82,26.44,58.8,574.07,137.06,0.98,558.39,153.71,0.01,660.22,5.87,554.5,143.9,1.96
38011003902,38,011,003902,377.22,36.88,9.35,0.02,378.5,32.35,8.35,1,326.24,27.18,14.56,47.2,366.93,47.94,1.02,354.61,57.29,2.99,397.78,0.13,365.5,47.1,0.04
38011003903,38,011,003903,206,10,1,0,203,12,4,0,167,8,6,36,198,17,0,181,30,3,207,1,193,16,0
38011003904,38,011,003904,223.89,47.98,3,3,230.88,41.98,7,0,221.89,34.98,6,15.99,215.89,54.97,0,203.9,66.97,0,252.87,3,211.89,54.97,0
38013000201,38,013,000201,49,6,2,0,47,6,2,0,46,4,3,4,48,7,0,49,7,0,55,0,48,8,0
38013000202,38,013,000202,249,44,6,3,250,44,4,0,242,40,8,9,247,45,0,240,49,0,259,5,243,45,1
38013000203,38,013,000203,361.61,43.05,8.01,0,354.61,49.04,4.02,0,284.56,42.05,12.03,69.02,340.57,63.07,1,334.55,67.1,0,384.62,0,343.57,58.06,1
38013000204,38,013,000204,147,17,1,1,142,16,2,0,123,21,11,8,137,17,0,136,18,1,150,2,133,25,0
38013000205,38,013,000205,128,12,2,0,124,11,4,0,105,13,5,18,122,14,0,120,17,0,127,1,124,13,0
38013000206,38,013,000206,60,15,1,0,60,14,1,0,60,9,4,2,57,16,0,58,15,0,69,0,59,13,1
38015000701,38,015,000701,1648.36,413.01,75.26,4.17,1642.09,377.97,75.23,2,1316.35,359.78,135.61,294.29,1543.96,495.14,4.08,1518.01,504.54,11.14,1829.84,25.45,1569.97,454.6,3.03
38015000702,38,015,000702,1256.28,440.28,46.49,6.2,1333.76,336.56,41.84,0.06,1169.6,359.81,55.68,142.35,1244.15,407.41,2.33,1173.36,476.65,3.21,1477.05,14.45,1262.31,380.73,1.99
38015000703,38,015,000703,1385.6,464.82,49.42,10.02,1399.34,395.93,69.98,0.99,1177.49,385.17,98.73,229.28,1343.73,474.45,3.01,1273.56,543.37,8,1615.41,33.84,1322.67,474.41,2.97
38015000704,38,015,000704,624.84,129.68,22.38,2.8,647.21,116.62,15.86,0,521.33,120.34,41.97,86.74,618.3,148.33,0.93,571.68,188.42,1.87,699.47,3.74,611.77,147.39,0
