GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
3100100001P,31,001,00001P,352,83,20,381,72,365,71,400,411,351,76
3100100001W,31,001,00001W,338,174,26,375,167,367,165,429,424,353,177
3100100002E,31,001,00002E,153.87,82.55,15.72,171.28,81.43,162.29,79.18,201.6,202.16,162.29,78.06
3100100002P,31,001,00002P,92,21,5,103,14,94,15,98,102,91,15
3100100002W,31,001,00002W,240.19,150.1,25.44,272.83,140.55,279.18,123.57,329.35,335.68,262.2,127.79
3100100003P,31,001,00003P,290,91,21,332,64,319,61,340,344,301,83
3100100003W,31,001,00003W,197.6,141.98,12.44,223.36,127.69,214.74,127.7,275.75,276.74,200.45,141.08
3100100004P,31,001,00004P,282.73,70.05,12.01,299.68,66.16,290.29,54.85,301.25,304.97,271.11,71.33
3100100005P,31,001,00005P,246.63,78.65,10.18,262.41,69.15,253.24,67.2,275.56,281.67,243.76,71.38
3100100005W,31,001,00005W,212.43,91.21,15.48,231.31,86.67,220.47,84.68,258.26,261.06,217.06,85.39
3100100006P,31,001,00006P,98.3,29.19,6.93,103.86,29.22,99.05,26.28,111.01,116.62,95.65,32.18
3100100006W,31,001,00006W,497.72,215.87,25.35,526.29,210.49,513.88,186.46,590.67,601.91,502.53,193.63
3100100007P,31,001,00007P,111,14,3,115,15,103,16,108,108,97,20
3100100007W,31,001,00007W,259,135,17,271,140,260,131,315,321,245,138
3100100008P,31,001,00008P,150,35,6,174,18,145,25,154,156,146,29
3100100008W,31,001,00008W,475.88,233.99,12.84,497.6,224.12,487.73,203.39,566.72,581.53,461.07,227.08
3100100009P,31,001,00009P,193,58,8,204,57,194,53,225,232,185,60
3100100009W,31,001,00009W,178.6,153.53,13.32,192.7,154.32,190.35,150.4,253.8,256.15,179.38,156.67
3100100010P,31,001,00010P,95,32,3,99,31,90,25,91,92,89,24
3100100010W,31,001,00010W,171.18,172.02,11.02,190.67,166.94,180.5,159.31,226.26,237.27,175.41,162.7
3100100011W,31,001,00011W,233.62,176.57,33.5,266.22,177.48,241.77,182,313.3,322.36,235.43,185.63
3100100012W,31,001,00012W,72.12,50.01,3.16,79.4,44.88,78.27,39.61,92.28,93.47,71.93,42.92
3100100013W,31,001,00013W,623.96,317.27,34,675.47,301.72,670.91,267.99,775.01,783.95,638.55,286.18
3100100014W,31,001,00014W,171,173,8,194,161,180,158,258,262,173,167
3100100015W,31,001,00015W,274.38,208.93,18.62,303.51,197.8,297.13,185.57,365.49,373.6,281.39,187.06
3100100016W,31,001,00016W,106,105,10,117,105,112,103,149,151,108,106
3100100017W,31,001,00017W,370.81,241.07,24.98,405.42,229.39,393.21,217.8,502.7,512.86,371.78,228.94
3100300001P,31,003,00001P,185,48,12,196,49,185,39,207,208,166,54
3100300001W,31,003,00001W,82,23,1,82,23,76,25,87,86,72,31
3100300002P,31,003,00002P,88,14,5,91,18,88,15,93,90,85,13
3100300002W,31,003,00002W,179.11,43.02,6,186.11,43.02,168.1,38.02,184.1,195.1,159.1,49.03
3100300003P,31,003,00003P,213,23,7,215,33,203,38,211,217,189,38
3100300003W,31,003,00003W,244.34,63.69,9.93,248.27,71.67,241.25,57.76,264.06,267.01,233.24,55.88
3100300004P,31,003,00004P,280,41,3,288,41,260,26,260,262,242,41
3100300004W,31,003,00004W,105,17,1,104,21,102,18,107,106,92,23
3100300005P,31,003,00005P,163.55,32.28,3.07,161.62,37.31,153.65,32.22,158.84,157.88,145.67,40.09
3100300005W,31,003,00005W,137,19,4,134,23,123,23,134,136,120,27
3100300006P,31,003,00006P,149,18,1,152,17,138,16,139,132,130,18
3100300007P,31,003,00007P,156,32,9,157,43,142,41,165,166,142,43
3100300008P,31,003,00008P,79,22,5,88,20,74,23,80,83,71,23
3100500001P,31,005,00001P,202,24,6,196,31,192,19,198,199,175,28
3100700001P,31,007,00001P,263,39,12,254,62,272,38,281,282,260,42
31009000001,31,009,000001,223.71,34.09,6.03,215.73,49.11,203.7,34.07,210.69,210.69,197.66,34.09
3101100001P,31,011,00001P,305,76,16,323,78,270,84,304,308,251,89
3101100002P,31,011,00002P,78,11,1,87,10,67,13,73,73,57,22
3101100003P,31,011,00003P,84,29,4,89,28,71,29,75,76,62,36
3101100004P,31,011,00004P,211,49,9,225,47,211,38,226,228,193,52
3101100005P,31,011,00005P,247,53,12,265,51,248,45,276,275,237,58
3101100006P,31,011,00006P,258,85,6,266,84,256,69,289,290,253,69
3101100007P,31,011,00007P,216,88,11,241,80,195,73,221,226,178,90
3101100008P,31,011,00008P,103,17,6,109,16,99,15,99,101,87,23
3101100009P,31,011,00009P,255,49,9,267,46,239,55,254,255,220,65
31013001301,31,013,001301,248.69,123.08,16.02,250.64,136.15,253.69,123.09,299.72,299.7,241.65,127.11
31013001302,31,013,001302,264.71,103.46,24.41,264.48,127.12,266.62,113.25,321.26,311.45,251.88,119.17
31013001303,31,013,001303,227.87,121.93,23.99,218.87,153.91,231.86,132.92,283.83,278.84,224.87,128.92
31013001304,31,013,001304,280.59,103.87,20.97,275.6,125.85,273.61,122.84,326.54,324.54,259.63,129.83
31013001305,31,013,001305,403.15,121.02,19,377.14,171.03,397.15,133.02,446.16,445.16,368.14,147.02
31013001306,31,013,001306,366,128,18,341,172,357,147,421,425,343,146
31013001311,31,013,001311,199.45,24.44,6.56,184.74,44.7,197.54,28.64,208.86,203.69,187.33,33.7
31013001312,31,013,001312,199.43,19.78,8.45,188.12,37.49,197.27,24.25,206.54,200.54,195.05,19.31
