GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
3100100001P,31,001,00001P,556,86,6,507,56,43
3100100001W,31,001,00001W,570,253,20,552,193,46
3100100002E,31,001,00002E,257.76,102.2,9.55,255.51,72.44,24.15
3100100002P,31,001,00002P,131,24,3,119,13,14
3100100002W,31,001,00002W,415.16,186.33,14.87,409.14,128.75,35.99
3100100003P,31,001,00003P,422,97,12,406,55,42
3100100003W,31,001,00003W,283.86,211.58,11.44,324.72,137.26,17.21
3100100004P,31,001,00004P,426.88,93.38,6.1,408.12,61.86,25.77
3100100005P,31,001,00005P,346.44,101.24,7.46,342.89,56.18,28.11
3100100005W,31,001,00005W,327.9,114.44,9.95,324.86,74.78,29.04
3100100006P,31,001,00006P,177.48,51.58,3.51,166.37,36.43,13.54
3100100006W,31,001,00006W,729.4,256.71,27.27,746.27,147.98,59.08
3100100007P,31,001,00007P,160,18,1,158,9,13
3100100007W,31,001,00007W,388,170,12,381,109,42
3100100008P,31,001,00008P,258,29,6,240,18,24
3100100008W,31,001,00008W,650.64,303.1,13.82,661.5,154.02,52.33
3100100009P,31,001,00009P,325,77,9,305,55,23
3100100009W,31,001,00009W,307.07,194.27,9.4,297.67,126.9,40.73
3100100010P,31,001,00010P,170,24,3,152,9,10
3100100010W,31,001,00010W,262.7,211.85,12.71,276.25,105.08,29.66
3100100011W,31,001,00011W,399.32,230.9,20.83,406.57,149.41,40.75
3100100012W,31,001,00012W,84.36,60.9,0.18,98.5,22.98,9.67
3100100013W,31,001,00013W,929.61,434.44,22.96,953.75,246.85,74.08
3100100014W,31,001,00014W,276,193,13,283,112,39
3100100015W,31,001,00015W,441.14,255.35,17.49,456.16,157.27,40.72
3100100016W,31,001,00016W,169,156,7,167,84,21
3100100017W,31,001,00017W,620.28,277.74,24.45,596.72,191.83,59.17
3100300001P,31,003,00001P,270,44,5,252,37,16
3100300001W,31,003,00001W,114,32,1,117,22,6
3100300002P,31,003,00002P,118,15,1,107,9,5
3100300002W,31,003,00002W,285.15,69.03,7,266.14,54.02,21.01
3100300003P,31,003,00003P,331,34,4,278,30,30
3100300003W,31,003,00003W,359.95,59.85,4.01,325.15,46.87,23.87
3100300004P,31,003,00004P,434,39,2,376,46,22
3100300004W,31,003,00004W,164,19,2,159,10,7
3100300005P,31,003,00005P,234.89,41.12,3.99,219.7,31.11,11.12
3100300005W,31,003,00005W,190,21,4,181,18,7
3100300006P,31,003,00006P,216,22,0,199,13,12
3100300007P,31,003,00007P,236,31,3,215,20,17
3100300008P,31,003,00008P,140,25,1,133,17,6
3100500001P,31,005,00001P,260,21,3,228,21,21
3100700001P,31,007,00001P,362,43,5,335,39,21
31009000001,31,009,000001,280.92,35.11,2.01,222.81,35.1,34.05
3101100001P,31,011,00001P,371,60,8,319,49,26
3101100002P,31,011,00002P,83,12,0,74,6,3
3101100003P,31,011,00003P,123,27,3,105,27,8
3101100004P,31,011,00004P,394,76,8,355,47,27
3101100005P,31,011,00005P,483,67,10,447,40,26
3101100006P,31,011,00006P,459,105,18,445,66,28
3101100007P,31,011,00007P,262,81,5,232,65,22
3101100008P,31,011,00008P,131,14,2,120,11,10
3101100009P,31,011,00009P,347,57,11,305,40,28
31013001301,31,013,001301,379.11,149.15,19.03,383.07,122.12,27.05
31013001302,31,013,001302,438,135,17,411,117,45
31013001303,31,013,001303,337.8,119.93,17.99,327.81,84.95,49.97
31013001304,31,013,001304,451.2,132.07,25.01,429.19,118.05,41.03
31013001305,31,013,001305,627.25,155.03,14.01,600.24,118.03,39.01
31013001306,31,013,001306,502,179,11,496,122,37
31013001311,31,013,001311,311.65,40.82,8.96,299.7,34.85,14.94
31013001312,31,013,001312,314.61,42.06,4.01,304.57,25.04,19.04
31013001315,31,013,001315,641,98,11,589,80,53
31015000001,31,015,000001,405,45,6,339,42,25
31015000002,31,015,000002,378,56,2,340,35,25
31015000003,31,015,000003,226.42,33.91,0,203.46,11.98,24.93
3101700001P,31,017,00001P,707,101,14,675,68,47
3101700002P,31,017,00002P,316,50,1,299,29,22
3101700003P,31,017,00003P,447.01,40.01,3.01,412.96,28.02,24.04
31019000001,31,019,000001,712.48,297.43,14.54,758.7,161.77,48.87
31019000002,31,019,000002,512,286,19,535,169,63
31019000003,31,019,000003,760.57,375.85,26.09,808.54,196.46,78.29
31019000004,31,019,000004,1172.48,457.04,21.02,1219.44,229.04,84.04
31019000005,31,019,000005,518,215,27,526,132,49
31019000006,31,019,000006,916,412.14,32.93,947.93,241.51,73.85
31019000007,31,019,000007,590,387,35,614,233,66
31019000008,31,019,000008,356,190,13,353,112,44
31019000009,31,019,000009,538,294,34,537,197,71
