GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16PREOWRI,G16USSRAYO,G16USSDHAS,G16USSLCHA,G16USSIDAY,G16USSOWRI,G16GOVRSUN,G16GOVDVAN,G16GOVLABR,G16GOVOWRI
33001ALTO01,33,001,ALTO01,2213.5,1159.7,116,24.2,2,49.4,2215.8,1200.7,49.4,69.6,0,2177.8,1171.3,136.1,14
33001BARN01,33,001,BARN01,1530.4,933.6,125.8,20.1,0,23.5,1465.1,1042.5,52.3,62.3,0,1464.7,1026.5,116.7,0
33001BELM01,33,001,BELM01,2179.2,1266.9,157.1,28.1,7,47.8,1996.6,1496.6,68.6,105.4,4,2033.1,1405.3,168.1,10
33001CENT01,33,001,CENT01,379.6,334.5,24.7,8,1,13.7,390.2,339,15.2,12.5,2,405.3,317.3,22.1,2
33001GILF01,33,001,GILF01,2555.6,2006,162.7,31.8,1.4,79.9,2544.1,2104.2,53.9,85.2,2.1,2600.8,1945.4,166.1,12.4
33001GILM01,33,001,GILM01,1327.5,784.7,107.5,20.9,1,31.9,1236,894.2,43.8,75.7,2,1235.9,863.3,99.6,4
33001LACO01,33,001,LACO01,944,701.7,74.1,10.6,0,28.1,958,744.5,22.6,28.7,2.5,969.4,694.8,58.2,3.1
33001LACO02,33,001,LACO02,612,469,46,7,3,10,571,518,22,37,0,582,469,78,0
33001LACO03,33,001,LACO03,526.3,555.1,42.7,10.5,0,14.8,548.1,573.4,18.3,18.3,3.5,544.6,547.2,42.7,0.9
33001LACO04,33,001,LACO04,624,483.6,52.3,18.7,3,14.8,548,592.1,11.9,34.5,3,577.6,536.8,55.3,4.9
33001LACO05,33,001,LACO05,561,416,44,11,2,23,479,481,18,52,2,523,430,59,10
33001LACO06,33,001,LACO06,969.6,633.4,67.1,13.2,5.7,18.9,904.6,729.7,18,38.7,1.9,933.9,679.6,55.8,6.6
33001MERE01,33,001,MERE01,2166.1,1713.9,156.4,29.1,5,58.3,2237.8,1766.2,51.2,63.2,0,2214.5,1710.4,122.4,9
33001NEWH01,33,001,NEWH01,738.1,546,68.7,10.3,0.1,21.7,741.4,564.8,27,32.5,1.1,705.3,590.1,57.2,3.2
33001SANB01,33,001,SANB01,1050.7,758.2,77,34,2,25.6,1010,851.1,33.5,52.6,0.1,990.7,839.2,77.9,6.1
33001TILT01,33,001,TILT01,1007.1,794.7,77.6,19.7,2.1,29.4,931.4,890.7,32.3,55.1,3,903.6,885.4,95.1,8.2
33003ALBA01,33,003,ALBA01,152.9,163.9,11.1,5.8,1.7,9.1,146.6,178,5,9.1,0,144.3,173.6,13.4,0
33003BART01,33,003,BART01,726.4,1088.7,83.6,20.9,0,21.9,805.1,1076.7,18.9,23.9,0,830.9,1013,58.7,0
33003BROO01,33,003,BROO01,257.9,153.5,24.6,3,1,0,256.9,170.2,7.9,7.9,0,255.9,157.5,20.7,0
33003CHAT01,33,003,CHAT01,123.4,104.6,20.9,3.5,0,2.8,127.7,107.8,7.7,10.2,0,127.5,101.3,16.3,0.1
33003CONW01,33,003,CONW01,2188.2,2697.1,207.6,56.6,2,78.4,2219.4,2726.9,79.4,133.8,0,2304.8,2463.2,247.9,11.9
33003EATO01,33,003,EATO01,112,160.7,14.3,2.1,0,9.1,133.1,158.7,1.1,4.2,0,135.2,144.4,12.3,0
33003EFFI01,33,003,EFFI01,492.4,327.6,38.8,6.4,0,17.1,442,362.8,16.2,52,0,450.2,361.9,43.3,0
33003FREE01,33,003,FREE01,467,415.4,35.3,13.6,1,6,474.1,428.5,8.9,14.1,0,482.9,402.3,19.9,1
33003HALE01,33,003,HALE01,96.6,25.9,0,0,0,0,93.6,27.9,0,0,0,95.6,26.9,0,0
33003HART01,33,003,HART01,14,17,3,0,0,4,17,21,0,1,0,15,21,3,0
33003JACK01,33,003,JACK01,212,430,28,5,0,14,257,418,5,8,1,267,406,11,2
33003MADI01,33,003,MADI01,646.4,712.6,69.2,12.8,4.9,17.8,681,740.3,18.8,21.7,0,709.7,688.9,51.4,1
33003MOUL01,33,003,MOUL01,1872.4,1142,125,16,0,61.5,1931.9,1174.7,34.9,43.8,3,1934.2,1123.7,88.4,6
33003OSSI01,33,003,OSSI01,1282.5,763.9,93.2,17.9,2,28.8,1188.7,883.6,36.6,59.4,4,1224.3,812.2,95.1,7.9
33003SAND01,33,003,SAND01,360,578,34,13,1,30,409,591,4,6,1,403,575,16,0
33003TAMW01,33,003,TAMW01,762.2,740.3,69.1,24,2,35.1,708.1,806.4,38,56.1,0,758.1,724.4,88.1,5
33003TUFT01,33,003,TUFT01,885.4,667.8,54.8,16.8,0,41.4,950.1,666,14.1,24.1,1,961.2,619.2,47,3
33003WAKE01,33,003,WAKE01,1742,873.7,111.1,20,0,44,1623,973.8,47,100,3,1657.9,889.7,156.1,9
33003WOLF01,33,003,WOLF01,2192.6,1882.9,158.1,36.3,4,90.7,2325.6,1874,49.3,91.4,3,2386.8,1755.1,133.9,11
33005ALST01,33,005,ALST01,442.9,520.8,36.9,20,1,24.9,448.9,560.7,9,21,0,463.9,527.7,29.9,2
33005CHES01,33,005,CHES01,917.3,1173.2,71.6,11.1,3,46.2,939,1195.6,26.3,40.5,0,984.2,1114,65.8,2.1
33005DUBL01,33,005,DUBL01,396.8,655.9,44,7.3,2,25.8,448,650,16.5,21.7,1.1,428.1,643.8,34.2,2.2
33005FITZ01,33,005,FITZ01,603.3,558.8,50.4,0,0,15.5,580.1,574.2,28.1,39.7,2.9,585.9,555.9,50.4,3.9
33005GILS01,33,005,GILS01,231,197,13,9,0,8,199,225,8,12,0,208,217,23,1
33005HARR01,33,005,HARR01,204.9,450.6,21.3,7,1,15.2,216.2,458.6,10.1,17.1,0,205.1,463.6,20.2,2
33005HINS01,33,005,HINS01,732,915.8,46.9,21,4,51.9,669.1,972.7,41,56.9,1,701.1,922.8,69.9,3
33005JAFF01,33,005,JAFF01,1276.4,1302.4,149,38.7,5,45.7,1305.2,1354,54.7,96.4,0,1292.3,1291.3,153,7.9
33005KEEN01,33,005,KEEN01,672.4,1522.9,100.6,47.3,3.1,33.3,642.7,1566.9,37.4,67.3,5,711.8,1346.7,144.5,12.1
33005KEEN02,33,005,KEEN02,696.4,1649.6,86.3,40.1,4,54,664.2,1701.8,51.1,64.2,1,696.9,1615.4,105.4,4
33005KEEN03,33,005,KEEN03,734,1420.1,83.8,31.9,1,26.9,748.9,1456,52.9,63.8,0,767.9,1380.2,117.7,3
33005KEEN04,33,005,KEEN04,791,1581,87,42,0,60,803,1618,44,56,4,825,1513,107,9
33005KEEN05,33,005,KEEN05,942,1759.4,103.6,36.8,1.9,66.8,1039.6,1758.5,40.7,36.9,0,1072.6,1636.5,11.8,3.9
33005MRLB01,33,005,MRLB01,421.2,723.1,35.6,10.3,2,27.5,419.7,745.1,14.6,23,0,410.8,717.3,43.7,1.1
33005MRLW01,33,005,MRLW01,200,219,19,2,1,20,203,232,7,5,0,195,229,12,1
33005NELS01,33,005,NELS01,137.8,258.7,17,9,0,5,155.8,269.7,5,5,0,155.8,244.7,19,0
33005RICH01,33,005,RICH01,361.8,273.7,34.4,5.1,0,11.1,345.6,284,27.2,16.3,4,328.8,272.6,52.5,12
33005RIND01,33,005,RIND01,1958.6,1290.5,162.8,24,4,33,1951.6,1292.5,69.9,110.9,0,1986.6,1204.6,186.8,0
33005ROXB01,33,005,ROXB01,57,72.8,5.9,3,0,2,54,75.8,2,4,0,48.4,67.9,6.9,0
33005STOD01,33,005,STOD01,378.2,350.3,28,8,1,7,374.2,359.3,11,21,0,363.2,372.3,24,4
33005SULL01,33,005,SULL01,172.1,196.1,25,3,0,12,180.1,210.1,9,5,0,175.1,203.1,16,1
33005SURR01,33,005,SURR01,241.3,236.4,14,4,0,12.8,237.4,257.1,2.1,5.1,0,236.5,251,12.1,1
33005SWAN01,33,005,SWAN01,1806.7,1786,142.3,33.6,3,49.4,1719.8,1877.9,79.1,117.6,1,1781,1742.5,186.8,14.8
33005TROY01,33,005,TROY01,525.9,438.5,61.2,8,0,18.4,469.7,501.5,23.8,37.1,0.1,482.8,462,71.2,2.1
33005WALP01,33,005,WALP01,761.4,1175.1,104.3,27.1,3,60.3,806.3,1229.6,46,49.1,0,859.3,1151.4,79.3,8
33005WEST01,33,005,WEST01,411,555,41,11,1,16,428,548,17,25,0,434,528,35,5
33005WINC01,33,005,WINC01,830,841.2,75.1,25,0,26.1,723.9,893.3,59,95.1,0,737.9,854.2,127.1,8
33007ATGT01,33,007,ATGT01,0.9,0.3,0,0,0,0,0.9,0.4,0,0,0,0.8,0.3,0,0
33007BERL01,33,007,BERL01,335.3,371,29.6,6.4,1.3,10.8,311.2,411.4,14.8,16.7,0.2,311.2,390,36.8,2.7
33007BERL02,33,007,BERL02,984.4,1089.2,87,19,3.9,31.8,913.6,1207.9,43.5,49,0.6,913.6,1144.9,108.1,7.8
33007BERL03,33,007,BERL03,446.3,493.8,39.4,8.6,1.8,14.4,414.2,547.7,19.7,22.2,0.2,414.2,519.1,49,3.5
33007BGRT01,33,007,BGRT01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007BPUR01,33,007,BPUR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007CAMB01,33,007,CAMB01,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0
33007CARR01,33,007,CARR01,245,213,9,6,0,11,240,227,8,6,0,248,217,16,1
33007CHAN01,33,007,CHAN01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007CLAR01,33,007,CLAR01,98,68,5,3.9,0,7.8,87.9,78.2,3.9,4,0,87.9,78,4.1,3.9
33007COLE01,33,007,COLE01,585.4,354.3,50.4,12.8,3,33.5,561.7,409.6,19.7,25.7,1,535,403.7,45.4,6.9
33007COLU01,33,007,COLU01,219.2,109.2,13,2,0,5,213.1,124.2,3,6,0,210.1,111.2,12,0
33007CRAW01,33,007,CRAW01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007CUTT01,33,007,CUTT01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007DALT01,33,007,DALT01,284.9,196.3,18.5,5.2,0,15.4,278.9,213.8,7.2,15.3,1,267.3,198,39.5,1
33007DIXG01,33,007,DIXG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007DIXV01,33,007,DIXV01,2,4,1,0,0,1,4,4,0,0,0,6,2,0,0
33007DUMM01,33,007,DUMM01,100.3,66,6.1,2,0,7,101.2,72.1,1,3,0,94.2,80,0.1,0
33007ERRO01,33,007,ERRO01,135.2,54,6,0,0,3,116.2,72,2,2,0,123.2,60,5,0
33007ERVI01,33,007,ERVI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007GORH01,33,007,GORH01,693,770,58,11,1,15,663,828,15,25,0,678,768,56,4
33007GRGT01,33,007,GRGT01,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
33007HADL01,33,007,HADL01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007JEFF01,33,007,JEFF01,357,216,24,5,0,17,349,243,5,11,9,337,243,32,2
33007KILK01,33,007,KILK01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007LANC01,33,007,LANC01,841,657,58,23,4,53,866,689,18,45,4,815,697,70,8
33007LOWB01,33,007,LOWB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007MART01,33,007,MART01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007MILA01,33,007,MILA01,412.6,297,23.9,8,0,12,372.8,351.8,11,14.9,1,383.7,326.9,24.9,1
33007MILL01,33,007,MILL01,15.8,4,0,0,0,1,15.8,3,0,2,0,17.8,3,0,0
33007NORU01,33,007,NORU01,539,387,42,18,4,26,459,482,17,32,0,485,416,62,3
33007ODEL01,33,007,ODEL01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007PINK01,33,007,PINK01,0,3,0,0,0,0,1,3,0,0,0,0,3,0,0
33007PITB01,33,007,PITB01,337.8,119.6,5,3,0,5,317,142.3,1,7.9,0,315.1,131.5,10.8,2
33007RAND01,33,007,RAND01,79,160,7,2,1,10,90,165,1,3,0,93,153,4,0
33007SARG01,33,007,SARG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007SECO01,33,007,SECO01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007SHEL01,33,007,SHEL01,116,125,10,0,0,4,126,122,3,8,0,121,119,13,1
33007STAR01,33,007,STAR01,186.1,98,6,3,0,6,160.1,121,6,8,1,149.1,119,20,0
33007STEW01,33,007,STEW01,239.9,100.8,19.7,4.2,1,4.6,220.5,130.6,4.3,7.4,0,199.2,135.5,10.7,2.2
33007STRT01,33,007,STRT01,125.8,131.8,5,3,0,10,97.9,149.8,5,18,0,105.9,143.8,17,0
33007SUCC01,33,007,SUCC01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007THOM01,33,007,THOM01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007WENL01,33,007,WENL01,13,5,0,0,0,0,5,13,0,0,0,12,5,1,0
33007WHIT01,33,007,WHIT01,558.1,467.7,52.5,23.8,2,38.6,552.1,526.1,21.8,32.7,0,500.7,535,64.5,1
33009ALEX01,33,009,ALEX01,619.4,380.4,45.5,11.1,0,33.7,593.4,421.2,26.5,29,0.2,553.3,426.2,67.5,4.2
33009ASHL01,33,009,ASHL01,513.1,496.8,46.4,10.8,1,29.5,524,528.2,16.8,25.6,1,506.1,509.7,50.2,5.9
33009BATH01,33,009,BATH01,295.2,213.1,27.3,5.1,0,17.2,317.3,215,9.2,13.2,0,298.3,223.9,21.4,2
33009BENT01,33,009,BENT01,105,72,6,5,0,2,105,79,2,4,0,107,68,9,0
33009BETH01,33,009,BETH01,574.6,797.4,48.1,24,0,2.1,617.7,755.4,32,44.1,3,566.6,763.5,92.2,3
33009BRID01,33,009,BRID01,458.8,293,27.3,4.8,0.1,5.7,450.1,303.6,7.5,14.2,0.2,311.5,326.4,26,2.3
33009BRIS01,33,009,BRIS01,830.5,577,68.1,19.2,3.6,37.5,804,645.4,31.2,50.4,4.5,790.1,606.1,95.4,7.3
33009CAMP01,33,009,CAMP01,855.7,875.4,86.6,19.7,3,39.3,878.4,915.7,43.3,47.2,3.9,752.5,996.4,103.3,3.9
33009CANA01,33,009,CANA01,850,938,65,26,2,14,836,995,29,55,1,857,941,85,2
33009DORC01,33,009,DORC01,167.2,70.1,16.8,11.8,0,5.3,151,91.5,11.4,11.1,0,142.4,94.2,24,2.7
33009EASN01,33,009,EASN01,65,118,7,3,0,5,74,115,3,4,2,54,132,7,2
33009ELLS01,33,009,ELLS01,24,26,5,2,0,0,22,30,2,1,0,24,28,2,0
33009ENFI01,33,009,ENFI01,932.3,1448.4,119.2,25.1,1,73.1,1006.5,1460.4,47.1,59.1,1,997.5,1429.2,108.2,3
33009FRCA01,33,009,FRCA01,233,483,18,9,0,15,278,447,5,6,0,249,463,18,2
33009GRAF01,33,009,GRAF01,401.4,269.8,33.3,8.2,1,18.2,371.2,289.1,27.1,32.4,1,372.9,287.4,46.5,1
33009GROT01,33,009,GROT01,189.2,124.2,13.7,2.7,0.1,7.1,181,131.3,5.7,16.4,0,160.2,137.2,24.7,3.4
