GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRSUN,G18GOVDKEL,G18GOVIJAR,G18GOVOWRI
33001ALTO01,33,001,ALTO01,1942.76,751.08,16.3,0.01
33001BARN01,33,001,BARN01,1257.11,706.16,43.1,1.01
33001BELM01,33,001,BELM01,1807.84,855.42,33.88,0.04
33001CENT01,33,001,CENT01,393.23,234.9,12.05,0.99
33001GILF01,33,001,GILF01,2342.63,1423.79,34.66,1.01
33001GILM01,33,001,GILM01,1111.44,590.44,27.87,0.99
33001LACO01,33,001,LACO01,890,494.02,15.51,0
33001LACO02,33,001,LACO02,509,346,16,0
33001LACO03,33,001,LACO03,501.05,398.22,10.46,0
33001LACO04,33,001,LACO04,515.4,369.04,14.8,1.97
33001LACO05,33,001,LACO05,418,271,18,0
33001LACO06,33,001,LACO06,835.58,469.81,11.35,0
33001MERE01,33,001,MERE01,1982.52,1219.37,42.14,1.01
33001NEWH01,33,001,NEWH01,653.24,453.44,21.85,1.95
33001SANB01,33,001,SANB01,927.37,586.98,21.38,2.99
33001TILT01,33,001,TILT01,825.43,551.88,22.05,2
33003ALBA01,33,003,ALBA01,123.15,151.83,4.99,0.01
33003BART01,33,003,BART01,771.23,905.57,18.91,0
33003BROO01,33,003,BROO01,247,126.93,6.88,0
33003CHAT01,33,003,CHAT01,111.28,89.84,2.47,0.01
33003CONW01,33,003,CONW01,1858.65,2102.24,49.64,0.99
33003EATO01,33,003,EATO01,121.55,133.88,2.07,0
33003EFFI01,33,003,EFFI01,382.1,254.71,9.24,0.03
33003FREE01,33,003,FREE01,433.68,338.98,9.79,0.97
33003HALE01,33,003,HALE01,85.6,28.87,1,0
33003HART01,33,003,HART01,19,15,0,0
33003JACK01,33,003,JACK01,227.01,403.01,2,0
33003MADI01,33,003,MADI01,598.97,612.81,12.85,0.99
33003MOUL01,33,003,MOUL01,1750.31,854.98,20.05,1.01
33003OSSI01,33,003,OSSI01,1049.98,547.86,16.85,0
33003SAND01,33,003,SAND01,391,523,5,0
33003TAMW01,33,003,TAMW01,676.97,620.2,25.04,2
33003TUFT01,33,003,TUFT01,890,521.65,10.94,0.98
33003WAKE01,33,003,WAKE01,1388.08,638.6,27.04,3
33003WOLF01,33,003,WOLF01,2141.62,1524.31,28.24,1.02
33005ALST01,33,005,ALST01,389.07,467.88,18.95,0
33005CHES01,33,005,CHES01,828.93,1005.57,19.17,2
33005DUBL01,33,005,DUBL01,397.48,556.56,15.25,0.03
33005FITZ01,33,005,FITZ01,482.25,468.7,18.4,0
33005GILS01,33,005,GILS01,194,164,7,0
33005HARR01,33,005,HARR01,176.87,452.92,1.11,1
33005HINS01,33,005,HINS01,575.25,724.05,12.98,0
33005JAFF01,33,005,JAFF01,1147.94,1036.02,18.91,0.99
33005KEEN01,33,005,KEEN01,343.78,1147.36,22.82,0
33005KEEN02,33,005,KEEN02,530.16,1375.83,38.05,0
33005KEEN03,33,005,KEEN03,628.26,1196.69,26.93,0
33005KEEN04,33,005,KEEN04,681,1336,30,0
33005KEEN05,33,005,KEEN05,720.16,1484.29,23.26,0
33005MRLB01,33,005,MRLB01,329.08,613.52,13.3,1.02
33005MRLW01,33,005,MRLW01,178,181,12,0
33005NELS01,33,005,NELS01,116.87,236.73,5.99,0
33005RICH01,33,005,RICH01,296.92,220.7,8.12,5
33005RIND01,33,005,RIND01,1577.1,929.89,44.95,0
33005ROXB01,33,005,ROXB01,35.63,75.89,2,0
33005STOD01,33,005,STOD01,325.13,278.27,15.01,0
