GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDSHA,G20USSRMES,G20USSLODO,G20USSOWRI,G20GOVDFEL,G20GOVRSUN,G20GOVLPER,G20GOVOWRI
33001ALTO01,33,001,ALTO01,1447.8,2433.8,45.4,1608,2229.2,68.6,4,762.7,3110.6,36.3,6
33001BARN01,33,001,BARN01,1161.3,1709.2,74.3,1320.5,1537.8,76.4,0,669,2196.3,61.2,4
33001BELM01,33,001,BELM01,1602.1,2351.4,77.6,1866.5,2010.6,103.3,9.9,810.8,3114.8,62.7,5
33001CENT01,33,001,CENT01,396,430,6.7,411.5,399.8,17.2,1,232.8,583.4,11.9,0
33001GILF01,33,001,GILF01,2545.4,2797.6,57.9,2761.4,2517.5,67.3,5,1392.8,3862.7,46.7,3
33001GILM01,33,001,GILM01,1015.7,1417.2,34.9,1146.1,1256.9,58.7,2,619.3,1800.6,29.9,2
33001LACO01,33,001,LACO01,768.6,969.9,22.9,856,857.6,22.9,2,418.6,1308.9,14.9,1
33001LACO02,33,001,LACO02,589.9,670.4,20.1,649.4,585.9,35.1,0,338.7,903.5,23.1,0
33001LACO03,33,001,LACO03,824,617,22,830,550,23,0,472,970,19,0
33001LACO04,33,001,LACO04,663.1,673.3,25.7,725.3,579.5,32.6,1,381.8,938.8,30.6,1
33001LACO05,33,001,LACO05,440,608,28,510,520,32,0,246,814,17,1
33001LACO06,33,001,LACO06,803.8,1037.9,17.1,884.5,937.3,24.7,0.9,443.2,1402.3,11.4,0.9
33001MERE01,33,001,MERE01,2144.4,2215.7,60,2329.7,1971.1,83.1,14,1188.1,3146.6,53.1,6
33001NEWH01,33,001,NEWH01,700.2,811.3,27,765.9,722.1,36.2,4,440.7,1067.8,18.3,3
33001SANB01,33,001,SANB01,888.2,1151.4,36.5,1007,1017.3,35.9,0.1,565,1455.4,25.7,3
33001TILT01,33,001,TILT01,958.8,1081.1,44.4,1095.1,910.5,50.3,2.1,541.3,1497.2,39.9,2.1
33003ALBA01,33,003,ALBA01,210.2,160.1,7.5,228.6,137.6,8.3,0.8,136.2,232.3,5.8,0
33003BART01,33,003,BART01,1367.3,769.2,22.9,1408.1,709.5,18.9,0,891.6,1226,13.9,0
33003BROO01,33,003,BROO01,214.5,310,11.8,242.1,276.6,13.8,0,126,393.7,7.9,1
33003CHAT01,33,003,CHAT01,137.7,151.9,8.8,145.2,138.4,7,1,95.6,197,4.6,0.1
33003CONW01,33,003,CONW01,3355.6,2363.2,88.3,3513.5,2093.4,113,1,2087.2,3533.5,63.5,5.9
33003EATO01,33,003,EATO01,192.6,120.2,4.1,201.8,106.9,6.2,0,131.9,176.8,4.1,0
33003EFFI01,33,003,EFFI01,404.6,539,9.4,452.7,478.5,17.6,2,279.1,658.3,13.4,1
33003FREE01,33,003,FREE01,525.8,527.6,13.7,569.9,465.9,20.6,0,325.7,717,14.7,0
33003HALE01,33,003,HALE01,30.9,84.6,1,33.8,85.6,1,0,19.9,97.5,0,0
33003HART01,33,003,HART01,23,20,0,21,19,2,0,17,26,0,0
33003JACK01,33,003,JACK01,567,212,7,577,205,5,0,424,328,33,0
33003MADI01,33,003,MADI01,915.2,751.2,16.8,984.4,681,15.8,0,588.1,1060.6,14.8,0
33003MOUL01,33,003,MOUL01,1594.3,1981.2,43.6,1688.6,1883.4,35,0.1,849.9,2717.4,15.2,0
33003OSSI01,33,003,OSSI01,957.4,1473.6,33.7,1063.3,1309.2,57.5,0,562.6,1841.6,35.7,3
33003SAND01,33,003,SAND01,718,413,12,741,387,11,1,526,584,12,2
33003TAMW01,33,003,TAMW01,900.7,839.3,31.1,963.8,753.1,50.1,2,645.1,1095.8,24,1
33003TUFT01,33,003,TUFT01,866.6,1005.8,13.1,912.7,933.6,23.1,5.9,488.5,1376.8,10.1,3
33003WAKE01,33,003,WAKE01,1240.9,1987.2,44.1,1421,1730.1,86,0,724.5,2540.5,29,0
33003WOLF01,33,003,WOLF01,2370.7,2390.1,51.3,2440.7,2254.6,84.5,2.1,1474.7,3243.9,45.2,3.1
33005ALST01,33,005,ALST01,682.4,475.9,27.9,707.3,438,30.9,1,499.8,647.5,27.9,1
33005CHES01,33,005,CHES01,1398,965,44.2,1427.8,867.1,48.2,1,1057.2,1291.6,31.2,3
33005DUBL01,33,005,DUBL01,759.3,432.3,19.5,765.4,411.3,24.2,1,547.3,631.5,10.3,1.1
33005FITZ01,33,005,FITZ01,644.9,660.4,18.4,696.3,577.2,31,0,428,807.6,27.1,8.7
33005GILS01,33,005,GILS01,240,263,13,272,220,14,0,160,337,8,0
33005HARR01,33,005,HARR01,558.3,204.1,6.1,569.4,176,19.2,0,436.8,319.6,8.1,0
33005HINS01,33,005,HINS01,1046.6,827.9,33,1137.5,666.1,50.9,0,712.1,1097.6,38,0
33005JAFF01,33,005,JAFF01,1517.9,1401.7,79.5,1665.8,1242.7,71.6,1,1047.9,1890.4,55.6,4
33005KEEN01,33,005,KEEN01,1374.6,472.7,24.7,1296.9,380.5,67.2,2.1,929.4,768.4,44,3
33005KEEN02,33,005,KEEN02,1851.3,715.9,48,1872.8,626.3,75.9,1,1397.3,1165.2,56,2
33005KEEN03,33,005,KEEN03,1690.3,797.8,38.9,1762.1,701.1,47.9,0,1221.6,1240.6,35.9,2
33005KEEN04,33,005,KEEN04,1921,920,60,2000,785,81,8,1406,1394,50,5
33005KEEN05,33,005,KEEN05,2130.1,861.7,50.4,2197,739.6,63.9,2.9,1543.2,1402,59,1
33005MRLB01,33,005,MRLB01,815.6,450.4,22.5,853.6,396.3,31.5,2,546.6,695.5,26.4,0
33005MRLW01,33,005,MRLW01,277,207,12,289,184,14,0,196,284,8,0
33005NELS01,33,005,NELS01,274.7,163.8,12,288.7,151.8,10,1,222.7,207.8,6,0
33005RICH01,33,005,RICH01,297.3,417.8,14.2,312.8,378.2,18.2,4,201.4,491.4,17.1,1
33005RIND01,33,005,RIND01,1441.3,2141.4,70.9,1506.2,1984.6,120.8,2,928.9,2575.9,67.9,4
33005ROXB01,33,005,ROXB01,92.3,51.3,0.1,95.3,42.5,1.1,0,71.2,63,2,0
33005STOD01,33,005,STOD01,419.3,430.2,0,463.3,396.2,20,0,353.3,554.2,12,0
33005SULL01,33,005,SULL01,216.1,186.1,10,235.1,153.1,14,0,139.1,248.1,10,2
33005SURR01,33,005,SURR01,305.8,249.4,4,328.5,206.9,10.9,0,206.4,336.9,5,0
33005SWAN01,33,005,SWAN01,1984.7,1742.5,58.3,2174.4,1521.1,58.3,1,1280,2376.1,44.5,5.9
33005TROY01,33,005,TROY01,532.3,606.1,25.6,580.2,517.2,39,0,334.4,782.6,24.9,2.3
33005WALP01,33,005,WALP01,1477.7,840.6,43.1,1528.2,750.6,69.3,3,1003.2,1290.8,42.1,3
33005WEST01,33,005,WEST01,660,453,20,709,388,23,2,467,630,14,0
33005WINC01,33,005,WINC01,987.4,989.1,45,1090.5,815.9,68.1,0,692.9,1223.4,51,0
33007ATGT01,33,007,ATGT01,0.4,1,0,0.5,0.9,0,0,0.2,1.3,0,0
33007BERL01,33,007,BERL01,407.6,351.6,12.5,461.3,280,23.2,0,262.2,483.6,18.4,0
33007BERL02,33,007,BERL02,1196.8,1032.3,36.8,1354.5,822.2,68,0,769.8,1419.7,54.1,0
33007BERL03,33,007,BERL03,542.6,468.1,16.7,614.1,372.8,30.8,0,349,643.7,24.5,0
33007BGRT01,33,007,BGRT01,0,0,0,0,0,0,0,0,0,0,0
33007BPUR01,33,007,BPUR01,0,0,0,0,0,0,0,0,0,0,0
