GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOKEN,G16PREOFUE,G16PREOMOO,G16PREOLAR
34001005101,34,001,005101,282,383,8,9,0,0,0,1,0
34001005102,34,001,005102,256,283,12,7,4,0,0,0,2
34001005103,34,001,005103,383.7,562.7,22,10,0,1,0,1,1
34001005201,34,001,005201,301,378,12,4,2,0,1,0,0
34001005202,34,001,005202,460.3,229.1,2.9,4.8,1,0,0,0,0
34001005203,34,001,005203,253,321,17,5,0,0,0,0,0
34001010101,34,001,010101,653,126,7,8,2,3,0,1,0
34001010102,34,001,010102,412,57.8,0,2.7,0.9,0,0,0.9,0
34001010103,34,001,010103,390.5,65.8,9,1.1,0,1,0,0,1
34001010104,34,001,010104,370,33.1,2,10,0,0,0,0,0
34001010201,34,001,010201,507.4,131.6,5,4,1,1,0,0,1
34001010202,34,001,010202,622.7,31.3,0.9,0.9,0,0,0,0,0.9
34001010203,34,001,010203,593.3,16.6,1.1,3.1,0,0,0,0,2.1
34001010301,34,001,010301,687,23,0,2,0,0,2,0,0
34001010302,34,001,010302,211.6,41.5,2,1,1,0,0,0,0
34001010303,34,001,010303,333.3,17,1.9,0.9,0,0,0,1.9,0.9
34001010304,34,001,010304,749,21,2,3,0,0,0,0,1
34001010401,34,001,010401,402.6,133.4,2.7,0.4,1.5,0,0,0.2,0
34001010402,34,001,010402,342,9.9,0,1,0,0,0,0,0
34001010403,34,001,010403,447,62.6,0.1,0,1,0,0,0.1,1
34001010404,34,001,010404,176,67.4,1.9,1.9,1.9,0,0,0,2.5
34001010501,34,001,010501,534.2,186.6,8.3,5.4,0.1,0,0,0,1.1
34001010502,34,001,010502,526,272.8,5.4,3.7,4.6,0,0,0.9,1.5
34001010601,34,001,010601,350.8,155.4,2.7,3.5,0.9,0,0,0,0.9
34001010602,34,001,010602,410.4,215.5,7.8,2.9,0,0,0,1,0
34001010603,34,001,010603,359.9,150.9,3.9,4.8,0,0,0,0,1
34001010604,34,001,010604,290.3,234.7,9.2,2.2,0,0,0,0,0
34001015101,34,001,015101,459.5,816.9,31.7,10.6,2.9,0,0.9,0,1
34001015201,34,001,015201,391.6,567.7,26.4,6.6,0,1.9,0,0.9,0.9
34001015301,34,001,015301,475.2,677.8,15.7,8.8,1,0,0,0,3.9
34001015401,34,001,015401,508,516,18,12,0,0,0,0,1
34001020001,34,001,020001,362,453,16,13,4,0,2,1,3
34001020002,34,001,020002,396,496,20,12,1,1,0,0,2
34001025001,34,001,025001,374,622,15,13,2,1,1,0,1
34001025002,34,001,025002,306.4,566.4,10.4,1.1,0,0,0,0,0
34001025003,34,001,025003,524,279,19,5,4,0,0,0,2
34001025004,34,001,025004,292,408,10,1,5,0,0,0,0
34001030101,34,001,030101,104.5,193.9,12.1,2.2,3.4,0,0,0,0.1
34001040001,34,001,040001,304.4,529.1,13.8,7.5,3.1,0,0,0,1
34001040002,34,001,040002,385.3,525.5,22.1,10,1,0,0,0,1
34001040003,34,001,040003,456.9,485.8,18.8,11.2,0.2,0,2,1,0
34001040004,34,001,040004,341.3,615,31.1,9.1,6,0,0,0,2
34001040005,34,001,040005,523.5,690.7,35.4,13.7,3.9,0,1,0,0
