GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34001005101,34,001,005101,213,352,4,7,11,0,3,0
34001005102,34,001,005102,302,320,4,6,7,1,0,3
34001005103,34,001,005103,271.68,486.65,6.01,11,18.99,3.99,1,1
34001005201,34,001,005201,206,335,3,5,5,2,0,5
34001005202,34,001,005202,354.42,187.37,0,1.94,10.68,0.97,0,4.85
34001005203,34,001,005203,194,275,9,2,8,0,0,8
34001010101,34,001,010101,467,127,1,8,12,4,0,1
34001010102,34,001,010102,262.91,41.56,0.9,0,9.94,0,0,1.81
34001010103,34,001,010103,275.98,41.26,4.03,0,4.3,0,0,2.05
34001010104,34,001,010104,263.87,44.13,1,2.01,9.05,0,0,2.02
34001010201,34,001,010201,286.83,121.66,0,5.93,15.83,2.97,0,1.98
34001010202,34,001,010202,453.84,58.07,0.89,4.47,12.51,0,0,5.36
34001010203,34,001,010203,303.28,17.8,0.11,1.52,5.45,0,0,2.62
34001010301,34,001,010301,431,19,2,1,9,1,0,3
34001010302,34,001,010302,102.17,38.34,0,0.07,3.17,0.03,3,1.02
34001010303,34,001,010303,210.93,16.95,0.94,0,13.18,0.94,0,3.77
34001010304,34,001,010304,430,25,4,5,9,0,1,8
34001010401,34,001,010401,267.69,121.07,5.44,4.54,4.29,1.71,1.14,1.65
34001010402,34,001,010402,235.22,9.88,0,0,0.99,0.99,0,0.99
34001010403,34,001,010403,357.99,56.56,2.03,4,14.43,1.03,1,0.12
34001010404,34,001,010404,114.4,52.75,0,0.64,1.91,0,0,3.18
34001010501,34,001,010501,331.65,131.36,1.78,1.11,19.56,2.11,0,3.9
34001010502,34,001,010502,304.05,211.67,2.59,3.82,13.19,4.32,0.86,5.28
34001010601,34,001,010601,203.35,137.64,6.22,0.89,4.44,0.89,0,7.1
34001010602,34,001,010602,274.68,173.61,0.97,0,6.83,0.01,0,0.99
34001010603,34,001,010603,221.56,133.52,0,3.87,2.9,0,0,3.87
34001010604,34,001,010604,216.09,224.55,1.01,1.12,5.17,0,0,1.14
34001015101,34,001,015101,385.91,794.58,4.82,6.74,9.71,4.76,0.01,1.95
34001015201,34,001,015201,285.26,542.28,4.71,5.65,15.06,0,0.94,3.77
34001015301,34,001,015301,336.45,593.21,2.95,7.87,7.87,1.97,0,0.98
34001015401,34,001,015401,344,486,4,11,15,1,1,3
34001020001,34,001,020001,288,360,2,3,21,1,0,3
34001020002,34,001,020002,295,373,7,7,12,7,1,0
34001025001,34,001,025001,272,473,7,4,19,1,0,4
34001025002,34,001,025002,259.05,501.27,4.08,3.08,6.06,0.01,1.03,3
34001025003,34,001,025003,369,221,2,5,10,3,3,5
34001025004,34,001,025004,199,308,11,5,7,0,2,0
34001030101,34,001,030101,93.52,172.86,1.25,3.04,1.44,3.14,0.24,1.04
34001040001,34,001,040001,236.2,492.12,1.26,9.14,9.43,0.04,0.02,1.04
34001040002,34,001,040002,292.02,404.18,3.02,6.01,4.03,1.01,0,2.02
34001040003,34,001,040003,353.84,463.72,5.16,0.06,8.25,6.06,0,4.16
34001040004,34,001,040004,291.62,556.99,13.02,8.01,8.04,1.03,0.01,1.02
34001040005,34,001,040005,392.91,665.99,11.7,3,14.74,1.94,5.89,1.98
34001040006,34,001,040006,281.05,438.28,1.97,4.91,8.84,0,2.95,1.97
34001040007,34,001,040007,332,402,5,4,17,1,3,4
34001040008,34,001,040008,472.55,244.29,2.05,2.02,17.23,5.07,0.05,0.07
34001040009,34,001,040009,454.36,456.35,5.98,2.99,17.94,1.99,1,3.99
34001040010,34,001,040010,453.78,274.45,1.98,5.94,16.84,1.98,0.99,3.96
34001040011,34,001,040011,473,377,3,5,10,2,0,4
34001040012,34,001,040012,410.54,231.5,9.46,2.16,18.48,0.46,1,4.46
34001040013,34,001,040013,117.71,84.62,0.94,1.85,4.8,0.02,0,2.91
34001040014,34,001,040014,247.71,75.69,1.91,0.31,8.45,4.07,0.08,1.31
34001040015,34,001,040015,332.08,192.08,1,11,11,2,0,1
34001040016,34,001,040016,315.47,194.79,10.09,2.8,12.97,0.93,0.92,1.87
34001040017,34,001,040017,446,595,6,5,28,1,1,4
34001040018,34,001,040018,246.59,527.53,4.89,1.96,7.85,2.04,0.06,4.89
34001040019,34,001,040019,471,520,6,6,13,4,0,0
34001040020,34,001,040020,412,291,6,3,13,1,3,4
34001040021,34,001,040021,338.14,530.09,8.95,5.97,7.96,1.99,0,1.99
34001040022,34,001,040022,234,386,4,2,9,0,0,7
34001042101,34,001,042101,95,61,1,5,2,2,0,0
34001042102,34,001,042102,88,110,3,0,6,0,1,3
34001042103,34,001,042103,106.82,147.66,1.99,1.99,9.97,0,0,1
34001042201,34,001,042201,141,117,0,2,4,1,1,1
