GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34001005101,34,001,005101,213,352,4,7,11,0,3,0
34001005102,34,001,005102,302,320,4,6,7,1,0,3
34001005103,34,001,005103,271.7,486.6,6,11,19,4,1,1
34001005201,34,001,005201,206,335,3,5,5,2,0,5
34001005202,34,001,005202,354.4,187.4,0,1.9,10.7,1,0,4.8
34001005203,34,001,005203,194,275,9,2,8,0,0,8
34001010101,34,001,010101,467,127,1,8,12,4,0,1
34001010102,34,001,010102,262.9,41.6,0.9,0,9.9,0,0,1.8
34001010103,34,001,010103,276,41.3,4,0,4.3,0,0,2
34001010104,34,001,010104,263.9,44.1,1,2,9.1,0,0,2
34001010201,34,001,010201,286.8,121.7,0,5.9,15.8,3,0,2
34001010202,34,001,010202,453.8,58.1,0.9,4.5,12.5,0,0,5.4
34001010203,34,001,010203,303.3,17.8,0.1,1.5,5.4,0,0,2.6
34001010301,34,001,010301,431,19,2,1,9,1,0,3
34001010302,34,001,010302,102.2,38.3,0,0.1,3.2,0,3,1
34001010303,34,001,010303,210.9,17,0.9,0,13.2,0.9,0,3.8
34001010304,34,001,010304,430,25,4,5,9,0,1,8
34001010401,34,001,010401,267.7,121.1,5.4,4.5,4.3,1.7,1.1,1.6
34001010402,34,001,010402,235.2,9.9,0,0,1,1,0,1
34001010403,34,001,010403,358,56.6,2,4,14.4,1,1,0.1
34001010404,34,001,010404,114.4,52.8,0,0.6,1.9,0,0,3.2
34001010501,34,001,010501,331.6,131.4,1.8,1.1,19.6,2.1,0,3.9
34001010502,34,001,010502,304,211.7,2.6,3.8,13.2,4.3,0.9,5.3
34001010601,34,001,010601,203.3,137.6,6.2,0.9,4.4,0.9,0,7.1
34001010602,34,001,010602,274.7,173.6,1,0,6.8,0,0,1
34001010603,34,001,010603,221.6,133.5,0,3.9,2.9,0,0,3.9
34001010604,34,001,010604,216.1,224.6,1,1.1,5.2,0,0,1.1
34001015101,34,001,015101,385.9,794.6,4.8,6.7,9.7,4.8,0,2
34001015201,34,001,015201,285.3,542.3,4.7,5.7,15.1,0,0.9,3.8
34001015301,34,001,015301,336.4,593.2,3,7.9,7.9,2,0,1
34001015401,34,001,015401,344,486,4,11,15,1,1,3
34001020001,34,001,020001,288,360,2,3,21,1,0,3
34001020002,34,001,020002,295,373,7,7,12,7,1,0
34001025001,34,001,025001,272,473,7,4,19,1,0,4
34001025002,34,001,025002,259,501.3,4.1,3.1,6.1,0,1,3
34001025003,34,001,025003,369,221,2,5,10,3,3,5
34001025004,34,001,025004,199,308,11,5,7,0,2,0
34001030101,34,001,030101,93.5,172.9,1.2,3,1.4,3.1,0.2,1
34001040001,34,001,040001,236.2,492.1,1.3,9.1,9.4,0,0,1
34001040002,34,001,040002,292,404.2,3,6,4,1,0,2
34001040003,34,001,040003,353.8,463.7,5.2,0.1,8.2,6.1,0,4.2
34001040004,34,001,040004,291.6,557,13,8,8,1,0,1
34001040005,34,001,040005,392.9,666,11.7,3,14.7,1.9,5.9,2
34001040006,34,001,040006,281,438.3,2,4.9,8.8,0,3,2
34001040007,34,001,040007,332,402,5,4,17,1,3,4
34001040008,34,001,040008,472.6,244.3,2,2,17.2,5.1,0,0.1
34001040009,34,001,040009,454.4,456.4,6,3,17.9,2,1,4
34001040010,34,001,040010,453.8,274.4,2,5.9,16.8,2,1,4
34001040011,34,001,040011,473,377,3,5,10,2,0,4
34001040012,34,001,040012,410.5,231.5,9.5,2.2,18.5,0.5,1,4.5
34001040013,34,001,040013,117.7,84.6,0.9,1.9,4.8,0,0,2.9
34001040014,34,001,040014,247.7,75.7,1.9,0.3,8.4,4.1,0.1,1.3
34001040015,34,001,040015,332.1,192.1,1,11,11,2,0,1
34001040016,34,001,040016,315.5,194.8,10.1,2.8,13,0.9,0.9,1.9
34001040017,34,001,040017,446,595,6,5,28,1,1,4
34001040018,34,001,040018,246.6,527.5,4.9,2,7.8,2,0.1,4.9
34001040019,34,001,040019,471,520,6,6,13,4,0,0
34001040020,34,001,040020,412,291,6,3,13,1,3,4
34001040021,34,001,040021,338.1,530.1,8.9,6,8,2,0,2
34001040022,34,001,040022,234,386,4,2,9,0,0,7
34001042101,34,001,042101,95,61,1,5,2,2,0,0
34001042102,34,001,042102,88,110,3,0,6,0,1,3
34001042103,34,001,042103,106.8,147.7,2,2,10,0,0,1
34001042201,34,001,042201,141,117,0,2,4,1,1,1
34001042202,34,001,042202,110,120,1,3,5,0,2,0
34001042203,34,001,042203,123.4,136,1.2,0.6,7.8,0.1,0,2.1
34001045001,34,001,045001,224.3,598.2,4.2,2,8.1,6.9,3.9,4.1
34001050001,34,001,050001,240,417,4,3,5,1,0,1
