GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35001000001,35,001,000001,336.54,371.52,66.54,9.55,7.17,0.16,0.08,0.01,324.84,419.59,425.27,323.78,378.02,361.03
35001000002,35,001,000002,83.17,85.9,17.65,1.05,2.71,0.05,0,0.09,85.9,98.71,116.06,67.18,100.02,79.6
35001000003,35,001,000003,198.97,218.77,50.12,10.15,4.85,0.19,0.55,0,207.17,257.45,275.74,190.65,241.66,221.23
35001000004,35,001,000004,207.5,301.54,68.95,7.07,7.07,0.03,0,0,225.6,354.56,348.01,224.45,305.05,259.91
35001000005,35,001,000005,195.91,318.74,38.26,3.48,3.25,1.07,0,0,186.5,357.15,305.51,235.67,240.15,291.48
35001000006,35,001,000006,109.75,147.88,29.4,2.33,3.2,0.58,0.29,0,115.86,171.46,174.95,108,135.94,140.02
35001000007,35,001,000007,128.87,190.16,36.44,2.65,1.66,0,0,0,122.91,221.96,186.18,158.35,151.4,187.18
35001000008,35,001,000008,110,170,42,2,1,0,0,0,108,212,172,141,131,178
35001000009,35,001,000009,192,250,66,3,4,0,2,0,193,299,260,234,217,268
35001000010,35,001,000010,233.09,300.33,81.38,9.05,1.24,1,1.1,0,242.04,362.74,323.68,279.54,281.4,311.39
35001000011,35,001,000011,94.96,233.85,39.68,4.25,0.47,0,0.47,0,95.43,262.2,170.07,186.14,125.19,224.4
35001000012,35,001,000012,184,394,51,9,4,0,3,0,177,450,310,315,238,382
35001000013,35,001,000013,160.5,336.46,86.05,1.93,1.93,0.97,0,0,192.4,366.44,320.99,246.55,263.95,289.09
35001000014,35,001,000014,186,317,68,12,3,0,4,0,198,359,269,280,215,335
35001000015,35,001,000015,245.14,338.81,74.74,7.97,1,1,0,0,237.17,409.57,381.67,260.09,293.97,329.85
35001000016,35,001,000016,133.35,221.66,51.36,8.11,0.9,0.9,0,0,135.16,262.2,205.44,188.32,139.66,247.79
35001000017,35,001,000017,146.86,251.93,56.72,7.16,0.6,1.79,2.39,0,131.94,321.19,228.65,219.7,177.31,260.29
35001000018,35,001,000018,230.34,431.19,56.78,6.26,2.45,0.03,0.02,0,225.98,469.69,373.29,318.32,285.31,410.89
35001000019,35,001,000019,236.2,220.95,56.3,4.7,5.47,0.39,1.17,0,238.15,263.96,317.56,182.21,283.9,209.61
35001000020,35,001,000020,163.39,208.42,38.17,4.72,6,0.43,0,0.43,167.68,237.58,237.16,165.54,193.41,207.57
35001000021,35,001,000021,289.87,374.08,76.76,7.45,6.3,3.44,0,0,287.01,442.25,431.94,291.02,335.13,376.37
35001000022,35,001,000022,278,317,93,10,12,2,0,0,293,384,436,240,355,306
35001000023,35,001,000023,190.48,244.44,57.74,5.94,0.54,2.16,0,0,179.15,304.34,284.37,194.26,215.3,255.24
35001000024,35,001,000024,85.42,112.01,27.1,1.89,1.37,0.86,0.51,0.17,88.17,132.94,127.45,91.6,101.89,112.7
35001000025,35,001,000025,336.96,410.65,89.43,5.01,7.15,0.72,0,0.72,348.41,472.89,490.78,320.51,407.07,394.91
35001000026,35,001,000026,102.18,172.17,38.43,4.06,2.19,0,0,0,106.55,195.29,149.36,148.11,118.11,174.98
35001000027,35,001,000027,156.68,360.27,72.85,8.98,2.99,0,2.99,0,179.64,399.19,265.46,301.39,201.59,365.26
35001000028,35,001,000028,127.86,255.71,56.49,6.94,3.96,0.99,0,0,131.82,302.29,211.11,220.03,151.64,272.56
35001000029,35,001,000029,205.47,353.38,72.46,6.95,1.99,1.99,0.99,0,218.38,395.07,308.71,295.8,235.25,366.28
35001000030,35,001,000030,318.14,518.02,80.54,13.81,4.09,0.04,1.35,0.45,327.85,582.49,513.15,389.6,402.91,492.3
35001000031,35,001,000031,79.48,364.46,58.32,13.23,2.24,0,3,1.04,108.61,359.88,155.81,276.61,111.35,325.92
35001000032,35,001,000032,49.4,129.11,23.78,2.7,0.67,0.01,0.99,0.01,58.52,139.95,78.12,114.99,54.2,138.17
35001000033,35,001,000033,24.21,85.17,12.36,0.68,0.17,0.17,0.34,0.34,26.25,92.62,38.27,77.72,25.74,89.91
35001000034,35,001,000034,88,219,30,5,2,2,1,0,99,230,139,187,103,218
35001000035,35,001,000035,104.19,215.58,37.07,9.02,0,0,0,0,117.19,235.64,163.29,186.53,122.2,228.62
35001000036,35,001,000036,106.82,324.46,40.84,9.02,0.04,0.03,1.01,0,109.81,355.97,166.55,297.13,111.1,347.39
35001000037,35,001,000037,216.97,440.91,66.08,2.96,2.96,1.97,0.99,0,216.97,482.33,349.11,342.3,237.67,439.93
35001000038,35,001,000038,50.22,120.3,21.91,2.05,0.46,0.23,0.46,0.91,53.19,135.59,83.09,103.86,56.16,128.97
35001000039,35,001,000039,177.74,362.97,70.85,7.45,2.52,0.06,0.01,0.79,167.16,432.82,278.86,308.6,213.11,372.61
35001000040,35,001,000040,151,324,53,5,1,1,1,0,146,362,188,313,145,357
35001000041,35,001,000041,112.97,248.93,44.5,2.93,0.49,1.47,0,0.49,134.98,261.15,162.36,223.98,125.2,262.13
35001000042,35,001,000042,119.66,265.59,61.29,5.84,2.92,0.97,0.97,0,114.8,319.09,170.25,258.78,129.39,299.64
35001000043,35,001,000043,51.31,119.51,16.9,0.61,0,0.61,0,0,57.45,123.19,75.27,104.45,55.3,121.97
35001000044,35,001,000044,123.3,271.61,45.58,5.85,1.6,0.53,0.54,0.53,123.51,296.85,173.13,242.93,127.03,278.51
35001000045,35,001,000045,127.57,246.16,46.11,3.24,0,0,1.24,0,127.02,271.61,161.04,229.44,113.17,276.86
35001000046,35,001,000046,177.06,411.16,56.03,14,0,2,1,2,173.06,456.17,245.08,380.15,155.06,458.18
35001000047,35,001,000047,70,151,16,5,0,0,1,0,75,161,84,148,68,163
35001000048,35,001,000048,63.36,176.26,32.49,2.03,0.41,0.41,0.81,0.41,71.89,193.32,91.79,172.2,62.14,198.2
35001000049,35,001,000049,22.72,85.61,10.51,1.85,0.57,0,0.28,0,29.1,85.61,34.5,77.23,24.28,87.6
35001000050,35,001,000050,83.62,198.48,35.01,2.6,0.29,0.29,0,0.58,87.96,219.03,121.81,177.94,90.56,206.58
35001000051,35,001,000051,85,364,37,2,1,1,2,0,102,361,131,331,87,378
35001000052,35,001,000052,166.22,363.51,74.98,6.8,3.76,0.62,0.48,0.5,189.51,399.34,244.09,333.71,191.73,380.7
35001000053,35,001,000053,108.29,263.24,36.29,2.09,4.01,5.04,0,0.01,110.93,288.59,159.72,228.51,126.64,259.62
35001000054,35,001,000054,192.75,351.53,75.21,7.8,9.47,1.67,0.56,0.56,213.37,394.98,261.28,334.81,215.04,378.27
35001000055,35,001,000055,55.58,117.6,23.05,2.71,0,0.34,0.68,0.34,55.58,133.53,85.75,99.64,61.68,121.67
35001000056,35,001,000056,236.74,396.98,73.05,5.34,3.06,2.16,0,1.06,246.16,438.42,300.28,377.24,252.13,419.44
35001000057,35,001,000057,338.13,417.19,78.24,5.32,5.99,0.11,0.01,0.77,343.52,471.3,476.45,333.87,399.9,387.41
35001000058,35,001,000058,60.69,111.68,16.86,2.33,0.13,1.03,2.01,0.05,63.87,124.42,73.55,109.27,59.92,118.48
35001000059,35,001,000059,118.98,303.71,62.62,4.7,0.52,0.52,0.52,1.04,140.9,331.89,185.77,278.14,143.5,318.32
35001000060,35,001,000060,135.92,262.57,48.91,4.63,1.54,0.51,0,0.51,139.52,283.68,187.92,232.19,134.89,281.62
35001000061,35,001,000061,100.94,294.83,33.98,5,0,0,0,0,109.94,302.83,139.92,269.85,105.94,299.83
35001000062,35,001,000062,70,231,37,5,1,2,0,0,83,245,119,200,87,233
35001000063,35,001,000063,58.71,204.21,21.6,2.36,0.08,0.08,2.12,1,56.43,223.2,97.78,174.37,61.39,205.45
35001000064,35,001,000064,43.06,131.17,24.02,2,3,0,0,0,46.06,151.17,68.08,124.15,46.06,141.17
35001000065,35,001,000065,133.43,282.84,32.89,3.76,0,0,3.76,0,124.98,305.39,171.96,240.56,142.83,278.14
35001000066,35,001,000066,137,290,52,2,0,1,1,1,144,328,216,255,157,305
35001000067,35,001,000067,89.29,365.79,38.4,8.64,1.92,1.92,2.88,0,106.57,389.8,163.22,321.63,105.61,371.55
35001000068,35,001,000068,307.7,329.92,87.53,5.39,14.14,4.71,0.67,0.67,349.45,371,445.06,270.67,382.44,323.19
35001000069,35,001,000069,248.71,245.99,58.2,4.27,8.92,0.39,0.39,0,254.92,289.06,334.07,207.58,292.16,240.56
35001000070,35,001,000070,189.22,252.42,60.04,2.77,5.93,0.4,0,0,198.7,289.16,261.91,216.87,219.24,253.21
35001000071,35,001,000071,114.94,339.87,41.35,9.1,3.31,0.83,1.65,0.83,138.1,341.52,163.73,305.96,126.52,347.31
35001000072,35,001,000072,58,226,23,7,0,0,0,0,68,228,86,198,55,231
35001000073,35,001,000073,165.48,251.61,49.21,4.31,4.31,0.62,0,0.62,165.48,296.52,241.15,219.62,179.63,270.07
35001000074,35,001,000074,159,280,26,5,1,0,1,0,130,321,201,243,149,297
35001000075,35,001,000075,78,183,25,2,2,1,1,0,87,196,118,159,83,190
35001000076,35,001,000076,155,248,34,11,1,1,0,0,151,282,214,214,165,258
35001000077,35,001,000077,141.11,244.48,35.95,8.99,0.9,0,1.8,0,139.32,270.54,168.98,241.78,139.32,267.85
35001000078,35,001,000078,136.21,193.62,34.31,2.72,4.08,0.68,0,0.34,138.59,215.7,192.6,162.03,157.95,187.85
35001000079,35,001,000079,247.71,241.48,57.26,3.32,3.32,0.41,0.41,0,247.71,281.73,343.97,183.39,291.69,226.13
35001000080,35,001,000080,184.79,201.49,57,7.26,3.99,1.09,0.73,1.45,193.14,246.86,262.84,178.98,212.38,223.27
35001000081,35,001,000081,309.19,362.49,95.72,3.87,9.72,0.88,1.7,0.01,325.27,427.28,459.76,293.53,380.48,355.81
35001000082,35,001,000082,154.96,159.7,50.56,3.5,4.71,0.78,0.79,0.38,167.81,193.41,237.6,125.95,199.13,156.94
35001000083,35,001,000083,340.33,405.3,85.88,11.49,8.01,2.17,0.24,0.12,352.6,471.73,484.63,330.12,420.07,380.15
35001000084,35,001,000084,190.29,199.98,48.89,7.05,3.52,0.44,0.88,0.44,193.37,236.54,259.88,167.38,220.24,203.06
35001000085,35,001,000085,389.25,362.39,82.11,12.16,4.56,1.52,1.01,0.51,393.31,435.88,549.92,274.2,458.69,344.14
35001000086,35,001,000086,198.91,262.67,66.62,0.95,4.76,0,1.9,0,197.96,310.26,289.32,227.46,224.6,283.61
35001000087,35,001,000087,141.2,161.05,42.79,4.58,1.38,1.82,0,0,155.32,186.39,195.43,144.03,163.23,172.49
35001000088,35,001,000088,89.51,155.43,30.24,1.81,1.81,0,0.6,0.6,96.16,174.79,119.15,146.36,101,168.13
35001000089,35,001,000089,165.29,177.8,46.46,4.47,3.57,0.89,0,0,182.27,201.03,218.01,164.4,205.5,180.48
35001000090,35,001,000090,203.55,409.1,72.65,7.03,1.03,1.02,1.01,1,197.06,454.03,252.43,393.54,206.6,431.43
35001000091,35,001,000091,221.99,256.57,40.8,2.07,2.07,1.38,0.69,0,191.56,314.66,277.31,221.3,225.45,277.31
35001000092,35,001,000092,229,307,56,6,2,4,0,1,251,342,328,265,272,305
35001000093,35,001,000093,160.93,374.36,82.42,4.87,2.5,0.01,2.48,0.12,166.89,422.48,281.34,291.2,194.62,349.22
35001000094,35,001,000094,36.8,113.81,17.11,3.42,0,0,1.71,0,41.93,126.65,50.49,116.38,33.37,130.92
35001000095,35,001,000095,31,222,39,3,0,0,0,3,52,224,58,214,38,234
35001000096,35,001,000096,205.77,311.9,58.29,9.12,5.89,0,0.13,0.04,213.27,358.31,312.4,258.33,237.73,319.12
35001000097,35,001,000097,148.7,180.79,45.65,3.16,1.81,0.45,1.36,0,127.91,235.48,194.8,166.33,162.26,196.61
35001000098,35,001,000098,49.03,103.85,16.79,2.34,0.44,0,0.2,0,53.03,113.42,65.3,99.06,49.88,112.99
35001000099,35,001,000099,235.67,323.91,51.75,4.48,2.68,0,2.56,0.83,227.74,363.59,291.36,296.12,228.38,351.26
35001000100,35,001,000100,186.49,240.84,47.01,6.92,3.63,0.99,0.01,0,195.04,275.64,267.4,196.35,233.3,222.48
35001000101,35,001,000101,62.36,369.91,60.24,30.28,2.37,0,6.29,1.18,84.89,429.05,137.94,371.46,100.03,397.79
35001000102,35,001,000102,35,231,28,14,1,1,1,0,49,256,80,213,45,245
35001000103,35,001,000103,64.68,254.8,25.35,5.23,1.02,0.03,0,0,80.67,254.5,111.99,223.31,86.37,241.63
35001000104,35,001,000104,14,115,9,3,0,0,0,1,23,111,35,100,21,115
35001000105,35,001,000105,30,151,12,1,0,0,2,0,42,140,44,133,26,147
35001000106,35,001,000106,61.85,269.16,34.66,6.12,0.68,0.68,0,0,76.12,273.23,101.27,250.8,71.37,272.55
35001000107,35,001,000107,61,336,37,9,3,1,5,1,66,367,136,294,91,325
35001000108,35,001,000108,126.95,156.03,27.13,3.88,0,0,0,0,132.77,174.44,183.16,118.23,165.72,129.86
35001000109,35,001,000109,14.41,22.56,4.51,0.9,0,0,0,0,11.72,27.96,19.82,20.76,10.81,27.96
35001000110,35,001,000110,249,337,78,8,3,3,1,0,263,386,362,283,312,324
35001000111,35,001,000111,219.06,302.73,81.35,7.55,5.81,0,1.16,0.58,218.47,375.94,326.55,262.05,268.45,309.7
35001000112,35,001,000112,164.07,179.46,55.27,5.6,5.25,0.35,0.35,0,180.51,215.15,249.78,142.38,212,175.97
35001000113,35,001,000113,278.13,298.59,81.15,6.74,13.49,0.01,1.93,0,290.7,364.21,407.58,249.25,339.95,308.14
35001000114,35,001,000114,411.64,370.47,103.73,9.88,14.27,3.84,1.1,0.55,414.93,460.48,574.65,299.67,489.02,367.73
35001000115,35,001,000115,305.59,309.79,65.46,6.65,13.65,1.75,1.05,0,307.69,370.35,410.61,263.24,359.15,302.44
35001000116,35,001,000116,450.65,428.89,96.93,6.7,13.65,0.88,2.65,0,452.67,520.9,619.86,347.02,548.47,402.49
35001000117,35,001,000117,239.19,214.87,56.03,5.54,10.47,2.15,0,0,252.43,258.59,315.23,186.86,279.83,217.95
35001000118,35,001,000118,269.01,233.26,66.13,5.55,14.63,3.5,0.03,1,284.27,288.32,357.16,208.97,317.24,241.09
35001000119,35,001,000119,133.51,217.67,42.51,4.85,2,0.86,0,0,139.79,245.63,190,184.01,154.06,218.25
35001000120,35,001,000120,198.2,323.52,60.73,5.52,1.66,1.1,0.55,0.55,208.69,356.65,284.33,271.08,234.64,312.48
35001000121,35,001,000121,141,488,43,8,1,0,3,0,161,504,288,380,215,435
35001000122,35,001,000122,44,217,24,7,3,1,1,0,53,241,97,191,63,218
35001000123,35,001,000123,65,383,50,25,1,0,1,2,78,430,149,354,104,389
35001000124,35,001,000124,33.43,226.77,30.72,9.94,0,0,0,0,42.46,250.26,82.21,203.28,50.59,230.38
35001000125,35,001,000125,68,307,35,8,2,1,3,1,66,349,149,256,103,289
35001000126,35,001,000126,106.04,261.15,44.32,4.75,0.53,0,0.53,0,106.57,292.8,189.93,207.86,139.81,250.6
35001000127,35,001,000127,217.55,213.21,48.17,4.86,8.22,0.75,0.12,0.34,226.85,247.56,293.01,175.68,250.57,210.46
35001000128,35,001,000128,256.36,227.67,75.89,10.18,5.55,0,0.93,0.93,272.1,285.98,361.87,196.21,310.97,236.93
35001000129,35,001,000129,234,217,56,3,4,0,0,1,243,249,285,203,267,216
35001000130,35,001,000130,107.53,274.48,56.59,4.24,0.47,0.47,0.47,0.94,127.34,299.95,167.9,251.37,129.69,287.69
35001000131,35,001,000131,46.6,177.48,19.83,8.92,0,0.99,0.99,0,53.54,193.34,90.23,151.7,70.4,157.65
35001000132,35,001,000132,57.97,280.75,35.45,22.14,2,0.01,4.01,1,56,321.4,105.56,255.02,74.01,285.97
35001000133,35,001,000133,42,202,22,5,2,1,1,2,37,225,81,178,49,210
35001000134,35,001,000134,223.76,337.39,82.21,7.37,4.65,0.78,1.16,0,245.87,380.43,318.38,293.95,260.6,346.69
35001000135,35,001,000135,63.79,316.63,30.38,14.68,0,0,4.29,0,71.35,342.39,117.69,285.86,72.81,336.11
35001000136,35,001,000136,198.04,417.52,85.73,6.86,0.86,0.86,0,1.71,223.76,452.67,279.49,389.23,222.05,433.81
35001000137,35,001,000137,154.53,294.11,60.23,5.02,3,0,0,0,173.6,311.21,229.75,247.04,171.59,301.16
35001000138,35,001,000138,37.69,99.25,19.1,2.21,0.44,0.22,0.44,0.23,42.7,112.32,55.76,95.27,45.11,104.39
