GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35001000001,35,001,000001,336.5,371.5,66.5,9.6,7.2,0.2,0.1,0,324.8,419.6,425.3,323.8,378,361
35001000002,35,001,000002,83.2,85.9,17.6,1,2.7,0,0,0.1,85.9,98.7,116.1,67.2,100,79.6
35001000003,35,001,000003,199,218.8,50.1,10.2,4.8,0.2,0.6,0,207.2,257.4,275.7,190.7,241.7,221.2
35001000004,35,001,000004,207.5,301.5,69,7.1,7.1,0,0,0,225.6,354.6,348,224.4,305,259.9
35001000005,35,001,000005,195.9,318.7,38.3,3.5,3.2,1.1,0,0,186.5,357.1,305.5,235.7,240.2,291.5
35001000006,35,001,000006,109.8,147.9,29.4,2.3,3.2,0.6,0.3,0,115.9,171.5,174.9,108,135.9,140
35001000007,35,001,000007,128.9,190.2,36.4,2.6,1.7,0,0,0,122.9,222,186.2,158.3,151.4,187.2
35001000008,35,001,000008,110,170,42,2,1,0,0,0,108,212,172,141,131,178
35001000009,35,001,000009,192,250,66,3,4,0,2,0,193,299,260,234,217,268
35001000010,35,001,000010,233.1,300.3,81.4,9.1,1.2,1,1.1,0,242,362.7,323.7,279.5,281.4,311.4
35001000011,35,001,000011,95,233.8,39.7,4.2,0.5,0,0.5,0,95.4,262.2,170.1,186.1,125.2,224.4
35001000012,35,001,000012,184,394,51,9,4,0,3,0,177,450,310,315,238,382
35001000013,35,001,000013,160.5,336.5,86,1.9,1.9,1,0,0,192.4,366.4,321,246.6,264,289.1
35001000014,35,001,000014,186,317,68,12,3,0,4,0,198,359,269,280,215,335
35001000015,35,001,000015,245.1,338.8,74.7,8,1,1,0,0,237.2,409.6,381.7,260.1,294,329.9
35001000016,35,001,000016,133.3,221.7,51.4,8.1,0.9,0.9,0,0,135.2,262.2,205.4,188.3,139.7,247.8
35001000017,35,001,000017,146.9,251.9,56.7,7.2,0.6,1.8,2.4,0,131.9,321.2,228.7,219.7,177.3,260.3
35001000018,35,001,000018,230.3,431.2,56.8,6.3,2.5,0,0,0,226,469.7,373.3,318.3,285.3,410.9
35001000019,35,001,000019,236.2,220.9,56.3,4.7,5.5,0.4,1.2,0,238.2,264,317.6,182.2,283.9,209.6
35001000020,35,001,000020,163.4,208.4,38.2,4.7,6,0.4,0,0.4,167.7,237.6,237.2,165.5,193.4,207.6
35001000021,35,001,000021,289.9,374.1,76.8,7.4,6.3,3.4,0,0,287,442.2,431.9,291,335.1,376.4
35001000022,35,001,000022,278,317,93,10,12,2,0,0,293,384,436,240,355,306
35001000023,35,001,000023,190.5,244.4,57.7,5.9,0.5,2.2,0,0,179.2,304.3,284.4,194.3,215.3,255.2
35001000024,35,001,000024,85.4,112,27.1,1.9,1.4,0.9,0.5,0.2,88.2,132.9,127.4,91.6,101.9,112.7
35001000025,35,001,000025,337,410.6,89.4,5,7.2,0.7,0,0.7,348.4,472.9,490.8,320.5,407.1,394.9
