GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
32001000001,32,001,000001,260.8,588.7,19.8,3.2,11.2
32001000002,32,001,000002,289.2,557,22.5,1.7,10.8
32001000003,32,001,000003,114,265.9,19.6,0.8,7.6
32001000004,32,001,000004,209.4,378.4,15.6,3.9,10.7
32001000005,32,001,000005,114.3,293.7,16.9,2.4,8.1
32001000006,32,001,000006,130.8,371.3,14.2,1,4.1
32001000007,32,001,000007,187.2,603.4,22.6,1,16.2
32001000008,32,001,000008,68.9,232.7,6.4,1.5,3.9
32001000009,32,001,000009,130.4,365.6,10.7,3,5.4
32001000010,32,001,000010,130.9,555.2,5.3,0.8,8.3
32001000011,32,001,000011,176.4,703.1,26.1,2,6
32001000012,32,001,000012,76.1,243.8,5.4,0.9,3.6
32001000013,32,001,000013,68,396,12,1,6
32001000014,32,001,000014,98.3,491.6,11.8,1,7.9
32001000015,32,001,000015,98.1,462.3,13.1,0.9,4.4
32001000016,32,001,000016,205.9,294.6,6.6,3.1,12.3
32001000017,32,001,000017,274,1040.2,15.7,2.2,9.7
32001000018,32,001,000018,266.2,889.6,21,3,6
32001000019,32,001,000019,120.8,522.6,13.6,1,6.2
32001007-01,32,001,007-01,0,0,0,0,0
32001008-01,32,001,008-01,20.4,68.6,1.8,0.4,1.1
32001008-02,32,001,008-02,1.5,2.7,0.1,0,0.1
32001008-03,32,001,008-03,0,0,0,0,0
32001012-01,32,001,012-01,0,0,0,0,0
32001012-02,32,001,012-02,0,0,0,0,0
32001012-03,32,001,012-03,0,0,0,0,0
32001015-01,32,001,015-01,0.8,3.6,0.1,0,0
32001015-02,32,001,015-02,0,0,0,0,0
32001015-03,32,001,015-03,0.6,3,0.1,0,0
32001015-04,32,001,015-04,0.3,1.2,0,0,0
32001015-05,32,001,015-05,4,18.7,0.5,0,0.2
32001015-06,32,001,015-06,0.4,2,0.1,0,0
32001015-07,32,001,015-07,0,0,0,0,0
32001015-08,32,001,015-08,0,0,0,0,0
32001015-09,32,001,015-09,0,0,0,0,0
32001015-10,32,001,015-10,0,0,0,0,0
32003001038,32,003,001038,189,231,2,0,3
32003001039,32,003,001039,382,548,2,0,9
32003001063,32,003,001063,649,573,15,3,13
32003001067,32,003,001067,45.9,104.6,2.1,2,2.1
32003001072,32,003,001072,61.5,192.6,1,2,3
32003001074,32,003,001074,646.6,975.7,12.7,2,10.8
32003001137,32,003,001137,583,563,11,0,11
32003001302,32,003,001302,1180,842,23,3,17
32003001303,32,003,001303,743,624,8,2,13
32003001304,32,003,001304,823,484,17,0,14
32003001307,32,003,001307,880,775,7,1,7
32003001309,32,003,001309,2.6,3.3,0,0,0
32003001318,32,003,001318,856,454,10,2,15
32003001327,32,003,001327,1051,618,23,4,18
32003001328,32,003,001328,806.5,579.8,13.2,3.7,13.1
32003001330,32,003,001330,684,882,13,6,12
32003001331,32,003,001331,781,535.8,9.9,6.9,6.9
32003001332,32,003,001332,323,273,7,1,3
32003001333,32,003,001333,575,523,3,2,5
32003001334,32,003,001334,782,655,15,4,8
32003001335,32,003,001335,639,664,12,0,10
32003001336,32,003,001336,612.2,432.1,3.9,1,5.9
32003001337,32,003,001337,839,676,14,6,11
32003001340,32,003,001340,1107.3,692.7,11.1,1,15.1
32003001341,32,003,001341,732,570,21,6,7
32003001342,32,003,001342,537,444,12,4,5
32003001343,32,003,001343,362,473,8,0,9
32003001344,32,003,001344,359,245,6,1,2
32003001345,32,003,001345,334,268,6,1,3
32003001346,32,003,001346,543,667,13,3,6
32003001348,32,003,001348,752.6,582.9,21.3,1,10.2
32003001349,32,003,001349,731.8,544.5,12.8,2,13.7
32003001351,32,003,001351,667,398,11,2,11
32003001352,32,003,001352,629,478,15,2,8
32003001353,32,003,001353,1175,756.2,28.5,2,14.8
32003001354,32,003,001354,490,305,6,2,9
32003001356,32,003,001356,954.9,711.9,13,1,21
32003001361,32,003,001361,1,1,0,0,0
32003001363,32,003,001363,1,0,0,0,0
32003001365,32,003,001365,10.5,13.2,0.1,0,0.1
32003001367,32,003,001367,966,670,12,4,12
