GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39001001AAA,39,001,001AAA,534,96.46,12.02,4.02,4.01,533.93,80.42,6.02,6.06,10.04
39001001AAB,39,001,001AAB,390,95,9,0,5,358,93,6,16,6
39001001AAD,39,001,001AAD,406,93.54,4.98,3.98,1.99,391.07,84.58,4.98,11.94,8.96
39001001AAE,39,001,001AAE,175.89,75.95,2,1,2,168.9,68.96,4,2,1
39001001AAG,39,001,001AAG,258,73,8,2,1,239,86,9,5,2
39001001AAI,39,001,001AAI,684,168,20,6,4,680,154,15,13,9
39001001AAK,39,001,001AAK,412.99,192.46,17.93,2.01,2.03,426.74,171.82,7.93,5.03,10.91
39001001AAN,39,001,001AAN,643.68,129.56,10.85,2.95,1.03,628.85,128.55,5.92,7.9,10.86
39001001AAP,39,001,001AAP,490.34,165.15,8.99,3.99,6.99,483.44,161.2,8.96,5.98,3.97
39001001AAR,39,001,001AAR,209.28,71.89,4.13,0.02,4.04,206.25,62.91,3.04,6.07,5.05
39001001AAS,39,001,001AAS,359.44,81.97,9.34,1.09,4,350.91,82.9,2.22,6.24,8.29
39001001AAT,39,001,001AAT,475.01,91.16,7.29,1.17,0.99,454.75,86.11,7.29,6.4,5.41
39001001AAU,39,001,001AAU,256.65,58.21,3.53,1.76,0,252.24,47.63,3.53,4.41,4.41
39001001AAW,39,001,001AAW,580.84,155.7,22.94,3.97,6.93,577.11,160.31,6.03,11.9,9.04
39001001AAY,39,001,001AAY,396.02,110.17,13.9,2.98,1.99,387.09,111.16,3.97,7.94,8.93
39001001AAZ,39,001,001AAZ,389.86,107.68,8.15,4,4.02,388.86,92.49,8.06,9.11,4.1
39001001ABA,39,001,001ABA,350,164,19,4,5,353,150,14,10,10
39001001ABC,39,001,001ABC,340.14,148.32,12.85,0,1.98,340.14,131.51,4.94,9.89,8.9
39001001ABE,39,001,001ABE,497.85,76.78,14.11,0.05,0,474.72,81.46,3.11,10.13,3.13
39001001ABG,39,001,001ABG,451.12,96.25,13.61,0.97,0,437.51,86.53,1.94,6.81,16.53
39001001ABH,39,001,001ABH,357.88,74.75,3.39,1.03,5,356.49,59.47,7.06,3.19,10.47
39003002AAA,39,003,002AAA,383.42,123.49,16.93,1,2.99,384.41,105.56,9.96,14.94,6.97
39003002AAC,39,003,002AAC,347.74,103.52,8.92,3.01,1.98,368.36,76.95,4.9,1.13,4.98
39003002AAE,39,003,002AAE,351.25,119.25,18.03,6.02,2.01,361.29,103.2,4,6.04,21.02
39003002AAG,39,003,002AAG,167,38,11,4,2,162,43,4,6,5
39003002AAH,39,003,002AAH,274.62,235.92,30.09,1.82,1.01,280.04,205.29,11.75,19.04,8.11
39003002AAJ,39,003,002AAJ,322.27,195.53,22.6,3.93,3.93,339.96,163.1,5.9,16.7,11.79
39003002AAK,39,003,002AAK,204,202,15,10,9,223,167,13,13,6
39003002AAO,39,003,002AAO,370.4,290.68,27.94,5.76,4.18,388.92,256.16,7.87,11.28,13.92
39003002AAP,39,003,002AAP,354.46,240.81,18.94,7.22,1.8,377.91,199.33,8.12,11.73,9.02
39003002AAQ,39,003,002AAQ,385.89,247.53,20.03,5.01,7.01,410.92,210.42,11.03,15.04,4.02
39003002AAW,39,003,002AAW,163,269,14,9,6,182,212,9,24,13
39003002AAX,39,003,002AAX,111,199,7,4,2,134,149,11,8,3
39003002AAY,39,003,002AAY,247.79,196.51,13.21,4.03,3.03,269.9,155.3,6.05,11.15,12.09
39003002ABE,39,003,002ABE,399,253,26,8,2,464,195,11,9,9
39003002ABF,39,003,002ABF,177,261,13,2,3,194,214,9,17,6
39003002ABH,39,003,002ABH,261.59,157.11,13.86,1.85,0.92,283.77,129.38,3.7,8.32,6.47
39003002ABI,39,003,002ABI,351,294,28,10,3,398,254,13,8,5
39003002ABP,39,003,002ABP,110,159,6,1,0,119,120,4,12,11
39003002ABQ,39,003,002ABQ,65.13,212.8,3.01,4.01,1,73.16,170.68,8.01,10.03,7.01
39003002ABR,39,003,002ABR,52.36,315.97,3.04,3.02,0.01,65.21,268.06,5.01,13.04,4.04
