GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39001001AAA,39,001,001AAA,534,96.5,12,4,4,533.9,80.4,6,6.1,10
39001001AAB,39,001,001AAB,390,95,9,0,5,358,93,6,16,6
39001001AAD,39,001,001AAD,406,93.5,5,4,2,391.1,84.6,5,11.9,9
39001001AAE,39,001,001AAE,175.9,76,2,1,2,168.9,69,4,2,1
39001001AAG,39,001,001AAG,258,73,8,2,1,239,86,9,5,2
39001001AAI,39,001,001AAI,684,168,20,6,4,680,154,15,13,9
39001001AAK,39,001,001AAK,413,192.5,17.9,2,2,426.7,171.8,7.9,5,10.9
39001001AAN,39,001,001AAN,643.7,129.6,10.8,3,1,628.9,128.6,5.9,7.9,10.9
39001001AAP,39,001,001AAP,490.3,165.2,9,4,7,483.4,161.2,9,6,4
39001001AAR,39,001,001AAR,209.3,71.9,4.1,0,4,206.2,62.9,3,6.1,5
39001001AAS,39,001,001AAS,359.4,82,9.3,1.1,4,350.9,82.9,2.2,6.2,8.3
39001001AAT,39,001,001AAT,475,91.2,7.3,1.2,1,454.8,86.1,7.3,6.4,5.4
39001001AAU,39,001,001AAU,256.6,58.2,3.5,1.8,0,252.2,47.6,3.5,4.4,4.4
39001001AAW,39,001,001AAW,580.8,155.7,22.9,4,6.9,577.1,160.3,6,11.9,9
39001001AAY,39,001,001AAY,396,110.2,13.9,3,2,387.1,111.2,4,7.9,8.9
39001001AAZ,39,001,001AAZ,389.9,107.7,8.2,4,4,388.9,92.5,8.1,9.1,4.1
39001001ABA,39,001,001ABA,350,164,19,4,5,353,150,14,10,10
39001001ABC,39,001,001ABC,340.1,148.3,12.8,0,2,340.1,131.5,4.9,9.9,8.9
39001001ABE,39,001,001ABE,497.9,76.8,14.1,0,0,474.7,81.5,3.1,10.1,3.1
39001001ABG,39,001,001ABG,451.1,96.2,13.6,1,0,437.5,86.5,1.9,6.8,16.5
39001001ABH,39,001,001ABH,357.9,74.8,3.4,1,5,356.5,59.5,7.1,3.2,10.5
39003002AAA,39,003,002AAA,383.4,123.5,16.9,1,3,384.4,105.6,10,14.9,7
39003002AAC,39,003,002AAC,347.7,103.5,8.9,3,2,368.4,77,4.9,1.1,5
39003002AAE,39,003,002AAE,351.2,119.2,18,6,2,361.3,103.2,4,6,21
39003002AAG,39,003,002AAG,167,38,11,4,2,162,43,4,6,5
39003002AAH,39,003,002AAH,274.6,235.9,30.1,1.8,1,280,205.3,11.8,19,8.1
39003002AAJ,39,003,002AAJ,322.3,195.5,22.6,3.9,3.9,340,163.1,5.9,16.7,11.8
39003002AAK,39,003,002AAK,204,202,15,10,9,223,167,13,13,6
39003002AAO,39,003,002AAO,370.4,290.7,27.9,5.8,4.2,388.9,256.2,7.9,11.3,13.9
39003002AAP,39,003,002AAP,354.5,240.8,18.9,7.2,1.8,377.9,199.3,8.1,11.7,9
39003002AAQ,39,003,002AAQ,385.9,247.5,20,5,7,410.9,210.4,11,15,4
39003002AAW,39,003,002AAW,163,269,14,9,6,182,212,9,24,13
39003002AAX,39,003,002AAX,111,199,7,4,2,134,149,11,8,3
39003002AAY,39,003,002AAY,247.8,196.5,13.2,4,3,269.9,155.3,6,11.2,12.1
39003002ABE,39,003,002ABE,399,253,26,8,2,464,195,11,9,9
39003002ABF,39,003,002ABF,177,261,13,2,3,194,214,9,17,6
39003002ABH,39,003,002ABH,261.6,157.1,13.9,1.9,0.9,283.8,129.4,3.7,8.3,6.5
39003002ABI,39,003,002ABI,351,294,28,10,3,398,254,13,8,5
39003002ABP,39,003,002ABP,110,159,6,1,0,119,120,4,12,11
39003002ABQ,39,003,002ABQ,65.1,212.8,3,4,1,73.2,170.7,8,10,7
39003002ABR,39,003,002ABR,52.4,316,3,3,0,65.2,268.1,5,13,4
39003002ABT,39,003,002ABT,190.3,257,13.8,3.8,4.5,201.9,218.8,7.8,15.4,13.4
39003002ABW,39,003,002ABW,190.9,297.9,15.9,2,5,220.7,245.2,13.9,12.9,10.9
39003002ABX,39,003,002ABX,148,306,10,5,5,170,256,11,13,6
39003002ABZ,39,003,002ABZ,30.4,427.8,2,6.9,1,51.3,364.5,7.9,7.9,10.9
39003002ACD,39,003,002ACD,358.2,305.4,18.5,5.1,3.1,411.4,246.5,6.1,13.1,6
39003002ACE,39,003,002ACE,298.7,224.9,25.8,5.5,2.8,341.1,193.6,2.8,10.1,3.7
39003002ACG,39,003,002ACG,394.1,252.2,19.9,9.9,1,421.9,200.5,12.9,12.9,9.9
39003002ACT,39,003,002ACT,621,115,24,7,2,619,115,5,6,16
39003002ACU,39,003,002ACU,329,56,16,1,0,335,40,4,2,11
39003002ACW,39,003,002ACW,468.6,99.9,15,2,4,483.6,80.9,7,4,3
39003002ACX,39,003,002ACX,327.7,148.9,24,2,1,344.7,111.9,6,7,11
39003002ACY,39,003,002ACY,348.5,136.9,17.6,0,4,381.6,103.2,9.2,7.4,7.2
39003002ACZ,39,003,002ACZ,188.4,268.6,8.1,2,2,204.5,227.6,6,16,5.1
39003002ADA,39,003,002ADA,238,142.3,9.2,3.7,3.6,244.6,111.1,7.3,11.9,5.5
39003002ADB,39,003,002ADB,339.8,187.7,15.3,2.7,1.4,375.3,144.6,3.8,2.7,9.8
39003002ADC,39,003,002ADC,489.5,128.2,19.1,2,2,511.9,101.8,4,9.1,9
39003002ADD,39,003,002ADD,452,132,27,0,1,487,105,2,9,11
39003002ADE,39,003,002ADE,416,100,19,1,2,440,72,3,10,9
