GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRREN,G18USSDBRO,G18GOVRDEW,G18GOVDCOR,G18GOVLIRV,G18GOVGGAD,G18ATGRYOS,G18ATGDDET,G18AUDRFAB,G18AUDDSPA,G18AUDLCOO,G18SOSRLAR,G18SOSDCLY,G18SOSLNAN,G18TRERSPR,G18TREDRIC
39001001AAA,39,001,001AAA,407.56,129.51,405.6,119.4,10.03,5.03,410.63,116.37,408.6,103.36,14.07,419.62,104.39,12.06,423.69,108.36
39001001AAB,39,001,001AAB,254,107,254,98,8,3,264,90,257,85,11,263,85,9,262,92
39001001AAD,39,001,001AAD,316.44,103.49,324.4,80.6,6.97,6.97,329.37,75.63,323.4,72.64,14.93,327.38,78.61,11.94,341.31,72.64
39001001AAE,39,001,001AAE,97.94,68.96,107.93,59.96,1,1,106.93,53.97,102.94,57.96,4,104.94,56.97,2,108.93,56.97
39001001AAG,39,001,001AAG,165,82,166,69,6,3,174,65,172,64,2,173,66,3,170,69
39001001AAI,39,001,001AAI,492,205,521,160,12,9,514,164,506,144,32,514,166,8,523,166
39001001AAK,39,001,001AAK,249.57,173.09,263.62,144.26,9.92,10.89,265.51,145.3,250.75,144.1,20.81,259.58,145.24,17.78,273.49,145.15
39001001AAN,39,001,001AAN,493.83,162.66,515.32,140.12,3.99,7.85,510.51,124.39,507.61,117.49,24.56,515.42,129.2,9.84,517.4,133.14
39001001AAP,39,001,001AAP,315.68,179.24,321.66,161.32,9.96,2.99,327.63,149.37,328.63,140.41,18.92,322.65,152.36,11.95,328.63,157.34
39001001AAR,39,001,001AAR,136.08,79.08,156.25,57.91,7.04,3.03,148.2,64.94,147.2,49.82,13.08,144.18,65.91,5.03,156.26,56.86
39001001AAS,39,001,001AAS,251.8,85.01,252.54,82.16,4.18,3.25,256.31,75.86,258.32,72.47,8.71,261.43,68.92,3.35,261.55,70.14
39001001AAT,39,001,001AAT,344.32,102.79,353.06,87.47,5.5,5.13,351.53,85.66,359.27,70.08,13.96,356.48,80.71,7.29,362.7,84.85
39001001AAU,39,001,001AAU,179.92,74.97,187.86,60.85,5.29,1.76,192.27,52.92,190.5,45.86,10.58,192.27,52.92,3.53,194.91,54.68
39001001AAW,39,001,001AAW,370.41,190.87,399.2,160.87,8.04,6.08,390.36,166.8,391.12,144.12,14.12,388.3,160.88,6.19,401.32,151.03
